gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.621041	4778	1.612042	5373
A1CF	0.000000	17223	0.000000	17239
A2M	0.799256	3030	1.586841	5618
A2ML1	0.048455	15360	0.048455	15432
A3GALT2	-	19008	-	19008
A4GALT	0.492184	6808	1.156609	9714
A4GNT	0.000000	17222	0.000000	17238
AAAS	0.460566	7470	1.854536	3277
AACS	0.355351	9855	1.406015	7388
AADAC	0.800457	3022	0.800457	12048
AADACL2	0.000000	17221	0.000000	17237
AADACL3	0.000000	17220	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.677826	4124	1.247439	8948
AAED1	0.541793	5960	1.760148	4014
AAGAB	0.167803	14037	1.716504	4383
AAK1	0.264004	12137	1.022814	10738
AAMDC	0.327546	10613	1.416641	7280
AAMP	0.272654	11936	2.063216	2007
AANAT	0.046880	15373	0.046880	15443
AAR2	0.262247	12171	1.383483	7628
AARD	0.534073	6061	0.548526	13175
AARS	0.289133	11499	1.901210	2912
AARS2	0.306337	11117	1.517154	6296
AARSD1	0.736089	3572	1.673210	4790
AASDH	0.123788	14576	1.204072	9334
AASDHPPT	0.583105	5323	1.883543	3049
AASS	0.505430	6518	1.567497	5810
AATF	0.103663	14791	1.572523	5768
AATK	0.349947	10000	0.367640	13819
ABAT	0.863449	2583	1.356535	7907
ABCA1	0.673835	4167	2.052281	2063
ABCA10	0.149960	14344	0.149960	14850
ABCA12	0.089488	14962	0.089488	15133
ABCA13	0.392697	9009	0.392697	13744
ABCA2	0.226975	12906	0.967080	11106
ABCA3	0.886875	2437	1.614829	5343
ABCA4	0.000000	17219	0.000000	17235
ABCA5	0.163598	14117	0.979093	11026
ABCA6	0.613655	4869	1.072830	10377
ABCA7	0.320940	10792	1.156499	9715
ABCA8	0.345010	10169	1.285806	8631
ABCA9	1.220366	1002	1.522241	6243
ABCB1	1.082096	1421	1.679769	4730
ABCB10	0.594529	5156	1.454690	6894
ABCB11	0.000000	17218	0.000000	17234
ABCB4	0.333540	10476	0.439462	13552
ABCB5	0.165216	14098	0.165216	14761
ABCB6	0.568909	5526	0.805925	12016
ABCB7	0.302500	11195	1.551938	5947
ABCB8	0.434345	8018	1.491945	6522
ABCB9	0.344408	10184	0.813462	11976
ABCC1	0.523559	6238	1.780529	3846
ABCC10	0.218703	13068	0.886246	11577
ABCC11	0.000000	17217	0.000000	17233
ABCC12	0.111537	14680	0.111537	14935
ABCC2	0.054371	15144	0.054371	15228
ABCC3	0.869652	2545	1.681980	4702
ABCC4	0.610494	4920	1.373280	7720
ABCC5	0.296649	11327	1.223403	9173
ABCC6	-	19006	-	19006
ABCC8	0.048455	15359	0.048455	15431
ABCC9	0.373556	9417	0.620068	12891
ABCD1	0.157759	14228	1.110983	10066
ABCD2	1.060169	1508	1.221552	9182
ABCD3	0.480747	7044	1.645386	5047
ABCD4	0.265585	12108	1.327563	8200
ABCE1	0.359723	9760	1.878788	3099
ABCF1	0.363451	9665	2.213386	1446
ABCF2	0.353444	9899	1.780686	3844
ABCF3	0.112617	14670	1.587394	5610
ABCG1	0.926057	2183	2.058978	2030
ABCG2	0.110590	14717	0.201397	14452
ABCG4	0.107112	14736	0.122756	14917
ABCG5	0.048455	15358	0.048455	15430
ABCG8	0.000000	17216	0.000000	17232
ABHD1	0.220135	13036	0.279306	14115
ABHD10	0.281834	11649	1.552511	5940
ABHD11	0.344939	10171	1.314900	8328
ABHD12	0.334255	10445	1.853141	3287
ABHD12B	0.274158	11900	0.274158	14178
ABHD13	0.345436	10154	1.372651	7732
ABHD14A	0.583574	5318	1.423822	7204
ABHD14B	0.469020	7302	2.226477	1410
ABHD15	0.532175	6098	0.872739	11675
ABHD16A	0.272428	11939	1.478133	6667
ABHD16B	-	19005	-	19005
ABHD17A	0.311567	11016	1.227929	9130
ABHD17B	0.712690	3768	1.559068	5875
ABHD17C	0.506772	6500	1.258327	8848
ABHD18	0.473913	7180	1.325783	8216
ABHD2	0.448465	7713	1.885768	3029
ABHD3	0.394815	8945	1.345178	8014
ABHD4	0.352667	9918	1.693156	4605
ABHD5	0.295142	11362	1.359636	7873
ABHD6	1.053577	1533	1.301037	8479
ABHD8	0.241851	12554	1.151577	9759
ABI1	0.495484	6730	1.775379	3886
ABI2	0.841820	2732	2.004593	2307
ABI3	0.150540	14339	0.563210	13101
ABI3BP	1.847193	156	2.523533	676
ABL1	0.522772	6244	1.297683	8514
ABL2	0.797018	3049	1.465085	6787
ABLIM1	0.668600	4220	1.226604	9138
ABLIM2	0.200700	13392	0.432638	13576
ABLIM3	0.747028	3471	1.643553	5064
ABO	1.150658	1177	1.276504	8697
ABR	1.838836	164	1.838836	3404
ABRA	0.018968	15578	0.018968	15616
ABRACL	0.974042	1913	2.083072	1929
ABT1	0.418334	8395	1.615200	5337
ABTB1	0.112958	14663	1.300814	8484
ABTB2	0.927431	2176	1.467248	6760
ACAA1	0.266925	12076	1.579821	5687
ACAA2	0.599147	5079	1.751561	4079
ACACA	0.465916	7356	1.455122	6888
ACACB	0.362901	9682	0.683047	12631
ACAD10	0.221810	13003	1.211388	9274
ACAD11	0.342844	10212	0.981872	11012
ACAD8	0.251141	12406	1.459893	6835
ACAD9	0.168661	14028	1.568799	5801
ACADL	0.180864	13892	0.180864	14714
ACADM	0.380445	9285	1.754541	4054
ACADS	0.404713	8680	1.292348	8559
ACADSB	0.138546	14460	1.105510	10110
ACADVL	0.426244	8211	2.017931	2238
ACAN	0.196179	13461	0.215920	14392
ACAP1	1.485180	489	1.597282	5513
ACAP2	0.314804	10923	1.788222	3778
ACAP3	0.157841	14226	0.856300	11745
ACAT1	0.222457	12983	1.894593	2962
ACAT2	0.878138	2487	2.311288	1142
ACBD3	0.269878	12017	2.123819	1754
ACBD4	0.161250	14168	0.819669	11948
ACBD5	0.428520	8161	0.914164	11418
ACBD6	0.306691	11105	1.465234	6784
ACBD7	0.599920	5072	0.837238	11853
ACCS	0.419741	8358	0.850793	11786
ACCSL	-	19004	-	19004
ACD	0.472688	7205	1.389505	7559
ACE	0.848995	2678	1.295513	8529
ACE2	0.232205	12759	0.232205	14304
ACER1	0.044513	15394	0.044513	15463
ACER2	0.294193	11385	0.323836	13981
ACER3	0.266435	12091	1.385030	7612
ACHE	0.275853	11855	0.594885	13008
ACIN1	0.494862	6742	2.083725	1924
ACKR1	0.369390	9513	0.369390	13793
ACKR2	0.236523	12666	0.469174	13438
ACKR3	0.559987	5682	1.904085	2888
ACKR4	0.942995	2096	1.047630	10562
ACLY	0.893230	2390	2.187929	1541
ACMSD	0.017046	15603	0.017046	15639
ACO1	0.563343	5607	2.087284	1893
ACO2	0.176766	13932	1.938162	2652
ACOD1	0.214067	13155	0.214067	14408
ACOT1	0.425204	8236	0.476841	13407
ACOT11	0.349517	10009	0.595496	12999
ACOT12	0.122756	14604	0.122756	14916
ACOT13	0.855052	2635	1.693199	4602
ACOT2	0.429769	8128	1.444295	6983
ACOT4	0.158968	14203	0.298156	14046
ACOT6	-	19003	-	19003
ACOT7	1.047969	1561	1.589638	5586
ACOT8	0.241349	12569	1.642119	5084
ACOT9	0.206717	13263	1.662730	4876
ACOX1	0.413574	8497	1.787035	3788
ACOX2	1.414054	597	1.445153	6977
ACOX3	0.189331	13554	1.090490	10220
ACOXL	0.000000	17215	0.000000	17231
ACP1	0.231230	12786	2.038562	2132
ACP2	0.210261	13208	1.763125	3991
ACP5	1.068852	1469	1.165762	9635
ACP6	1.062632	1496	1.445561	6967
ACP7	-	19002	-	19002
ACPP	0.572842	5475	0.753253	12315
ACPT	-	19001	-	19001
ACR	0.000000	17214	0.000000	17230
ACRBP	0.940657	2111	1.187239	9481
ACRC	0.000000	17213	0.000000	17229
ACRV1	0.000000	17212	0.000000	17228
ACSBG1	1.140548	1210	1.140548	9838
ACSBG2	0.000000	17211	0.000000	17227
ACSF2	0.422170	8306	1.048277	10559
ACSF3	0.305169	11141	1.170262	9612
ACSL1	1.262752	882	2.045466	2104
ACSL3	0.357755	9806	2.324729	1106
ACSL4	0.322441	10754	1.841175	3386
ACSL5	0.791552	3090	1.669460	4825
ACSL6	0.180864	13891	0.180864	14713
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17210	0.000000	17226
ACSM2B	0.000000	17209	0.000000	17225
ACSM3	1.254965	909	1.327422	8203
ACSM4	-	18999	-	18999
ACSM5	0.256375	12291	0.256375	14249
ACSM6	0.000000	17208	0.000000	17224
ACSS1	0.677464	4126	1.708979	4457
ACSS2	0.664453	4263	1.504871	6413
ACSS3	0.851327	2661	1.425377	7186
ACTA1	0.165216	14097	0.165216	14760
ACTA2	1.866274	149	3.240571	134
ACTB	0.587397	5255	4.037509	7
