gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15542	0.694743	9833
A1CF	0.000000	15541	0.000000	17239
A2M	0.799256	828	1.586841	2701
A2ML1	0.048455	10190	0.048455	13830
A3GALT2	-	19008	-	19008
A4GALT	-0.646994	17200	0.048455	13829
A4GNT	0.000000	15540	0.000000	17238
AAAS	0.200236	6177	1.594206	2659
AACS	0.047608	10205	0.754541	9459
AADAC	0.000000	15539	0.000000	17237
AADACL2	0.000000	15538	0.000000	17236
AADACL3	0.000000	15537	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.677826	1140	1.247439	5444
AAED1	-0.020838	15808	0.761098	9410
AAGAB	0.159895	7379	1.708596	2008
AAK1	0.019735	10661	0.820654	9010
AAMDC	-0.133334	16640	0.672902	9948
AAMP	0.000000	15536	1.609379	2564
AANAT	0.000000	15535	0.000000	17234
AAR2	0.023149	10598	1.005609	7596
AARD	0.000000	15534	0.000000	17233
AARS	-0.220489	16900	1.217473	5710
AARS2	-0.073237	16285	1.137580	6405
AARSD1	0.180864	6975	1.553468	2906
AASDH	0.117772	8292	1.198056	5882
AASDHPPT	0.583105	1536	1.883543	1184
AASS	0.193052	6308	1.255119	5369
AATF	-0.080320	16339	1.388540	4209
AATK	0.349947	3478	0.367640	11595
ABAT	0.863449	707	1.356535	4494
ABCA1	0.249121	5158	1.642521	2367
ABCA10	0.000000	15533	0.000000	17232
ABCA12	0.089488	8919	0.089488	13272
ABCA13	0.180864	6974	0.180864	12833
ABCA2	0.226975	5681	0.894327	8466
ABCA3	0.886875	659	1.614829	2526
ABCA4	0.000000	15532	0.000000	17231
ABCA5	0.015978	10747	0.089488	13271
ABCA6	0.000000	15531	0.000000	17230
ABCA7	0.000000	15530	0.270352	12163
ABCA8	0.000000	15529	0.619224	10310
ABCA9	0.000000	15528	0.000000	17229
ABCB1	0.626498	1332	1.224171	5657
ABCB10	0.006602	10915	0.770727	9336
ABCB11	0.000000	15527	0.000000	17228
ABCB4	0.333540	3722	0.439462	11223
ABCB5	0.000000	15526	0.000000	17227
ABCB6	0.000000	15525	0.430827	11295
ABCB7	0.241967	5280	1.491404	3365
ABCB8	-0.206796	16861	0.965171	7928
ABCB9	0.233976	5428	0.270352	12162
ABCC1	0.000000	15524	0.402886	11393
ABCC10	0.076741	9137	0.434587	11252
ABCC11	0.000000	15523	0.000000	17226
ABCC12	0.000000	15522	0.000000	17225
ABCC2	0.000000	15521	0.000000	17224
ABCC3	0.180864	6973	0.382834	11481
ABCC4	0.119861	8249	1.010892	7537
ABCC5	0.047111	10210	1.035911	7341
ABCC6	-	19006	-	19006
ABCC8	0.048455	10189	0.048455	13828
ABCC9	0.053552	9518	0.180864	12832
ABCD1	0.048455	10188	0.703780	9756
ABCD2	1.060169	400	1.221552	5682
ABCD3	0.480747	2131	1.645386	2344
ABCD4	0.265585	4871	1.204637	5814
ABCE1	0.359723	3343	1.878788	1199
ABCF1	0.363451	3294	2.213386	414
ABCF2	-0.039622	16020	1.249998	5422
ABCF3	0.001236	10991	1.476013	3468
ABCG1	0.000000	15520	0.749050	9486
ABCG2	0.048455	10187	0.048455	13827
ABCG4	0.107112	8463	0.122756	13068
ABCG5	0.048455	10186	0.048455	13826
ABCG8	0.000000	15519	0.000000	17223
ABHD1	0.118841	8274	0.178013	12875
ABHD10	0.097865	8637	1.368542	4380
ABHD11	0.007171	10905	0.764484	9381
ABHD12	0.000000	15518	1.400952	4100
ABHD12B	0.000000	15517	0.000000	17222
ABHD13	0.345436	3535	1.372651	4343
ABHD14A	0.240616	5310	1.139865	6388
ABHD14B	-1.166107	17235	0.591350	10459
ABHD15	0.000000	15516	0.200700	12422
ABHD16A	0.000000	15515	1.157173	6232
ABHD16B	-	19005	-	19005
ABHD17A	0.067893	9292	0.648826	10122
ABHD17B	0.462579	2272	1.166283	6144
ABHD17C	0.506772	1943	1.087098	6897
ABHD18	0.239839	5327	0.545798	10701
ABHD2	0.153869	7475	1.833421	1377
ABHD3	-0.174613	16786	0.775749	9319
ABHD4	0.352667	3438	1.693156	2092
ABHD5	0.231470	5489	0.778893	9279
ABHD6	1.053577	407	1.301037	4969
ABHD8	0.059609	9430	0.969335	7899
ABI1	0.214367	5893	1.668914	2203
ABI2	0.841820	739	2.004593	806
ABI3	0.000000	15514	0.180864	12831
ABI3BP	0.000000	15513	0.000000	17221
ABL1	0.131970	7962	0.844257	8844
ABL2	0.189792	6382	0.885531	8527
ABLIM1	0.180864	6972	0.650501	10093
ABLIM2	0.200700	6160	0.303620	11943
ABLIM3	0.000000	15512	0.674580	9935
ABO	0.180864	6971	0.180864	12830
ABR	1.838836	42	1.838836	1360
ABRA	0.000000	15511	0.000000	17220
ABRACL	0.296911	4294	1.595931	2648
