gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.634810	1412	1.625810	2461
A1CF	0.000000	14377	0.000000	17239
A2M	0.000000	14376	0.000000	17238
A2ML1	0.000000	14375	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17011	0.000000	17236
A4GNT	0.000000	14374	0.000000	17235
AAAS	0.000000	14373	0.388713	9854
AACS	-0.000610	14381	0.762068	6606
AADAC	0.000000	14372	0.000000	17234
AADACL2	0.000000	14371	0.000000	17233
AADACL3	0.000000	14370	0.000000	17232
AADACL4	-	19007	-	19007
AADAT	0.435604	2491	1.005217	5513
AAED1	0.263848	4104	1.482203	3354
AAGAB	-0.821736	17113	0.726965	7108
AAK1	0.468688	2290	1.198002	4817
AAMDC	0.536305	1914	0.733804	6959
AAMP	0.215111	4673	2.019877	695
AANAT	0.000000	14369	0.000000	17231
AAR2	-0.025306	14660	0.271413	10829
AARD	0.000000	14368	0.000000	17230
AARS	0.177708	5112	1.565622	2822
AARS2	0.423929	2565	1.634746	2373
AARSD1	0.963878	522	1.642618	2334
AASDH	0.000000	14367	0.520301	8757
AASDHPPT	-0.020711	14589	1.440873	3667
AASS	0.359309	3087	0.946964	5656
AATF	0.428944	2537	1.897804	1052
AATK	0.000000	14366	0.000000	17229
ABAT	0.008582	6833	0.271413	10828
ABCA1	0.000000	14365	0.633116	7807
ABCA10	0.000000	14364	0.000000	17228
ABCA12	0.000000	14363	0.000000	17227
ABCA13	0.271413	4053	0.271413	10827
ABCA2	0.271413	4052	0.745260	6703
ABCA3	0.000000	14362	0.464198	9231
ABCA4	0.000000	14361	0.000000	17226
ABCA5	0.221670	4585	1.254105	4627
ABCA6	0.000000	14360	0.000000	17225
ABCA7	0.000000	14359	0.792279	6402
ABCA8	0.000000	14358	0.000000	17224
ABCA9	0.000000	14357	0.000000	17223
ABCB1	0.407544	2673	1.005217	5512
ABCB10	-0.067074	15255	0.271413	10826
ABCB11	0.000000	14356	0.000000	17222
ABCB4	0.000000	14355	0.000000	17221
ABCB5	0.000000	14354	0.000000	17220
ABCB6	0.161745	5294	0.271413	10825
ABCB7	0.004668	6864	1.254105	4626
ABCB8	-0.104112	15606	0.388713	9853
ABCB9	-0.036376	14855	0.000000	17219
ABCC1	0.130299	5619	1.142880	4876
ABCC10	-0.002233	14392	0.633116	7806
ABCC11	0.000000	14353	0.000000	17218
ABCC12	0.000000	14352	0.000000	17217
ABCC2	0.000000	14351	0.000000	17216
ABCC3	0.000000	14350	0.000000	17215
ABCC4	0.349752	3164	0.932700	5712
ABCC5	0.091343	6076	0.726965	7107
ABCC6	-	19006	-	19006
ABCC8	0.000000	14349	0.000000	17214
ABCC9	0.000000	14348	0.000000	17213
ABCD1	0.000000	14347	0.520301	8756
ABCD2	0.000000	14346	0.000000	17212
ABCD3	-0.206284	16144	0.633116	7805
ABCD4	0.777100	881	1.565622	2821
ABCE1	0.167400	5231	1.686465	2062
ABCF1	-0.096736	15546	1.070270	5141
ABCF2	-0.039622	14912	0.464198	9230
ABCF3	0.211688	4713	1.686465	2061
ABCG1	0.474511	2247	1.607432	2566
ABCG2	0.163437	5272	0.271413	10824
ABCG4	0.000000	14345	0.000000	17211
ABCG5	0.000000	14344	0.000000	17210
ABCG8	0.000000	14343	0.000000	17209
ABHD1	0.000000	14342	0.000000	17208
ABHD10	0.336838	3261	1.607515	2533
ABHD11	-0.041284	14930	0.388713	9852
ABHD12	0.161882	5289	1.680768	2097
ABHD12B	0.000000	14341	0.000000	17207
ABHD13	0.471486	2271	1.513666	3158
ABHD14A	0.347716	3178	1.269264	4477
ABHD14B	0.097529	6006	1.854986	1185
ABHD15	0.048150	6478	0.388713	9851
ABHD16A	0.000000	14340	0.685071	7408
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	14339	0.564684	8385
ABHD17B	0.814722	792	1.587619	2675
ABHD17C	0.044259	6524	0.726965	7106
ABHD18	0.921395	598	1.773265	1557
ABHD2	0.013097	6795	1.712610	1875
ABHD3	0.468513	2291	1.418875	3777
ABHD4	-0.050982	15059	0.271413	10823
ABHD5	0.000000	14338	0.733804	6958
ABHD6	0.000000	14337	0.388713	9850
ABHD8	0.212791	4704	1.122517	5087
ABI1	0.234983	4425	1.298488	4420
ABI2	0.109587	5850	0.966794	5604
ABI3	0.000000	14336	0.000000	17206
ABI3BP	0.000000	14335	0.000000	17205
ABL1	0.169831	5202	0.660696	7592
ABL2	0.210715	4728	0.792279	6401
ABLIM1	0.388713	2880	0.792279	6400
ABLIM2	0.000000	14334	0.000000	17204
ABLIM3	0.000000	14333	0.000000	17203
ABO	0.806854	808	0.932700	5711
ABR	0.490052	2181	1.539719	3040
ABRA	0.000000	14332	0.000000	17202
ABRACL	0.601343	1578	1.710373	1908
ABT1	0.197633	4886	1.394500	3935
ABTB1	0.000000	14331	0.601652	8066
ABTB2	0.000781	6892	0.660696	7591
ACAA1	0.418035	2603	1.900050	1047
ACAA2	0.913917	610	1.198002	4816
ACACA	0.095777	6025	0.726965	7105
ACACB	0.472132	2264	0.792279	6399
ACAD10	-0.158671	15944	0.830906	6167
ACAD11	0.289899	3635	0.601652	8065
ACAD8	-0.481787	16807	0.726965	7104
ACAD9	0.000000	14330	1.062285	5151
ACADL	0.000000	14329	0.000000	17201
ACADM	-0.007176	14421	1.366920	4048
ACADS	0.000000	14328	0.564684	8384
ACADSB	0.000000	14327	0.388713	9849
ACADVL	0.381369	2927	2.301147	283
ACAN	0.000000	14326	0.000000	17200
