gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	755	1.851746	2755
A1CF	0.000000	17092	0.000000	17239
A2M	0.212122	10573	1.044080	9178
A2ML1	0.000000	17091	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	2607	1.305566	7007
A4GNT	0.000000	17090	0.000000	17237
AAAS	0.547094	3493	1.941064	2295
AACS	0.572172	3212	1.622835	4295
AADAC	0.921208	1180	0.921208	10033
AADACL2	0.000000	17089	0.000000	17236
AADACL3	0.000000	17088	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.360874	6667	0.930487	9981
AAED1	0.369624	6487	1.462879	5618
AAGAB	0.205522	10743	1.754223	3346
AAK1	0.288188	8548	0.949878	9872
AAMDC	0.480847	4472	1.664642	3977
AAMP	0.366441	6562	2.094716	1654
AANAT	0.045574	14464	0.045574	14941
AAR2	0.338157	7193	1.459392	5650
AARD	0.299415	8223	0.313867	13064
AARS	0.408196	5715	2.020273	1921
AARS2	0.328886	7399	1.539703	4938
AARSD1	0.448101	5014	1.647383	4111
AASDH	0.149142	12288	1.229426	7684
AASDHPPT	0.438577	5177	1.742424	3414
AASS	0.386129	6157	1.448196	5745
AATF	0.111949	13072	1.580809	4601
AATK	0.009902	15361	0.027595	15288
ABAT	0.297235	8283	1.008499	9413
ABCA1	0.540045	3574	1.933444	2324
ABCA10	0.293294	8406	0.293294	13178
ABCA12	0.052667	14224	0.052667	14761
ABCA13	0.204967	10768	0.204967	13554
ABCA2	0.436573	5214	0.887520	10301
ABCA3	0.288214	8546	1.016168	9338
ABCA4	0.045574	14463	0.045574	14940
ABCA5	0.077668	13771	0.954452	9799
ABCA6	1.068962	785	1.528136	5013
ABCA7	0.212949	10547	0.749709	11028
ABCA8	0.558100	3373	1.498896	5282
ABCA9	0.893748	1279	1.195623	7976
ABCB1	0.138284	12493	0.735957	11165
ABCB10	0.390227	6073	1.004657	9435
ABCB11	0.000000	17087	0.000000	17234
ABCB4	0.179387	11392	0.328380	13010
ABCB5	0.040191	14532	0.040191	14973
ABCB6	0.412317	5632	0.802159	10793
ABCB7	0.137134	12521	1.386571	6306
ABCB8	0.402875	5825	1.574841	4638
ABCB9	0.437697	5191	0.906751	10133
ABCC1	0.568001	3260	1.824971	2904
ABCC10	0.409095	5697	0.944483	9926
ABCC11	0.000000	17086	0.000000	17233
ABCC12	0.105477	13267	0.105477	14342
ABCC2	0.176076	11539	0.176076	13729
ABCC3	0.921708	1179	1.734036	3470
ABCC4	1.045754	834	1.528304	5010
ABCC5	0.210967	10593	1.199767	7919
ABCC6	-	19006	-	19006
ABCC8	0.178853	11458	0.178853	13720
ABCC9	0.488652	4348	0.768464	10966
ABCD1	0.562447	3317	1.515671	5128
ABCD2	0.040830	14508	0.202212	13581
ABCD3	0.175994	11541	1.340634	6716
ABCD4	0.277316	8830	1.156271	8310
ABCE1	0.293643	8396	1.812707	2967
ABCF1	0.088206	13598	1.931406	2332
ABCF2	0.479526	4486	1.854664	2741
