gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.120373	7785	1.108705	6627
A1CF	0.000000	16097	0.000000	17239
A2M	0.113882	7965	0.911292	8198
A2ML1	0.000000	16096	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.533545	1251	1.197970	5900
A4GNT	0.000000	16095	0.000000	17237
AAAS	0.186209	5811	1.580179	3090
AACS	-0.003899	16158	0.990605	7591
AADAC	0.000000	16094	0.000000	17236
AADACL2	0.000000	16093	0.000000	17235
AADACL3	0.110054	8221	0.110054	12739
AADACL4	-	19007	-	19007
AADAT	0.254548	4235	0.824160	8821
AAED1	-0.007994	16198	1.210361	5812
AAGAB	0.019961	11341	1.568662	3151
AAK1	0.311854	3233	0.854471	8622
AAMDC	0.087297	9172	1.271092	5333
AAMP	0.054804	10073	1.859570	1692
AANAT	0.000000	16092	0.000000	17234
AAR2	0.229508	4762	1.327141	4899
AARD	0.468790	1627	0.483243	10724
AARS	0.230799	4725	1.842876	1747
AARS2	0.000140	11776	1.210958	5807
AARSD1	0.257315	4177	1.587139	3035
AASDH	0.000000	16091	0.811983	8906
AASDHPPT	-0.020711	16316	1.425376	4163
AASS	0.043471	10357	0.830782	8778
AATF	-0.006675	16189	1.462185	3898
AATK	0.000000	16090	0.000000	17233
ABAT	0.137457	7337	0.784762	9088
ABCA1	0.119250	7824	1.248471	5519
ABCA10	0.110054	8220	0.110054	12738
ABCA12	0.170539	6280	0.170539	12277
ABCA13	0.149569	6898	0.149569	12422
ABCA2	0.286079	3651	0.948316	7899
ABCA3	0.036986	10690	0.712574	9512
ABCA4	0.171516	6248	0.171516	12248
ABCA5	0.037981	10665	0.424399	10990
ABCA6	0.112289	8011	0.394053	11152
ABCA7	0.176057	6071	0.718387	9483
ABCA8	0.037981	10664	0.920702	8115
ABCA9	0.016527	11428	0.318402	11490
ABCB1	0.000000	16089	0.000000	17232
ABCB10	0.053804	10100	0.896236	8302
ABCB11	0.000000	16088	0.000000	17231
ABCB4	0.000000	16087	0.000000	17230
ABCB5	0.000000	16086	0.000000	17229
ABCB6	0.335826	2900	0.739629	9356
ABCB7	0.000000	16085	1.095306	6726
ABCB8	0.116726	7895	1.140239	6373
ABCB9	0.200763	5468	0.669817	9763
ABCC1	0.369541	2468	1.266810	5373
ABCC10	0.129026	7571	0.764375	9216
ABCC11	0.000000	16084	0.000000	17228
ABCC12	0.068040	9751	0.068040	13333
ABCC2	0.000000	16083	0.000000	17227
ABCC3	0.162379	6578	0.619756	10004
ABCC4	0.235897	4631	1.056948	7062
ABCC5	0.000000	16082	0.725198	9443
ABCC6	-	19006	-	19006
ABCC8	0.000000	16081	0.000000	17226
ABCC9	0.158184	6686	0.311996	11512
ABCD1	0.161532	6600	1.114755	6576
ABCD2	0.000000	16080	0.102499	13187
ABCD3	0.170622	6265	1.172833	6094
ABCD4	0.003271	11710	1.160135	6220
ABCE1	0.131392	7500	1.650457	2645
ABCF1	0.065141	9810	1.915076	1493
ABCF2	0.301922	3392	1.729164	2262
ABCF3	0.049120	10205	1.523897	3433
ABCG1	0.102499	8806	0.263428	11769
ABCG2	0.035941	11006	0.145995	12487
ABCG4	0.020297	11327	0.035941	13756
ABCG5	0.000000	16079	0.000000	17225
ABCG8	0.000000	16078	0.000000	17224
ABHD1	0.000000	16077	0.037981	13520
ABHD10	0.093258	9024	1.227014	5699
ABHD11	0.174336	6103	1.144297	6347
ABHD12	0.088900	9135	1.607786	2898
ABHD12B	0.000000	16076	0.000000	17223
ABHD13	-0.026209	16373	1.001005	7509
ABHD14A	0.384170	2307	1.501338	3580
ABHD14B	0.403295	2137	2.160752	862
ABHD15	0.426007	1932	0.766571	9190
ABHD16A	0.000000	16075	1.262969	5407
ABHD16B	-	19005	-	19005
ABHD17A	0.201101	5456	1.127700	6475
ABHD17B	0.135519	7382	1.136161	6412
ABHD17C	-0.061943	16646	0.979449	7677
ABHD18	0.111794	8025	0.584513	10202
ABHD2	0.247020	4379	1.732605	2243
ABHD3	-0.324645	17182	0.625717	9979
ABHD4	0.541793	1211	1.821000	1836
ABHD5	0.000000	16074	1.140105	6377
ABHD6	0.000000	16073	0.514090	10575
ABHD8	0.140599	7207	1.050326	7119
ABI1	0.088811	9136	1.484053	3720
ABI2	0.342029	2817	1.402003	4331
ABI3	0.281809	3713	0.478089	10756
ABI3BP	0.728546	606	1.404886	4307
ABL1	0.416742	2026	1.316864	4966
ABL2	0.601539	965	1.269606	5346
ABLIM1	0.255572	4218	0.725198	9442
ABLIM2	0.000000	16072	0.102499	13186
ABLIM3	0.000000	16071	1.233877	5638
ABO	0.000000	16070	0.000000	17222
ABR	0.439806	1831	1.501175	3582
ABRA	0.000000	16069	0.000000	17221
ABRACL	0.064184	9832	1.512569	3498
ABT1	0.118221	7849	1.315087	4980
ABTB1	0.001083	11753	1.188939	5971
ABTB2	0.167583	6359	0.449146	10873
ACAA1	0.164154	6456	1.646170	2675
ACAA2	0.492761	1474	1.394238	4393
ACACA	0.211893	5171	1.253550	5481
ACACB	0.263428	4061	0.263428	11768
ACAD10	-0.138002	16957	0.851575	8638
ACAD11	0.113724	7971	0.580946	10225
ACAD8	-0.169703	17029	1.039049	7216
ACAD9	0.067128	9773	1.467265	3868
ACADL	0.037981	10663	0.037981	13519
ACADM	0.228566	4781	1.151368	6288
ACADS	0.171516	6247	0.819436	8860
ACADSB	0.110054	8219	0.747971	9309
ACADVL	0.241463	4476	1.857253	1699
ACAN	1.285614	85	1.338386	4824
ACAP1	0.000000	16068	0.000000	17220
ACAP2	0.033444	11055	1.460744	3910
ACAP3	0.040327	10434	0.699198	9598
ACAT1	0.182141	5908	1.701673	2393
ACAT2	0.330129	2970	1.763279	2092
ACBD3	0.081694	9323	1.935635	1415
ACBD4	0.349021	2729	0.927792	8058
ACBD5	0.158177	6687	0.596363	10149
ACBD6	0.369076	2470	1.369841	4572
ACBD7	-0.237318	17127	0.000000	17219
ACCS	0.202337	5429	0.656413	9828
ACCSL	-	19004	-	19004
ACD	0.405141	2123	1.133514	6430
ACE	0.000000	16067	0.329906	11439
ACE2	0.000000	16066	0.000000	17218
ACER1	0.000000	16065	0.000000	17217
ACER2	-0.029643	16416	0.140480	12573
ACER3	-0.147022	16980	0.971572	7729
ACHE	0.000000	16064	0.204261	12053
ACIN1	0.219619	4982	1.705942	2374
ACKR1	0.000000	16063	0.000000	17216
ACKR2	0.102499	8805	0.145995	12486
ACKR3	0.286690	3640	1.544245	3310
ACKR4	0.057745	9998	0.162379	12404
ACLY	0.507747	1375	1.802446	1914
ACMSD	0.000000	16062	0.000000	17215
ACO1	0.129842	7548	1.653783	2626
ACO2	0.012336	11520	1.773731	2050
ACOD1	0.000000	16061	0.000000	17214
ACOT1	0.408478	2097	0.460115	10833
ACOT11	0.089660	9116	0.304163	11557
ACOT12	0.000000	16060	0.000000	17213
ACOT13	0.525252	1292	1.663042	2584
ACOT2	0.378833	2356	1.399772	4350
ACOT4	0.299080	3443	0.438268	10924
ACOT6	-	19003	-	19003
ACOT7	0.361474	2574	1.487777	3694
ACOT8	0.169980	6299	1.570749	3144
ACOT9	0.151626	6834	1.700692	2397
ACOX1	-0.006274	16183	1.435500	4102
ACOX2	0.332497	2948	0.527442	10490
ACOX3	0.091577	9067	1.014935	7401
ACOXL	0.000000	16059	0.000000	17212
ACP1	0.078255	9398	1.823656	1824
ACP2	0.177046	6051	1.622876	2818
ACP5	0.000000	16058	0.171516	12247
ACP6	0.089580	9117	0.674877	9742
ACP7	-	19002	-	19002
ACPP	0.037981	10662	0.037981	13518
ACPT	-	19001	-	19001
ACR	0.000000	16057	0.000000	17211
ACRBP	0.000000	16056	0.170539	12276
ACRC	0.000000	16055	0.000000	17210
ACRV1	0.000000	16054	0.000000	17209
ACSBG1	0.000000	16053	0.000000	17208
ACSBG2	0.000000	16052	0.000000	17207
ACSF2	0.553081	1153	1.207882	5835
ACSF3	0.225138	4853	1.090231	6776
ACSL1	0.208245	5271	1.121127	6530
ACSL3	0.125557	7658	1.985440	1271
ACSL4	0.061453	9910	1.627380	2789
ACSL5	0.000000	16051	0.035941	13755
ACSL6	0.000000	16050	0.000000	17206
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16049	0.000000	17205
ACSM2B	0.000000	16048	0.000000	17204
ACSM3	0.037981	10661	0.037981	13517
ACSM4	-	18999	-	18999
ACSM5	0.000000	16047	0.000000	17203
ACSM6	0.000000	16046	0.000000	17202
ACSS1	-0.042470	16522	0.475770	10762
ACSS2	0.314581	3192	1.037635	7222
ACSS3	0.317890	3142	0.857912	8606
ACTA1	0.102499	8804	0.102499	13185
ACTA2	1.491284	41	2.865581	152
ACTB	0.565890	1106	3.933450	3
ACTBL2	0.110054	8218	0.110054	12737
ACTC1	0.102499	8803	0.196348	12091
ACTG1	0.748729	563	4.016054	1
ACTG2	1.429405	51	2.158970	867
ACTL10	0.000000	16045	0.068360	13299
ACTL6A	0.285461	3670	1.801477	1915
ACTL6B	0.102499	8802	0.102499	13184
ACTL7A	0.000000	16044	0.000000	17201
ACTL7B	0.000000	16043	0.000000	17200
ACTL8	0.035941	11005	0.035941	13754
ACTL9	0.000000	16042	0.000000	17199
ACTN1	0.520401	1312	2.676071	240
ACTN2	0.007384	11626	0.236988	11882
ACTN3	0.068040	9750	0.068040	13332
ACTN4	0.449243	1760	2.024771	1159
ACTR10	0.145671	7053	1.738215	2219
ACTR1A	0.149331	6905	2.152026	877
ACTR1B	0.197812	5540	1.488627	3687
ACTR2	0.307965	3289	2.020613	1171
ACTR3	0.449926	1756	2.603169	279
ACTR3B	0.000000	16041	0.830782	8777
ACTR3C	0.000000	16040	0.037981	13516
ACTR5	-0.084693	16758	0.712574	9511
ACTR6	0.000000	16039	0.879836	8434
ACTR8	0.274976	3836	1.392321	4411
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16038	0.000000	17198
ACTRT3	-	18997	-	18997
ACVR1	0.324011	3052	1.331709	4867
ACVR1B	-0.305222	17172	0.712508	9519
ACVR1C	0.000000	16037	0.000000	17197
ACVR2A	0.068040	9749	0.869388	8513
ACVR2B	-0.001175	16122	0.171516	12246
ACVRL1	0.102499	8801	0.466542	10801
ACY1	0.214983	5096	1.346161	4762
ACY3	0.000000	16036	0.000000	17196
ACYP1	0.000000	16035	0.828471	8799
ACYP2	0.204031	5392	0.822756	8830
ADA	0.442253	1810	1.116769	6558
ADAD1	0.000000	16034	0.000000	17195
ADAD2	0.000000	16033	0.000000	17194
ADAL	0.011737	11533	0.739670	9355
ADAM10	0.083985	9266	1.487749	3695
ADAM11	0.110054	8217	0.110054	12736
ADAM12	1.571555	23	1.850051	1722
ADAM15	0.280418	3741	1.960255	1341
ADAM17	0.116720	7896	1.292924	5159
ADAM18	0.000000	16032	0.000000	17193
ADAM19	0.494506	1462	1.504903	3551
ADAM2	0.000000	16031	0.000000	17192
ADAM20	0.000000	16030	0.000000	17191
ADAM21	0.000000	16029	0.000000	17190
ADAM22	0.000000	16028	0.251705	11815
ADAM23	0.335887	2899	0.818812	8865
ADAM28	0.000000	16027	0.000000	17189
ADAM29	0.000000	16026	0.000000	17188
