gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	60	3.183790	249
A1CF	1.898050	604	1.898050	4088
A2M	2.034971	477	3.085273	305
A2ML1	1.440274	1408	1.440274	8431
A3GALT2	-	19008	-	19008
A4GALT	0.889827	4051	1.585276	6949
A4GNT	0.000000	17234	0.000000	17239
AAAS	0.659108	6362	2.053078	3017
AACS	0.549186	7971	1.599850	6840
AADAC	1.849870	652	1.849870	4464
AADACL2	0.334228	12249	0.334228	14731
AADACL3	0.000000	17233	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.935446	3709	1.148057	11003
AAED1	0.365583	11580	1.583938	6969
AAGAB	0.376175	11311	1.924876	3884
AAK1	0.261687	13703	1.063226	11577
AAMDC	0.428475	10234	1.612271	6735
AAMP	0.351681	11870	2.156446	2446
AANAT	0.054784	16117	0.054784	16138
AAR2	0.455966	9649	1.559584	7251
AARD	0.466745	9427	0.481198	14201
AARS	0.341782	12080	1.953859	3686
AARS2	0.349064	11920	1.559882	7247
AARSD1	0.281883	13267	1.685234	5982
AASDH	0.199611	14656	1.279895	9902
AASDHPPT	0.525573	8374	1.797683	4908
AASS	0.857829	4281	1.850956	4456
AATF	0.224030	14312	1.692890	5925
AATK	0.772322	5063	0.772322	13125
ABAT	1.966422	539	2.695586	733
ABCA1	1.033994	3099	2.290881	1858
ABCA10	0.791715	4880	0.791715	13043
ABCA12	1.241181	2074	1.241181	10248
ABCA13	0.453375	9697	0.453375	14293
ABCA2	0.621805	6883	1.233276	10308
ABCA3	0.967893	3480	1.695847	5888
ABCA4	1.382427	1572	1.382427	8975
ABCA5	1.007141	3247	1.787704	4998
ABCA6	1.258738	1994	1.717912	5672
ABCA7	0.558106	7828	1.244441	10232
ABCA8	0.697072	5859	1.637868	6451
ABCA9	0.698790	5830	1.000665	11973
ABCB1	1.321562	1780	1.919235	3929
ABCB10	0.426949	10262	1.287110	9833
ABCB11	1.462847	1358	1.462847	8218
ABCB4	2.089099	431	2.238092	2057
ABCB5	2.075693	443	2.075693	2884
ABCB6	0.693925	5901	1.072617	11511
ABCB7	0.230138	14208	1.479575	8040
ABCB8	0.479861	9198	1.605155	6790
ABCB9	0.474654	9289	0.943708	12297
ABCC1	0.516155	8535	1.773125	5124
ABCC10	0.497186	8846	1.163188	10889
ABCC11	0.000000	17232	0.000000	17237
ABCC12	0.000000	17231	0.000000	17236
ABCC2	1.895464	609	1.895464	4112
ABCC3	1.487986	1295	2.214571	2169
ABCC4	0.701522	5799	1.461198	8230
ABCC5	0.477089	9236	1.465890	8191
ABCC6	-	19006	-	19006
ABCC8	0.083473	15909	0.083473	15958
ABCC9	0.854874	4311	1.154820	10953
ABCD1	0.844729	4401	1.797952	4904
ABCD2	0.248876	13919	0.410259	14441
ABCD3	0.658503	6369	1.525951	7580
ABCD4	0.488522	9027	1.316540	9549
ABCE1	0.460256	9569	1.979321	3485
ABCF1	0.286584	13189	2.136518	2530
ABCF2	0.470433	9363	1.897675	4090
ABCF3	0.284222	13231	1.758999	5271
ABCG1	0.690622	5933	1.823543	4673
ABCG2	1.584166	1084	1.692142	5934
ABCG4	0.175305	14951	0.190949	15274
ABCG5	1.281206	1910	1.281206	9889
ABCG8	1.943557	556	1.943557	3753
ABHD1	0.371188	11429	0.430360	14376
ABHD10	0.218075	14388	1.451786	8317
ABHD11	0.776366	5019	1.746327	5399
ABHD12	0.959995	3527	1.920591	3919
ABHD12B	0.138324	15370	0.138324	15561
ABHD13	0.279487	13320	1.306701	9635
ABHD14A	0.353340	11844	1.460403	8240
ABHD14B	0.539768	8141	2.297225	1835
ABHD15	0.615821	6959	0.956385	12228
ABHD16A	0.179136	14919	1.469838	8150
ABHD16B	-	19005	-	19005
ABHD17A	0.450677	9760	1.377276	9013
ABHD17B	0.371128	11433	1.264093	10052
ABHD17C	0.753026	5268	1.794418	4941
ABHD18	0.431574	10157	1.283444	9867
ABHD2	0.987422	3374	2.284792	1882
ABHD3	0.419555	10413	1.369917	9085
ABHD4	0.420640	10397	1.761129	5248
ABHD5	0.970453	3464	2.167332	2384
ABHD6	0.760997	5185	1.412124	8716
ABHD8	0.490778	8975	1.189746	10671
ABI1	0.349218	11917	1.703964	5810
ABI2	0.490575	8985	1.686325	5975
ABI3	1.416858	1483	1.613138	6727
ABI3BP	1.551463	1149	2.227803	2091
ABL1	0.724929	5548	1.523562	7602
ABL2	1.304428	1838	1.972495	3539
ABLIM1	1.352970	1667	1.888560	4174
ABLIM2	0.316179	12623	0.584239	13872
ABLIM3	1.103116	2689	1.914644	3966
ABO	0.770982	5073	0.896828	12561
ABR	1.749356	788	1.954321	3681
ABRA	0.000000	17230	0.000000	17235
ABRACL	0.943371	3643	2.200857	2228
ABT1	0.530706	8291	1.727572	5566
ABTB1	0.197762	14686	1.249208	10187
ABTB2	0.611981	7003	1.372801	9067
ACAA1	0.828290	4545	2.310306	1772
ACAA2	1.344539	1700	2.637318	838
ACACA	0.618384	6930	1.761711	5246
ACACB	2.291944	293	2.291944	1855
ACAD10	0.372121	11403	1.361698	9155
ACAD11	1.302451	1847	1.967887	3573
ACAD8	0.383381	11165	1.592133	6888
ACAD9	0.212447	14473	1.612585	6733
ACADL	1.079508	2832	1.100519	11320
ACADM	0.734189	5462	2.108285	2681
ACADS	1.308074	1825	2.195709	2252
ACADSB	1.254113	2017	2.263359	1954
ACADVL	0.746495	5332	2.623465	873
ACAN	0.490907	8970	0.567089	13929
ACAP1	0.314410	12658	0.426511	14400
ACAP2	0.308241	12787	1.743628	5419
ACAP3	0.375785	11320	1.074244	11503
ACAT1	1.504189	1260	3.050147	329
ACAT2	1.075029	2849	2.508179	1126
ACBD3	0.215683	14426	2.069624	2921
ACBD4	0.815415	4655	1.524261	7594
ACBD5	0.911873	3899	1.478420	8050
ACBD6	0.471511	9345	1.556465	7276
ACBD7	0.676368	6117	0.913686	12469
ACCS	0.848107	4375	1.313014	9580
ACCSL	-	19004	-	19004
ACD	0.827108	4558	1.743925	5417
ACE	1.212897	2196	1.659414	6223
ACE2	0.489958	8995	0.489958	14174
ACER1	0.479438	9203	0.479438	14213
ACER2	0.625923	6827	0.942460	12311
ACER3	0.635340	6694	1.753934	5324
ACHE	0.837361	4469	1.229170	10339
ACIN1	0.430456	10184	1.990825	3415
ACKR1	0.343768	12039	0.343768	14698
ACKR2	1.375693	1588	1.375693	9022
ACKR3	1.098175	2723	2.442272	1320
ACKR4	1.098071	2724	1.202706	10560
ACLY	0.947925	3606	2.242624	2038
ACMSD	1.525154	1210	1.525154	7586
ACO1	0.689013	5957	2.212954	2176
ACO2	0.345726	11994	2.107121	2687
ACOD1	0.000000	17229	0.000000	17234
ACOT1	0.633982	6716	0.685619	13478
ACOT11	0.680277	6061	0.926256	12406
ACOT12	1.433799	1430	1.433799	8495
ACOT13	0.786307	4933	1.972572	3538
ACOT2	0.747708	5315	1.722759	5620
ACOT4	0.357888	11760	0.497076	14148
ACOT6	-	19003	-	19003
ACOT7	1.749891	786	1.922583	3906
ACOT8	0.367532	11521	1.768301	5177
ACOT9	0.435868	10063	1.984933	3452
ACOX1	0.758327	5212	2.200101	2231
