gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.068230	7821	0.696355	9561
A1CF	0.000000	15895	0.000000	17239
A2M	0.000000	15894	0.166681	12170
A2ML1	0.012475	11892	0.012475	14507
A3GALT2	-	19008	-	19008
A4GALT	-0.228730	17134	0.435695	10931
A4GNT	0.000000	15893	0.000000	17238
AAAS	0.170567	4249	1.564537	2625
AACS	0.324358	1951	1.375022	4016
AADAC	0.000000	15892	0.000000	17237
AADACL2	0.000000	15891	0.000000	17236
AADACL3	0.000000	15890	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.419407	1356	0.989020	7406
AAED1	0.052945	8588	1.114257	6318
AAGAB	0.235073	2966	1.783774	1485
AAK1	0.131519	5357	0.738581	9273
AAMDC	0.016106	10881	1.199901	5572
AAMP	0.099414	6499	1.677276	1967
AANAT	0.049143	8805	0.049143	13243
AAR2	0.074068	7551	1.068969	6728
AARD	0.021984	10687	0.036436	13485
AARS	-0.126143	16968	1.485934	3162
AARS2	-0.007216	16025	1.203601	5542
AARSD1	0.140887	5044	1.489791	3130
AASDH	0.041262	9274	1.106445	6393
AASDHPPT	0.112654	5990	1.629254	2239
AASS	0.098433	6545	1.150951	5963
AATF	-0.023543	16279	1.445318	3464
AATK	0.012475	11891	0.012475	14506
ABAT	0.047728	8870	0.453616	10854
ABCA1	0.000000	15889	0.613757	10047
ABCA10	0.033457	9737	0.033457	13571
ABCA12	0.012475	11890	0.012475	14505
ABCA13	0.036436	9542	0.036436	13484
ABCA2	0.023961	10610	0.505485	10587
ABCA3	0.098375	6547	0.725047	9366
ABCA4	0.494629	1030	0.494629	10642
ABCA5	0.041262	9273	0.647377	9882
ABCA6	0.000000	15888	0.000000	17234
ABCA7	0.031083	9836	0.668789	9741
ABCA8	0.000000	15887	0.023961	13937
ABCA9	0.000000	15886	0.053738	13157
ABCB1	0.544890	867	1.142563	6054
ABCB10	0.167196	4320	0.759898	9135
ABCB11	0.000000	15885	0.000000	17233
ABCB4	0.574181	791	0.723174	9381
ABCB5	0.041262	9272	0.041262	13422
ABCB6	0.000000	15884	0.238029	11802
ABCB7	0.062887	8106	1.312324	4541
ABCB8	-0.062911	16646	1.109056	6367
ABCB9	0.060979	8202	0.470115	10784
ABCC1	0.097484	6586	1.256022	5079
ABCC10	0.100170	6472	0.767713	9082
ABCC11	0.000000	15883	0.000000	17232
ABCC12	0.000000	15882	0.000000	17231
ABCC2	0.000000	15881	0.000000	17230
ABCC3	0.387974	1506	1.200302	5568
ABCC4	0.136426	5184	0.982859	7450
ABCC5	0.043727	9033	0.990192	7399
ABCC6	-	19006	-	19006
ABCC8	0.000000	15880	0.000000	17229
ABCC9	0.000000	15879	0.000000	17228
ABCD1	0.211719	3346	1.164942	5853
ABCD2	0.033495	9686	0.194878	12021
ABCD3	0.091860	6788	1.256499	5075
ABCD4	0.102808	6372	1.212393	5455
ABCE1	0.181624	3998	1.700689	1860
ABCF1	0.066682	7875	1.711585	1813
ABCF2	0.001640	12194	1.423175	3623
ABCF3	-0.153263	17031	1.321515	4460
ABCG1	0.000000	15878	0.045932	13287
ABCG2	0.012475	11889	0.036436	13483
ABCG4	0.061354	8188	0.076999	12877
ABCG5	0.000000	15877	0.000000	17227
ABCG8	0.000000	15876	0.000000	17226
ABHD1	0.000000	15875	0.036436	13482
ABHD10	0.152608	4701	1.343609	4290
ABHD11	0.047625	8876	0.957270	7661
ABHD12	0.030108	9869	1.548994	2728
ABHD12B	0.000000	15874	0.000000	17225
ABHD13	-0.089008	16821	0.938206	7792
ABHD14A	0.050355	8742	1.072586	6698
ABHD14B	-0.102036	16879	1.655421	2093
