gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.199231	6559	1.190232	6765
A1CF	0.000000	16470	0.000000	17239
A2M	0.153809	7729	1.086900	7600
A2ML1	0.000000	16469	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.726633	1064	1.391058	5056
A4GNT	0.000000	16468	0.000000	17237
AAAS	0.370323	3399	1.764293	2389
AACS	0.214027	6197	1.264691	6141
AADAC	0.031141	11827	0.031141	13713
AADACL2	0.000000	16467	0.000000	17236
AADACL3	0.000000	16466	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.077337	10153	0.429288	11157
AAED1	0.137786	8153	1.356141	5345
AAGAB	-0.003345	16499	1.545356	3818
AAK1	0.239208	5649	1.063226	7755
AAMDC	0.428475	2746	1.612271	3307
AAMP	0.276625	4846	1.932222	1648
AANAT	0.000000	16465	0.000000	17234
AAR2	0.367915	3433	1.263972	6147
AARD	0.000000	16464	0.000000	17233
AARS	0.031128	11828	1.643205	3086
AARS2	0.155862	7657	1.366679	5251
AARSD1	0.140377	8084	1.553211	3762
AASDH	0.027595	12003	0.959667	8451
AASDHPPT	0.305445	4349	1.545840	3814
AASS	0.334983	3872	1.397050	4992
AATF	0.092841	9668	1.561701	3689
AATK	0.111146	9063	0.128839	12600
ABAT	0.004817	12638	0.383949	11338
ABCA1	0.000000	16463	0.878288	8966
ABCA10	0.000000	16462	0.000000	17232
ABCA12	0.012475	12534	0.012475	14099
ABCA13	0.000000	16461	0.000000	17231
ABCA2	0.181879	6975	0.960774	8442
ABCA3	0.912124	661	1.640079	3108
ABCA4	1.382427	190	1.382427	5120
ABCA5	0.094922	9618	1.075794	7667
ABCA6	0.548558	1812	1.007732	8150
ABCA7	0.000000	16460	0.828205	9302
ABCA8	0.048975	11085	0.640676	10261
ABCA9	0.088273	9770	0.112793	12693
ABCB1	0.394741	3121	0.721838	9888
ABCB10	0.289332	4620	1.149493	7094
ABCB11	0.000000	16459	0.000000	17230
ABCB4	0.048975	11084	0.050763	13309
ABCB5	0.000000	16458	0.000000	17229
ABCB6	0.248315	5425	0.544274	10704
ABCB7	0.081838	10000	1.320246	5663
ABCB8	0.255619	5268	1.320086	5665
ABCB9	0.347076	3691	0.799187	9464
ABCC1	0.351410	3628	1.608380	3333
ABCC10	0.188373	6824	0.855916	9129
ABCC11	0.000000	16457	0.000000	17228
ABCC12	0.000000	16456	0.000000	17227
ABCC2	0.039068	11419	0.039068	13454
ABCC3	0.157310	7619	0.969638	8390
ABCC4	0.312198	4241	1.203229	6655
ABCC5	0.239765	5635	0.948211	8527
ABCC6	-	19006	-	19006
ABCC8	0.000000	16455	0.000000	17226
ABCC9	0.000000	16454	0.000000	17225
ABCD1	0.379926	3296	1.333150	5553
ABCD2	0.000000	16453	0.000000	17224
ABCD3	0.008651	12582	1.173291	6889
ABCD4	0.411419	2922	1.305854	5794
ABCE1	0.272117	4914	1.791182	2251
ABCF1	0.093022	9662	1.942956	1609
ABCF2	0.470433	2358	1.897675	1788
ABCF3	0.065416	10563	1.540193	3868
ABCG1	0.690622	1167	1.823543	2103
ABCG2	0.292249	4560	0.407198	11242
ABCG4	0.141332	8055	0.156977	12313
ABCG5	0.000000	16452	0.000000	17223
ABCG8	0.000000	16451	0.000000	17222
ABHD1	0.000000	16450	0.057729	13227
ABHD10	0.143120	8001	1.413797	4841
ABHD11	0.155410	7672	1.125371	7289
ABHD12	0.000000	16449	1.484071	4282
ABHD12B	0.048709	11162	0.048709	13387
ABHD13	0.022788	12224	1.064968	7742
ABHD14A	0.136271	8199	1.075458	7670
ABHD14B	0.006161	12619	1.763619	2393
ABHD15	0.109908	9100	0.450472	11068
ABHD16A	0.113900	8982	1.331076	5568
ABHD16B	-	19005	-	19005
ABHD17A	0.093707	9644	1.020306	8053
ABHD17B	0.263450	5099	1.264093	6145
ABHD17C	0.231377	5807	1.226520	6469
ABHD18	0.159746	7541	0.971504	8381
ABHD2	0.000601	12709	1.533167	3922
ABHD3	0.007757	12597	0.958119	8468
ABHD4	0.233545	5767	1.369852	5228
ABHD5	0.070582	10307	1.267461	6112
ABHD6	0.048709	11161	0.714082	9920
ABHD8	0.135241	8225	0.870087	9019
ABI1	0.099539	9409	1.502427	4150
ABI2	0.283343	4718	1.602889	3368
ABI3	1.416858	175	1.613138	3300
ABI3BP	0.936891	622	1.613232	3299
ABL1	0.724929	1071	1.093964	7539
ABL2	0.920963	645	1.589030	3462
ABLIM1	0.982533	542	1.332698	5559
ABLIM2	0.316179	4169	0.584239	10531
ABLIM3	0.619182	1436	1.578284	3549
ABO	0.130312	8433	0.227562	11954
ABR	0.295274	4524	1.356643	5338
ABRA	0.000000	16448	0.000000	17221
ABRACL	0.675468	1225	1.892351	1806
ABT1	0.237949	5670	1.434816	4657
ABTB1	0.048709	11160	1.087664	7589
ABTB2	-0.270632	17177	0.264029	11799
ACAA1	0.076727	10174	1.542821	3846
ACAA2	0.428383	2750	1.145952	7121
ACACA	0.385870	3223	1.529197	3953
ACACB	0.096678	9561	0.239709	11904
ACAD10	-0.192283	17120	0.797295	9474
ACAD11	0.143216	7999	0.808653	9407
ACAD8	-0.025505	16676	1.183247	6821
ACAD9	0.134374	8295	1.500408	4164
ACADL	0.000000	16447	0.000000	17220
ACADM	0.104110	9276	1.478206	4335
ACADS	0.388228	3195	1.275863	6051
ACADSB	0.000165	12718	1.009411	8144
ACADVL	0.182617	6961	1.972215	1489
ACAN	0.079349	10095	0.098888	12769
ACAP1	0.000000	16446	0.031141	13712
ACAP2	0.115193	8936	1.611775	3309
ACAP3	0.097047	9508	0.664148	10158
ACAT1	0.091140	9711	1.763277	2397
ACAT2	0.609178	1474	2.042328	1266
ACBD3	-0.019388	16636	1.834554	2060
ACBD4	0.124562	8690	0.833408	9267
ACBD5	0.113514	8998	0.649416	10220
ACBD6	0.471511	2349	1.465245	4418
ACBD7	0.482943	2260	0.720261	9897
ACCS	0.101318	9343	0.441064	11113
ACCSL	-	19004	-	19004
ACD	0.382399	3272	1.299216	5852
ACE	1.118818	367	1.565336	3656
ACE2	0.000000	16445	0.000000	17219
ACER1	0.000000	16444	0.000000	17218
ACER2	0.212338	6244	0.528875	10763
ACER3	0.147945	7874	1.266540	6123
ACHE	0.488499	2221	0.880308	8955
ACIN1	0.258597	5210	1.967778	1512
ACKR1	0.068360	10423	0.068360	13046
ACKR2	0.156607	7642	0.156607	12321
ACKR3	0.299913	4445	1.644011	3082
ACKR4	0.489641	2208	0.594275	10488
ACLY	0.690343	1169	1.985042	1437
ACMSD	0.000000	16443	0.000000	17217
ACO1	0.244787	5515	1.768728	2360
ACO2	0.012475	12533	1.759950	2412
ACOD1	0.000000	16442	0.000000	17216
ACOT1	0.134374	8294	0.134374	12457
ACOT11	0.216827	6134	0.357979	11420
ACOT12	0.000000	16441	0.000000	17215
