gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	3073	1.607366	4883
A1CF	0.000000	17108	0.000000	17239
A2M	0.958170	1647	1.633916	4637
A2ML1	1.402223	619	1.402223	6750
A3GALT2	-	19008	-	19008
A4GALT	0.889827	1941	1.585276	5062
A4GNT	0.000000	17107	0.000000	17238
AAAS	0.525083	4796	1.919053	2659
AACS	0.439001	6135	1.479664	6016
AADAC	1.792524	224	1.792524	3444
AADACL2	0.000000	17106	0.000000	17237
AADACL3	0.000000	17105	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.194563	11597	0.764176	11517
AAED1	0.365583	7747	1.583938	5077
AAGAB	0.257779	10205	1.806480	3330
AAK1	0.416641	6694	1.063226	9660
AAMDC	0.428475	6327	1.612271	4845
AAMP	0.284975	9588	2.089741	1839
AANAT	0.000000	17104	0.000000	17235
AAR2	0.367915	7685	1.329971	7437
AARD	0.126629	12897	0.141082	13837
AARS	0.277600	9771	1.889677	2825
AARS2	0.214618	11146	1.425435	6560
AARSD1	0.178835	11923	1.591669	5011
AASDH	0.199611	11483	1.279895	7843
AASDHPPT	0.305445	9115	1.776629	3550
AASS	0.334983	8408	1.397050	6832
AATF	0.224030	10958	1.692890	4191
AATK	0.111146	13154	0.128839	13945
ABAT	0.594720	3985	1.323884	7484
ABCA1	0.194744	11591	1.588144	5038
ABCA10	0.117764	13061	0.117764	14045
ABCA12	0.993008	1526	0.993008	10130
ABCA13	0.117764	13060	0.117764	14044
ABCA2	0.181879	11856	0.960774	10305
ABCA3	0.912124	1851	1.640079	4589
ABCA4	1.382427	650	1.382427	6955
ABCA5	0.220403	11034	1.075794	9575
ABCA6	0.924634	1786	1.383808	6945
ABCA7	0.558106	4405	1.032540	9833
ABCA8	0.535165	4677	1.475962	6073
ABCA9	0.887335	1948	1.189209	8686
ABCB1	0.394741	7086	0.721838	11653
ABCB10	0.289332	9480	1.149493	8969
ABCB11	0.000000	17103	0.000000	17234
ABCB4	0.048975	14163	0.050763	14608
ABCB5	0.214846	11138	0.214846	13553
ABCB6	0.718672	2902	0.955688	10424
ABCB7	0.230138	10842	1.479575	6017
ABCB8	0.425505	6378	1.421652	6587
ABCB9	0.347076	8122	0.799187	11253
ABCC1	0.557456	4415	1.608380	4875
ABCC10	0.329699	8532	0.911124	10674
ABCC11	0.000000	17102	0.000000	17233
ABCC12	0.000000	17101	0.000000	17232
ABCC2	0.041501	14262	0.041501	14663
ABCC3	0.916007	1830	1.728335	3937
ABCC4	0.380345	7420	1.271377	7986
ABCC5	0.239765	10642	1.180767	8750
ABCC6	-	19006	-	19006
ABCC8	0.000000	17100	0.000000	17231
ABCC9	0.289329	9481	0.454264	12664
ABCD1	0.379926	7428	1.333150	7418
ABCD2	0.245074	10496	0.406457	13004
ABCD3	0.114427	13108	1.173291	8796
ABCD4	0.411419	6785	1.305854	7654
ABCE1	0.460256	5791	1.979321	2355
ABCF1	0.286584	9520	2.136518	1662
ABCF2	0.470433	5619	1.897675	2776
ABCF3	0.071503	13800	1.546280	5438
ABCG1	0.690622	3079	1.823543	3220
ABCG2	0.404734	6893	0.519683	12471
ABCG4	0.141332	12589	0.156977	13785
ABCG5	0.000000	17099	0.000000	17230
ABCG8	0.000000	17098	0.000000	17229
ABHD1	0.023005	14674	0.082176	14322
ABHD10	0.143120	12549	1.413797	6644
ABHD11	0.294917	9345	1.168148	8833
ABHD12	0.128301	12876	1.647187	4538
ABHD12B	0.138324	12639	0.138324	13842
ABHD13	0.174432	12015	1.216612	8436
ABHD14A	0.467644	5668	1.397732	6822
ABHD14B	0.539768	4629	2.297225	1178
ABHD15	0.109908	13169	0.450472	12676
ABHD16A	0.131729	12783	1.422431	6585
ABHD16B	-	19005	-	19005
ABHD17A	0.401593	6943	1.133998	9124
ABHD17B	0.376779	7504	1.264093	8030
