gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.530322	1111	1.435772	3575
A1CF	0.000000	15294	0.000000	17239
A2M	0.958170	324	1.633916	2413
A2ML1	0.000000	15293	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.140221	5159	0.835670	8098
A4GNT	0.000000	15292	0.000000	17237
AAAS	0.177940	4323	1.314100	4403
AACS	0.193374	3996	1.244038	4945
AADAC	1.792524	42	1.792524	1704
AADACL2	0.000000	15291	0.000000	17236
AADACL3	0.000000	15290	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.156419	4771	0.429098	10473
AAED1	0.210770	3675	1.391267	3876
AAGAB	0.198968	3877	1.747669	1897
AAK1	0.000777	10287	0.668583	9143
AAMDC	0.421385	1609	1.605180	2547
AAMP	0.104411	6136	1.764266	1837
AANAT	0.000000	15289	0.000000	17234
AAR2	0.084102	6837	1.205338	5251
AARD	0.082226	6880	0.096678	12360
AARS	-0.238458	17003	1.373619	3985
AARS2	-0.185839	16865	1.024979	6688
AARSD1	0.176096	4353	1.373994	3980
AASDH	0.000000	15288	0.951512	7266
AASDHPPT	0.144022	5064	1.571603	2740
AASS	-0.083164	16303	0.935307	7383
AATF	-0.132372	16637	1.336488	4253
AATK	0.008701	10066	0.026394	13253
ABAT	0.594720	905	1.323884	4336
ABCA1	0.194744	3975	1.588144	2634
ABCA10	0.037981	8616	0.037981	13104
ABCA12	0.013798	9908	0.013798	13648
ABCA13	0.000000	15287	0.000000	17233
ABCA2	0.051950	7861	0.647882	9267
ABCA3	0.000000	15286	0.549001	9831
ABCA4	0.013798	9907	0.013798	13647
ABCA5	0.064375	7478	1.046151	6529
ABCA6	0.659963	728	1.119138	5972
ABCA7	0.004541	10172	0.484761	10171
ABCA8	0.406434	1693	1.347230	4178
ABCA9	0.399038	1738	0.399038	10618
ABCB1	0.329745	2201	0.386987	10663
ABCB10	-0.018364	15599	0.514986	10013
ABCB11	0.000000	15285	0.000000	17232
ABCB4	0.000000	15284	0.000000	17231
ABCB5	0.214846	3604	0.214846	11575
ABCB6	0.350875	2041	0.587891	9624
ABCB7	0.000000	15283	1.092078	6177
ABCB8	0.425505	1585	1.362418	4074
ABCB9	0.054424	7797	0.523478	9973
ABCC1	0.143478	5074	1.375658	3969
ABCC10	0.243581	3184	0.911124	7551
ABCC11	0.000000	15282	0.000000	17230
ABCC12	0.000000	15281	0.000000	17229
ABCC2	0.000000	15280	0.000000	17228
ABCC3	0.698539	648	1.510867	3110
ABCC4	0.035373	8683	0.804965	8283
ABCC5	0.191967	4018	1.180767	5434
ABCC6	-	19006	-	19006
ABCC8	0.000000	15279	0.000000	17227
ABCC9	0.000000	15278	0.013798	13646
ABCD1	0.090614	6645	0.888063	7728
ABCD2	0.245074	3159	0.406457	10580
ABCD3	-0.030632	15793	1.134007	5844
ABCD4	0.079970	6956	1.013588	6796
ABCE1	0.081433	6907	1.600497	2571
ABCF1	0.124777	5559	1.787998	1728
ABCF2	0.212316	3643	1.352258	4139
ABCF3	0.034643	8708	1.509421	3117
ABCG1	0.000000	15277	0.076816	12580
ABCG2	0.404734	1702	0.519683	9997
ABCG4	0.010749	9997	0.026394	13252
ABCG5	0.000000	15276	0.000000	17226
ABCG8	0.000000	15275	0.000000	17225
ABHD1	0.000000	15274	0.013798	13645
ABHD10	-0.047532	15986	1.099167	6123
ABHD11	0.075724	7105	0.916873	7504
ABHD12	0.000000	15273	1.489474	3240
ABHD12B	0.138324	5204	0.138324	12068
ABHD13	0.174432	4394	1.216612	5172
ABHD14A	0.112270	5888	1.229438	5058
ABHD14B	-0.117422	16547	1.640035	2391
ABHD15	0.013798	9906	0.304322	11089
ABHD16A	0.131729	5374	1.422431	3647
ABHD16B	-	19005	-	19005
ABHD17A	0.096755	6312	0.947541	7299
ABHD17B	0.084180	6835	0.995880	6930
ABHD17C	-0.108032	16491	0.675273	9096
ABHD18	-0.014453	15528	0.664157	9173
ABHD2	0.000000	15272	1.454690	3466
ABHD3	-0.105145	16468	0.845218	8038
ABHD4	0.420640	1613	1.761129	1853
ABHD5	0.374988	1882	1.125734	5909
ABHD6	0.107191	6023	0.767915	8520
ABHD8	0.232959	3341	1.142685	5765
ABI1	0.055019	7774	1.411911	3713
ABI2	0.232759	3344	1.390824	3882
ABI3	0.000000	15271	0.000000	17224
ABI3BP	0.628060	813	1.304400	4491
ABL1	0.281452	2694	1.282964	4658
ABL2	0.799335	488	1.467401	3375
ABLIM1	0.104836	6088	0.666411	9157
ABLIM2	0.000000	15270	0.048709	12867
ABLIM3	0.000000	15269	0.865445	7883
ABO	0.106021	6071	0.207363	11621
ABR	0.661683	722	1.216212	5175
ABRA	0.000000	15268	0.000000	17223
ABRACL	0.397322	1747	1.808562	1646
ABT1	-0.095209	16398	1.101657	6107
