gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	5075	0.930239	7781
A1CF	0.000000	15571	0.000000	17239
A2M	0.000000	15570	0.000000	17238
A2ML1	0.572755	1939	0.572755	10225
A3GALT2	-	19008	-	19008
A4GALT	0.358220	3768	1.053669	6891
A4GNT	0.000000	15569	0.000000	17237
AAAS	0.591843	1820	1.985813	1507
AACS	0.429316	3063	1.479980	3873
AADAC	0.419425	3147	0.419425	11028
AADACL2	0.000000	15568	0.000000	17236
AADACL3	0.000000	15567	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.056926	9156	0.580566	10167
AAED1	-0.003587	15617	1.123450	6350
AAGAB	0.013937	10630	1.562638	3389
AAK1	0.114827	7824	0.613011	9951
AAMDC	0.258742	5072	1.442537	4114
AAMP	0.351681	3848	2.156446	1038
AANAT	0.000000	15566	0.000000	17234
AAR2	0.361808	3737	1.413212	4300
AARD	0.000000	15565	0.000000	17233
AARS	0.263542	5018	1.875619	1882
AARS2	0.305916	4427	1.516733	3654
AARSD1	0.216920	5716	1.610259	3125
AASDH	0.000000	15564	0.693913	9447
AASDHPPT	0.094514	8213	1.409506	4326
AASS	0.027531	10316	0.804983	8708
AATF	0.056218	9171	1.525078	3601
AATK	0.048455	9634	0.048455	13579
ABAT	0.172510	6460	0.395850	11164
ABCA1	0.000000	15563	1.099693	6527
ABCA10	0.045574	9829	0.045574	13684
ABCA12	0.437354	2978	0.437354	10976
ABCA13	0.173101	6454	0.173101	12412
ABCA2	0.115224	7817	0.419132	11051
ABCA3	0.115224	7816	0.818001	8609
ABCA4	0.115224	7815	0.115224	12966
ABCA5	0.000000	15562	0.289377	11740
ABCA6	0.000000	15561	0.048455	13578
ABCA7	0.356869	3783	1.192428	5874
ABCA8	0.000000	15560	0.148333	12596
ABCA9	0.048455	9633	0.048455	13577
ABCB1	0.000000	15559	0.000000	17232
ABCB10	0.209625	5810	0.815264	8636
ABCB11	0.000000	15558	0.000000	17231
ABCB4	0.000000	15557	0.000000	17230
ABCB5	0.000000	15556	0.000000	17229
ABCB6	0.573815	1933	0.952507	7624
