gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.443856	4443	1.323924	6380
A1CF	0.000000	16325	0.000000	17239
A2M	0.000000	16324	0.000000	17238
A2ML1	0.000000	16323	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.552317	17184	0.143132	12181
A4GNT	0.000000	16322	0.000000	17236
AAAS	0.146523	8943	1.539701	4525
AACS	0.096348	9904	1.042221	8386
AADAC	0.000000	16321	0.000000	17235
AADACL2	0.000000	16320	0.000000	17234
AADACL3	0.000000	16319	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	16318	0.000000	17232
AAED1	0.264533	6942	1.482888	5001
AAGAB	0.189089	8194	1.737790	2867
AAK1	0.760778	2020	1.490092	4941
AAMDC	0.387164	5127	0.658915	10222
AAMP	0.441341	4469	1.585156	4113
AANAT	0.000000	16317	0.000000	17231
AAR2	0.218937	7702	1.340172	6239
AARD	0.034002	11763	0.048455	13191
AARS	-0.327298	17119	1.172855	7549
AARS2	0.295082	6455	1.505899	4799
AARSD1	0.173730	8455	1.586563	4097
AASDH	0.296245	6438	1.376529	5933
AASDHPPT	0.193922	8102	1.618710	3807
AASS	0.247285	7221	0.860126	9398
AATF	0.318950	6096	1.787810	2511
AATK	0.052146	10846	0.069838	12709
ABAT	0.304745	6301	1.028125	8481
ABCA1	0.108224	9650	1.129087	7833
ABCA10	0.000000	16316	0.000000	17230
ABCA12	0.034601	11759	0.034601	13759
ABCA13	0.181806	8313	0.181806	11955
ABCA2	0.769347	1976	1.159190	7649
ABCA3	0.001686	13126	0.630353	10323
ABCA4	0.034601	11758	0.034601	13758
ABCA5	0.393283	5035	1.425718	5500
ABCA6	0.000000	16315	0.034601	13757
ABCA7	0.885138	1529	1.720697	3018
ABCA8	0.000000	16314	0.000000	17229
ABCA9	0.034601	11757	0.034601	13756
ABCB1	1.199955	815	1.797628	2458
ABCB10	0.355293	5586	1.163522	7621
ABCB11	0.000000	16313	0.000000	17228
ABCB4	0.000000	16312	0.017693	14456
ABCB5	0.000000	16311	0.000000	17227
ABCB6	0.154582	8804	0.461799	10888
ABCB7	0.221373	7656	1.470811	5102
ABCB8	0.518083	3699	1.374505	5948
ABCB9	0.191851	8142	0.570440	10528
ABCC1	0.465327	4213	1.722297	3004
ABCC10	0.381571	5216	0.975941	8784
ABCC11	0.000000	16310	0.000000	17226
ABCC12	0.000000	16309	0.000000	17225
ABCC2	0.000000	16308	0.000000	17224
ABCC3	0.000000	16307	0.273271	11555
ABCC4	0.110866	9578	1.001898	8644
ABCC5	0.150333	8879	1.139134	7763
ABCC6	-	19006	-	19006
ABCC8	0.034601	11756	0.034601	13755
ABCC9	0.000000	16306	0.000000	17223
ABCD1	0.048455	11053	0.966280	8831
ABCD2	1.451098	499	1.612481	3856
ABCD3	0.457910	4289	1.127561	7838
ABCD4	0.641429	2699	1.473335	5083
ABCE1	0.284458	6649	1.803523	2424
ABCF1	0.173934	8448	1.928322	1768
ABCF2	0.001662	13127	1.428065	5471
ABCF3	0.100986	9822	1.575764	4206
ABCG1	0.813548	1793	1.946469	1668
ABCG2	0.078930	10218	0.171671	12007
ABCG4	0.000000	16305	0.000000	17222
ABCG5	0.000000	16304	0.000000	17221
ABCG8	0.000000	16303	0.000000	17220
ABHD1	0.227220	7565	0.286391	11501
ABHD10	0.184329	8268	1.455006	5228
ABHD11	0.253299	7121	1.223260	7165
ABHD12	0.036863	11500	1.356126	6098
ABHD12B	0.034601	11755	0.034601	13754
ABHD13	0.493969	3929	1.521183	4683
ABHD14A	0.354313	5597	1.471481	5096
ABHD14B	0.195154	8077	1.952612	1647
ABHD15	0.496611	3897	0.837175	9514
ABHD16A	0.253787	7109	1.365955	6016
ABHD16B	-	19005	-	19005
ABHD17A	1.041505	1126	1.041505	8394
ABHD17B	0.593806	3053	1.277671	6722
ABHD17C	-0.044524	16621	0.670864	10169
ABHD18	0.741272	2122	1.593142	4044
ABHD2	0.061051	10648	1.685474	3292
ABHD3	0.654895	2611	1.605257	3923
ABHD4	0.038454	11363	1.347288	6169
ABHD5	0.053726	10825	1.104321	8006
ABHD6	0.054193	10814	0.746094	9898
ABHD8	-0.028888	16524	0.838956	9502
ABI1	0.609529	2939	1.889424	1975
ABI2	0.110208	9610	1.348603	6161
ABI3	1.384871	583	1.890019	1970
ABI3BP	0.000000	16302	0.000000	17219
ABL1	0.421376	4702	0.604650	10414
ABL2	0.234737	7433	0.930477	9042
ABLIM1	1.564855	420	2.288374	687
ABLIM2	0.234448	7440	0.502508	10735
ABLIM3	0.015108	12806	0.507711	10726
ABO	0.354651	5591	0.480497	10819
ABR	0.337268	5831	1.386934	5831
ABRA	0.000000	16301	0.000000	17218
ABRACL	1.071315	1049	2.180346	891
ABT1	0.687971	2401	1.884837	1997
ABTB1	0.747594	2087	1.935449	1736
ABTB2	0.013681	12829	0.774502	9773
ACAA1	0.456037	4305	1.658616	3501
ACAA2	1.590909	395	2.008795	1433
ACACA	0.109677	9620	1.253004	6932
ACACB	0.462851	4237	0.571065	10526
ACAD10	0.191914	8139	1.181492	7469
ACAD11	0.519477	3691	0.852923	9429
ACAD8	0.186290	8239	1.395042	5758
ACAD9	0.166078	8564	1.566216	4294
ACADL	0.015108	12805	0.015108	14559
ACADM	0.111749	9561	1.438062	5361
ACADS	0.342346	5772	1.229981	7116
ACADSB	0.298213	6408	1.307459	6506
ACADVL	0.492712	3941	1.669900	3415
ACAN	0.000000	16300	0.034601	13753
ACAP1	1.969286	179	2.081388	1190
ACAP2	1.034524	1144	1.748984	2773
ACAP3	0.132524	9164	0.769802	9796
ACAT1	0.042368	11252	1.648030	3573
ACAT2	0.207102	7863	1.562669	4324
ACBD3	0.045470	11182	1.899412	1925
ACBD4	0.806817	1809	1.219095	7190
ACBD5	0.352135	5627	1.032654	8448
ACBD6	0.391998	5060	1.345902	6182
ACBD7	0.158839	8696	0.396157	11134
ACCS	0.604329	2971	0.899026	9191
ACCSL	-	19004	-	19004
ACD	0.871406	1579	1.177054	7513
ACE	0.114705	9503	0.561223	10558
ACE2	0.000000	16299	0.000000	17217
ACER1	0.000000	16298	0.000000	17216
ACER2	0.111411	9568	0.427948	11004
ACER3	-0.197754	17015	0.920840	9093
ACHE	0.046626	11168	0.285922	11503
ACIN1	0.333836	5882	2.177412	900
ACKR1	0.034601	11754	0.034601	13752
ACKR2	0.111611	9565	0.344262	11325
ACKR3	0.113213	9528	0.210230	11825
ACKR4	0.000000	16297	0.025182	14064
ACLY	0.041918	11260	1.384960	5847
ACMSD	0.000000	16296	0.000000	17215
ACO1	-0.515266	17181	1.008675	8597
ACO2	0.055772	10787	1.667789	3429
ACOD1	0.000000	16295	0.000000	17214
ACOT1	0.000000	16294	0.000000	17213
ACOT11	0.050841	10866	0.247683	11658
ACOT12	0.000000	16293	0.000000	17212
ACOT13	0.178540	8367	1.365131	6019
ACOT2	0.225211	7595	1.243127	7007
ACOT4	0.731139	2172	0.870327	9357
ACOT6	-	19003	-	19003
ACOT7	0.350096	5657	1.069316	8230
ACOT8	0.194616	8088	1.595386	4021
ACOT9	0.126755	9268	1.557274	4363
ACOX1	0.111352	9569	1.263419	6842
ACOX2	0.017356	12679	0.048455	13190
ACOX3	0.215997	7738	0.882996	9278
ACOXL	0.015108	12804	0.015108	14558
ACP1	0.188410	8208	1.995742	1475
ACP2	0.058748	10694	1.454517	5234
ACP5	1.500722	466	1.673074	3380
ACP6	0.277041	6764	0.950528	8930
ACP7	-	19002	-	19002
ACPP	0.270395	6861	0.450805	10922
ACPT	-	19001	-	19001
ACR	0.000000	16292	0.000000	17211
ACRBP	0.100307	9830	0.319200	11405
ACRC	0.000000	16291	0.000000	17210
ACRV1	0.000000	16290	0.000000	17209
ACSBG1	0.000000	16289	0.000000	17208
ACSBG2	0.000000	16288	0.000000	17207
ACSF2	0.000000	16287	0.754656	9852
ACSF3	0.365203	5454	1.230296	7115
ACSL1	0.212380	7793	1.052662	8333
ACSL3	0.173923	8449	1.816398	2356
ACSL4	0.118389	9451	1.620238	3793
ACSL5	1.152310	900	1.798766	2449
ACSL6	1.459990	493	1.459990	5199
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16286	0.000000	17206
ACSM2B	0.000000	16285	0.000000	17205
ACSM3	0.760040	2024	0.832497	9538
ACSM4	-	18999	-	18999
ACSM5	0.021486	12376	0.021486	14218
ACSM6	0.000000	16284	0.000000	17204
ACSS1	1.011192	1184	1.733602	2914
ACSS2	0.063444	10535	0.842006	9487
ACSS3	0.034601	11753	0.061926	12857
ACTA1	0.027595	12068	0.027595	13985
ACTA2	0.384571	5171	1.432429	5422
ACTB	0.410892	4821	3.858960	7
ACTBL2	0.000000	16283	0.000000	17203
ACTC1	0.000000	16282	0.025182	14063
ACTG1	0.230858	7511	3.620749	19
ACTG2	0.035737	11567	0.466426	10873
ACTL10	0.349753	5660	0.466812	10872
ACTL6A	0.143539	8992	1.659555	3498
ACTL6B	0.000000	16281	0.000000	17202
ACTL7A	0.036863	11499	0.036863	13518
ACTL7B	0.000000	16280	0.000000	17201
ACTL8	0.020233	12521	0.020233	14344
ACTL9	0.000000	16279	0.000000	17200
ACTN1	0.564532	3298	1.957679	1620
ACTN2	0.020233	12520	0.148628	12167
ACTN3	0.067895	10439	0.067895	12715
ACTN4	0.087393	10076	1.794132	2472
ACTR10	0.232447	7476	1.642317	3625
ACTR1A	0.040025	11342	1.900804	1917
ACTR1B	0.285589	6629	1.576404	4197
ACTR2	0.364728	5459	2.077376	1205
ACTR3	0.874614	1565	2.686433	276
ACTR3B	0.335407	5859	1.263557	6840
ACTR3C	0.572587	3239	0.703531	10059
ACTR5	0.539366	3524	1.336633	6271
ACTR6	0.599121	3005	1.646478	3593
ACTR8	0.353404	5606	1.442881	5325
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16278	0.000000	17199
ACTRT3	-	18997	-	18997
ACVR1	0.210230	7827	1.236887	7063
ACVR1B	-0.134023	16924	0.883707	9272
ACVR1C	0.583145	3156	0.618623	10364
ACVR2A	0.426850	4639	1.118699	7910
ACVR2B	0.265693	6920	0.666983	10185
ACVRL1	0.000000	16277	0.018968	14381
ACY1	0.055772	10786	1.174128	7539
ACY3	0.238980	7364	0.238980	11698
ACYP1	0.329651	5937	1.398026	5730
ACYP2	0.540927	3512	1.389795	5800
ADA	0.730820	2176	1.405336	5667
ADAD1	0.020233	12519	0.020233	14343
ADAD2	0.000000	16276	0.000000	17198
ADAL	0.218255	7711	0.946188	8954
ADAM10	0.273145	6815	1.208337	7269
ADAM11	0.000000	16275	0.000000	17197
ADAM12	0.084504	10128	0.230261	11744
ADAM15	-0.100151	16841	1.579685	4169
ADAM17	0.280030	6726	1.257540	6891
ADAM18	0.000000	16274	0.000000	17196
ADAM19	0.995855	1217	2.006252	1442
ADAM2	0.000000	16273	0.000000	17195
ADAM20	0.000000	16272	0.000000	17194
ADAM21	0.000000	16271	0.000000	17193
ADAM22	0.574298	3230	1.022516	8513
ADAM23	0.074065	10330	0.472076	10848
ADAM28	0.472268	4133	0.513454	10716
ADAM29	0.000000	16270	0.000000	17192
ADAM30	0.017693	12674	0.017693	14455
ADAM32	0.000000	16269	0.000000	17191
ADAM33	0.048455	11052	0.048455	13189
ADAM7	0.000000	16268	0.000000	17190
ADAM8	1.685746	317	1.859729	2117
ADAM9	0.172447	8472	0.800932	9668
ADAMDEC1	0.049740	10888	0.049740	13015
ADAMTS1	0.000000	16267	1.411431	5617
ADAMTS10	0.565395	3293	1.263913	6834
ADAMTS12	-0.036014	16573	0.000000	17189
ADAMTS13	0.000000	16266	0.000000	17188
ADAMTS14	0.000000	16265	0.110381	12373
ADAMTS15	0.000000	16264	0.000000	17187
ADAMTS16	0.000000	16263	0.000000	17186
ADAMTS17	0.664430	2538	0.774186	9776
ADAMTS18	0.000000	16262	0.000000	17185
ADAMTS19	0.015108	12803	0.015108	14557
ADAMTS2	0.000000	16261	0.000000	17184
ADAMTS20	0.000000	16260	0.000000	17183
ADAMTS3	0.000000	16259	0.052787	12994
ADAMTS4	0.017693	12673	0.017693	14454
ADAMTS5	0.005518	13018	0.036863	13517
ADAMTS6	0.287755	6588	0.463362	10883
ADAMTS7	0.017693	12672	0.073369	12688
ADAMTS8	0.000000	16258	0.000000	17182
ADAMTS9	0.000000	16257	0.000000	17181
ADAMTSL1	0.000000	16256	0.000000	17180
ADAMTSL2	0.101660	9808	0.101660	12454
ADAMTSL3	0.012046	12845	0.036863	13516
ADAMTSL4	0.000000	16255	0.240003	11687
ADAMTSL5	0.341620	5780	0.703128	10063
ADAP1	0.966570	1284	1.408081	5640
ADAP2	0.103918	9756	0.103918	12439
ADAR	0.520724	3679	1.883389	2004
ADARB1	0.728520	2190	1.186573	7438
ADARB2	0.553447	3391	0.553447	10582
ADAT1	0.363695	5475	1.061823	8275
ADAT2	0.809221	1804	1.685247	3293
ADAT3	0.000000	16254	1.505625	4808
ADCK1	0.188493	8205	0.682701	10138
ADCK2	0.007942	12953	1.050944	8342
ADCK5	0.311192	6204	1.108118	7979
ADCY1	0.001624	13128	0.082068	12608
ADCY10	0.000000	16253	0.000000	17179
ADCY2	0.000000	16252	0.041284	13383
ADCY3	0.000000	16251	1.039521	8408
ADCY4	-0.055845	16686	0.000000	17178
ADCY5	0.000000	16250	0.000000	17177
ADCY6	-0.761964	17207	0.048455	13188
ADCY7	1.371399	599	1.937320	1724
ADCY8	0.000000	16249	0.000000	17176
ADCY9	0.047672	11129	0.543711	10623
ADCYAP1	0.000000	16248	0.000000	17175
ADCYAP1R1	0.055772	10785	0.055772	12962
ADD1	0.101017	9820	1.679878	3331
ADD2	0.446805	4407	0.652584	10242
ADD3	1.683718	321	1.905488	1893
ADGB	0.021486	12375	0.021486	14217
ADGRA1	0.032303	11905	0.032303	13873
ADGRA2	-0.044052	16618	0.196788	11903
ADGRA3	0.034601	11752	0.534197	10649
ADGRB1	0.020233	12518	0.020233	14342
ADGRB2	0.152158	8844	0.329982	11369
ADGRB3	0.048455	11051	0.048455	13187
ADGRD1	0.027595	12067	0.151598	12141
ADGRD2	-	18996	-	18996
ADGRE1	1.040581	1130	1.040581	8400
ADGRE2	0.942601	1357	1.771919	2611
ADGRE3	0.236199	7410	0.236199	11711
ADGRE5	1.220769	787	2.265282	719
ADGRF1	0.000000	16247	0.000000	17174
ADGRF2	0.009437	12914	0.009437	14600
ADGRF3	0.588013	3115	0.797063	9695
ADGRF4	0.055772	10784	0.055772	12961
ADGRF5	0.364140	5469	0.364140	11248
ADGRG1	0.760897	2019	1.682145	3318
ADGRG2	0.087246	10081	0.087246	12580
ADGRG3	0.301929	6348	0.301929	11454
ADGRG4	0.042368	11251	0.042368	13328
ADGRG5	1.951252	192	1.951252	1655
ADGRG6	0.048455	11050	0.196788	11902
ADGRG7	0.000000	16246	0.000000	17173
ADGRL1	0.141222	9033	0.379894	11183
ADGRL2	0.041284	11314	0.041284	13382
ADGRL3	0.004713	13092	0.032303	13872
ADGRL4	-0.055845	16685	0.000000	17172
ADGRV1	0.032303	11904	0.032303	13871
ADH1A	0.000000	16245	0.000000	17171
ADH1B	-0.063951	16724	0.000000	17170
ADH1C	0.000000	16244	0.000000	17169
ADH4	0.000000	16243	0.000000	17168
ADH5	0.166067	8565	1.748972	2774
ADH6	0.032303	11903	0.032303	13870
ADH7	0.000000	16242	0.000000	17167
ADHFE1	0.687786	2402	1.430117	5447
ADI1	0.039903	11343	1.741613	2833
ADIG	0.000000	16241	0.000000	17166
ADIPOQ	0.000000	16240	0.000000	17165
ADIPOR1	0.120220	9424	1.662580	3475
ADIPOR2	0.055772	10783	1.510329	4761
ADIRF	-1.672659	17239	0.097056	12482
ADK	0.661961	2558	1.824764	2308
ADM	0.000000	16239	0.279863	11534
ADM2	0.139269	9062	0.414200	11057
ADM5	0.000000	16238	0.000000	17164
ADNP	0.489490	3964	1.617543	3812
ADNP2	0.613340	2911	1.435388	5398
ADO	0.330679	5926	1.108309	7977
ADORA1	0.000000	16237	0.122756	12305
ADORA2A	1.214683	802	1.214683	7221
ADORA2B	-0.375492	17140	0.110381	12372
ADORA3	0.108742	9640	0.108742	12383
ADPGK	0.933575	1382	1.636678	3679
ADPRH	0.549193	3440	0.853235	9427
