gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.198233	6709	1.189233	6419
A1CF	0.039090	9644	0.039090	13646
A2M	0.046626	9383	0.046626	13394
A2ML1	0.116749	7899	0.116749	12420
A3GALT2	-	19008	-	19008
A4GALT	-0.609733	17165	0.085717	12710
A4GNT	0.000000	15186	0.000000	17239
AAAS	0.372739	5014	1.077763	7084
AACS	-0.041880	15693	0.598803	9672
AADAC	0.000000	15185	0.000000	17238
AADACL2	0.000000	15184	0.000000	17237
AADACL3	0.000000	15183	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	15182	0.020233	14179
AAED1	0.519959	3996	1.738314	3271
AAGAB	0.025600	9885	1.574301	4140
AAK1	0.483784	4216	1.213098	6296
AAMDC	0.002825	10759	0.673188	9289
AAMP	0.000000	15181	1.563518	4197
AANAT	0.000000	15180	0.000000	17235
AAR2	0.106812	8031	1.228047	6178
AARD	0.282574	5839	0.297027	11128
AARS	-0.857828	17214	0.754249	8871
AARS2	-0.359694	16949	0.851124	8385
AARSD1	0.089572	8325	1.153492	6620
AASDH	0.000000	15179	0.874669	8260
AASDHPPT	0.150499	7410	1.240363	6081
AASS	0.016859	10518	0.407549	10489
AATF	0.551789	3795	2.020649	2041
AATK	0.411593	4742	0.429286	10396
ABAT	0.606670	3473	1.335834	5505
ABCA1	0.766288	2627	2.038208	1974
ABCA10	0.046626	9382	0.046626	13393
ABCA12	0.054784	9030	0.054784	13138
ABCA13	0.831252	2375	0.831252	8485
ABCA2	0.213269	6509	0.750486	8913
ABCA3	0.000000	15178	0.212987	11591
ABCA4	0.000000	15177	0.000000	17234
ABCA5	0.217439	6463	1.249874	6014
ABCA6	0.000000	15176	0.000000	17233
ABCA7	0.850747	2299	1.686306	3564
ABCA8	0.000000	15175	0.081013	12859
ABCA9	0.000000	15174	0.000000	17232
ABCB1	0.561936	3736	1.159609	6589
ABCB10	0.042750	9423	0.738629	8984
ABCB11	0.000000	15173	0.000000	17231
ABCB4	0.280551	5871	0.280551	11248
ABCB5	0.000000	15172	0.000000	17230
ABCB6	0.107194	8022	0.344210	10911
ABCB7	0.046626	9381	1.224397	6204
ABCB8	-0.156774	16436	0.994123	7568
ABCB9	0.071797	8666	0.182386	11969
ABCC1	0.295472	5703	1.253601	5981
ABCC10	0.093708	8276	0.504886	10086
ABCC11	0.000000	15171	0.000000	17229
ABCC12	0.000000	15170	0.000000	17228
ABCC2	0.020233	10472	0.020233	14178
ABCC3	0.020233	10471	0.830697	8490
