gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.430956	3903	1.421956	5657
A1CF	0.000000	16940	0.000000	17239
A2M	0.838194	1097	1.888496	2263
A2ML1	0.000000	16939	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.726633	1480	1.391058	5943
A4GNT	0.000000	16938	0.000000	17237
AAAS	0.659108	1802	2.053078	1520
AACS	0.408754	4265	1.459418	5302
AADAC	0.105127	11421	0.105127	13449
AADACL2	0.000000	16937	0.000000	17236
AADACL3	0.000000	16936	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.162870	9757	0.732483	10563
AAED1	0.258319	7280	1.476675	5182
AAGAB	0.222312	8159	1.771013	2914
AAK1	0.239208	7762	1.063226	8582
AAMDC	0.428475	3946	1.612271	4061
AAMP	0.305879	6167	2.026146	1616
AANAT	0.000000	16935	0.000000	17234
AAR2	0.455966	3543	1.479166	5157
AARD	0.000000	16934	0.000000	17233
AARS	0.292254	6471	1.904331	2184
AARS2	0.349064	5277	1.559882	4468
AARSD1	0.248554	7531	1.553211	4533
AASDH	0.119103	11062	1.199387	7575
AASDHPPT	0.305445	6176	1.545840	4596
AASS	0.334983	5557	1.397050	5884
AATF	0.092841	11765	1.561701	4453
AATK	0.111146	11276	0.128839	13239
ABAT	0.004817	14009	0.420367	11841
ABCA1	0.068008	12430	1.093256	8388
ABCA10	0.021590	13761	0.021590	14477
ABCA12	0.012475	13940	0.012475	14580
ABCA13	0.000000	16933	0.000000	17232
ABCA2	0.181879	9248	0.960774	9269
ABCA3	0.912124	886	1.640079	3824
ABCA4	1.382427	265	1.382427	6016
ABCA5	0.193816	8873	1.185624	7699
ABCA6	0.548558	2589	1.007732	8968
ABCA7	0.064017	12641	0.899576	9635
ABCA8	0.048975	12943	0.640676	10959
ABCA9	0.088273	11855	0.112793	13430
ABCB1	0.631196	1959	0.752726	10465
ABCB10	0.289332	6554	1.149493	7987
ABCB11	0.000000	16932	0.000000	17231
ABCB4	0.148059	10142	0.297052	12312
ABCB5	0.000000	16931	0.000000	17230
