gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.223442	5557	1.214443	6380
A1CF	0.000000	16495	0.000000	17239
A2M	0.089586	9547	0.691528	10266
A2ML1	0.000000	16494	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.001312	16509	0.663114	10408
A4GNT	0.000000	16493	0.000000	17237
AAAS	0.461729	1950	1.855699	1742
AACS	0.207306	5951	1.257970	5972
AADAC	0.000000	16492	0.000000	17236
AADACL2	0.000000	16491	0.000000	17235
AADACL3	0.000000	16490	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.505236	1665	1.074849	7595
AAED1	-0.012836	16641	1.205519	6460
AAGAB	0.106788	9014	1.655489	2775
AAK1	0.098536	9275	0.868520	9181
AAMDC	0.157966	7350	1.277589	5788
AAMP	0.246970	4961	2.051736	1052
AANAT	0.000000	16489	0.000000	17233
AAR2	0.313471	3644	1.434707	4418
AARD	0.276077	4333	0.290530	12034
AARS	0.149380	7622	1.761457	2156
AARS2	0.307790	3739	1.518607	3732
AARSD1	0.151159	7568	1.563992	3384
AASDH	0.057684	10701	1.137968	7085
AASDHPPT	0.154626	7452	1.671226	2671
AASS	0.360705	2988	1.422772	4517
AATF	-0.045861	16859	1.422999	4514
AATK	0.140905	7872	0.158598	12670
ABAT	0.532382	1515	1.261546	5943
ABCA1	0.019198	12314	1.147000	6999
ABCA10	0.000000	16488	0.000000	17232
ABCA12	0.049740	11061	0.049740	13575
ABCA13	0.232447	5291	0.232447	12299
ABCA2	0.040949	11319	0.541177	10993
ABCA3	0.426527	2245	1.154481	6930
ABCA4	0.026394	12171	0.026394	14060
ABCA5	0.036863	11725	0.462675	11312
ABCA6	0.000000	16487	0.036863	13868
ABCA7	0.081124	9863	0.882667	9085
ABCA8	0.000000	16486	0.342451	11828
ABCA9	0.000000	16485	0.016406	14410
ABCB1	0.050020	11029	0.647693	10487
ABCB10	0.210873	5874	1.071034	7627
ABCB11	0.000000	16484	0.000000	17231
ABCB4	0.180056	6766	0.266997	12128
ABCB5	0.000000	16483	0.000000	17230
ABCB6	0.177078	6847	0.608005	10687
ABCB7	0.230628	5333	1.480065	4052
ABCB8	0.209254	5911	1.381221	4881
ABCB9	0.167854	7099	0.631244	10577
ABCC1	0.199491	6171	1.456461	4252
ABCC10	0.262883	4617	0.774852	9802
ABCC11	0.000000	16482	0.000000	17229
ABCC12	0.032303	11919	0.032303	13965
ABCC2	0.000000	16481	0.000000	17228
ABCC3	0.609749	1166	1.422077	4524
ABCC4	0.456254	1994	1.202792	6483
ABCC5	0.074718	10029	0.924460	8759
ABCC6	-	19006	-	19006
ABCC8	0.137207	8005	0.137207	12807
ABCC9	0.088274	9598	0.262331	12159
ABCD1	0.197211	6228	1.150434	6960
ABCD2	0.000000	16480	0.153282	12711
ABCD3	0.337664	3283	1.502304	3876
ABCD4	0.274043	4379	1.272387	5842
ABCE1	0.187215	6540	1.706279	2459
ABCF1	0.197572	6212	1.813600	1917
ABCF2	0.262232	4633	1.689474	2554
ABCF3	0.128819	8304	1.603597	3130
ABCG1	0.000000	16479	0.032303	13964
ABCG2	0.036863	11724	0.065484	13403
ABCG4	0.053522	10915	0.069167	13348
ABCG5	0.000000	16478	0.000000	17227
ABCG8	0.000000	16477	0.000000	17226
ABHD1	0.123964	8454	0.183136	12549
ABHD10	0.059894	10616	1.330571	5334
ABHD11	0.214799	5787	1.184760	6656
ABHD12	0.244885	5016	1.763771	2143
ABHD12B	0.036863	11723	0.036863	13867
ABHD13	-0.037384	16827	0.989831	8274
ABHD14A	0.084611	9730	1.045189	7851
ABHD14B	0.094494	9418	1.851952	1757
ABHD15	0.224184	5540	0.564747	10882
ABHD16A	0.017697	12491	1.303076	5574
ABHD16B	-	19005	-	19005
ABHD17A	0.349168	3131	1.275768	5813
ABHD17B	0.131181	8227	1.131824	7127
ABHD17C	0.227673	5425	1.254272	6011
ABHD18	0.301922	3839	0.657483	10428
ABHD2	0.000000	16476	1.633921	2919
ABHD3	0.278388	4283	1.228750	6247
ABHD4	0.387259	2645	1.727748	2354
ABHD5	0.087924	9615	0.830288	9434
ABHD6	0.213158	5819	0.749394	9949
ABHD8	0.170298	7024	1.080024	7553
ABI1	0.092880	9466	1.485124	4017
ABI2	0.614893	1150	1.699968	2499
ABI3	0.000000	16475	0.149125	12731
ABI3BP	0.049740	11060	0.256087	12184
ABL1	0.247807	4947	1.249319	6053
ABL2	0.361780	2966	1.029847	7961
ABLIM1	0.111546	8867	0.724812	10101
ABLIM2	0.036863	11722	0.111926	12974
ABLIM3	0.000000	16474	0.842913	9345
ABO	0.000000	16473	0.036863	13866
ABR	1.110547	258	1.216632	6356
ABRA	0.000000	16472	0.000000	17225
ABRACL	0.225682	5489	1.722221	2378
ABT1	0.120167	8571	1.317033	5452
ABTB1	0.068942	10297	1.032905	7939
ABTB2	0.321533	3507	1.082354	7524
ACAA1	0.084569	9732	1.553962	3467
ACAA2	0.332815	3349	1.474330	4103
ACACA	0.336345	3301	1.479672	4056
ACACB	0.096104	9359	0.316878	11936
ACAD10	0.161036	7269	1.150614	6959
ACAD11	0.040951	11318	0.695979	10243
ACAD8	0.028740	12000	1.237491	6166
ACAD9	0.137569	7992	1.537707	3583
ACADL	0.183136	6664	0.183136	12548
ACADM	0.221489	5615	1.595585	3180
ACADS	0.032303	11918	0.833439	9412
ACADSB	0.015674	12858	0.831809	9424
ACADVL	-0.017621	16677	1.892753	1575
ACAN	0.289609	4077	0.339908	11842
ACAP1	0.000000	16471	0.016406	14409
ACAP2	0.048155	11091	1.389144	4810
ACAP3	0.108638	8960	0.807097	9576
ACAT1	0.000000	16470	1.638899	2891
ACAT2	0.878249	534	2.311399	510
ACBD3	-0.170434	17129	1.683507	2592
ACBD4	0.038520	11530	0.747366	9959
ACBD5	0.147432	7686	0.800779	9626
ACBD6	0.245958	4984	1.326959	5359
ACBD7	0.979775	382	1.217093	6349
ACCS	-0.027763	16759	0.397960	11584
ACCSL	-	19004	-	19004
ACD	0.354063	3060	1.270880	5857
ACE	0.123213	8476	0.173578	12595
ACE2	0.000000	16469	0.000000	17224
ACER1	0.000000	16468	0.000000	17223
ACER2	0.021629	12261	0.071464	13275
ACER3	0.009388	12962	1.127982	7160
ACHE	0.039090	11520	0.379886	11653
ACIN1	0.328346	3413	1.788865	2019
ACKR1	0.016406	12844	0.016406	14408
ACKR2	0.052622	10938	0.285272	12058
ACKR3	0.375792	2779	1.719890	2389
ACKR4	0.000000	16467	0.000000	17222
ACLY	0.515577	1606	1.810276	1932
ACMSD	0.000000	16466	0.000000	17221
ACO1	-0.129834	17089	1.394108	4766
ACO2	0.070079	10245	1.831474	1844
ACOD1	0.000000	16465	0.000000	17220
ACOT1	0.325257	3463	0.376894	11666
ACOT11	0.077417	9973	0.230242	12315
ACOT12	0.065484	10436	0.065484	13402
ACOT13	0.000000	16464	1.392292	4784
ACOT2	0.070140	10243	1.038688	7891
ACOT4	-0.057145	16910	0.082043	13218
ACOT6	-	19003	-	19003
ACOT7	0.703102	881	1.497128	3928
ACOT8	0.067538	10332	1.468308	4162
ACOT9	0.030601	11957	1.579667	3268
ACOX1	0.173682	6946	1.498196	3913
ACOX2	1.125318	238	1.156417	6901
ACOX3	0.102798	9138	1.080345	7549
ACOXL	0.000000	16463	0.000000	17219
ACP1	0.087226	9636	1.894558	1565
ACP2	0.216632	5744	1.740948	2268
ACP5	0.000000	16462	0.065300	13420
ACP6	0.892905	503	1.275834	5812
ACP7	-	19002	-	19002
ACPP	0.026394	12170	0.067433	13364
ACPT	-	19001	-	19001
ACR	0.000000	16461	0.000000	17218
ACRBP	0.018968	12458	0.262775	12153
ACRC	0.000000	16460	0.000000	17217
ACRV1	0.000000	16459	0.000000	17216
ACSBG1	0.344837	3188	0.344837	11815
ACSBG2	0.000000	16458	0.000000	17215
ACSF2	0.453733	2013	1.079841	7555
ACSF3	0.122797	8492	0.987890	8288
ACSL1	0.000000	16457	0.868061	9186
ACSL3	0.098789	9270	2.132203	845
ACSL4	0.039090	11519	1.340770	5250
ACSL5	0.026394	12169	0.238560	12267
ACSL6	0.039090	11518	0.039090	13760
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16456	0.000000	17214
ACSM2B	0.000000	16455	0.000000	17213
ACSM3	0.000000	16454	0.017693	14281
ACSM4	-	18999	-	18999
ACSM5	0.042800	11271	0.042800	13634
ACSM6	0.000000	16453	0.000000	17212
ACSS1	0.160019	7296	0.980566	8344
ACSS2	0.206059	5986	0.956555	8520
ACSS3	0.508289	1648	1.082339	7525
ACTA1	0.383477	2688	0.383477	11633
ACTA2	0.496834	1720	1.871131	1684
ACTB	0.500736	1693	4.051736	2
ACTBL2	0.272580	4408	0.272580	12102
ACTC1	0.430297	2216	0.537802	11005
ACTG1	0.756326	759	4.235751	1
ACTG2	0.868539	547	1.598104	3165
ACTL10	0.018968	12457	0.108929	12993
ACTL6A	0.341310	3226	1.857326	1734
ACTL6B	0.128458	8320	0.128458	12857
ACTL7A	0.000000	16452	0.000000	17211
ACTL7B	0.000000	16451	0.000000	17210
ACTL8	0.000000	16450	0.000000	17209
ACTL9	0.000000	16449	0.000000	17208
ACTN1	0.467010	1909	2.622680	219
ACTN2	0.067080	10354	0.296683	12010
ACTN3	0.016406	12843	0.016406	14407
ACTN4	0.544053	1459	2.162923	773
ACTR10	0.264101	4588	1.679939	2624
ACTR1A	0.200635	6138	2.230066	653
ACTR1B	0.228593	5393	1.519408	3728
ACTR2	0.129430	8281	1.842078	1796
ACTR3	0.326082	3448	2.363784	440
ACTR3B	0.529518	1528	1.457667	4247
ACTR3C	0.049740	11059	0.245059	12235
ACTR5	0.109123	8940	0.906390	8920
ACTR6	0.112184	8851	1.159541	6877
ACTR8	0.142949	7815	1.403414	4682
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16448	0.000000	17207
ACTRT3	-	18997	-	18997
ACVR1	0.000000	16447	1.017599	8047
ACVR1B	-0.027209	16755	0.990521	8269
ACVR1C	0.070729	10218	0.070729	13323
ACVR2A	0.282326	4205	1.156306	6902
ACVR2B	0.195784	6269	0.460617	11325
ACVRL1	0.000000	16446	0.159513	12661
ACY1	0.330386	3384	1.461565	4211
ACY3	0.000000	16445	0.000000	17206
ACYP1	0.363431	2944	1.431806	4441
ACYP2	0.072719	10114	0.805483	9588
ADA	0.209017	5915	0.786513	9722
ADAD1	0.000000	16444	0.000000	17205
ADAD2	0.000000	16443	0.000000	17204
ADAL	0.130985	8237	0.858917	9245
ADAM10	0.106406	9028	1.419881	4534
ADAM11	0.070729	10217	0.070729	13322
ADAM12	1.408806	79	1.687302	2563
ADAM15	0.095719	9377	1.775555	2084
ADAM17	0.237997	5162	1.482022	4036
ADAM18	0.000000	16442	0.000000	17203
ADAM19	0.697774	895	1.708171	2446
ADAM2	0.000000	16441	0.000000	17202
ADAM20	0.000000	16440	0.000000	17201
ADAM21	0.000000	16439	0.000000	17200
ADAM22	0.268960	4493	0.717177	10142
ADAM23	0.253518	4825	0.736444	10025
ADAM28	0.000000	16438	0.000000	17199
ADAM29	0.000000	16437	0.000000	17198
ADAM30	0.000000	16436	0.000000	17197
ADAM32	0.000000	16435	0.000000	17196
ADAM33	0.132440	8193	0.582735	10813
ADAM7	0.000000	16434	0.000000	17195
ADAM8	0.020031	12296	0.066146	13385
ADAM9	0.743036	784	2.310382	512
ADAMDEC1	0.000000	16433	0.000000	17194
ADAMTS1	0.018968	12456	1.161322	6869
