gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.594965	4656	1.441633	6945
A1CF	0.000000	17211	0.000000	17239
A2M	1.649292	374	2.699594	409
A2ML1	1.301008	832	1.301008	8320
A3GALT2	-	19008	-	19008
A4GALT	0.438687	7147	1.103113	10098
A4GNT	0.000000	17210	0.000000	17238
AAAS	0.494810	6073	1.888780	3017
AACS	0.324358	9957	1.375022	7611
AADAC	0.531796	5473	0.531796	13093
AADACL2	0.000000	17209	0.000000	17237
AADACL3	0.000000	17208	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.677826	3755	1.247439	8818
AAED1	0.354897	9136	1.573252	5669
AAGAB	0.291105	10825	1.839806	3356
AAK1	0.184154	13387	1.046901	10500
AAMDC	0.304927	10468	1.488723	6458
AAMP	0.253396	11850	2.058162	2041
AANAT	0.049143	15305	0.049143	15445
AAR2	0.313471	10241	1.434707	7006
AARD	0.276077	11226	0.290530	14040
AARS	0.556924	5143	2.169000	1553
AARS2	0.307790	10386	1.518607	6161
AARSD1	0.180864	13605	1.581602	5583
AASDH	0.197260	13137	1.277544	8545
AASDHPPT	0.583105	4792	1.883543	3061
AASS	0.360705	9002	1.422772	7123
AATF	0.185605	13351	1.654465	4891
AATK	0.349947	9276	0.367640	13753
ABAT	0.863449	2415	1.356535	7799
ABCA1	0.249121	11961	1.642521	5013
ABCA10	0.149960	14131	0.149960	14806
ABCA12	1.241181	974	1.241181	8884
ABCA13	0.232447	12374	0.232447	14269
ABCA2	0.337071	9615	1.115965	10008
ABCA3	0.886875	2295	1.614829	5296
ABCA4	0.494629	6080	0.494629	13241
ABCA5	0.162577	13929	1.159332	9651
ABCA6	0.613655	4425	1.072830	10312
ABCA7	0.408883	7806	1.244441	8855
ABCA8	0.345010	9400	1.285806	8471
ABCA9	1.220366	1036	1.522241	6128
ABCB1	0.626498	4282	1.224171	9038
ABCB10	0.280661	11090	1.140822	9797
ABCB11	0.000000	17207	0.000000	17235
ABCB4	0.970742	1903	1.119735	9968
ABCB5	2.075693	122	2.075693	1949
ABCB6	0.383345	8403	0.702133	12465
ABCB7	0.241967	12144	1.491404	6440
ABCB8	0.433188	7263	1.605155	5377
ABCB9	0.474654	6425	0.943708	11211
ABCC1	0.313784	10233	1.570754	5687
ABCC10	0.495645	6054	1.163188	9624
ABCC11	0.000000	17206	0.000000	17234
ABCC12	0.155623	14027	0.155623	14756
ABCC2	0.848015	2500	0.848015	11781
ABCC3	1.005462	1759	1.817791	3524
ABCC4	0.456254	6776	1.207096	9202
ABCC5	0.281879	11051	1.270679	8608
ABCC6	-	19006	-	19006
ABCC8	0.137207	14314	0.137207	14868
ABCC9	0.088274	14928	0.390015	13672
ABCD1	0.844729	2516	1.797952	3666
ABCD2	1.060169	1556	1.221552	9059
ABCD3	0.480747	6320	1.645386	4982
ABCD4	0.274043	11269	1.329017	8058
ABCE1	0.359723	9030	1.878788	3088
ABCF1	0.363451	8929	2.213386	1398
ABCF2	0.296265	10709	1.723507	4280
ABCF3	0.128819	14421	1.603597	5387
ABCG1	0.307736	10388	1.440657	6952
ABCG2	0.161513	13943	0.276462	14103
ABCG4	0.201096	13073	0.216741	14375
ABCG5	0.048455	15410	0.048455	15541
ABCG8	0.000000	17205	0.000000	17233
ABHD1	0.123964	14486	0.183136	14491
ABHD10	0.194452	13198	1.451786	6844
ABHD11	0.267566	11470	1.237527	8924
ABHD12	0.401705	7971	1.920591	2814
ABHD12B	0.036863	15504	0.036863	15618
ABHD13	0.345436	9381	1.372651	7638
ABHD14A	0.268640	11435	1.210962	9164
ABHD14B	0.406116	7877	2.163573	1573
ABHD15	0.224184	12598	0.564747	12972
ABHD16A	0.255338	11798	1.535517	5998
ABHD16B	-	19005	-	19005
ABHD17A	0.349168	9294	1.275768	8560
ABHD17B	0.616820	4395	1.270972	8601
ABHD17C	0.564514	5046	1.480417	6536
ABHD18	0.462998	6633	1.004085	10820
ABHD2	0.479282	6353	1.833421	3395
ABHD3	0.406046	7878	1.356408	7800
ABHD4	0.387259	8323	1.727748	4240
ABHD5	0.277463	11183	1.474342	6609
ABHD6	1.053577	1578	1.412124	7246
ABHD8	0.170298	13833	1.080024	10259
ABI1	0.242189	12137	1.668914	4761
ABI2	0.841820	2530	2.004593	2313
ABI3	0.146972	14172	0.343252	13837
ABI3BP	1.847193	223	2.523533	625
ABL1	0.522772	5597	1.346841	7903
ABL2	0.783036	2905	1.451103	6851
ABLIM1	1.352970	750	1.888560	3019
ABLIM2	0.200700	13080	0.303620	14003
ABLIM3	0.572454	4936	1.453261	6828
ABO	0.180864	13604	0.180864	14637
ABR	1.838836	226	1.954321	2602
ABRA	0.000000	17204	0.000000	17232
ABRACL	0.943371	2031	1.843726	3318
ABT1	0.180543	13613	1.377410	7596
ABTB1	0.119945	14541	1.249208	8807
ABTB2	0.927431	2094	1.467248	6686
ACAA1	0.198831	13108	1.660933	4825
ACAA2	0.546703	5278	1.691436	4564
ACACA	0.532575	5463	1.675902	4703
ACACB	0.484286	6262	0.564666	12974
ACAD10	0.307087	10406	1.296665	8371
ACAD11	0.281033	11080	0.946470	11198
ACAD8	0.251141	11903	1.459893	6764
ACAD9	0.138592	14301	1.538730	5973
ACADL	0.183136	13412	0.183136	14490
ACADM	0.416189	7630	1.790285	3713
ACADS	0.608001	4499	1.495636	6403
ACADSB	0.261627	11631	1.130655	9882
ACADVL	0.426244	7423	2.094650	1858
ACAN	0.289609	10863	0.339908	13848
ACAP1	0.085039	14965	0.197140	14441
ACAP2	0.308241	10371	1.631544	5126
ACAP3	0.477546	6390	1.176006	9497
ACAT1	0.309546	10329	1.981683	2448
