gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.575768	2442	1.566768	4385
A1CF	0.000000	16967	0.000000	17239
A2M	0.512466	3012	1.403534	5661
A2ML1	0.000000	16966	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.492184	3222	1.156609	7783
A4GNT	0.000000	16965	0.000000	17237
AAAS	0.460566	3617	1.854536	2494
AACS	0.355351	5216	1.406015	5640
AADAC	0.800457	1249	0.800457	10262
AADACL2	0.000000	16964	0.000000	17236
AADACL3	0.000000	16963	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.202362	8923	0.764176	10506
AAED1	0.206647	8798	1.347102	6141
AAGAB	0.167803	9926	1.716504	3306
AAK1	0.264004	7268	1.022814	8785
AAMDC	0.232845	8060	1.416641	5567
AAMP	0.272654	7042	2.063216	1574
AANAT	0.046880	13355	0.046880	14226
AAR2	0.262247	7311	1.383483	5830
AARD	0.534073	2819	0.548526	11510
AARS	0.289133	6628	1.901210	2230
AARS2	0.306337	6246	1.517154	4766
AARSD1	0.260377	7355	1.673210	3620
AASDH	0.081376	12402	1.105200	8167
AASDHPPT	0.162282	10134	1.678882	3580
AASS	0.505430	3070	1.567497	4379
AATF	0.057221	12958	1.526081	4693
AATK	0.026820	13728	0.044513	14277
ABAT	0.143647	10730	0.770415	10460
ABCA1	0.325300	5826	1.718699	3289
ABCA10	0.149960	10567	0.149960	13284
ABCA12	0.063444	12865	0.063444	13965
ABCA13	0.126731	11196	0.126731	13398
ABCA2	0.188186	9321	0.967080	9187
ABCA3	0.018968	14036	0.460618	11851
ABCA4	0.000000	16962	0.000000	17234
ABCA5	0.163598	10097	0.979093	9109
ABCA6	0.613655	2128	1.072830	8396
ABCA7	0.317174	5999	0.735675	10670
ABCA8	0.345010	5435	1.285806	6703
ABCA9	1.220366	365	1.522241	4722
ABCB1	0.000000	16961	0.184691	13030
ABCB10	0.290408	6600	1.093678	8236
ABCB11	0.000000	16960	0.000000	17233
ABCB4	0.017046	14111	0.127636	13395
ABCB5	0.165216	10052	0.165216	13178
ABCB6	0.568909	2502	0.805925	10221
ABCB7	0.100371	11980	1.237795	7107
ABCB8	0.434345	3953	1.491945	4952
ABCB9	0.344408	5449	0.813462	10175
ABCC1	0.336044	5621	1.593014	4170
ABCC10	0.218703	8470	0.886246	9691
ABCC11	0.000000	16959	0.000000	17232
ABCC12	0.111537	11579	0.111537	13478
ABCC2	0.054371	13012	0.054371	14011
ABCC3	0.869652	1035	1.681980	3551
ABCC4	0.610494	2166	1.373280	5917
ABCC5	0.222053	8371	1.210853	7327
ABCC6	-	19006	-	19006
ABCC8	0.018968	14035	0.018968	14647
ABCC9	0.373556	4908	0.620068	11236
ABCD1	0.157759	10288	1.110983	8115
ABCD2	0.093890	12137	0.255273	12697
ABCD3	0.256471	7447	1.421110	5527
ABCD4	0.131907	11071	1.229074	7177
ABCE1	0.283709	6773	1.802774	2776
ABCF1	0.165709	9991	1.845936	2539
ABCF2	0.353444	5256	1.780686	2917
ABCF3	0.112617	11550	1.587394	4209
ABCG1	0.017419	14051	0.626882	11172
ABCG2	0.103804	11855	0.143015	13334
ABCG4	0.096254	12070	0.111898	13477
ABCG5	0.000000	16958	0.000000	17231
ABCG8	0.000000	16957	0.000000	17230
ABHD1	0.099448	11998	0.158619	13222
ABHD10	0.184320	9440	1.454997	5240
ABHD11	0.344939	5439	1.314900	6428
ABHD12	0.334255	5654	1.853141	2500
ABHD12B	0.189791	9278	0.189791	12971
ABHD13	0.136245	10959	1.163460	7730
ABHD14A	0.583574	2379	1.423822	5505
ABHD14B	0.469020	3518	2.226477	1143
ABHD15	0.385017	4742	0.725581	10716
ABHD16A	0.272428	7055	1.412321	5591
ABHD16B	-	19005	-	19005
ABHD17A	0.311567	6137	1.227929	7183
ABHD17B	0.296644	6455	1.066106	8453
ABHD17C	0.340540	5521	1.258327	6929
ABHD18	0.170239	9855	0.853698	9897
ABHD2	0.448465	3767	1.885768	2319
ABHD3	0.083793	12338	1.034155	8705
ABHD4	0.321777	5896	1.662266	3699
ABHD5	0.295142	6486	1.359636	6038
ABHD6	0.103804	11854	0.786896	10356
ABHD8	0.241851	7820	1.151577	7818
ABI1	0.173576	9767	1.562755	4409
ABI2	0.285540	6730	1.526081	4692
ABI3	0.150540	10552	0.346821	12304
ABI3BP	1.847193	51	2.523533	545
ABL1	0.522772	2920	1.297683	6574
ABL2	0.797018	1262	1.465085	5163
ABLIM1	0.223737	8319	0.707303	10809
ABLIM2	0.164579	10069	0.432638	11961
ABLIM3	0.747028	1468	1.643553	3825
ABO	0.000000	16956	0.030963	14384
ABR	0.272078	7063	1.333447	6265
ABRA	0.018968	14034	0.018968	14646
ABRACL	0.347187	5388	1.843726	2554
ABT1	0.303488	6317	1.500354	4880
ABTB1	0.112958	11539	1.300814	6544
ABTB2	0.101279	11910	0.825756	10076
ACAA1	0.169739	9867	1.579821	4274
ACAA2	0.458782	3629	1.751561	3086
ACACA	0.311795	6130	1.455122	5239
ACACB	0.154758	10444	0.290271	12528
ACAD10	0.070092	12676	1.059670	8489
ACAD11	0.316436	6018	0.981872	9079
ACAD8	0.012402	14219	1.221153	7233
ACAD9	0.168661	9905	1.568799	4369
ACADL	0.053078	13153	0.053078	14107
ACADM	0.104615	11722	1.478711	5068
ACADS	0.404713	4406	1.292348	6627
ACADSB	0.138546	10907	1.105510	8164
ACADVL	0.426244	4087	2.017931	1747
ACAN	0.196179	9104	0.215920	12869
ACAP1	0.110973	11590	0.223075	12828
ACAP2	0.194271	9162	1.582404	4257
ACAP3	0.157841	10287	0.856300	9868
ACAT1	0.222457	8355	1.894593	2266
ACAT2	0.878138	1014	2.311288	929
ACBD3	0.269878	7119	2.123819	1393
ACBD4	0.161250	10158	0.787914	10348
ACBD5	0.197824	9050	0.721811	10755
ACBD6	0.306691	6239	1.341237	6196
ACBD7	0.484492	3302	0.721811	10754
ACCS	0.221322	8393	0.595496	11334
ACCSL	-	19004	-	19004
ACD	0.472688	3462	1.389505	5778
ACE	0.848995	1094	1.295513	6585
ACE2	0.232205	8080	0.232205	12779
ACER1	0.044513	13447	0.044513	14276
ACER2	0.294193	6512	0.323836	12389
ACER3	-0.021455	17035	1.097140	8203
ACHE	0.019713	13901	0.411522	12067
ACIN1	0.323836	5853	1.790387	2851
ACKR1	0.178373	9641	0.178373	13095
ACKR2	0.236523	7963	0.469174	11810
ACKR3	0.559987	2586	1.904085	2216
ACKR4	0.942995	833	1.047630	8585
ACLY	0.893230	961	2.187929	1234
ACMSD	0.017046	14110	0.017046	14698
ACO1	0.563343	2556	2.087284	1494
ACO2	0.176766	9678	1.938162	2044
ACOD1	0.000000	16955	0.000000	17229
ACOT1	0.425204	4102	0.476841	11787
ACOT11	0.318419	5976	0.409449	12071
ACOT12	0.031776	13602	0.031776	14335
ACOT13	0.686459	1741	1.693199	3476
ACOT2	0.429769	4029	1.444295	5306
ACOT4	0.062660	12888	0.201848	12929
ACOT6	-	19003	-	19003
ACOT7	1.047969	620	1.589638	4194
ACOT8	0.241349	7839	1.642119	3835
ACOT9	0.206717	8796	1.662730	3693
ACOX1	0.413574	4277	1.787035	2878
ACOX2	0.465831	3549	0.955427	9248
