gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.659286	2200	1.614159	4005
A1CF	0.000000	16791	0.000000	17239
A2M	0.894048	1204	1.776948	2947
A2ML1	0.000000	16790	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.444031	4064	1.112479	7992
A4GNT	0.000000	16789	0.000000	17237
AAAS	0.269587	7257	1.456692	5200
AACS	0.722254	1853	1.772918	2985
AADAC	0.469639	3748	0.469639	11778
AADACL2	0.030963	13340	0.030963	14494
AADACL3	0.000000	16788	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.154133	10016	0.644932	11044
AAED1	0.408661	4586	1.627016	3887
AAGAB	0.133534	10488	1.682235	3520
AAK1	0.231650	8119	0.783866	10266
AAMDC	0.628596	2397	1.812392	2726
AAMP	0.429606	4300	1.956503	2041
AANAT	0.000000	16787	0.000000	17235
AAR2	0.298720	6404	1.419956	5496
AARD	1.935474	115	1.949926	2078
AARS	0.162075	9811	1.774152	2976
AARS2	-0.178298	17197	1.032519	8522
AARSD1	0.225204	8272	1.631296	3865
AASDH	0.035941	13072	1.091717	8105
AASDHPPT	0.245448	7774	1.657916	3688
AASS	0.712461	1905	1.774528	2963
AATF	0.090665	11554	1.559526	4360
AATK	0.000000	16786	0.000000	17234
ABAT	0.384053	4952	0.782465	10271
ABCA1	1.185269	640	2.578668	516
ABCA10	0.296519	6446	0.296519	12470
ABCA12	0.100343	11351	0.100343	13647
ABCA13	0.077334	11886	0.077334	13783
ABCA2	0.564990	2800	1.120080	7957
ABCA3	0.328603	5873	1.056557	8389
ABCA4	0.000000	16785	0.000000	17233
ABCA5	0.617902	2455	1.650338	3732
ABCA6	0.553037	2929	1.012211	8718
ABCA7	0.238401	7967	0.833378	9917
ABCA8	0.796707	1513	1.737503	3182
ABCA9	0.851996	1319	1.153871	7640
ABCB1	0.100343	11350	0.392543	12167
ABCB10	0.185764	9233	1.045925	8454
ABCB11	0.000000	16784	0.000000	17232
ABCB4	0.000000	16783	0.100343	13646
ABCB5	0.202588	8815	0.202588	13093
ABCB6	0.769217	1636	1.006232	8752
ABCB7	0.095729	11431	1.333555	6187
ABCB8	0.277824	6818	1.339409	6155
ABCB9	0.095318	11445	0.558709	11466
ABCC1	0.224809	8281	1.465854	5130
ABCC10	0.241068	7907	0.704727	10681
ABCC11	0.000000	16782	0.000000	17231
ABCC12	0.000000	16781	0.000000	17230
ABCC2	0.253780	7574	0.253780	12924
ABCC3	0.635450	2352	1.447778	5272
ABCC4	0.195360	8995	1.086392	8185
ABCC5	0.257681	7484	1.003496	8773
ABCC6	-	19006	-	19006
ABCC8	0.024228	13636	0.024228	14679
ABCC9	1.245864	549	1.608803	4037
ABCD1	0.538646	3067	1.491870	4895
ABCD2	1.930532	117	2.091914	1510
ABCD3	0.218564	8458	1.383203	5776
ABCD4	0.201262	8848	1.358125	5981
ABCE1	0.051429	12592	1.570494	4288
ABCF1	0.175105	9507	1.890383	2353
ABCF2	0.398129	4733	1.519351	4648
ABCF3	0.110796	11008	1.585574	4203
ABCG1	0.068526	12158	0.993584	8824
ABCG2	0.046880	12745	0.107161	13549
ABCG4	0.095478	11441	0.111122	13513
ABCG5	0.000000	16780	0.000000	17229
ABCG8	0.000000	16779	0.000000	17228
ABHD1	0.734899	1792	0.794071	10209
ABHD10	0.096368	11417	1.232273	7013
ABHD11	0.150119	10109	1.025306	8624
ABHD12	0.139030	10352	1.657916	3687
ABHD12B	0.053545	12554	0.053545	14079
ABHD13	0.147717	10164	1.174932	7498
ABHD14A	0.536240	3088	1.653408	3711
ABHD14B	0.464472	3810	2.221930	1130
ABHD15	1.119443	729	1.460006	5183
ABHD16A	0.162252	9807	1.390051	5735
ABHD16B	-	19005	-	19005
ABHD17A	0.296117	6453	1.222716	7112
ABHD17B	0.190247	9115	1.098155	8065
ABHD17C	0.158088	9905	1.199481	7283
ABHD18	0.104859	11151	0.851870	9844
ABHD2	0.084128	11688	1.481712	4996
ABHD3	0.149714	10117	1.100076	8054
ABHD4	1.062004	841	2.402493	785
ABHD5	1.103944	754	2.300823	945
