gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.413577	2368	1.395256	4724
A1CF	0.000000	16224	0.000000	17239
A2M	1.649292	73	2.699594	180
A2ML1	0.390935	2575	0.390935	11085
A3GALT2	-	19008	-	19008
A4GALT	-0.449285	17201	0.215141	12056
A4GNT	0.000000	16223	0.000000	17238
AAAS	0.494810	1712	1.888780	1591
AACS	0.273987	4243	1.324651	5316
AADAC	0.000000	16222	0.000000	17237
AADACL2	0.000000	16221	0.000000	17236
AADACL3	0.000000	16220	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.287924	4013	0.797268	9210
AAED1	0.200192	5823	1.345178	5135
AAGAB	0.135336	7765	1.684037	2656
AAK1	0.026002	10929	0.611320	10159
AAMDC	0.092535	9106	1.231979	6070
AAMP	0.093863	9056	1.855249	1726
AANAT	0.000000	16219	0.000000	17234
AAR2	0.209721	5632	1.330957	5250
AARD	0.067385	9802	0.081838	13091
AARS	0.144229	7557	1.756306	2214
AARS2	0.137857	7715	1.348674	5105
AARSD1	0.102985	8782	1.370048	4927
AASDH	0.000000	16218	1.052694	7517
AASDHPPT	0.106235	8701	1.622835	3062
AASS	0.234598	5029	1.296665	5545
AATF	0.185605	6145	1.654465	2841
AATK	0.256420	4610	0.256420	11766
ABAT	0.000000	16217	0.459318	10824
ABCA1	0.000000	16216	1.131093	6896
ABCA10	0.000000	16215	0.000000	17233
ABCA12	0.053078	10218	0.053078	13295
ABCA13	0.000000	16214	0.000000	17232
ABCA2	0.337071	3206	1.115965	7009
ABCA3	0.000000	16213	0.544354	10477
ABCA4	0.000000	16212	0.000000	17231
ABCA5	0.096910	8978	0.902003	8564
ABCA6	0.000000	16211	0.046626	13420
ABCA7	0.408883	2406	1.244441	5971
ABCA8	0.000000	16210	0.144323	12823
ABCA9	0.000000	16209	0.000000	17230
ABCB1	0.000000	16208	0.481925	10729
ABCB10	0.280661	4129	1.140822	6810
ABCB11	0.000000	16207	0.000000	17229
ABCB4	0.970742	396	1.119735	6987
ABCB5	2.075693	30	2.075693	966
ABCB6	0.336179	3225	0.573195	10328
ABCB7	0.000000	16206	1.150449	6716
ABCB8	0.433188	2194	1.605155	3165
ABCB9	0.474654	1861	0.943708	8269
ABCC1	0.148026	7081	1.326303	5296
ABCC10	0.495645	1710	1.163188	6603
ABCC11	0.000000	16205	0.000000	17228
ABCC12	0.000000	16204	0.000000	17227
ABCC2	0.848015	534	0.848015	8891
ABCC3	0.000000	16203	0.371092	11181
ABCC4	0.316064	3530	1.207096	6284
ABCC5	0.281879	4105	1.270679	5762
ABCC6	-	19006	-	19006
ABCC8	0.000000	16202	0.000000	17226
ABCC9	0.000000	16201	0.215141	12055
ABCD1	0.844729	540	1.797952	1993
ABCD2	0.248876	4752	0.410259	11021
ABCD3	0.361312	2938	1.525951	3709
ABCD4	0.175721	6360	1.208443	6267
