gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.357935	10102	1.348936	8347
A1CF	0.026394	15486	0.026394	15549
A2M	0.555270	6403	1.335782	8494
A2ML1	1.440274	898	1.440274	7553
A3GALT2	-	19008	-	19008
A4GALT	0.800219	3641	1.495668	7030
A4GNT	0.000000	17227	0.000000	17239
AAAS	0.442890	8250	1.748639	4761
AACS	0.521760	6916	1.572424	6346
AADAC	0.416641	8880	0.416641	13472
AADACL2	0.334228	10627	0.334228	13720
AADACL3	0.000000	17226	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.237936	12547	0.682827	12436
AAED1	0.456166	8010	1.674521	5423
AAGAB	0.226764	12743	1.775465	4546
AAK1	0.416641	8879	0.957186	11111
AAMDC	0.357779	10105	1.541575	6626
AAMP	0.196348	13318	1.923446	3433
AANAT	0.013270	15734	0.013270	15781
AAR2	0.431217	8483	1.552452	6532
AARD	0.793082	3699	0.807535	11894
AARS	0.250905	12347	1.862981	3867
AARS2	0.167698	13783	1.378516	8079
AARSD1	0.287033	11645	1.572296	6348
AASDH	0.180741	13535	1.261025	9105
AASDHPPT	0.544499	6559	1.764550	4640
AASS	0.301100	11330	1.107888	10204
AATF	0.214360	12941	1.683220	5339
AATK	0.018968	15602	0.018968	15658
ABAT	0.810521	3563	1.305566	8736
ABCA1	0.827208	3456	2.220608	1851
ABCA10	0.196348	13317	0.196348	14290
ABCA12	1.081838	1950	1.081838	10400
ABCA13	0.453375	8050	0.453375	13224
ABCA2	0.361883	10031	1.140778	9975
ABCA3	0.417239	8737	1.145193	9919
ABCA4	0.297089	11448	0.297089	13862
ABCA5	0.472756	7729	1.480272	7168
ABCA6	0.628962	5441	1.088136	10362
ABCA7	0.949393	2638	1.784952	4465
ABCA8	0.535165	6710	1.475962	7217
ABCA9	0.887335	3020	1.189209	9628
ABCB1	0.493290	7370	1.090963	10312
ABCB10	0.280009	11755	1.115359	10147
ABCB11	0.000000	17225	0.000000	17237
ABCB4	0.544734	6555	0.693727	12400
ABCB5	0.014226	15696	0.014226	15747
ABCB6	0.718672	4412	0.955688	11182
ABCB7	0.199269	13206	1.448706	7479
ABCB8	0.665014	4967	1.566193	6402
ABCB9	0.306051	11219	0.721234	12283
ABCC1	0.762181	4020	1.930998	3379
ABCC10	0.312518	11071	0.947601	11229
ABCC11	0.000000	17224	0.000000	17236
ABCC12	0.100343	14526	0.100343	14777
ABCC2	0.234924	12613	0.234924	14076
ABCC3	0.927524	2763	1.739852	4838
ABCC4	1.369468	1061	1.976759	3130
ABCC5	0.344014	10413	1.068823	10481
ABCC6	-	19006	-	19006
ABCC8	0.196348	13316	0.196348	14289
ABCC9	0.289329	11599	0.416641	13471
ABCD1	0.208974	13048	1.162198	9817
ABCD2	0.000000	17223	0.016712	15698
ABCD3	0.667473	4940	1.249198	9191
ABCD4	0.094580	14596	1.166187	9797
ABCE1	0.772304	3905	2.291369	1608
ABCF1	0.339584	10505	2.189518	1994
ABCF2	0.283244	11699	1.710486	5093
ABCF3	0.110006	14425	1.584783	6239
ABCG1	0.253166	12307	1.386087	8034
ABCG2	0.278814	11787	0.278814	13923
ABCG4	0.255314	12274	0.270958	13987
ABCG5	0.000000	17222	0.000000	17235
ABCG8	0.000000	17221	0.000000	17234
ABHD1	0.163322	13835	0.222493	14105
ABHD10	0.228322	12713	1.498999	7003
ABHD11	0.294917	11488	1.253950	9147
ABHD12	0.238118	12542	1.757004	4707
ABHD12B	0.108742	14465	0.108742	14743
ABHD13	0.471785	7744	1.498999	7002
ABHD14A	0.467644	7823	1.356736	8293
ABHD14B	0.190495	13407	1.947952	3288
ABHD15	0.221073	12825	0.561636	12894
ABHD16A	1.076001	1977	1.507842	6939
ABHD16B	-	19005	-	19005
ABHD17A	0.253526	12299	1.180126	9693
ABHD17B	0.598326	5808	1.598969	6108
ABHD17C	0.277976	11800	1.319369	8597
ABHD18	0.563628	6301	1.415497	7762
ABHD2	1.007567	2326	2.202778	1928
ABHD3	0.317708	10952	1.268070	9052
ABHD4	0.752628	4109	2.093117	2442
ABHD5	0.970453	2525	2.167332	2088
ABHD6	0.647760	5201	1.339661	8444
ABHD8	0.508640	7095	1.174708	9725
ABI1	0.762956	4010	2.042851	2733
ABI2	0.325229	10799	1.571025	6359
ABI3	0.422428	8630	0.618709	12697
ABI3BP	2.026039	286	2.702379	609
ABL1	0.524621	6866	1.491853	7069
ABL2	1.806979	419	2.475046	1037
ABLIM1	0.898083	2942	1.787807	4442
ABLIM2	0.139912	14111	0.407971	13496
ABLIM3	0.312979	11059	1.416561	7754
ABO	0.168570	13765	0.294416	13875
ABR	0.981874	2472	1.448207	7485
ABRA	0.164239	13824	0.164239	14462
ABRACL	1.382877	1028	2.567050	822
ABT1	0.244419	12444	1.441285	7533
ABTB1	0.238273	12541	1.426129	7668
ABTB2	0.451604	8089	1.212424	9454
ACAA1	0.540385	6619	1.659668	5573
ACAA2	0.419663	8685	1.697173	5210
ACACA	0.329332	10723	1.472659	7240
ACACB	0.244658	12439	0.352873	13677
ACAD10	0.234434	12622	1.224012	9396
ACAD11	0.660449	5021	0.985304	10966
ACAD8	0.160831	13871	1.369583	8192
ACAD9	0.270958	11960	1.513275	6883
ACADL	0.104515	14490	0.125526	14661
ACADM	0.792719	3701	2.166815	2093
ACADS	0.522710	6902	1.410345	7797
ACADSB	0.310911	11106	1.090963	10311
ACADVL	0.549276	6487	2.298719	1578
ACAN	2.869343	52	2.919642	370
ACAP1	1.332965	1139	1.445066	7504
ACAP2	0.316791	10978	1.840803	4021
ACAP3	0.375785	9729	1.074244	10435
ACAT1	0.364324	9975	1.806346	4286
ACAT2	0.747523	4156	2.180673	2039
ACBD3	1.004457	2342	2.858399	433
ACBD4	0.404090	9102	1.112935	10159
ACBD5	0.342423	10450	0.744959	12193
ACBD6	0.338072	10531	1.517609	6848
ACBD7	0.543032	6580	0.780350	11998
ACCS	0.657825	5056	1.122732	10097
ACCSL	-	19004	-	19004
ACD	0.424603	8594	1.257550	9125
ACE	0.462803	7883	0.909321	11394
ACE2	0.000000	17220	0.000000	17233
ACER1	0.479438	7607	0.479438	13118
ACER2	0.759555	4041	1.076092	10431
ACER3	1.178224	1586	2.296819	1587
ACHE	0.470587	7758	0.862396	11678
ACIN1	0.948413	2643	2.097203	2425
ACKR1	0.196880	13242	0.196880	14217
ACKR2	0.244867	12438	0.477517	13124
ACKR3	1.311808	1193	2.655905	685
ACKR4	1.465253	865	1.569888	6367
ACLY	0.938691	2708	2.233390	1807
ACMSD	0.000000	17219	0.000000	17232
ACO1	0.478743	7618	2.002684	2980
ACO2	0.206692	13102	1.836932	4044
ACOD1	0.000000	17218	0.000000	17231
ACOT1	0.703206	4540	0.754843	12156
ACOT11	0.842726	3330	1.088705	10320
ACOT12	0.041284	15202	0.041284	15294
ACOT13	0.843409	3322	1.800818	4336
ACOT2	0.358543	10089	1.182057	9679
ACOT4	0.397354	9252	0.536542	12976
ACOT6	-	19003	-	19003
ACOT7	1.412672	949	1.653243	5627
ACOT8	0.177747	13571	1.578516	6304
ACOT9	0.416641	8878	1.767747	4615
ACOX1	0.504172	7168	1.641058	5761
ACOX2	0.477718	7640	0.991576	10940
ACOX3	0.329521	10716	1.307068	8713
ACOXL	0.018713	15616	0.018713	15672
ACP1	0.142759	14082	1.950091	3277
ACP2	0.136394	14140	1.679194	5372
ACP5	0.732146	4297	0.904497	11417
ACP6	0.077482	14780	0.750969	12173
ACP7	-	19002	-	19002
ACPP	0.293010	11524	0.522178	13018
ACPT	-	19001	-	19001
ACR	0.000000	17217	0.000000	17230
ACRBP	0.705636	4518	0.952218	11200
ACRC	0.000000	17216	0.000000	17229
ACRV1	0.000000	17215	0.000000	17228
ACSBG1	0.027595	15366	0.027595	15441
ACSBG2	0.027595	15365	0.027595	15440
ACSF2	0.762549	4017	1.388656	8021
ACSF3	0.195255	13339	1.060348	10525
ACSL1	1.552322	737	2.335036	1442
ACSL3	0.521543	6919	2.469999	1045
ACSL4	2.064744	268	3.630671	54
ACSL5	0.764160	4001	1.642069	5755
ACSL6	0.272034	11921	0.272034	13953
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17214	0.000000	17227
ACSM2B	0.000000	17213	0.000000	17226
ACSM3	0.564825	6285	0.637282	12591
ACSM4	-	18999	-	18999
ACSM5	0.050763	15073	0.050763	15184
ACSM6	0.000000	17212	0.000000	17225
ACSS1	0.414460	8919	1.118175	10124
ACSS2	0.490670	7407	1.331089	8526
ACSS3	0.339990	10501	0.764923	12123
ACTA1	1.119597	1796	1.119597	10115
ACTA2	1.635558	627	3.009854	290
ACTB	0.663827	4988	4.107557	11
ACTBL2	0.371363	9820	0.371363	13616
ACTC1	1.662496	582	1.770001	4582
ACTG1	0.772866	3903	4.252290	7
ACTG2	1.203704	1510	1.933269	3363
ACTL10	0.229453	12697	0.346512	13700
ACTL6A	0.620839	5556	1.758114	4687
ACTL6B	0.074610	14891	0.074610	15054
ACTL7A	0.000000	17211	0.000000	17224
ACTL7B	0.000000	17210	0.000000	17223
ACTL8	0.034093	15246	0.034093	15329
ACTL9	0.000000	17209	0.000000	17222
ACTN1	0.795753	3678	2.951423	344
ACTN2	0.567150	6252	0.796754	11929
ACTN3	0.020696	15567	0.020696	15625
ACTN4	0.564329	6290	2.164865	2100
ACTR10	0.390874	9406	1.830493	4104
ACTR1A	0.311546	11094	2.340977	1420
ACTR1B	0.317937	10948	1.608752	6036
ACTR2	0.495820	7314	2.208468	1903
ACTR3	0.643238	5257	2.812806	478
ACTR3B	0.200403	13188	0.996577	10905
ACTR3C	0.095947	14586	0.442323	13262
ACTR5	0.100605	14519	0.897872	11439
ACTR6	0.514579	7014	1.561936	6445
ACTR8	0.304451	11253	1.401385	7883
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17208	0.000000	17221
ACTRT3	-	18997	-	18997
ACVR1	0.472756	7728	1.463594	7337
ACVR1B	0.207347	13075	1.225076	9373
ACVR1C	0.128761	14239	0.164239	14461
ACVR2A	0.281633	11720	0.874295	11558
ACVR2B	0.296764	11457	0.698055	12366
ACVRL1	0.298326	11419	0.652383	12529
ACY1	0.494168	7348	1.489514	7090
ACY3	0.074610	14890	0.074610	15053
ACYP1	0.652384	5136	1.178818	9698
ACYP2	0.525440	6854	1.223423	9401
ADA	0.246791	12415	0.805673	11902
ADAD1	0.000000	17207	0.000000	17220
ADAD2	0.000000	17206	0.000000	17219
ADAL	0.305098	11233	1.033030	10677
ADAM10	0.656518	5081	2.143608	2189
ADAM11	0.074610	14889	0.074610	15052
ADAM12	1.960629	323	2.239124	1787
ADAM15	0.375413	9742	2.055249	2652
ADAM17	2.112898	244	2.136657	2223
ADAM18	0.000000	17205	0.000000	17218
ADAM19	0.643934	5245	1.579326	6289
ADAM2	0.000000	17204	0.000000	17217
ADAM20	0.000000	17203	0.000000	17216
ADAM21	0.023583	15496	0.023583	15560
ADAM22	0.086593	14738	0.468347	13173
ADAM23	0.177737	13574	0.592605	12792
ADAM28	0.173186	13713	0.173186	14436
ADAM29	0.000000	17202	0.000000	17215
