gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.282935	3884	1.193780	6369
A1CF	0.026394	12569	0.026394	14392
A2M	0.285479	3851	1.335782	5120
A2ML1	0.000000	16480	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	773	1.495668	3858
A4GNT	0.000000	16479	0.000000	17238
AAAS	0.150992	7227	1.420397	4427
AACS	0.135977	7752	1.186641	6428
AADAC	0.026394	12568	0.026394	14391
AADACL2	0.000000	16478	0.000000	17237
AADACL3	0.000000	16477	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.105237	8943	0.661209	10264
AAED1	0.456166	1971	1.674521	2705
AAGAB	0.082764	10031	1.631465	2941
AAK1	0.150079	7259	0.957186	8327
AAMDC	0.189037	6105	1.372833	4805
AAMP	0.167540	6750	1.750932	2273
AANAT	0.000000	16476	0.000000	17235
AAR2	0.151795	7204	1.273030	5641
AARD	0.113184	8689	0.127636	12916
AARS	0.250905	4521	1.862981	1782
AARS2	-0.174670	17148	1.036147	7706
AARSD1	0.128378	8031	1.536209	3560
AASDH	0.036842	11880	1.117126	7023
AASDHPPT	0.092594	9413	1.609195	3094
AASS	0.034558	11919	0.768377	9608
AATF	-0.018130	16657	1.450730	4175
AATK	0.018968	12872	0.018968	14511
ABAT	0.091053	9474	0.467181	11189
ABCA1	0.016613	12919	1.030619	7744
ABCA10	0.026394	12567	0.026394	14390
ABCA12	0.000000	16475	0.000000	17234
ABCA13	0.000000	16474	0.000000	17233
ABCA2	0.228605	5005	1.007499	7937
ABCA3	0.085655	9925	0.736667	9800
ABCA4	0.068879	10516	0.068879	13508
ABCA5	0.127636	8213	0.767599	9614
ABCA6	0.181085	6348	0.640260	10382
ABCA7	0.118912	8517	0.453299	11262
ABCA8	0.335348	3084	1.276144	5619
ABCA9	0.512844	1626	0.814718	9331
ABCB1	0.000000	16473	0.047672	13758
ABCB10	0.255198	4429	1.115359	7042
ABCB11	0.000000	16472	0.000000	17232
ABCB4	0.125877	8265	0.274869	12045
ABCB5	0.000000	16471	0.000000	17231
ABCB6	0.373594	2630	0.804520	9399
ABCB7	0.018968	12871	1.147406	6760
ABCB8	0.059782	10841	1.175819	6521
ABCB9	0.171519	6629	0.634909	10402
ABCC1	0.762181	836	1.930998	1524
ABCC10	0.075023	10287	0.650456	10324
ABCC11	0.000000	16470	0.000000	17230
ABCC12	0.100343	9127	0.100343	13064
ABCC2	0.000000	16469	0.000000	17229
ABCC3	0.629157	1170	1.441486	4270
ABCC4	0.200869	5764	1.091901	7250
ABCC5	0.058697	10939	0.987408	8107
ABCC6	-	19006	-	19006
ABCC8	0.000000	16468	0.000000	17228
ABCC9	0.026394	12566	0.129556	12791
ABCD1	0.086593	9895	0.993276	8054
ABCD2	0.000000	16467	0.000000	17227
ABCD3	0.018359	12881	1.182999	6467
ABCD4	-0.014171	16621	1.142692	6803
ABCE1	0.042168	11613	1.561233	3409
ABCF1	0.196848	5885	2.006054	1270
ABCF2	0.223563	5144	1.650805	2830
ABCF3	0.054770	11038	1.529548	3608
ABCG1	0.000000	16466	0.187890	12478
ABCG2	0.067132	10611	0.136644	12763
ABCG4	0.094831	9349	0.110476	13015
ABCG5	0.000000	16465	0.000000	17226
ABCG8	0.000000	16464	0.000000	17225
ABHD1	0.004310	13112	0.063481	13568
ABHD10	0.140195	7623	1.297940	5422
ABHD11	0.283989	3875	1.253950	5823
ABHD12	0.077665	10199	1.540260	3525
ABHD12B	0.000000	16463	0.000000	17224
ABHD13	0.121985	8399	1.149199	6748
ABHD14A	0.206579	5618	1.280759	5583
ABHD14B	0.163434	6848	1.920891	1563
ABHD15	0.143370	7511	0.483934	11121
ABHD16A	0.065529	10654	1.278973	5599
ABHD16B	-	19005	-	19005
ABHD17A	0.111193	8762	1.037792	7687
ABHD17B	0.084802	9956	1.025174	7796
ABHD17C	0.277976	3966	1.319369	5235
ABHD18	0.080278	10099	0.932148	8525
ABHD2	0.676629	1030	2.111569	976
ABHD3	-0.485224	17226	0.465139	11193
ABHD4	0.410078	2317	1.750567	2276
ABHD5	0.252566	4488	1.449445	4193
ABHD6	0.127636	8212	0.711975	9962
ABHD8	0.068527	10525	0.970891	8219
ABI1	0.291186	3762	1.806729	2027
ABI2	0.188492	6128	1.567746	3359
ABI3	0.000000	16462	0.106021	13019
ABI3BP	1.855504	60	2.531845	356
ABL1	0.490341	1762	1.491853	3885
ABL2	0.744012	871	1.412079	4505
ABLIM1	0.167354	6755	0.952483	8363
ABLIM2	0.022874	12627	0.290933	11964
ABLIM3	0.127636	8211	1.301029	5397
ABO	0.053989	11083	0.053989	13631
ABR	0.885950	634	1.448207	4205
ABRA	0.164239	6824	0.164239	12577
ABRACL	0.292754	3726	1.382895	4724
ABT1	-0.033503	16774	1.163364	6627
ABTB1	0.234911	4866	1.216690	6173
ABTB2	0.451604	2000	1.212424	6212
ACAA1	0.094674	9358	1.576690	3305
ACAA2	0.404394	2365	1.697173	2571
ACACA	0.108647	8847	0.798131	9433
ACACB	0.027595	12333	0.265100	12101
ACAD10	-0.051331	16872	0.938247	8482
ACAD11	0.292309	3739	0.957746	8322
ACAD8	-0.072900	16959	1.135852	6857
ACAD9	0.000000	16461	1.354158	4964
ACADL	0.045208	11436	0.066219	13556
ACADM	-0.013798	16615	1.322648	5208
ACADS	0.195816	5913	1.083451	7313
ACADSB	0.105502	8937	0.926229	8575
ACADVL	0.447909	2033	2.128836	927
ACAN	2.869343	6	2.919642	130
ACAP1	0.027595	12332	0.088273	13182
ACAP2	0.114380	8658	1.490088	3898
ACAP3	0.121325	8425	0.669221	10214
ACAT1	0.364324	2721	1.806346	2028
ACAT2	-0.052159	16875	1.311777	5308
ACBD3	0.260728	4302	2.114670	970
ACBD4	0.036195	11888	0.745040	9757
ACBD5	0.212736	5445	0.701086	10040
ACBD6	0.289006	3798	1.319078	5238
ACBD7	0.022939	12625	0.260257	12110
ACCS	0.263670	4237	0.644491	10367
ACCSL	-	19004	-	19004
ACD	0.140472	7613	1.057289	7517
ACE	0.462803	1925	0.909321	8695
ACE2	0.000000	16460	0.000000	17223
ACER1	0.000000	16459	0.000000	17222
ACER2	-0.029643	16747	0.214229	12342
ACER3	-0.076420	16969	1.042174	7660
