gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.159631	9604	0.904497	9557
A1CF	0.000000	16725	0.000000	17239
A2M	0.555270	2590	1.307068	6292
A2ML1	1.440274	255	1.440274	5071
A3GALT2	-	19008	-	19008
A4GALT	0.567808	2519	1.232234	7004
A4GNT	0.000000	16724	0.000000	17238
AAAS	0.442890	3727	1.697564	3068
AACS	0.273142	7085	1.323806	6078
AADAC	0.416641	4318	0.416641	12276
AADACL2	0.334228	5803	0.334228	12441
AADACL3	0.000000	16723	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.066202	11816	0.416641	12275
AAED1	0.182433	9027	1.218935	7086
AAGAB	0.193470	8783	1.742171	2779
AAK1	0.416641	4317	0.843014	9996
AAMDC	0.292166	6650	1.475962	4811
AAMP	0.060216	11931	1.864982	2129
AANAT	0.000000	16722	0.000000	17236
AAR2	0.106386	10842	1.189209	7405
AARD	0.332611	5838	0.347064	12426
AARS	0.032744	12408	1.631664	3498
AARS2	0.129428	10243	1.340246	5974
AARSD1	0.078920	11483	1.491753	4659
AASDH	0.022729	12764	1.004435	8871
AASDHPPT	0.121893	10421	1.638494	3473
AASS	0.281697	6869	1.088809	8102
AATF	0.214360	8282	1.683220	3163
AATK	0.000000	16721	0.000000	17235
ABAT	0.362943	5258	0.942782	9387
ABCA1	0.563757	2540	1.957157	1715
ABCA10	0.022729	12763	0.022729	13919
ABCA12	1.081838	617	1.081838	8305
ABCA13	0.453375	3607	0.453375	11745
ABCA2	0.361883	5277	1.140778	7827
ABCA3	0.022729	12762	0.624282	11288
ABCA4	0.000000	16720	0.000000	17234
ABCA5	0.447836	3677	1.480272	4731
ABCA6	0.628962	2052	1.088136	8278
ABCA7	0.196981	8696	1.032540	8552
ABCA8	0.535165	2779	1.475962	4810
ABCA9	0.887335	984	1.189209	7404
ABCB1	0.027595	12596	0.027595	13810
ABCB10	0.280009	6909	1.088136	8277
ABCB11	0.000000	16719	0.000000	17233
ABCB4	0.000000	16718	0.000000	17232
ABCB5	0.000000	16717	0.000000	17231
ABCB6	0.718672	1570	0.955688	9317
ABCB7	0.000000	16716	1.200510	7193
ABCB8	0.197226	8693	1.285472	6422
ABCB9	0.306051	6397	0.486333	11651
ABCC1	0.557456	2579	1.530793	4309
ABCC10	0.312518	6258	0.870989	9911
ABCC11	0.000000	16715	0.000000	17230
ABCC12	0.000000	16714	0.000000	17229
ABCC2	0.234924	7863	0.234924	12669
ABCC3	0.927524	884	1.739852	2787
ABCC4	0.380345	4936	1.271377	6655
ABCC5	0.236571	7837	1.068823	8383
ABCC6	-	19006	-	19006
ABCC8	0.000000	16713	0.000000	17228
ABCC9	0.289329	6721	0.416641	12274
ABCD1	0.022729	12761	0.772483	10268
ABCD2	0.000000	16712	0.000000	17227
ABCD3	0.051741	12098	1.216381	7101
ABCD4	-0.009632	16787	1.147232	7642
ABCE1	0.100490	10958	1.619554	3590
ABCF1	0.286584	6778	2.136518	1148
ABCF2	0.283244	6846	1.710486	2970
ABCF3	0.004058	12982	1.478835	4737
ABCG1	0.253166	7485	1.386087	5526
ABCG2	0.278814	6953	0.278814	12579
ABCG4	0.108742	10809	0.108742	13227
ABCG5	0.000000	16711	0.000000	17226
ABCG8	0.000000	16710	0.000000	17225
ABHD1	0.000000	16709	0.000000	17224
ABHD10	0.103237	10912	1.307068	6291
ABHD11	0.294917	6588	0.951056	9337
ABHD12	0.128301	10276	1.647187	3436
ABHD12B	0.108742	10808	0.108742	13226
ABHD13	0.136708	10094	1.163922	7545
ABHD14A	0.467644	3462	1.307068	6290
ABHD14B	0.159299	9608	1.916756	1881
ABHD15	0.076077	11530	0.416641	12273
ABHD16A	0.084237	11395	0.963603	9073
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	16708	0.902046	9573
ABHD17B	0.376779	4989	1.060209	8426
ABHD17C	0.265675	7234	1.307068	6289
ABHD18	0.236266	7841	1.088136	8276
ABHD2	0.000000	16707	1.426674	5224
ABHD3	-0.195372	17186	0.754990	10566
ABHD4	0.365659	5202	1.631241	3546
ABHD5	0.970453	792	2.167332	1084
ABHD6	0.153690	9715	0.709337	10731
ABHD8	0.280328	6900	1.174708	7493
ABI1	0.349218	5485	1.673206	3244
ABI2	0.325229	6000	1.514307	4480
ABI3	0.000000	16706	0.000000	17223
ABI3BP	2.026039	90	2.702379	259
ABL1	0.474450	3384	1.475962	4809
ABL2	0.476630	3361	1.144696	7665
ABLIM1	0.898083	956	1.787807	2505
ABLIM2	0.083587	11405	0.351647	12403
ABLIM3	0.312979	6248	1.338188	5986
ABO	0.027595	12595	0.027595	13809
ABR	0.981874	772	1.266293	6686
ABRA	0.000000	16705	0.000000	17222
ABRACL	0.553553	2603	1.773689	2570
ABT1	0.066032	11818	1.262898	6703
ABTB1	0.108742	10807	1.102979	8035
ABTB2	0.055394	12035	0.797009	10182
ACAA1	0.540385	2730	1.640516	3460
ACAA2	0.419663	4008	1.677607	3227
ACACA	0.329332	5915	1.472659	4826
ACACB	0.000000	16704	0.126286	13047
ACAD10	0.087783	11317	1.077361	8338
ACAD11	0.566960	2524	0.870989	9910
ACAD8	0.002792	12996	1.211544	7124
ACAD9	0.097950	11117	1.409334	5322
ACADL	0.104515	10865	0.125526	13072
ACADM	0.157557	9649	1.531653	4301
ACADS	0.000000	16703	0.512532	11571
ACADSB	0.310911	6283	1.026942	8756
ACADVL	0.549276	2639	2.298719	791
ACAN	0.177011	9179	0.227309	12694
ACAP1	0.000000	16702	0.075962	13519
ACAP2	0.316791	6168	1.711004	2967
ACAP3	0.375785	5005	1.074244	8355
ACAT1	0.000000	16701	1.597256	3786
ACAT2	0.747523	1452	2.180673	1058
ACBD3	0.108885	10696	1.962826	1689
ACBD4	0.081890	11439	0.624282	11287
ACBD5	0.204210	8534	0.624282	11286
ACBD6	0.338072	5699	1.517609	4462
ACBD7	-0.139368	17144	0.097950	13402
ACCS	0.391922	4686	0.795982	10185
ACCSL	-	19004	-	19004
ACD	0.424603	3954	1.231060	7007
ACE	0.022729	12760	0.205814	12793
ACE2	0.000000	16700	0.000000	17221
ACER1	0.479438	3324	0.479438	11683
ACER2	0.316376	6180	0.632914	10983
ACER3	0.155995	9677	1.274589	6490
ACHE	0.022729	12759	0.183979	12856
ACIN1	0.416641	4316	1.990825	1575
ACKR1	0.196880	8698	0.196880	12815
ACKR2	0.244867	7660	0.477517	11690
ACKR3	0.625420	2071	1.969518	1663
ACKR4	0.519647	2908	0.624282	11285
ACLY	0.938691	860	2.233390	916
ACMSD	0.000000	16699	0.000000	17220
ACO1	0.478743	3335	2.002684	1531
ACO2	0.206692	8475	1.796867	2451
ACOD1	0.000000	16698	0.000000	17219
ACOT1	0.180864	9086	0.180864	12895
ACOT11	0.680277	1765	0.926256	9464
ACOT12	0.000000	16697	0.000000	17218
ACOT13	0.376428	4995	1.800818	2435
ACOT2	0.358543	5333	1.088136	8275
ACOT4	-0.111593	17109	0.027595	13808
ACOT6	-	19003	-	19003
ACOT7	1.149916	523	1.653243	3373
ACOT8	0.054435	12046	1.455205	4914
ACOT9	0.416641	4315	1.767747	2612
ACOX1	0.504172	3059	1.641058	3457
ACOX2	0.195228	8751	0.416641	12272
ACOX3	0.329521	5910	1.307068	6288
ACOXL	0.000000	16696	0.000000	17217
ACP1	0.119833	10474	1.927165	1837
ACP2	0.078377	11492	1.631241	3545
ACP5	0.732146	1518	0.904497	9556
ACP6	0.077482	11511	0.750969	10572
ACP7	-	19002	-	19002
