gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	38	3.183790	107
A1CF	1.898050	248	1.898050	2121
A2M	2.034971	209	3.085273	134
A2ML1	0.000000	16331	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.225673	7383	0.890098	9490
A4GNT	0.000000	16330	0.000000	17238
AAAS	0.426069	3869	1.820039	2500
AACS	0.212069	7751	1.262733	6704
AADAC	1.849870	261	1.849870	2351
AADACL2	0.000000	16329	0.000000	17237
AADACL3	0.000000	16328	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.935446	1173	1.148057	7652
AAED1	0.068094	11555	1.286449	6502
AAGAB	-0.088250	16862	1.460451	5044
AAK1	0.134431	9781	1.029767	8561
AAMDC	0.215575	7663	1.399370	5582
AAMP	0.193224	8157	1.997989	1717
AANAT	0.000000	16327	0.000000	17235
AAR2	0.412821	4041	1.335884	6098
AARD	0.000000	16326	0.000000	17234
AARS	0.341782	5075	1.953859	1886
AARS2	0.266172	6529	1.476989	4907
AARSD1	0.248554	6882	1.455240	5087
AASDH	0.043383	12406	1.123667	7842
AASDHPPT	-0.020711	16486	1.490399	4783
AASS	0.857829	1359	1.850956	2344
AATF	-0.091587	16871	1.377273	5743
AATK	0.112819	10571	0.112819	13965
ABAT	1.966422	232	2.695586	341
ABCA1	1.033994	974	2.290881	880
ABCA10	0.791715	1582	0.791715	10094
ABCA12	0.000000	16325	0.000000	17233
ABCA13	0.118675	10369	0.118675	13819
ABCA2	0.130525	9848	0.708399	10574
ABCA3	0.620680	2270	1.348634	5995
ABCA4	0.190106	8373	0.190106	13321
ABCA5	1.007141	1031	1.787704	2685
ABCA6	1.258738	645	1.717912	3121
ABCA7	0.052025	12255	0.729523	10461
ABCA8	0.697072	1926	1.637868	3671
ABCA9	0.185808	8490	0.185808	13353
ABCB1	1.320513	585	1.918186	2026
ABCB10	0.426949	3862	1.287110	6492
ABCB11	1.462847	489	1.462847	5015
ABCB4	2.089099	196	2.238092	1017
ABCB5	0.000000	16324	0.000000	17232
ABCB6	0.209498	7811	0.588190	11192
ABCB7	0.136300	9746	1.385738	5679
ABCB8	0.181280	8597	1.353247	5953
ABCB9	0.216959	7641	0.607069	11103
ABCC1	0.273427	6368	1.522523	4536
ABCC10	0.394065	4282	0.944599	9128
ABCC11	0.000000	16323	0.000000	17231
ABCC12	0.000000	16322	0.000000	17230
ABCC2	1.895464	250	1.895464	2135
ABCC3	1.402242	522	2.214571	1065
ABCC4	0.095351	11041	0.663353	10782
ABCC5	0.067132	12008	0.724419	10501
ABCC6	-	19006	-	19006
ABCC8	0.000000	16321	0.000000	17229
ABCC9	0.854874	1372	1.154820	7591
ABCD1	0.342894	5047	1.296117	6431
ABCD2	0.000000	16320	0.000000	17228
ABCD3	0.658503	2078	1.477778	4896
ABCD4	0.488522	3184	1.277044	6578
ABCE1	0.066520	12026	1.585585	4071
ABCF1	0.121581	10062	1.971516	1816
ABCF2	0.341506	5080	1.768748	2783
ABCF3	0.143315	9594	1.618092	3841
ABCG1	0.078627	11347	1.211548	7148
ABCG2	0.231494	7259	0.330383	12374
ABCG4	0.120275	10216	0.120275	13742
ABCG5	1.281206	622	1.281206	6540
ABCG8	1.943557	236	1.943557	1916
ABHD1	0.371188	4620	0.430360	11885
ABHD10	0.111682	10589	1.382360	5707
ABHD11	0.161405	9135	1.131366	7793
ABHD12	0.125934	9957	1.644820	3629
ABHD12B	0.000000	16319	0.000000	17227
ABHD13	0.258241	6687	1.285455	6513
ABHD14A	0.253528	6773	1.087816	8108
ABHD14B	0.326546	5320	2.084003	1410
ABHD15	0.615821	2294	0.956385	9057
ABHD16A	0.011007	12880	1.301709	6382
ABHD16B	-	19005	-	19005
ABHD17A	0.178158	8685	1.104757	8004
ABHD17B	0.308141	5657	1.227473	6997
ABHD17C	0.267217	6500	1.240768	6879
ABHD18	0.431574	3803	1.283444	6523
ABHD2	0.987422	1063	2.284792	900
ABHD3	0.419555	3959	1.369917	5817
ABHD4	0.142796	9602	1.483285	4845
ABHD5	0.264208	6567	1.311597	6300
ABHD6	0.760997	1665	1.165975	7513
ABHD8	0.490778	3161	1.113636	7932
ABI1	-0.028630	16553	1.486912	4813
ABI2	0.285721	6094	1.468608	4978
ABI3	0.909168	1240	1.131871	7790
ABI3BP	0.014141	12847	0.588335	11156
ABL1	0.223179	7453	1.224691	7020
ABL2	0.345843	5003	1.013910	8669
ABLIM1	1.218397	702	1.218397	7079
ABLIM2	0.183648	8536	0.451707	11800
ABLIM3	1.103116	850	1.914644	2039
ABO	0.000000	16318	0.000000	17226
ABR	0.356425	4848	1.417794	5417
ABRA	0.000000	16317	0.000000	17225
ABRACL	0.528695	2856	1.733925	3008
ABT1	0.229909	7289	1.426776	5353
ABTB1	0.190106	8372	1.008971	8698
ABTB2	0.611981	2317	1.372801	5787
ACAA1	0.828290	1452	2.310306	846
ACAA2	1.344539	569	2.637318	390
ACACA	0.618384	2281	1.761711	2831
ACACB	2.291944	141	2.291944	875
ACAD10	0.372121	4604	1.361698	5884
ACAD11	1.302451	602	1.967887	1836
ACAD8	0.383381	4432	1.592133	4030
ACAD9	0.175357	8755	1.575494	4145
ACADL	1.079508	876	1.100519	8042
ACADM	0.734189	1765	2.108285	1333
ACADS	1.308074	595	2.195709	1116
ACADSB	1.254113	653	2.263359	950
ACADVL	0.746495	1708	2.623465	403
ACAN	0.490907	3158	0.567089	11263
ACAP1	0.154067	9310	0.266169	12756
ACAP2	0.000000	16316	1.551947	4306
ACAP3	0.125842	9964	0.822381	9913
ACAT1	1.504189	463	3.050147	146
ACAT2	0.804070	1531	2.237220	1018
ACBD3	0.025409	12710	1.879350	2207
ACBD4	0.815415	1487	1.524261	4520
ACBD5	0.911873	1231	1.478420	4888
ACBD6	0.351430	4921	1.303463	6361
ACBD7	-0.040092	16642	0.197226	13089
ACCS	0.848107	1396	1.313014	6292
ACCSL	-	19004	-	19004
ACD	0.281904	6180	1.198721	7237
ACE	1.094388	861	1.540906	4395
ACE2	0.000000	16315	0.000000	17224
ACER1	0.000000	16314	0.000000	17223
ACER2	0.625923	2236	0.942460	9141
ACER3	0.039240	12485	1.157834	7571
ACHE	0.469066	3370	0.860875	9670
ACIN1	0.310380	5627	1.841384	2391
ACKR1	0.343768	5030	0.343768	12293
ACKR2	0.892260	1272	0.892260	9469
ACKR3	0.706788	1877	2.050885	1524
ACKR4	0.000000	16313	0.000000	17222
ACLY	0.618031	2283	1.912730	2048
ACMSD	1.525154	436	1.525154	4513
ACO1	0.689013	1954	2.212954	1072
ACO2	0.010471	12891	1.771866	2757
ACOD1	0.000000	16312	0.000000	17221
ACOT1	0.628788	2221	0.628788	10950
ACOT11	0.069455	11524	0.166021	13464
ACOT12	1.433799	503	1.433799	5292
ACOT13	0.612594	2313	1.972572	1812
ACOT2	0.747708	1706	1.722759	3087
ACOT4	0.340611	5092	0.479799	11693
ACOT6	-	19003	-	19003
ACOT7	0.739519	1743	1.655262	3560
ACOT8	0.135670	9758	1.536439	4436
ACOT9	0.137300	9717	1.686365	3332
ACOX1	0.758327	1672	2.200101	1106
ACOX2	1.137080	803	1.358492	5914
ACOX3	0.341449	5083	1.143515	7685
ACOXL	0.000000	16311	0.000000	17220
ACP1	0.265184	6548	1.942068	1923
ACP2	0.677283	1999	2.230146	1030
ACP5	1.978495	228	2.004876	1689
ACP6	0.214010	7700	0.831099	9848
ACP7	-	19002	-	19002
ACPP	0.067132	12007	0.224718	12922
ACPT	-	19001	-	19001
ACR	0.000000	16310	0.000000	17219
ACRBP	0.363263	4737	0.609845	11075
ACRC	0.000000	16309	0.000000	17218
ACRV1	0.000000	16308	0.000000	17217
ACSBG1	0.000000	16307	0.000000	17216
ACSBG2	0.000000	16306	0.000000	17215
ACSF2	0.579541	2512	1.205648	7194
ACSF3	0.332428	5226	1.067122	8285
ACSL1	2.356472	129	2.538808	487
ACSL3	0.296759	5871	2.330173	804
ACSL4	0.170419	8882	1.413688	5449
ACSL5	1.672229	342	1.672229	3434
ACSL6	0.118675	10368	0.118675	13818
ACSM1	-	19000	-	19000
ACSM2A	0.953760	1135	0.953760	9072
ACSM2B	0.603355	2367	0.603355	11113
ACSM3	1.578094	399	1.650551	3588
ACSM4	-	18999	-	18999
ACSM5	1.736611	309	1.736611	2990
ACSM6	0.000000	16305	0.000000	17214
ACSS1	0.118815	10261	0.971211	8950
ACSS2	0.928831	1194	1.769250	2779
ACSS3	1.228100	685	1.802150	2601
ACTA1	0.000000	16304	0.000000	17213
ACTA2	0.401050	4192	1.445070	5185
ACTB	0.715643	1837	4.043081	13
ACTBL2	0.000000	16303	0.000000	17212
ACTC1	1.734726	310	1.842231	2384
ACTG1	0.658956	2077	4.138381	11
ACTG2	0.453206	3545	1.182771	7381
ACTL10	0.000000	16302	0.000000	17211
ACTL6A	0.351074	4926	1.503557	4697
ACTL6B	0.067132	12006	0.067132	14492
ACTL7A	0.000000	16301	0.000000	17210
ACTL7B	0.000000	16300	0.000000	17209
ACTL8	0.000000	16299	0.000000	17208
ACTL9	0.000000	16298	0.000000	17207
ACTN1	0.663323	2057	2.729013	317
ACTN2	0.067132	12005	0.067132	14491
ACTN3	0.000000	16297	0.000000	17206
ACTN4	0.466434	3396	2.141100	1246
ACTR10	-0.038468	16630	1.541352	4391
ACTR1A	0.472713	3343	2.299337	861
ACTR1B	0.190365	8205	1.481180	4863
ACTR2	0.015071	12838	1.526285	4501
ACTR3	0.088909	11158	2.025532	1611
ACTR3B	0.371996	4606	1.300145	6391
ACTR3C	1.196962	727	1.421727	5382
ACTR5	0.214849	7684	1.012116	8675
ACTR6	0.018218	12804	1.065575	8295
ACTR8	-0.043526	16658	1.216939	7091
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16296	0.000000	17205
ACTRT3	-	18997	-	18997
ACVR1	0.212948	7724	1.287442	6488
ACVR1B	0.443089	3670	1.460818	5037
ACVR1C	0.329579	5283	0.365057	12213
ACVR2A	0.158033	9210	0.788932	10103
ACVR2B	0.137689	9710	0.387331	12150
ACVRL1	1.233241	681	1.599289	3973
ACY1	0.999927	1043	2.131105	1275
ACY3	1.396452	526	1.396452	5597
ACYP1	0.326801	5319	0.652274	10854
ACYP2	0.521771	2923	1.299149	6397
ADA	0.809789	1515	1.484306	4830
ADAD1	0.000000	16295	0.000000	17204
ADAD2	0.000000	16294	0.000000	17203
ADAL	0.120478	10085	0.848411	9756
ADAM10	0.215689	7662	1.223602	7039
ADAM11	0.000000	16293	0.000000	17202
ADAM12	0.000000	16292	0.190106	13320
ADAM15	0.967466	1104	2.647302	379
ADAM17	0.052775	12242	1.195822	7267
ADAM18	0.000000	16291	0.000000	17201
ADAM19	0.707368	1873	1.651056	3581
ADAM2	0.000000	16290	0.000000	17200
ADAM20	0.000000	16289	0.000000	17199
ADAM21	0.000000	16288	0.000000	17198
ADAM22	0.000000	16287	0.284696	12679
ADAM23	0.262762	6602	0.745687	10378
ADAM28	0.067132	12004	0.224718	12921
ADAM29	0.000000	16286	0.000000	17197
ADAM30	0.000000	16285	0.000000	17196
ADAM32	0.000000	16284	0.000000	17195
ADAM33	0.000000	16283	0.118675	13817
ADAM7	0.000000	16282	0.000000	17194
ADAM8	0.037725	12529	0.211707	12992
ADAM9	0.129247	9880	1.478387	4890
ADAMDEC1	0.000000	16281	0.000000	17193
ADAMTS1	0.120275	10215	1.548776	4338
ADAMTS10	0.153130	9330	0.851647	9742
ADAMTS12	0.701444	1910	0.938231	9166
ADAMTS13	0.685016	1967	0.685016	10696
ADAMTS14	0.148713	9441	0.190106	13319
ADAMTS15	0.000000	16280	0.478693	11710
ADAMTS16	0.000000	16279	0.000000	17192
ADAMTS17	0.957931	1126	1.067686	8275
ADAMTS18	1.306318	596	1.306318	6337
ADAMTS19	0.000000	16278	0.000000	17191
ADAMTS2	0.335126	5189	1.075544	8196
ADAMTS20	0.000000	16277	0.000000	17190
ADAMTS3	0.000000	16276	0.112819	13964
ADAMTS4	0.514584	2976	1.115990	7910
ADAMTS5	0.035448	12566	0.449907	11803
ADAMTS6	0.436064	3760	0.611671	11057
ADAMTS7	1.049899	947	1.640358	3661
ADAMTS8	0.000000	16275	0.000000	17189
ADAMTS9	0.667030	2044	1.119746	7890
ADAMTSL1	0.308326	5656	0.805253	10007
ADAMTSL2	1.049937	946	1.085656	8119
ADAMTSL3	0.934992	1174	0.974333	8942
ADAMTSL4	0.247315	6907	1.127699	7823
ADAMTSL5	0.169395	8907	0.389080	12087
ADAP1	0.015467	12833	0.649042	10872
ADAP2	0.423593	3907	0.667558	10747
ADAR	0.262866	6598	1.688500	3324
ADARB1	0.406537	4126	1.240768	6878
ADARB2	0.112819	10570	0.112819	13963
ADAT1	0.183793	8531	1.146993	7658
ADAT2	0.338537	5130	1.214563	7114
ADAT3	0.323942	5354	1.997337	1724
ADCK1	0.183512	8540	0.776391	10210
ADCK2	0.040081	12470	1.083083	8149
ADCK5	0.161734	9134	0.958660	9041
ADCY1	0.190106	8371	0.190106	13318
ADCY10	0.735110	1759	0.735110	10433
ADCY2	0.000000	16274	0.000000	17188
ADCY3	0.151044	9388	1.260258	6724
ADCY4	0.832870	1437	1.235018	6919
ADCY5	0.147493	9517	0.147493	13573
ADCY6	0.126434	9949	0.936853	9186
ADCY7	0.036187	12554	0.488404	11628
ADCY8	0.067132	12003	0.067132	14490
ADCY9	0.376513	4537	0.942445	9142
ADCYAP1	0.000000	16273	0.000000	17187
ADCYAP1R1	0.067132	12002	0.067132	14489
ADD1	0.260184	6654	1.831319	2441
ADD2	0.000000	16272	0.197226	13088
ADD3	0.139443	9678	1.099118	8049
