gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	729	1.851746	2729
A1CF	0.000000	17077	0.000000	17239
A2M	0.212122	10468	1.044080	9137
A2ML1	0.000000	17076	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	2548	1.305566	6974
A4GNT	0.000000	17075	0.000000	17237
AAAS	0.547094	3424	1.941064	2270
AACS	0.572172	3151	1.622835	4267
AADAC	0.921208	1147	0.921208	9989
AADACL2	0.000000	17074	0.000000	17236
AADACL3	0.000000	17073	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.360874	6568	0.930487	9938
AAED1	0.369624	6393	1.462879	5585
AAGAB	0.205522	10635	1.754223	3318
AAK1	0.288188	8453	0.949878	9828
AAMDC	0.480847	4386	1.664642	3949
AAMP	0.366441	6467	2.094716	1634
AANAT	0.045574	14416	0.045574	14925
AAR2	0.338157	7096	1.459392	5617
AARD	0.299415	8127	0.313867	13033
AARS	0.408196	5616	2.020273	1900
AARS2	0.328886	7298	1.539703	4906
AARSD1	0.448101	4926	1.647383	4085
AASDH	0.149142	12202	1.229426	7639
AASDHPPT	0.438577	5085	1.742424	3387
AASS	0.386129	6057	1.448196	5707
AATF	0.111949	12999	1.580809	4574
AATK	0.006268	15335	0.023961	15306
ABAT	0.297235	8186	1.008499	9366
ABCA1	0.540045	3503	1.933444	2299
ABCA10	0.293294	8306	0.293294	13142
ABCA12	0.052667	14168	0.052667	14748
ABCA13	0.204967	10659	0.204967	13519
ABCA2	0.436573	5121	0.887520	10261
ABCA3	0.288214	8451	1.016168	9291
ABCA4	0.045574	14415	0.045574	14924
ABCA5	0.077668	13715	0.954452	9753
ABCA6	1.068962	759	1.528136	4987
ABCA7	0.158079	11973	0.749709	10987
ABCA8	0.558100	3307	1.498896	5251
ABCA9	0.893748	1237	1.195623	7931
ABCB1	0.138284	12404	0.735957	11120
ABCB10	0.390227	5973	1.004657	9387
ABCB11	0.000000	17072	0.000000	17234
ABCB4	0.179387	11291	0.328380	12979
ABCB5	0.040191	14479	0.040191	14951
ABCB6	0.412317	5536	0.802159	10749
ABCB7	0.137134	12434	1.386571	6276
ABCB8	0.402875	5724	1.574841	4609
ABCB9	0.437697	5099	0.906751	10093
ABCC1	0.568001	3197	1.824971	2881
ABCC10	0.409095	5600	0.944483	9881
ABCC11	0.000000	17071	0.000000	17233
ABCC12	0.105477	13200	0.105477	14324
ABCC2	0.176076	11439	0.176076	13697
ABCC3	0.611396	2789	1.423725	5921
ABCC4	1.045754	808	1.528304	4985
ABCC5	0.210865	10491	0.987403	9546
ABCC6	-	19006	-	19006
ABCC8	0.178853	11358	0.178853	13689
ABCC9	0.488652	4262	0.768464	10924
ABCD1	0.562447	3253	1.515671	5103
ABCD2	0.040830	14454	0.202212	13545
