gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.333590	2755	1.324591	5081
A1CF	0.000000	16461	0.000000	17239
A2M	0.023961	12280	0.523503	10920
A2ML1	0.000000	16460	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.242114	4315	0.937563	8399
A4GNT	0.000000	16459	0.000000	17237
AAAS	0.432844	1707	1.826814	1731
AACS	0.338202	2690	1.388866	4550
AADAC	0.010116	13466	0.010116	14875
AADACL2	0.000000	16458	0.000000	17236
AADACL3	0.000000	16457	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.360874	2414	0.930487	8448
AAED1	0.078465	9694	1.269885	5569
AAGAB	0.010492	13369	1.559193	3230
AAK1	0.218826	4886	0.726100	9845
AAMDC	0.110298	8359	1.294093	5367
AAMP	0.185375	5777	1.930078	1376
AANAT	0.000000	16456	0.000000	17234
AAR2	0.192851	5563	1.266432	5602
AARD	0.223668	4773	0.238121	12203
AARS	0.250261	4130	1.862338	1600
AARS2	0.115460	8158	1.326278	5070
AARSD1	0.368592	2327	1.643185	2647
AASDH	0.127957	7678	1.208241	6124
AASDHPPT	0.096745	8982	1.613346	2866
AASS	0.254094	4046	1.316161	5166
AATF	0.111949	8292	1.580809	3083
AATK	0.006268	13627	0.023961	14232
ABAT	0.072108	9943	0.570453	10687
ABCA1	0.045152	11142	1.185600	6335
ABCA10	0.027595	12077	0.027595	14150
ABCA12	0.052667	10774	0.052667	13648
ABCA13	0.015108	12817	0.015108	14494
ABCA2	0.046208	11103	0.492714	11058
ABCA3	0.109572	8423	0.482456	11103
ABCA4	0.000000	16455	0.000000	17233
ABCA5	0.077418	9739	0.954452	8264
ABCA6	0.137018	7353	0.596192	10541
ABCA7	0.044225	11186	0.458613	11208
ABCA8	0.047828	10998	0.863472	8918
ABCA9	0.065719	10220	0.367593	11607
ABCB1	0.000000	16454	0.057476	13612
ABCB10	0.133380	7483	0.993541	7966
ABCB11	0.000000	16453	0.000000	17232
ABCB4	0.006899	13615	0.142450	12765
ABCB5	0.000000	16452	0.000000	17231
ABCB6	0.371232	2296	0.802159	9358
ABCB7	0.137134	7348	1.386571	4568
ABCB8	0.168594	6273	1.340560	4958
ABCB9	0.437697	1664	0.906751	8617
ABCC1	0.096702	8985	1.190673	6292
ABCC10	0.151889	6821	0.657916	10224
ABCC11	0.000000	16451	0.000000	17230
ABCC12	0.105477	8575	0.105477	13069
ABCC2	0.176076	6040	0.176076	12543
ABCC3	0.251389	4104	1.063718	7396
ABCC4	0.235575	4452	1.126607	6876
ABCC5	0.066629	10189	0.968183	8142
ABCC6	-	19006	-	19006
ABCC8	0.022729	12384	0.022729	14314
ABCC9	0.405525	1943	0.768464	9577
ABCD1	0.293488	3327	1.246712	5789
ABCD2	0.012475	13335	0.120953	12926
ABCD3	0.072873	9917	1.237512	5855
ABCD4	0.009813	13472	1.156271	6606
ABCE1	0.257045	3975	1.776110	1948
ABCF1	0.065172	10239	1.731426	2162
ABCF2	0.351342	2528	1.778584	1936
ABCF3	0.070836	10000	1.545614	3322
ABCG1	0.061759	10386	0.266822	12081
ABCG2	0.040071	11381	0.097419	13200
ABCG4	0.019696	12555	0.035340	13925
ABCG5	0.009484	13514	0.009484	14899
ABCG8	0.000000	16450	0.000000	17229
ABHD1	0.000000	16449	0.035340	13924
ABHD10	0.146558	7015	1.341356	4951
ABHD11	0.134158	7445	1.104118	7066
ABHD12	0.000000	16448	1.517158	3541
ABHD12B	0.009484	13513	0.009484	14898
ABHD13	-0.032312	16730	0.994902	7958
ABHD14A	0.187818	5702	1.174196	6452
ABHD14B	0.135390	7408	1.892848	1487
ABHD15	0.034883	11586	0.370443	11595
ABHD16A	0.025808	12176	1.316510	5161
ABHD16B	-	19005	-	19005
ABHD17A	0.242386	4303	1.168986	6498
ABHD17B	0.097338	8965	0.931393	8441
ABHD17C	0.104787	8612	1.012593	7822
ABHD18	0.168973	6263	1.003403	7891
ABHD2	0.324744	2880	1.815544	1775
ABHD3	-0.103666	17035	0.846697	9059
ABHD4	0.083112	9521	1.331839	5028
ABHD5	0.095934	9016	1.095629	7138
ABHD6	0.097419	8962	0.534057	10863
ABHD8	0.246200	4216	1.024789	7709
ABI1	0.001413	13707	1.344517	4922
ABI2	0.175485	6062	1.518301	3529
ABI3	0.184720	5794	0.381001	11553
ABI3BP	0.612561	879	1.288901	5409
ABL1	0.346707	2579	1.348219	4895
ABL2	0.566052	1045	1.234119	5886
ABLIM1	0.385477	2138	0.856996	8972
ABLIM2	0.012475	13334	0.105573	13067
ABLIM3	0.402480	1977	1.464690	3946
ABO	0.012475	13333	0.012475	14818
ABR	0.383058	2163	1.285241	5436
ABRA	0.023961	12279	0.023961	14231
ABRACL	0.206559	5198	1.626936	2757
ABT1	0.092766	9147	1.289632	5404
ABTB1	0.027985	11899	1.038029	7604
ABTB2	0.052555	10778	0.813376	9284
ACAA1	0.113977	8211	1.510429	3595
ACAA2	0.354845	2488	1.601773	2936
ACACA	0.510114	1284	1.653441	2590
ACACB	0.152348	6811	0.297867	11894
ACAD10	0.071153	9988	1.060730	7422
ACAD11	0.308211	3113	0.973648	8108
ACAD8	-0.050641	16846	1.158111	6588
ACAD9	0.087107	9365	1.487245	3766
ACADL	0.027595	12076	0.034601	13949
ACADM	0.047528	11025	1.421624	4286
ACADS	0.067472	10159	0.928267	8458
ACADSB	0.012218	13337	1.016382	7779
ACADVL	0.225280	4736	2.024053	1064
ACAN	0.283599	3505	0.333898	11735
ACAP1	0.000000	16447	0.109894	13040
ACAP2	0.032170	11768	1.570456	3152
ACAP3	0.185515	5771	0.883974	8774
ACAT1	0.149729	6898	1.804312	1816
ACAT2	0.785833	476	2.218983	673
ACBD3	0.073446	9899	1.927388	1385
ACBD4	-0.071977	16937	0.577108	10659
ACBD5	0.101852	8712	0.562418	10723
ACBD6	0.260671	3901	1.371872	4701
ACBD7	0.122834	7866	0.360152	11622
ACCS	0.053921	10711	0.501526	11019
ACCSL	-	19004	-	19004
ACD	0.334004	2746	1.250821	5746
ACE	0.367099	2350	0.813617	9280
ACE2	0.000000	16446	0.000000	17228
ACER1	0.000000	16445	0.000000	17227
ACER2	-0.012628	16589	0.180379	12516
ACER3	-0.116079	17064	1.002515	7898
ACHE	0.000000	16444	0.378861	11564
ACIN1	0.351260	2530	1.794199	1868
ACKR1	0.015108	12816	0.015108	14493
ACKR2	0.108207	8471	0.340857	11710
ACKR3	0.027186	12132	0.659945	10213
ACKR4	0.000000	16443	0.062196	13549
ACLY	0.733904	587	2.028603	1046
ACMSD	0.000000	16442	0.000000	17226
ACO1	0.206739	5193	1.730681	2168
ACO2	0.027583	12113	1.768956	1985
ACOD1	0.000000	16441	0.000000	17225
ACOT1	0.230257	4590	0.281894	11985
ACOT11	0.528008	1204	0.619037	10424
ACOT12	0.035340	11569	0.035340	13923
ACOT13	0.262890	3851	1.637264	2690
ACOT2	0.258640	3943	1.297929	5323
ACOT4	0.015443	12692	0.154631	12675
ACOT6	-	19003	-	19003
ACOT7	0.371514	2292	1.441507	4133
ACOT8	0.084330	9480	1.485100	3782
ACOT9	0.138304	7312	1.687369	2390
ACOX1	0.041692	11285	1.372860	4694
ACOX2	0.668858	728	0.699957	9986
ACOX3	0.451940	1578	1.042163	7567
ACOXL	0.012475	13332	0.012475	14817
ACP1	0.100883	8764	1.823010	1745
ACP2	0.084820	9462	1.637683	2686
ACP5	0.188249	5685	0.214629	12336
ACP6	0.194804	5505	0.868291	8880
ACP7	-	19002	-	19002
ACPP	0.115156	8175	0.264391	12093
ACPT	-	19001	-	19001
ACR	0.000000	16440	0.000000	17224
ACRBP	0.117042	8110	0.332205	11747
ACRC	0.000000	16439	0.000000	17223
ACRV1	0.000000	16438	0.000000	17222
ACSBG1	0.023961	12278	0.023961	14230
ACSBG2	0.000000	16437	0.000000	17221
ACSF2	0.278457	3586	1.061069	7417
ACSF3	0.170644	6213	1.011800	7828
ACSL1	0.646013	788	1.726114	2191
ACSL3	0.268178	3753	2.273742	570
ACSL4	0.290671	3375	1.732114	2160
ACSL5	0.022729	12383	0.223497	12277
ACSL6	0.000000	16436	0.000000	17220
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16435	0.000000	17219
ACSM2B	0.000000	16434	0.000000	17218
ACSM3	0.360287	2422	0.432744	11318
ACSM4	-	18999	-	18999
ACSM5	0.119945	7993	0.119945	12931
ACSM6	0.000000	16433	0.000000	17217
ACSS1	-0.003711	16507	0.682123	10090
ACSS2	0.404266	1953	1.244685	5804
ACSS3	0.293765	3321	0.774711	9538
ACTA1	2.248649	9	2.248649	614
ACTA2	0.864277	363	2.238574	634
ACTB	0.377047	2234	3.893324	4
ACTBL2	0.058069	10555	0.058069	13604
ACTC1	3.219782	1	3.327287	22
ACTG1	0.475923	1434	3.891048	5
ACTG2	0.982977	244	1.712542	2261
ACTL10	0.035340	11568	0.151653	12693
ACTL6A	0.163355	6432	1.679372	2453
ACTL6B	0.000000	16432	0.000000	17216
ACTL7A	0.000000	16431	0.000000	17215
ACTL7B	0.000000	16430	0.000000	17214
ACTL8	0.029717	11842	0.029717	14029
ACTL9	0.000000	16429	0.000000	17213
ACTN1	0.242352	4305	2.398022	408
ACTN2	1.436651	53	1.666255	2523
ACTN3	0.105454	8578	0.105454	13072
ACTN4	0.175866	6051	1.890065	1498
ACTR10	0.075393	9808	1.684511	2410
ACTR1A	0.293755	3322	2.262311	586
ACTR1B	0.136274	7372	1.427089	4250
ACTR2	0.226263	4704	1.938911	1346
ACTR3	0.152509	6802	2.322077	498
ACTR3B	0.068030	10102	0.975178	8097
ACTR3C	0.037836	11442	0.220916	12291
ACTR5	0.093512	9124	0.890780	8724
ACTR6	0.000000	16428	1.042649	7558
ACTR8	0.109931	8378	1.301763	5294
ACTRT1	-	18998	-	18998
