gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	640	1.851746	2637
A1CF	0.000000	17013	0.000000	17239
A2M	0.212122	9845	1.044080	8870
A2ML1	0.000000	17012	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	2289	1.305566	6777
A4GNT	0.000000	17011	0.000000	17237
AAAS	0.547094	3101	1.941064	2208
AACS	0.572172	2840	1.622835	4147
AADAC	0.741939	1708	0.741939	10828
AADACL2	0.000000	17010	0.000000	17236
AADACL3	0.000000	17009	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.214820	9776	0.701928	10987
AAED1	0.369624	5908	1.462879	5396
AAGAB	0.205522	10015	1.754223	3213
AAK1	0.288188	7914	0.949878	9560
AAMDC	0.480847	4001	1.664642	3834
AAMP	0.366441	5978	2.094716	1580
AANAT	0.045574	14004	0.045574	14704
AAR2	0.338157	6585	1.459392	5424
AARD	0.299415	7603	0.313867	12771
AARS	0.408196	5164	2.020273	1846
AARS2	0.328886	6786	1.539703	4754
AARSD1	0.448101	4506	1.647383	3963
AASDH	0.149142	11533	1.229426	7406
AASDHPPT	0.237983	9200	1.742424	3285
AASS	0.386129	5589	1.448196	5523
AATF	0.049569	13870	1.518429	4922
AATK	0.000000	17008	0.000000	17234
ABAT	0.120180	12277	0.849344	10177
ABCA1	0.540045	3175	1.933444	2237
ABCA10	0.293294	7776	0.293294	12881
ABCA12	0.019795	14697	0.019795	15145
ABCA13	0.204967	10043	0.204967	13226
ABCA2	0.436573	4680	0.835045	10255
ABCA3	0.288214	7912	1.016168	9020
ABCA4	0.045574	14003	0.045574	14703
ABCA5	0.077668	13213	0.868644	10086
ABCA6	0.549054	3076	0.949878	9559
ABCA7	0.158079	11316	0.749709	10700
ABCA8	0.515156	3482	1.455952	5452
ABCA9	0.893748	1078	1.195623	7697
ABCB1	0.138284	11740	0.735957	10843
ABCB10	0.390227	5503	1.004657	9116
ABCB11	0.000000	17007	0.000000	17233
ABCB4	0.179387	10662	0.328380	12712
ABCB5	0.040191	14099	0.040191	14742
ABCB6	0.412317	5081	0.741939	10827
ABCB7	0.052787	13717	1.199991	7635
ABCB8	0.402875	5263	1.574841	4471
ABCB9	0.429417	4788	0.893762	9897
ABCC1	0.568001	2875	1.824971	2788
