gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.530322	4776	1.435772	6470
A1CF	0.026394	15000	0.026394	15263
A2M	0.958170	1512	1.888496	2852
A2ML1	0.000000	17156	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	2263	1.495668	5922
A4GNT	0.000000	17155	0.000000	17238
AAAS	0.659108	3274	2.053078	2023
AACS	0.408754	6859	1.459418	6228
AADAC	1.792524	181	1.792524	3505
AADACL2	0.000000	17154	0.000000	17237
AADACL3	0.000000	17153	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.162870	12269	0.732483	11535
AAED1	0.456166	5879	1.674521	4382
AAGAB	0.222312	10965	1.771013	3646
AAK1	0.416641	6718	1.063226	9581
AAMDC	0.428475	6364	1.612271	4929
AAMP	0.351681	8083	2.156446	1614
AANAT	0.000000	17152	0.000000	17235
AAR2	0.455966	5880	1.479166	6054
AARD	0.082226	13803	0.096678	14347
AARS	0.292254	9433	1.904331	2770
AARS2	0.349064	8129	1.559882	5359
AARSD1	0.248554	10432	1.610259	4944
AASDH	0.119103	13127	1.199387	8508
AASDHPPT	0.305445	9142	1.571603	5247
AASS	0.334983	8463	1.397050	6848
AATF	0.092841	13632	1.561701	5319
AATK	0.111146	13323	0.128839	14057
ABAT	0.594720	3964	1.323884	7446
ABCA1	0.194744	11573	1.588144	5106
ABCA10	0.037981	14642	0.037981	14982
ABCA12	0.048455	14462	0.048455	14846
ABCA13	0.000000	17151	0.000000	17234
ABCA2	0.228605	10843	1.007499	9946
ABCA3	0.912124	1701	1.640079	4673
ABCA4	1.382427	556	1.382427	6950
ABCA5	0.220403	11009	1.185624	8663
ABCA6	0.659963	3269	1.119138	9171
ABCA7	0.356869	7970	1.192428	8557
ABCA8	0.535165	4715	1.475962	6103
ABCA9	0.887335	1805	1.189209	8631
ABCB1	0.631196	3550	0.752726	11438
ABCB10	0.289332	9515	1.149493	8928
ABCB11	0.000000	17150	0.000000	17233
ABCB4	0.148059	12522	0.297052	13263
ABCB5	0.214846	11115	0.214846	13573
ABCB6	0.718672	2783	0.955688	10312
ABCB7	0.081838	13829	1.320246	7476
ABCB8	0.461026	5809	1.463044	6198
ABCB9	0.347076	8168	0.808166	11102
ABCC1	0.738438	2639	1.773125	3630
ABCC10	0.497186	5235	1.051536	9646
ABCC11	0.000000	17149	0.000000	17232
ABCC12	0.027595	14907	0.027595	15175
ABCC2	0.039068	14598	0.039068	14941
ABCC3	0.857669	1944	1.669997	4412
ABCC4	0.380345	7470	1.271377	7952
ABCC5	0.239765	10621	1.180767	8698
ABCC6	-	19006	-	19006
ABCC8	0.000000	17148	0.000000	17231
ABCC9	0.289329	9517	0.416641	12889
ABCD1	0.379926	7478	1.333150	7390
ABCD2	0.245074	10495	0.406457	12928
ABCD3	0.177588	11990	1.182999	8679
ABCD4	0.411419	6802	1.316540	7495
ABCE1	0.272117	9876	1.791182	3515
ABCF1	0.196848	11520	1.942956	2566
ABCF2	0.470433	5650	1.897675	2800
ABCF3	0.111576	13320	1.586354	5116
ABCG1	0.690622	2989	1.823543	3284
ABCG2	0.504710	5135	0.619659	12050
ABCG4	0.141332	12648	0.156977	13888
ABCG5	0.000000	17147	0.000000	17230
ABCG8	0.000000	17146	0.000000	17229
ABHD1	0.005995	15216	0.065167	14678
ABHD10	0.143120	12616	1.413797	6672
ABHD11	0.671499	3160	1.641460	4660
ABHD12	0.381328	7448	1.900214	2788
ABHD12B	0.138324	12698	0.138324	13967
ABHD13	0.174432	12048	1.216612	8396
ABHD14A	0.467644	5699	1.307068	7633
ABHD14B	0.163434	12260	1.920891	2667
ABHD15	0.473319	5604	0.813883	11078
ABHD16A	0.131729	12824	1.422431	6607
ABHD16B	-	19005	-	19005
ABHD17A	0.329516	8572	1.256115	8067
ABHD17B	0.376779	7540	1.264093	8005
ABHD17C	0.302182	9216	1.319369	7481
ABHD18	0.236266	10702	1.088136	9442
ABHD2	0.358270	7946	1.776673	3607
ABHD3	0.068929	14028	1.019291	9879
ABHD4	0.420640	6495	1.761129	3718
ABHD5	0.374988	7580	1.473142	6120
ABHD6	0.408679	6860	0.855357	10880
ABHD8	0.311736	8987	1.158702	8862
ABI1	0.145953	12562	1.652424	4570
ABI2	0.325229	8678	1.635129	4707
ABI3	1.416858	506	1.613138	4922
ABI3BP	2.026039	116	2.702379	449
ABL1	0.724929	2736	1.523562	5667
ABL2	0.923943	1646	1.592010	5072
ABLIM1	0.982533	1435	1.332698	7394
ABLIM2	0.316179	8883	0.584239	12176
ABLIM3	0.619182	3710	1.604103	4995
ABO	0.242631	10559	0.368477	13045
ABR	0.661683	3254	1.560947	5327
ABRA	0.164239	12224	0.164239	13822
ABRACL	0.753235	2545	2.013475	2200
ABT1	0.444542	6092	1.641408	4661
ABTB1	0.190106	11735	1.216690	8394
ABTB2	0.453524	5921	1.214345	8412
ACAA1	0.540385	4644	1.798933	3459
ACAA2	0.656983	3294	1.949762	2533
ACACA	0.385870	7345	1.529197	5613
ACACB	0.101208	13485	0.289606	13300
ACAD10	0.012540	15183	1.002118	9979
ACAD11	0.566960	4301	0.870989	10810
ACAD8	0.046004	14482	1.254756	8079
ACAD9	0.156462	12383	1.556600	5388
