gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.202780	3433	1.193780	5354
A1CF	0.026394	10051	0.026394	14039
A2M	0.283344	2310	0.920635	7530
A2ML1	0.000000	15316	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	397	1.495668	3145
A4GNT	0.000000	15315	0.000000	17238
AAAS	0.067678	7251	1.350988	4127
AACS	0.014196	10408	0.861220	7986
AADAC	0.026394	10050	0.026394	14038
AADACL2	0.000000	15314	0.000000	17237
AADACL3	0.000000	15313	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	15312	0.537159	10045
AAED1	0.456166	1150	1.674521	2201
AAGAB	0.071183	6991	1.619884	2478
AAK1	0.062124	7470	0.819577	8279
AAMDC	0.189037	3678	1.372833	3974
AAMP	0.082128	6547	1.750932	1848
AANAT	0.000000	15311	0.000000	17235
AAR2	0.145047	4620	1.132952	5873
AARD	0.036310	8803	0.050763	13106
AARS	0.064586	7389	1.676662	2188
AARS2	-0.242663	17095	0.968154	7185
AARSD1	0.128378	5037	1.391427	3840
AASDH	0.026394	10049	0.877368	7865
AASDHPPT	0.014890	10381	1.481245	3239
AASS	0.034558	8866	0.766865	8646
AATF	-0.031232	15860	1.437628	3522
AATK	0.000000	15310	0.000000	17234
ABAT	0.000000	15309	0.290733	11298
ABCA1	0.016613	10325	1.030619	6674
ABCA10	0.026394	10048	0.026394	14037
ABCA12	0.000000	15308	0.000000	17233
ABCA13	0.000000	15307	0.000000	17232
ABCA2	0.228605	3000	1.007499	6880
ABCA3	0.085655	6424	0.736667	8831
ABCA4	0.068879	7160	0.068879	12840
ABCA5	0.084074	6477	0.767599	8644
ABCA6	0.181085	3830	0.640260	9445
ABCA7	0.118912	5304	0.453299	10451
ABCA8	0.335348	1852	1.276144	4687
ABCA9	0.512844	943	0.814718	8312
ABCB1	0.000000	15306	0.047672	13185
ABCB10	0.255198	2631	1.115359	5998
ABCB11	0.000000	15305	0.000000	17231
ABCB4	0.000000	15304	0.144099	12126
ABCB5	0.000000	15303	0.000000	17230
ABCB6	0.292589	2210	0.704317	9049
ABCB7	0.000000	15302	1.147406	5755
ABCB8	0.059782	7555	1.003597	6908
ABCB9	0.171519	4039	0.634909	9476
ABCC1	0.738438	459	1.619271	2481
ABCC10	0.075023	6828	0.569414	9866
ABCC11	0.000000	15301	0.000000	17229
ABCC12	0.027595	9635	0.027595	13777
ABCC2	0.000000	15300	0.000000	17228
ABCC3	0.547485	841	1.359813	4061
ABCC4	0.024878	10093	0.913644	7594
ABCC5	0.000000	15299	0.987408	7035
ABCC6	-	19006	-	19006
ABCC8	0.000000	15298	0.000000	17227
ABCC9	0.026394	10047	0.129556	12225
ABCD1	0.040053	8677	0.993276	6983
ABCD2	0.000000	15297	0.000000	17226
ABCD3	0.018359	10264	1.182999	5457
ABCD4	-0.014171	15577	1.142692	5793
ABCE1	0.010850	10515	1.529914	2940
ABCF1	0.196848	3546	1.768021	1788
ABCF2	0.038485	8735	1.465727	3337
ABCF3	-0.025395	15759	1.449383	3443
ABCG1	0.000000	15296	0.187890	11833
ABCG2	0.067132	7312	0.136644	12178
ABCG4	0.041284	8634	0.041284	13364
ABCG5	0.000000	15295	0.000000	17225
ABCG8	0.000000	15294	0.000000	17224
ABHD1	0.000000	15293	0.053989	12976
ABHD10	0.039235	8702	1.132199	5878
ABHD11	0.114121	5457	0.968186	7183
ABHD12	0.067678	7250	1.540260	2885
ABHD12B	0.000000	15292	0.000000	17223
ABHD13	0.121985	5208	1.149199	5741
ABHD14A	0.180724	3837	1.280759	4651
ABHD14B	0.163434	4206	1.920891	1251
ABHD15	0.143370	4663	0.483934	10303
ABHD16A	0.009176	10571	1.209793	5235
ABHD16B	-	19005	-	19005
ABHD17A	0.094857	6105	1.021457	6749
ABHD17B	0.084802	6456	1.025174	6714
ABHD17C	0.277976	2356	1.319369	4354
ABHD18	0.011941	10479	0.817939	8292
ABHD2	0.358270	1676	1.776673	1750
ABHD3	-0.485224	17218	0.465139	10388
ABHD4	0.410078	1361	1.750567	1853
ABHD5	0.252566	2669	1.449445	3442
ABHD6	0.000000	15291	0.441404	10521
ABHD8	0.068527	7165	0.970891	7161
ABI1	0.077930	6701	1.589248	2636
ABI2	0.091494	6215	1.417787	3658
ABI3	0.000000	15290	0.070729	12785
ABI3BP	1.848607	20	2.524947	275
ABL1	0.490341	1030	1.491853	3165
ABL2	0.676149	561	1.344216	4183
ABLIM1	0.167354	4123	0.952483	7300
ABLIM2	0.022874	10139	0.290933	11292
ABLIM3	0.008597	10584	1.159438	5649
ABO	0.053989	7791	0.053989	12975
ABR	0.367162	1616	1.164403	5612
ABRA	0.164239	4186	0.164239	11988
ABRACL	0.084676	6460	1.382895	3894
ABT1	-0.059569	16258	1.137297	5836
ABTB1	0.028835	9069	1.216690	5168
ABTB2	0.025081	10083	0.785901	8517
ACAA1	0.020218	10208	1.479017	3251
ACAA2	0.294418	2187	1.513932	3048
ACACA	0.036826	8786	0.721043	8946
ACACB	0.027595	9634	0.246345	11518
ACAD10	-0.214650	17044	0.774928	8597
ACAD11	0.166978	4133	0.832414	8193
ACAD8	-0.118810	16687	1.089942	6205
ACAD9	0.000000	15289	1.329547	4286
ACADL	0.027595	9633	0.027595	13776
ACADM	-0.013798	15568	1.322648	4327
ACADS	0.195816	3572	1.083451	6246
ACADSB	0.105502	5723	0.926229	7498
ACADVL	0.447909	1185	2.099708	813
ACAN	2.706117	1	2.756416	148
ACAP1	0.027595	9632	0.088273	12614
ACAP2	0.036162	8812	1.490088	3178
ACAP3	0.121325	5232	0.669221	9249
ACAT1	0.364324	1635	1.806346	1652
ACAT2	-0.112358	16653	1.123873	5937
ACBD3	0.155458	4396	2.009400	1009
ACBD4	0.036195	8811	0.745040	8777
ACBD5	0.058636	7592	0.544242	10010
ACBD6	0.248704	2726	1.319078	4358
ACBD7	-0.039266	16007	0.198052	11768
ACCS	0.263670	2523	0.644491	9418
ACCSL	-	19004	-	19004
ACD	0.055848	7684	0.906888	7645
ACE	0.462803	1129	0.909321	7622
ACE2	0.000000	15288	0.000000	17222
ACER1	0.000000	15287	0.000000	17221
ACER2	-0.029643	15839	0.067132	12924
ACER3	-0.076420	16398	1.042174	6584
ACHE	0.026394	10046	0.047672	13184
ACIN1	0.095273	6098	1.695637	2096
ACKR1	0.000000	15286	0.000000	17220
ACKR2	0.121829	5215	0.127213	12239
ACKR3	1.311808	100	2.655905	197
ACKR4	1.465253	59	1.569888	2726
ACLY	0.028046	9100	1.333340	4254
ACMSD	0.000000	15285	0.000000	17219
ACO1	0.325769	1946	1.849711	1499
ACO2	0.027595	9631	1.550792	2841
ACOD1	0.000000	15284	0.000000	17218
ACOT1	0.241267	2833	0.252150	11500
