gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	5050	1.908622	6047
A1CF	1.241546	3887	1.241546	11768
A2M	1.578519	2163	2.628821	1507
A2ML1	2.027111	897	2.027111	4993
A3GALT2	-	19008	-	19008
A4GALT	0.800219	7977	1.495668	9933
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.591843	11105	1.985813	5355
AACS	0.572172	11396	1.622835	8794
AADAC	0.921208	6585	0.921208	13363
AADACL2	0.896964	6837	0.896964	13462
AADACL3	0.154631	15731	0.154631	15742
AADACL4	-	19007	-	19007
AADAT	0.404825	13933	0.930487	13323
AAED1	0.837794	7495	2.056150	4734
AAGAB	0.274969	15125	1.823670	6839
AAK1	0.629901	10521	1.307328	11330
AAMDC	0.490423	12775	1.674218	8310
AAMP	0.429606	13626	2.156446	3983
AANAT	0.046880	16363	0.046880	16363
AAR2	0.455966	13288	1.559584	9404
AARD	1.935474	1057	1.949926	5652
AARS	0.408196	13892	2.020273	5045
AARS2	0.546655	11824	1.757472	7517
AARSD1	0.983147	5945	1.685234	8176
AASDH	0.180741	15584	1.261025	11629
AASDHPPT	0.570556	11415	1.797683	7109
AASS	0.579058	11294	1.567497	9322
AATF	0.474980	13004	1.943841	5705
AATK	0.549003	11783	0.549003	14604
ABAT	0.810521	7848	1.305566	11341
ABCA1	1.660715	1870	2.727002	1207
ABCA10	0.413041	13836	0.413041	14996
ABCA12	1.835819	1317	1.835819	6723
ABCA13	0.681049	9748	0.681049	14239
ABCA2	0.973348	6035	1.304491	11382
ABCA3	0.912124	6672	1.640079	8646
ABCA4	1.382427	3048	1.382427	10830
ABCA5	0.482339	12892	1.514775	9777
ABCA6	1.068962	5142	1.528136	9658
ABCA7	1.011169	5666	1.846728	6637
ABCA8	0.559116	11590	1.499912	9891
ABCA9	1.220366	4005	1.522241	9702
ABCB1	1.113290	4769	1.710963	7935
ABCB10	0.584352	11214	1.444513	10355
ABCB11	0.000000	17238	0.000000	17238
ABCB4	0.737048	8869	0.886041	13500
ABCB5	0.443669	13448	0.443669	14903
ABCB6	0.769217	8381	1.006232	12973
ABCB7	0.302500	14948	1.551938	9460
ABCB8	0.665014	9989	1.574841	9264
ABCB9	0.437697	13533	0.906751	13433
ABCC1	0.738438	8847	1.913853	5995
ABCC10	0.497186	12655	1.096910	12538
ABCC11	0.000000	17237	0.000000	17237
ABCC12	0.155623	15723	0.155623	15734
ABCC2	1.640084	1935	1.640084	8645
ABCC3	1.370024	3111	2.182352	3774
ABCC4	1.369468	3115	1.976759	5419
ABCC5	0.869883	7113	1.858683	6530
ABCC6	-	19006	-	19006
ABCC8	0.178853	15596	0.178853	15614
ABCC9	0.922756	6559	1.285695	11462
ABCD1	0.960387	6156	1.913611	5996
ABCD2	1.465619	2633	1.627001	8761
ABCD3	0.667473	9961	1.340634	11127
ABCD4	0.745279	8758	1.444513	10354
ABCE1	0.772304	8330	2.291369	3035
ABCF1	0.414216	13827	2.264151	3215
ABCF2	0.479526	12941	1.897675	6141
ABCF3	0.284222	15082	1.758999	7498
ABCG1	0.923022	6556	1.995739	5271
ABCG2	1.584166	2144	1.692142	8115
ABCG4	0.350769	14562	0.366414	15097
ABCG5	0.057612	16244	0.057612	16244
ABCG8	0.000000	17236	0.000000	17236
ABHD1	0.220183	15417	0.279354	15324
ABHD10	0.245758	15298	1.516435	9762
ABHD11	0.705396	9361	1.675357	8294
ABHD12	1.271608	3696	2.488810	2017
ABHD12B	0.357935	14501	0.357935	15138
ABHD13	0.592886	11096	1.620100	8851
ABHD14A	0.536240	11990	1.653408	8528
ABHD14B	0.469020	13094	2.226477	3466
ABHD15	1.036839	5435	1.377403	10884
ABHD16A	1.076001	5075	1.696856	8063
ABHD16B	-	19005	-	19005
ABHD17A	0.660921	10047	1.377276	10888
ABHD17B	0.720640	9114	1.598969	9023
ABHD17C	0.705538	9355	1.737590	7702
ABHD18	0.783212	8195	1.635081	8700
ABHD2	1.007567	5705	2.202778	3609
ABHD3	0.825237	7661	1.775600	7340
ABHD4	1.062004	5208	2.402493	2400
ABHD5	1.032417	5474	2.229296	3439
ABHD6	1.231904	3933	1.479364	10058
ABHD8	0.508640	12454	1.317182	11286
ABI1	0.848298	7363	2.082420	4540
ABI2	0.574935	11356	2.008259	5163
ABI3	1.802202	1419	2.307350	2922
ABI3BP	2.026039	901	2.702379	1275
ABL1	0.939411	6373	1.534153	9621
ABL2	1.806979	1407	2.475046	2071
ABLIM1	1.104925	4842	1.867294	6448
ABLIM2	0.316179	14863	0.584239	14499
ABLIM3	0.932013	6450	1.895434	6173
ABO	1.077459	5066	1.203305	11946
ABR	1.081152	5035	1.594614	9092
ABRA	0.164239	15688	0.164239	15705
ABRACL	1.382877	3046	2.567050	1714
ABT1	0.530706	12071	1.727572	7781
ABTB1	1.293832	3572	2.481688	2042
ABTB2	1.048440	5348	1.809261	6993
ACAA1	0.606552	10876	2.088568	4485
ACAA2	1.129839	4652	2.422618	2310
ACACA	0.603852	10918	1.747179	7620
ACACB	2.212534	641	2.212534	3551
ACAD10	0.454935	13300	1.444513	10353
ACAD11	0.865783	7159	1.280322	11490
ACAD8	0.215349	15440	1.424101	10496
ACAD9	0.921500	6584	1.837020	6718
ACADL	0.729165	8995	0.729165	14104
ACADM	0.792719	8076	2.166815	3891
ACADS	0.729249	8992	1.616884	8876
ACADSB	0.310911	14893	1.140922	12271
ACADVL	0.798783	7994	2.612561	1563
ACAN	2.706117	225	2.756416	1134
ACAP1	1.731970	1622	1.844072	6662
ACAP2	0.831103	7590	2.353782	2656
ACAP3	0.485965	12845	1.096910	12537
ACAT1	0.389416	14127	1.987718	5336
ACAT2	1.070860	5131	2.504010	1955
ACBD3	1.004457	5729	2.858399	923
ACBD4	0.567157	11471	1.276002	11540
ACBD5	0.851124	7325	1.417671	10568
ACBD6	0.702698	9395	1.937468	5776
ACBD7	0.595191	11067	0.832509	13721
ACCS	0.856341	7272	1.122732	12389
ACCSL	-	19004	-	19004
ACD	0.827108	7642	1.743925	7641
ACE	1.718139	1676	2.164656	3915
ACE2	0.238046	15354	0.238046	15442
ACER1	0.204671	15477	0.204671	15513
ACER2	0.759555	8552	1.076092	12643
ACER3	1.178224	4276	2.296819	2997
ACHE	0.883292	6969	1.275101	11545
ACIN1	0.948413	6267	2.254761	3266
ACKR1	0.883216	6970	0.883216	13515
ACKR2	1.747745	1574	1.747745	7600
ACKR3	1.311808	3464	2.655905	1410
ACKR4	1.905574	1114	2.010209	5138
ACLY	1.255445	3792	2.550144	1782
ACMSD	0.051902	16294	0.051902	16294
ACO1	0.627589	10551	2.151530	4019
ACO2	0.353477	14538	2.114873	4276
ACOD1	3.823862	16	3.823862	91
ACOT1	0.657013	10110	0.657013	14285
ACOT11	1.318749	3411	1.500511	9884
ACOT12	0.181844	15579	0.181844	15600
