gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	3088	1.908622	3394
A1CF	0.000000	16829	0.000000	17239
A2M	1.578519	1042	2.628821	780
A2ML1	0.694057	4462	0.694057	11440
A3GALT2	-	19008	-	19008
A4GALT	-0.166333	17132	0.504313	12145
A4GNT	0.000000	16828	0.000000	17238
AAAS	0.368805	7994	1.407246	7175
AACS	0.199507	10734	1.147050	8971
AADAC	0.000000	16827	0.000000	17237
AADACL2	0.896964	3188	0.896964	10451
AADACL3	0.000000	16826	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	16825	0.068942	14914
AAED1	0.837794	3485	2.056150	2567
AAGAB	0.184012	10988	1.732713	4606
AAK1	0.492291	6377	1.221605	8511
AAMDC	0.163460	11321	1.277072	8154
AAMP	0.249419	9839	1.835713	3877
AANAT	0.040191	14161	0.040191	15287
AAR2	0.291493	9139	1.412728	7137
AARD	0.314024	8788	0.328477	12845
AARS	0.021590	14811	1.625392	5428
AARS2	0.046954	13891	1.257771	8274
AARSD1	0.493541	6368	1.347166	7650
AASDH	0.170015	11216	1.250299	8321
AASDHPPT	0.449873	6865	1.610962	5534
AASS	0.032223	14387	0.745457	11197
AATF	0.291248	9144	1.760108	4397
AATK	0.419899	7260	0.437592	12401
ABAT	0.262580	9595	0.991744	9948
ABCA1	1.660715	899	2.727002	628
ABCA10	0.150083	11553	0.150083	13861
ABCA12	1.835819	632	1.835819	3876
ABCA13	0.134625	11783	0.134625	13938
ABCA2	0.734104	4161	0.912443	10364
ABCA3	0.573479	5483	1.301433	7977
ABCA4	0.041284	14095	0.041284	15244
ABCA5	0.769860	3911	1.802296	4104
ABCA6	0.973649	2850	0.973649	10055
ABCA7	0.677586	4579	1.513145	6292
ABCA8	0.114797	12341	0.305660	12948
ABCA9	0.062752	13610	0.178009	13667
ABCB1	0.421947	7233	1.019620	9767
ABCB10	1.228844	1889	2.089005	2420
ABCB11	0.000000	16824	0.000000	17235
ABCB4	0.737048	4139	0.886041	10517
ABCB5	0.443669	6970	0.443669	12382
ABCB6	0.027595	14613	0.401913	12539
ABCB7	0.289109	9175	1.538546	6097
ABCB8	0.383150	7763	1.252262	8309
ABCB9	0.327527	8593	0.611244	11744
ABCC1	0.376546	7864	1.633516	5356
ABCC10	0.338865	8427	1.006408	9849
ABCC11	0.000000	16823	0.000000	17234
ABCC12	0.000000	16822	0.000000	17233
ABCC2	0.378333	7848	0.378333	12656
ABCC3	1.370024	1480	2.182352	2010
ABCC4	1.198873	1973	1.818843	3990
ABCC5	0.313499	8798	1.302299	7973
ABCC6	-	19006	-	19006
ABCC8	0.050763	13816	0.050763	15066
ABCC9	0.068942	13461	0.114797	14320
ABCD1	0.960387	2897	1.913611	3352
ABCD2	1.179367	2029	1.340749	7697
ABCD3	0.194373	10807	1.242912	8370
ABCD4	0.237037	10055	1.319029	7867
ABCE1	0.264931	9556	1.783996	4219
ABCF1	0.414216	7343	2.264151	1695
ABCF2	0.361984	8109	1.639466	5313
ABCF3	0.260950	9624	1.735727	4583
ABCG1	0.923022	3071	1.995739	2889
ABCG2	0.957230	2909	1.072179	9475
ABCG4	0.065625	13502	0.081270	14480
ABCG5	0.000000	16821	0.000000	17232
ABCG8	0.000000	16820	0.000000	17231
ABHD1	0.072347	13048	0.131519	13948
ABHD10	0.245758	9915	1.516435	6265
ABHD11	0.578503	5432	1.548464	6020
ABHD12	1.271608	1770	2.190446	1969
ABHD12B	0.053789	13759	0.053789	15042
ABHD13	0.592886	5303	1.620100	5468
ABHD14A	0.049017	13853	1.025680	9739
ABHD14B	-0.093931	17061	1.663527	5143
ABHD15	0.993511	2756	1.334075	7751
ABHD16A	0.569043	5536	1.696856	4876
ABHD16B	-	19005	-	19005
ABHD17A	0.452172	6845	0.938960	10227
ABHD17B	0.511805	6151	1.357515	7562
ABHD17C	0.225207	10245	1.266600	8222
ABHD18	0.559331	5640	1.411200	7149
ABHD2	0.855190	3384	2.183282	2006
ABHD3	0.668551	4655	1.618914	5473
ABHD4	0.474006	6573	1.814495	4023
ABHD5	1.032417	2569	2.229296	1818
ABHD6	1.231904	1880	1.479364	6570
ABHD8	0.324126	8637	1.145442	8976
ABI1	0.848298	3422	2.082420	2464
ABI2	0.029234	14479	1.463195	6700
ABI3	1.802202	692	2.307350	1526
ABI3BP	0.108094	12450	0.305660	12947
ABL1	0.643806	4874	0.894483	10466
ABL2	1.800263	699	2.468330	1088
ABLIM1	0.977571	2830	1.867294	3650
ABLIM2	0.075705	12981	0.343764	12788
ABLIM3	0.032303	14384	0.892696	10478
ABO	0.269853	9477	0.269853	13099
ABR	1.081152	2360	1.511082	6307
ABRA	0.114797	12340	0.114797	14319
ABRACL	1.045996	2506	2.155027	2127
ABT1	0.441208	7000	1.638074	5322
ABTB1	0.553748	5688	1.741604	4533
ABTB2	1.048440	2495	1.809261	4060
ACAA1	0.606552	5175	2.088568	2426
ACAA2	0.825604	3561	2.118383	2266
ACACA	0.165202	11294	1.256496	8286
ACACB	0.157465	11410	0.401346	12543
ACAD10	0.145799	11622	1.135377	9057
ACAD11	0.522786	6026	0.856232	10665
ACAD8	0.136322	11751	1.345074	7667
ACAD9	0.921500	3081	1.480905	6557
ACADL	0.203270	10672	0.203270	13501
ACADM	0.400934	7524	1.775029	4292
ACADS	0.382889	7770	1.270523	8198
ACADSB	0.102919	12529	1.112165	9214
ACADVL	0.537291	5874	2.425245	1179
ACAN	0.000000	16819	0.028787	15499
ACAP1	1.570460	1053	1.682562	4986
ACAP2	0.831103	3531	2.207922	1896
ACAP3	0.287583	9201	0.986042	9979
ACAT1	0.037981	14232	1.676423	5037
ACAT2	0.752627	4035	2.185777	1990
ACBD3	0.376155	7872	2.230097	1814
ACBD4	0.048854	13856	0.729116	11284
ACBD5	0.666982	4673	1.270084	8201
ACBD6	0.201167	10711	1.317229	7882
ACBD7	0.162339	11340	0.399657	12553
ACCS	0.452266	6843	0.776396	11052
ACCSL	-	19004	-	19004
ACD	0.405836	7464	0.815665	10855
ACE	1.718139	798	2.164656	2083
ACE2	0.000000	16818	0.000000	17230
ACER1	0.204671	10620	0.204671	13456
ACER2	0.603170	5206	0.919708	10325
ACER3	0.663974	4691	1.782568	4231
ACHE	1.168318	2066	1.560127	5920
ACIN1	0.411185	7385	2.254761	1729
ACKR1	0.350898	8256	0.350898	12757
ACKR2	0.334285	8502	0.566935	11902
ACKR3	0.289674	9165	1.151543	8941
ACKR4	0.032699	14356	0.137334	13918
ACLY	0.111072	12401	1.454115	6765
ACMSD	0.000000	16817	0.000000	17229
ACO1	0.398641	7560	1.922582	3288
ACO2	0.341253	8401	1.978699	2975
ACOD1	3.823862	9	3.823862	45
ACOT1	0.311429	8831	0.363066	12711
ACOT11	0.756269	4014	0.827445	10798
ACOT12	0.025182	14771	0.025182	15667
ACOT13	0.951039	2942	2.103291	2344
ACOT2	0.356358	8185	1.395647	7261
ACOT4	0.445477	6940	0.584665	11829
ACOT6	-	19003	-	19003
ACOT7	1.955695	479	2.009129	2806
ACOT8	0.083527	12844	1.484297	6536
ACOT9	0.791630	3772	2.340696	1418
ACOX1	0.471162	6603	1.799218	4129
ACOX2	1.083338	2351	1.114436	9200
ACOX3	1.017027	2648	1.619946	5470
ACOXL	0.046668	13902	0.046668	15100
ACP1	0.085680	12807	1.893012	3491
ACP2	0.721605	4252	2.274468	1659
ACP5	2.671209	114	2.697590	685
ACP6	0.222130	10310	0.769916	11082
ACP7	-	19002	-	19002
ACPP	1.694111	836	1.874521	3604
ACPT	-	19001	-	19001
ACR	0.000000	16816	0.000000	17228
ACRBP	0.960081	2899	1.206663	8601
ACRC	0.000000	16815	0.000000	17227
ACRV1	0.000000	16814	0.000000	17226
ACSBG1	0.338521	8435	0.338521	12811
ACSBG2	0.000000	16813	0.000000	17225
ACSF2	0.869065	3308	1.495172	6444
ACSF3	0.272292	9443	0.934959	10250
ACSL1	2.290438	248	3.073152	280
ACSL3	0.591116	5315	2.624530	787
ACSL4	0.794494	3751	2.303930	1535
ACSL5	1.863452	581	2.284094	1617
ACSL6	0.403688	7496	0.403688	12533
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16812	0.000000	17224
ACSM2B	0.000000	16811	0.000000	17223
ACSM3	0.320897	8685	0.393353	12575
ACSM4	-	18999	-	18999
ACSM5	0.372896	7930	0.372896	12672
ACSM6	0.000000	16810	0.000000	17222
ACSS1	0.435755	7068	1.514906	6279
ACSS2	1.114312	2244	1.292395	8046
ACSS3	0.072495	13045	0.123987	14119
ACTA1	0.651398	4817	0.651398	11592
ACTA2	0.454708	6815	1.502567	6380
ACTB	0.674255	4607	4.184978	15
ACTBL2	0.000000	16809	0.000000	17221
ACTC1	0.068942	13460	0.068942	14913
ACTG1	0.426130	7165	3.905554	33
ACTG2	0.065300	13545	0.365637	12700
ACTL10	0.204671	10619	0.318516	12878
ACTL6A	0.201995	10690	1.683808	4973
ACTL6B	0.154989	11452	0.154989	13795
ACTL7A	0.031141	14436	0.031141	15441
ACTL7B	0.000000	16808	0.000000	17220
ACTL8	0.031141	14435	0.031141	15440
ACTL9	0.000000	16807	0.000000	17219
ACTN1	0.317362	8735	2.455800	1111
ACTN2	1.039516	2533	1.269120	8205
ACTN3	0.026394	14708	0.026394	15623
ACTN4	0.473772	6575	2.187821	1982
ACTR10	0.314506	8782	1.783095	4224
ACTR1A	0.231285	10161	2.260716	1710
ACTR1B	0.179365	11062	1.470180	6640
ACTR2	0.642459	4888	2.355107	1374
ACTR3	1.044619	2510	3.163184	223
ACTR3B	0.718594	4273	1.646744	5260
ACTR3C	0.792629	3764	1.139004	9025
ACTR5	0.407451	7444	1.204718	8610
ACTR6	0.148267	11588	1.195624	8677
ACTR8	0.278074	9358	1.459025	6728
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16806	0.000000	17218
ACTRT3	-	18997	-	18997
ACVR1	0.930223	3031	1.577112	5785
ACVR1B	0.438350	7041	1.456079	6745
ACVR1C	1.377624	1463	1.413102	7133
ACVR2A	1.070914	2405	1.944894	3151
ACVR2B	0.234528	10104	0.635819	11646
ACVRL1	0.540204	5843	0.635726	11647
ACY1	0.296605	9063	1.427784	6986
ACY3	0.983564	2808	0.983564	9992
ACYP1	0.257078	9701	1.066756	9510
ACYP2	0.523604	6012	1.568839	5848
ADA	1.928040	507	2.602557	837
ADAD1	0.000000	16805	0.000000	17217
ADAD2	0.039090	14220	0.039090	15316
ADAL	0.030235	14445	0.758168	11140
ADAM10	0.688734	4499	2.175824	2033
ADAM11	0.068942	13459	0.068942	14912
ADAM12	1.463714	1262	1.723069	4683
ADAM15	0.665502	4680	2.345338	1406
ADAM17	1.117147	2232	2.361172	1358
ADAM18	0.020233	14897	0.020233	15736
ADAM19	1.633503	944	2.530410	967
ADAM2	0.000000	16804	0.000000	17216
ADAM20	0.032303	14383	0.032303	15404
ADAM21	0.000000	16803	0.000000	17215
ADAM22	0.426620	7154	0.874838	10578
ADAM23	0.032234	14386	0.300813	12967
ADAM28	1.690047	844	1.915060	3341
ADAM29	0.026394	14707	0.026394	15622
ADAM30	0.000000	16802	0.000000	17214
ADAM32	0.021486	14854	0.021486	15706
ADAM33	0.091018	12718	0.406105	12513
ADAM7	0.027595	14612	0.027595	15550
ADAM8	2.150927	330	2.324910	1464
ADAM9	0.808322	3675	2.298177	1554
ADAMDEC1	2.282562	254	2.282562	1626
ADAMTS1	0.000000	16801	0.587030	11822
ADAMTS10	0.083646	12842	0.782163	11029
ADAMTS12	-0.036014	16941	0.000000	17213
ADAMTS13	0.000000	16800	0.000000	17212
ADAMTS14	0.125774	11901	0.167167	13733
ADAMTS15	0.586836	5355	1.111315	9220
ADAMTS16	0.068942	13458	0.068942	14911
ADAMTS17	0.645569	4859	0.755324	11153
ADAMTS18	0.000000	16799	0.000000	17211
ADAMTS19	0.040191	14160	0.040191	15286
ADAMTS2	0.057097	13708	0.457972	12314
ADAMTS20	0.000000	16798	0.000000	17210
ADAMTS3	0.000000	16797	0.068942	14910
ADAMTS4	0.000000	16796	0.358938	12721
ADAMTS5	0.205988	10579	0.746370	11189
ADAMTS6	0.051779	13803	0.154426	13799
ADAMTS7	0.000431	15087	0.063444	14985
ADAMTS8	0.000000	16795	0.000000	17209
ADAMTS9	0.000000	16794	0.221860	13387
ADAMTSL1	0.063444	13599	0.068942	14909
ADAMTSL2	0.071615	13093	0.071615	14585
ADAMTSL3	0.190134	10889	0.203270	13500
ADAMTSL4	1.156712	2102	2.037096	2652
ADAMTSL5	0.000000	16793	0.157513	13779
ADAP1	1.291674	1713	1.900603	3441
ADAP2	1.495832	1190	1.739797	4551
ADAR	1.495938	1189	2.279358	1640
ADARB1	0.821738	3587	0.892342	10483
ADARB2	0.338455	8439	0.338455	12812
ADAT1	0.212851	10461	1.176051	8803
ADAT2	0.308967	8871	1.184994	8745
ADAT3	0.220272	10357	1.893667	3483
ADCK1	0.309051	8869	0.949170	10177
ADCK2	0.632970	4976	1.675972	5040
ADCK5	0.437093	7055	1.072088	9478
ADCY1	0.362359	8105	0.442802	12391
ADCY10	0.000000	16792	0.000000	17208
ADCY2	0.206189	10576	0.260569	13160
ADCY3	0.704100	4387	1.079360	9423
ADCY4	0.058671	13691	0.239777	13292
ADCY5	0.114797	12339	0.114797	14318
ADCY6	-0.438227	17217	0.372192	12676
ADCY7	1.546202	1099	1.747002	4495
ADCY8	0.000000	16791	0.000000	17207
ADCY9	0.095123	12640	0.661055	11560
ADCYAP1	0.068942	13457	0.068942	14908
ADCYAP1R1	0.027595	14611	0.027595	15549
ADD1	0.060615	13667	1.715122	4743
ADD2	1.313531	1649	1.519310	6238
ADD3	0.709101	4352	1.490603	6476
ADGB	0.985728	2799	0.985728	9981
ADGRA1	0.039090	14219	0.039090	15315
ADGRA2	0.010750	15025	0.762376	11114
ADGRA3	0.000000	16790	0.567525	11893
ADGRB1	0.732290	4174	0.732290	11267
ADGRB2	0.123987	12079	0.231446	13321
ADGRB3	0.710002	4342	0.950973	10165
ADGRD1	1.439306	1330	1.439306	6900
ADGRD2	-	18996	-	18996
ADGRE1	2.226770	285	2.226770	1826
