gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.223812	3600	1.214812	5447
A1CF	0.000000	15081	0.000000	17239
A2M	1.078048	464	2.107718	783
A2ML1	0.000000	15080	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17190	0.000000	17237
A4GNT	0.000000	15079	0.000000	17236
AAAS	0.150695	4726	1.353871	4387
AACS	-0.003899	15138	0.861782	8019
AADAC	0.000000	15078	0.000000	17235
AADACL2	0.000000	15077	0.000000	17234
AADACL3	0.000000	15076	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	15075	0.055772	11784
AAED1	0.289902	2897	1.508257	3260
AAGAB	-0.067005	16121	1.481696	3458
AAK1	0.246629	3350	1.141965	5995
AAMDC	0.003679	9019	0.934265	7553
AAMP	0.129352	5135	1.634534	2518
AANAT	0.000000	15074	0.000000	17232
AAR2	-0.025306	15514	1.031939	6905
AARD	0.000000	15073	0.000000	17231
AARS	-0.046055	15845	1.341859	4476
AARS2	-0.023821	15483	1.186996	5646
AARSD1	0.124604	5221	1.145382	5968
AASDH	0.057591	6801	1.137876	6022
AASDHPPT	-0.006161	15181	1.500854	3306
AASS	-0.072585	16195	0.124861	11319
AATF	0.054775	6910	1.523636	3171
AATK	0.000000	15072	0.000000	17230
ABAT	0.064467	6607	0.226253	10854
ABCA1	0.621612	1173	2.015011	987
ABCA10	0.000000	15071	0.000000	17229
ABCA12	0.000000	15070	0.000000	17228
ABCA13	0.000000	15069	0.000000	17227
ABCA2	0.029968	7996	0.609631	9389
ABCA3	0.000000	15068	0.448595	10076
ABCA4	0.000000	15067	0.000000	17226
ABCA5	0.070284	6458	1.059113	6673
ABCA6	0.057729	6794	0.080183	11576
ABCA7	0.397048	2077	1.232607	5321
ABCA8	0.000000	15066	0.000000	17225
ABCA9	0.000000	15065	0.000000	17224
ABCB1	0.000000	15064	0.176117	11061
ABCB10	0.338993	2471	1.120092	6163
ABCB11	0.000000	15063	0.000000	17223
ABCB4	0.517690	1515	0.666683	9118
ABCB5	0.443669	1823	0.443669	10094
ABCB6	0.000000	15062	0.242837	10786
ABCB7	0.041008	7329	1.290445	4865
ABCB8	0.080295	6170	1.252262	5159
ABCB9	0.188889	4087	0.401724	10237
ABCC1	0.272572	3064	1.529542	3135
ABCC10	0.338865	2472	1.006408	7053
ABCC11	0.000000	15061	0.000000	17222
ABCC12	0.000000	15060	0.000000	17221
ABCC2	0.000000	15059	0.000000	17220
ABCC3	1.025387	517	1.837715	1567
ABCC4	0.152292	4703	1.043324	6793
ABCC5	0.313499	2689	1.302299	4781
ABCC6	-	19006	-	19006
ABCC8	0.000000	15058	0.000000	17219
ABCC9	0.000000	15057	0.000000	17218
ABCD1	0.622847	1167	1.576070	2864
ABCD2	0.019251	8588	0.180634	11037
ABCD3	0.059622	6740	1.224262	5379
ABCD4	0.057268	6810	1.169618	5791
ABCE1	0.080153	6181	1.599218	2721
ABCF1	-0.042947	15802	1.716232	2098
ABCF2	-0.039622	15760	1.233468	5311
ABCF3	-0.002085	15117	1.472692	3519
ABCG1	0.000000	15056	0.826891	8228
ABCG2	0.259572	3212	0.374521	10346
ABCG4	0.000000	15055	0.000000	17217
ABCG5	0.000000	15054	0.000000	17216
ABCG8	0.000000	15053	0.000000	17215
ABHD1	0.000000	15052	0.000000	17214
ABHD10	0.138824	4947	1.409501	3969
ABHD11	0.099065	5715	0.983227	7224
ABHD12	0.671560	1036	2.190446	630
