gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.213012	3730	1.008158	6505
A1CF	0.000000	14891	0.000000	17239
A2M	0.000000	14890	0.074239	12980
A2ML1	0.674954	812	0.674954	8832
A3GALT2	-	19008	-	19008
A4GALT	0.143349	4894	0.838798	7722
A4GNT	0.000000	14889	0.000000	17238
AAAS	0.464138	1519	1.858108	1442
AACS	0.337752	2324	1.388416	3725
AADAC	0.000000	14888	0.000000	17237
AADACL2	0.000000	14887	0.000000	17236
AADACL3	0.000000	14886	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	14885	0.435935	10177
AAED1	0.010130	9245	1.153570	5448
AAGAB	0.048663	7748	1.597364	2484
AAK1	0.000000	14884	0.602312	9241
AAMDC	-0.016686	15152	0.987944	6646
AAMP	0.223762	3573	2.028527	975
AANAT	0.000000	14883	0.000000	17234
AAR2	0.151945	4733	1.177680	5247
AARD	0.000000	14882	0.000000	17233
AARS	0.215020	3699	1.827097	1528
AARS2	0.037138	8027	1.247955	4715
AARSD1	0.143729	4878	1.556562	2714
AASDH	0.013798	9164	0.860411	7568
AASDHPPT	-0.006913	15008	1.354702	3961
AASS	0.029910	8239	0.784888	8114
AATF	0.065912	7290	1.534772	2817
AATK	0.000000	14881	0.000000	17232
ABAT	0.169515	4422	0.694343	8714
ABCA1	0.128688	5175	1.151836	5463
ABCA10	0.036863	8070	0.036863	13134
ABCA12	0.420455	1734	0.420455	10269
ABCA13	0.164853	4509	0.164853	11708
ABCA2	0.074239	7090	0.641407	9001
ABCA3	0.000000	14880	0.206137	11428
ABCA4	0.013798	9163	0.013798	13565
ABCA5	0.013798	9162	0.375175	10472
ABCA6	0.000000	14879	0.000000	17231
ABCA7	0.218414	3646	1.053973	6204
ABCA8	0.000000	14878	0.000000	17230
ABCA9	0.000000	14877	0.000000	17229
ABCB1	0.000000	14876	0.188616	11560
ABCB10	0.053791	7617	0.857518	7589
ABCB11	0.000000	14875	0.000000	17228
ABCB4	0.000000	14874	0.000000	17227
ABCB5	0.000000	14873	0.000000	17226
ABCB6	0.381435	2006	0.760127	8269
ABCB7	0.000000	14872	1.061236	6150
ABCB8	0.199012	3928	1.370979	3843
ABCB9	0.228281	3517	0.697335	8696
ABCC1	0.239258	3379	1.496228	3019
ABCC10	0.197923	3942	0.833272	7766
ABCC11	0.000000	14871	0.000000	17225
ABCC12	0.000000	14870	0.000000	17224
ABCC2	0.000000	14869	0.000000	17223
ABCC3	0.559478	1140	1.371806	3836
ABCC4	-0.016406	15146	0.846749	7658
ABCC5	0.000000	14868	0.941624	7000
ABCC6	-	19006	-	19006
ABCC8	0.013798	9161	0.013798	13564
ABCC9	0.013798	9160	0.120865	12153
ABCD1	0.000000	14867	0.523802	9708
ABCD2	0.074239	7089	0.074239	12979
ABCD3	-0.052942	15734	0.802410	7995
ABCD4	-0.083378	16052	1.073486	6057
ABCE1	-0.083654	16056	1.435410	3397
ABCF1	-0.096736	16152	1.587180	2539
ABCF2	0.314060	2515	1.741302	1835
ABCF3	0.040617	7950	1.515395	2908
ABCG1	0.184809	4154	1.317730	4225
ABCG2	0.120513	5421	0.120513	12190
ABCG4	0.058594	7470	0.074239	12978
ABCG5	0.000000	14866	0.000000	17222
ABCG8	0.000000	14865	0.000000	17221
ABHD1	0.000000	14864	0.000000	17220
ABHD10	-0.288221	16914	0.929394	7098
ABHD11	0.180263	4259	1.150224	5473
ABHD12	0.000000	14863	1.382873	3754
ABHD12B	0.000000	14862	0.000000	17219
ABHD13	0.092888	6138	1.120102	5692
ABHD14A	0.049498	7718	0.895109	7334
ABHD14B	0.021033	8523	1.778490	1707
ABHD15	0.013798	9159	0.304026	10836
ABHD16A	0.000000	14861	1.132238	5592
ABHD16B	-	19005	-	19005
