gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.031097	10167	0.644772	9883
A1CF	0.000000	15917	0.000000	17239
A2M	0.000000	15916	0.013798	13802
A2ML1	1.194620	281	1.194620	6062
A3GALT2	-	19008	-	19008
A4GALT	0.291322	3373	0.986772	7706
A4GNT	0.000000	15915	0.000000	17238
AAAS	0.317885	3051	1.711855	2318
AACS	0.265754	3760	1.316417	5032
AADAC	0.000000	15914	0.000000	17237
AADACL2	0.000000	15913	0.000000	17236
AADACL3	0.000000	15912	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.194563	5118	0.764176	9227
AAED1	0.147861	6256	1.216430	5875
AAGAB	0.257779	3901	1.806480	1861
AAK1	0.021189	10519	0.627971	9948
AAMDC	-0.060779	16577	0.954626	7955
AAMP	0.117428	7132	1.922194	1398
AANAT	0.000000	15911	0.000000	17234
AAR2	0.086698	8042	1.207933	5958
AARD	0.126629	6869	0.141082	12167
AARS	0.135472	6645	1.747549	2128
AARS2	-0.004484	15992	1.206333	5978
AARSD1	0.106253	7532	1.519086	3488
AASDH	0.199611	5003	1.279895	5374
AASDHPPT	0.260028	3858	1.776629	1981
AASS	0.070662	8562	0.784617	9115
AATF	0.224030	4532	1.692890	2407
AATK	0.000000	15910	0.000000	17233
ABAT	0.166432	5761	0.854911	8638
ABCA1	0.023281	10462	1.228657	5779
ABCA10	0.037426	9988	0.037426	13344
ABCA12	0.993008	452	0.993008	7645
ABCA13	0.107210	7507	0.107210	12537
ABCA2	0.000000	15909	0.532754	10454
ABCA3	0.000000	15908	0.230920	11750
ABCA4	0.000000	15907	0.000000	17232
ABCA5	0.048709	9151	0.784617	9114
ABCA6	0.000000	15906	0.000000	17231
ABCA7	0.124443	6915	0.960002	7913
ABCA8	0.000000	15905	0.000000	17230
ABCA9	0.000000	15904	0.000000	17229
ABCB1	0.000000	15903	0.028905	13379
ABCB10	0.118476	7106	0.978637	7771
ABCB11	0.000000	15902	0.000000	17228
ABCB4	0.000000	15901	0.000000	17227
ABCB5	0.000000	15900	0.000000	17226
ABCB6	0.140446	6457	0.519139	10516
ABCB7	0.230138	4419	1.479575	3763
ABCB8	0.338698	2805	1.421652	4208
ABCB9	0.114102	7224	0.577492	10230
ABCC1	0.150251	6186	1.407221	4341
ABCC10	0.329699	2895	0.820460	8879
ABCC11	0.000000	15899	0.000000	17225
ABCC12	0.000000	15898	0.000000	17224
ABCC2	0.041501	9410	0.041501	12904
ABCC3	0.781024	738	1.593353	3019
ABCC4	0.021020	10526	0.844932	8722
ABCC5	0.010330	11248	0.999131	7614
ABCC6	-	19006	-	19006
ABCC8	0.000000	15897	0.000000	17223
ABCC9	0.000000	15896	0.015108	13612
ABCD1	0.000000	15895	0.323194	11357
ABCD2	0.000000	15894	0.000000	17222
ABCD3	0.114427	7214	1.127429	6639
ABCD4	-0.016155	16134	1.014940	7486
