gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.357935	4502	1.348936	5884
A1CF	0.026394	13893	0.026394	14773
A2M	0.285479	6070	1.335782	5992
A2ML1	0.000000	16877	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	1153	1.495668	4623
A4GNT	0.000000	16876	0.000000	17238
AAAS	0.354669	4569	1.748639	2873
AACS	0.521760	2546	1.572424	4080
AADAC	0.074610	12412	0.074610	14096
AADACL2	0.000000	16875	0.000000	17237
AADACL3	0.000000	16874	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.237936	7297	0.682827	10828
AAED1	0.456166	3146	1.674521	3351
AAGAB	0.082764	12066	1.631465	3647
AAK1	0.239580	7249	0.957186	9129
AAMDC	0.357779	4505	1.541575	4295
AAMP	0.196348	8633	1.923446	1981
AANAT	0.000000	16873	0.000000	17235
AAR2	0.431217	3436	1.552452	4226
AARD	0.115583	11042	0.130036	13497
AARS	0.250905	6952	1.862981	2250
AARS2	0.167698	9452	1.378516	5618
AARSD1	0.159462	9684	1.572296	4082
AASDH	0.036842	13454	1.117126	7859
AASDHPPT	0.092594	11631	1.609195	3826
AASS	0.292841	5912	0.841247	9915
AATF	0.102692	11364	1.571552	4088
AATK	0.018968	14085	0.018968	14866
ABAT	0.514283	2584	1.243447	6790
ABCA1	0.074610	12411	1.147369	7609
ABCA10	0.196348	8632	0.196348	13137
ABCA12	0.000000	16872	0.000000	17234
ABCA13	0.130999	10504	0.130999	13413
ABCA2	0.228605	7542	1.007499	8744
ABCA3	0.085655	11993	0.736667	10518
ABCA4	0.297089	5820	0.297089	12550
ABCA5	0.127636	10749	0.767599	10343
ABCA6	0.181085	9064	0.640260	11022
ABCA7	0.118912	10961	0.630417	11086
ABCA8	0.335348	4951	1.276144	6509
ABCA9	0.512844	2596	0.814718	10084
ABCB1	0.009795	14266	0.047672	14369
ABCB10	0.255198	6841	1.115359	7880
ABCB11	0.000000	16871	0.000000	17233
ABCB4	0.125877	10791	0.274869	12645
ABCB5	0.000000	16870	0.000000	17232
ABCB6	0.423999	3529	0.804520	10143
ABCB7	0.018968	14084	1.147406	7607
ABCB8	0.448495	3229	1.274593	6517
ABCB9	0.252180	6923	0.721234	10608
ABCC1	0.762181	1270	1.930998	1951
ABCC10	0.302032	5674	0.947601	9212
ABCC11	0.000000	16869	0.000000	17231
ABCC12	0.100343	11433	0.100343	13680
ABCC2	0.074610	12410	0.074610	14095
ABCC3	0.629157	1829	1.441486	5093
ABCC4	0.200869	8366	1.091901	8089
ABCC5	0.058697	12834	0.987408	8907
ABCC6	-	19006	-	19006
ABCC8	0.196348	8631	0.196348	13136
ABCC9	0.026394	13892	0.129556	13502
ABCD1	0.181658	9045	1.134881	7706
ABCD2	0.000000	16868	0.015108	14905
ABCD3	0.018359	14089	1.182999	7307
ABCD4	0.009324	14272	1.166187	7462
ABCE1	0.112753	11117	1.631817	3645
ABCF1	0.196848	8492	2.031395	1568
ABCF2	0.248450	7017	1.675692	3339
ABCF3	0.062561	12729	1.537338	4321
ABCG1	0.000000	16867	0.589783	11248
ABCG2	0.067132	12629	0.136644	13389
ABCG4	0.255314	6837	0.270958	12714
ABCG5	0.000000	16866	0.000000	17230
ABCG8	0.000000	16865	0.000000	17229
ABHD1	0.015108	14169	0.063481	14194
ABHD10	0.140195	10243	1.307821	6221
ABHD11	0.283989	6091	1.253950	6702
ABHD12	0.238118	7292	1.757004	2829
ABHD12B	0.000000	16864	0.000000	17228
ABHD13	0.121985	10881	1.149199	7598
ABHD14A	0.278676	6214	1.356736	5817
ABHD14B	0.190495	8801	1.947952	1884
ABHD15	0.143370	10149	0.483934	11733
ABHD16A	0.065529	12660	1.312266	6192
ABHD16B	-	19005	-	19005
ABHD17A	0.253526	6887	1.180126	7338
ABHD17B	0.084802	12015	1.025174	8615
ABHD17C	0.277976	6230	1.319369	6117
ABHD18	0.080278	12121	0.932148	9309
ABHD2	0.676629	1597	2.111569	1283
ABHD3	-0.033784	17018	0.916579	9411
ABHD4	0.438018	3351	1.778507	2694
ABHD5	0.252566	6914	1.449445	5008
ABHD6	0.127636	10748	0.711975	10653
ABHD8	0.068527	12569	0.970891	9003
ABI1	0.291186	5957	1.806729	2542
ABI2	0.297898	5782	1.571025	4092
ABI3	0.422428	3549	0.618709	11117
ABI3BP	1.855504	68	2.531845	464
ABL1	0.490341	2804	1.491853	4652
ABL2	0.744012	1326	1.412079	5339
ABLIM1	0.167354	9459	0.952483	9174
ABLIM2	0.139912	10253	0.407971	12078
ABLIM3	0.297748	5806	1.416561	5287
ABO	0.168570	9424	0.294416	12566
ABR	0.885950	918	1.448207	5022
ABRA	0.164239	9539	0.164239	13263
ABRACL	0.292754	5914	1.684888	3260
ABT1	0.188452	8866	1.385318	5570
ABTB1	0.234911	7381	1.216690	7024
ABTB2	0.451604	3188	1.212424	7056
ACAA1	0.177652	9179	1.659668	3458
ACAA2	0.404394	3806	1.697173	3192
ACACA	0.257696	6768	1.401023	5441
ACACB	0.037660	13431	0.265100	12756
ACAD10	0.234434	7390	1.224012	6954
ACAD11	0.292309	5927	0.957746	9125
ACAD8	-0.065020	17102	1.143732	7644
ACAD9	0.270958	6420	1.513275	4494
ACADL	0.045208	13188	0.066219	14188
ACADM	0.006435	14299	1.322648	6089
ACADS	0.195816	8648	1.083451	8139
ACADSB	0.105502	11302	0.926229	9362
ACADVL	0.447909	3237	2.128836	1227
ACAN	2.869343	6	2.919642	185
ACAP1	0.027595	13746	0.088273	13765
ACAP2	0.114380	11078	1.490088	4669
ACAP3	0.121325	10897	0.796892	10177
ACAT1	0.364324	4378	1.806346	2544
ACAT2	0.590963	2071	2.024113	1590
ACBD3	0.260728	6677	2.114670	1273
ACBD4	0.036195	13456	0.745040	10472
ACBD5	0.212736	8010	0.701086	10730
ACBD6	0.289006	6001	1.352990	5852
ACBD7	0.543032	2382	0.780350	10274
ACCS	0.263670	6606	0.644491	11006
ACCSL	-	19004	-	19004
ACD	0.340733	4838	1.257550	6674
ACE	0.462803	3067	0.909321	9474
ACE2	0.000000	16863	0.000000	17227
ACER1	0.000000	16862	0.000000	17226
ACER2	-0.029643	17002	0.214229	12939
ACER3	-0.076420	17125	1.042174	8494
ACHE	0.470587	2982	0.862396	9784
ACIN1	0.389640	4002	2.004981	1660
ACKR1	0.000000	16861	0.000000	17225
ACKR2	0.175321	9242	0.407971	12077
ACKR3	1.311808	289	2.655905	362
ACKR4	1.465253	201	1.569888	4101
ACLY	0.881850	926	2.176549	1130
ACMSD	0.000000	16860	0.000000	17224
ACO1	0.400586	3857	1.924528	1976
ACO2	0.027595	13745	1.750033	2863
ACOD1	0.000000	16859	0.000000	17223
ACOT1	0.703206	1479	0.754843	10424
ACOT11	0.275569	6279	0.372358	12213
ACOT12	0.041284	13381	0.041284	14479
ACOT13	0.843409	1026	1.355382	5834
ACOT2	0.314261	5387	1.182057	7316
ACOT4	0.057161	12864	0.196348	13135
ACOT6	-	19003	-	19003
ACOT7	0.887898	907	1.604716	3859
ACOT8	0.177747	9172	1.578516	4040
ACOT9	0.142089	10194	1.691155	3219
ACOX1	0.106918	11271	1.548691	4248
ACOX2	0.477718	2927	0.991576	8868
ACOX3	0.320445	5251	1.267139	6594
ACOXL	0.000000	16858	0.000000	17222
ACP1	0.142759	10170	1.950091	1874
ACP2	0.136394	10338	1.679194	3310
ACP5	0.174048	9290	0.270958	12713
ACP6	-0.046880	17059	0.580884	11276
ACP7	-	19002	-	19002
ACPP	0.130036	10590	0.130036	13496
ACPT	-	19001	-	19001
ACR	0.000000	16857	0.000000	17221
ACRBP	0.047834	13123	0.294416	12565
ACRC	0.000000	16856	0.000000	17220
ACRV1	0.000000	16855	0.000000	17219
ACSBG1	0.000000	16854	0.000000	17218
ACSBG2	0.027595	13744	0.027595	14663
ACSF2	0.232711	7442	1.015323	8692
ACSF3	0.195255	8676	1.060348	8320
ACSL1	0.108082	11239	1.274599	6516
ACSL3	0.308955	5501	2.004315	1662
ACSL4	0.163864	9552	1.729792	2997
ACSL5	0.086593	11974	0.844146	9897
ACSL6	0.026394	13891	0.026394	14772
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16853	0.000000	17217
ACSM2B	0.000000	16852	0.000000	17216
ACSM3	0.036863	13452	0.074610	14094
ACSM4	-	18999	-	18999
ACSM5	0.050763	13073	0.050763	14353
ACSM6	0.000000	16851	0.000000	17215
ACSS1	0.414460	3659	1.118175	7849
ACSS2	0.490670	2799	1.331089	6033
ACSS3	0.303537	5642	0.723987	10593
ACTA1	1.119597	488	1.119597	7836
ACTA2	1.520110	172	2.894407	198
ACTB	0.657072	1685	4.107557	7
ACTBL2	0.371363	4271	0.371363	12217
ACTC1	1.662496	118	1.770001	2742
ACTG1	0.772866	1228	4.252290	4
ACTG2	1.203704	383	1.933269	1941
ACTL10	0.127636	10747	0.196741	13013
ACTL6A	0.242098	7185	1.758114	2822
ACTL6B	0.074610	12409	0.074610	14093
ACTL7A	0.000000	16850	0.000000	17214
ACTL7B	0.000000	16849	0.000000	17213
ACTL8	0.028787	13553	0.028787	14513
ACTL9	0.000000	16848	0.000000	17212
ACTN1	0.671454	1614	2.710357	312
ACTN2	0.567150	2213	0.796754	10180
ACTN3	0.000000	16847	0.000000	17211
ACTN4	0.486132	2841	2.131538	1218
ACTR10	0.129369	10608	1.830493	2418
ACTR1A	0.311546	5444	2.340977	759
ACTR1B	0.317937	5311	1.608752	3832
ACTR2	0.045343	13183	1.757991	2824
ACTR3	0.534036	2450	2.322483	792
ACTR3B	0.068428	12570	0.996577	8827
ACTR3C	0.000000	16846	0.270165	12724
ACTR5	0.094349	11595	0.891617	9601
ACTR6	0.000000	16845	1.044184	8481
ACTR8	0.181027	9069	1.328001	6054
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16844	0.000000	17210
ACTRT3	-	18997	-	18997
ACVR1	0.355564	4558	1.418347	5272
ACVR1B	0.198098	8457	1.215828	7027
ACVR1C	0.128761	10622	0.164239	13262
ACVR2A	0.041284	13380	0.874027	9709
ACVR2B	-0.045544	17053	0.337389	12389
ACVRL1	0.298326	5770	0.652383	10969
ACY1	0.358335	4492	1.489514	4676
ACY3	0.074610	12408	0.074610	14092
ACYP1	0.110443	11177	1.178818	7345
ACYP2	0.320701	5242	0.962563	9077
ADA	0.246791	7055	0.805673	10137
ADAD1	0.000000	16843	0.000000	17209
ADAD2	0.000000	16842	0.000000	17208
ADAL	0.166628	9479	0.894561	9574
ADAM10	0.388673	4017	1.875763	2182
ADAM11	0.074610	12407	0.074610	14091
ADAM12	1.409175	225	1.687670	3241
ADAM15	0.282024	6136	1.961860	1837
ADAM17	0.250258	6972	1.237393	6840
ADAM18	0.000000	16841	0.000000	17207
ADAM19	0.593088	2046	1.478506	4765
ADAM2	0.000000	16840	0.000000	17206
ADAM20	0.000000	16839	0.000000	17205
ADAM21	0.000000	16838	0.000000	17204
ADAM22	0.086593	11973	0.427784	11977
ADAM23	0.177737	9176	0.592605	11223
ADAM28	0.000000	16837	0.000000	17203
ADAM29	0.000000	16836	0.000000	17202
ADAM30	0.000000	16835	0.000000	17201
ADAM32	0.027595	13743	0.027595	14662
ADAM33	0.900207	869	1.393535	5498
ADAM7	0.000000	16834	0.000000	17200
ADAM8	0.004826	14313	0.052163	14291
ADAM9	0.503565	2676	2.186252	1095
ADAMDEC1	0.050763	13072	0.050763	14352
ADAMTS1	1.051339	572	2.856110	222
ADAMTS10	0.764536	1260	1.463054	4885
ADAMTS12	1.327213	275	1.564000	4152
ADAMTS13	0.000000	16833	0.000000	17199
ADAMTS14	0.693298	1514	0.928164	9339
ADAMTS15	0.763782	1261	1.288262	6399
ADAMTS16	0.631728	1813	0.631728	11073
ADAMTS17	0.107472	11254	0.232306	12857
ADAMTS18	0.270958	6419	0.270958	12712
ADAMTS19	0.000000	16832	0.000000	17198
ADAMTS2	1.323713	278	2.043905	1514
ADAMTS20	0.000000	16831	0.000000	17197
ADAMTS3	0.183784	8981	0.460567	11848
ADAMTS4	0.561349	2257	1.162755	7483
ADAMTS5	1.730556	98	2.450620	593
ADAMTS6	1.438639	210	1.681350	3290
ADAMTS7	1.145658	446	1.736117	2952
ADAMTS8	0.000000	16830	0.000000	17196
ADAMTS9	0.519042	2561	0.971758	8998
ADAMTSL1	1.273264	323	1.770192	2740
ADAMTSL2	0.262029	6650	0.297748	12549
ADAMTSL3	0.263144	6622	0.302485	12516
ADAMTSL4	0.510329	2615	1.390713	5523
ADAMTSL5	0.464431	3050	0.825939	10010
ADAP1	0.146647	10060	0.664167	10907
ADAP2	0.000000	16829	0.062582	14206
ADAR	0.326946	5116	1.583857	3998
ADARB1	0.498345	2728	1.412987	5324
ADARB2	0.052787	12988	0.052787	14289
ADAT1	0.187581	8891	1.150781	7587
ADAT2	-0.029313	16999	0.846713	9886
ADAT3	0.376411	4189	2.049806	1494
ADCK1	0.183764	8983	0.578235	11292
ADCK2	0.084771	12016	1.127773	7768
ADCK5	0.252568	6913	1.049495	8425
ADCY1	0.000000	16828	0.062601	14196
ADCY10	0.000000	16827	0.000000	17195
ADCY2	0.457575	3129	0.511955	11609
ADCY3	0.285105	6077	1.348152	5891
ADCY4	0.991128	693	1.393276	5499
ADCY5	0.117297	10998	0.145917	13357
ADCY6	0.301003	5696	1.111422	7901
ADCY7	0.244248	7124	0.810170	10113
ADCY8	0.141437	10210	0.141437	13377
ADCY9	0.313754	5400	0.879686	9672
ADCYAP1	0.000000	16826	0.000000	17194
ADCYAP1R1	0.166287	9495	0.166287	13253
ADD1	0.396223	3915	1.840673	2354
ADD2	0.148285	9990	0.196348	13134
