gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.594965	746	1.441633	3374
A1CF	0.000000	14988	0.000000	17239
A2M	0.086610	6470	0.560746	9534
A2ML1	0.000000	14987	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.059326	15868	0.605099	9269
A4GNT	0.000000	14986	0.000000	17237
AAAS	0.343535	2004	1.737505	1875
AACS	0.177262	4334	1.227926	4865
AADAC	0.000000	14985	0.000000	17236
AADACL2	0.000000	14984	0.000000	17235
AADACL3	0.000000	14983	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.097137	6212	0.309748	10887
AAED1	0.118012	5790	1.124430	5714
AAGAB	0.037425	8028	1.586126	2558
AAK1	0.051692	7603	0.892747	7440
AAMDC	0.304927	2367	1.488723	3091
AAMP	0.125526	5586	1.911723	1260
AANAT	0.000000	14982	0.000000	17233
AAR2	0.251314	3037	1.372549	3836
AARD	0.057162	7451	0.071615	12615
AARS	0.006659	8694	1.618735	2391
AARS2	-0.025487	15363	1.185330	5225
AARSD1	0.130055	5347	1.542888	2770
AASDH	0.000000	14981	0.856438	7680
AASDHPPT	0.176429	4347	1.426973	3461
AASS	0.031191	8176	0.972238	6837
AATF	-0.136869	16464	1.331991	4109
AATK	0.000000	14980	0.000000	17232
ABAT	0.000000	14979	0.427260	10269
ABCA1	0.000000	14978	0.590768	9373
ABCA10	0.000000	14977	0.000000	17231
ABCA12	0.000000	14976	0.000000	17230
ABCA13	0.000000	14975	0.000000	17229
ABCA2	0.120495	5686	0.528690	9708
ABCA3	0.000000	14974	0.071615	12614
ABCA4	0.155623	4742	0.155623	11679
ABCA5	0.011457	8613	0.690221	8764
ABCA6	0.107889	5999	0.136080	11863
ABCA7	0.000000	14973	0.333963	10695
ABCA8	0.000000	14972	0.000000	17228
ABCA9	0.000000	14971	0.000000	17227
ABCB1	0.000000	14970	0.208437	11315
ABCB10	-0.039770	15606	0.820391	7927
ABCB11	0.000000	14969	0.000000	17226
ABCB4	0.518567	979	0.667559	8929
ABCB5	0.000000	14968	0.000000	17225
ABCB6	0.383345	1669	0.507830	9825
ABCB7	0.000000	14967	1.201670	5085
ABCB8	0.171776	4433	1.343743	4036
ABCB9	0.390010	1610	0.741994	8444
ABCC1	0.123055	5628	1.296280	4355
ABCC10	0.051500	7612	0.636026	9085
ABCC11	0.000000	14966	0.000000	17224
ABCC12	0.155623	4741	0.155623	11678
ABCC2	0.136080	5238	0.136080	11862
ABCC3	1.005462	191	1.817791	1554
ABCC4	0.214472	3582	1.105504	5846
ABCC5	0.000000	14965	0.712762	8628
ABCC6	-	19006	-	19006
ABCC8	0.000000	14964	0.000000	17223
ABCC9	0.000000	14963	0.071615	12613
ABCD1	0.306208	2355	1.259431	4620
ABCD2	0.000000	14962	0.000000	17222
ABCD3	-0.129551	16417	1.035089	6357
ABCD4	0.073775	6763	1.020545	6466
ABCE1	-0.047651	15704	1.471414	3195
ABCF1	0.023209	8369	1.756442	1790
ABCF2	0.262473	2872	1.689715	2065
ABCF3	0.046861	7735	1.521639	2888
ABCG1	0.000000	14961	0.000000	17221
ABCG2	0.000000	14960	0.000000	17220
ABCG4	0.000000	14959	0.000000	17219
ABCG5	0.000000	14958	0.000000	17218
ABCG8	0.000000	14957	0.000000	17217
ABHD1	0.012443	8598	0.071615	12612
ABHD10	0.131279	5330	1.017516	6491
ABHD11	0.094796	6269	1.054957	6222
ABHD12	0.008455	8667	1.527341	2862
ABHD12B	0.000000	14956	0.000000	17216
ABHD13	-0.376857	17105	0.650358	9022
ABHD14A	0.187879	4121	1.210962	5011
ABHD14B	0.154969	4756	1.912426	1259
ABHD15	0.197140	3930	0.197140	11530
ABHD16A	0.244815	3134	1.535517	2804
ABHD16B	-	19005	-	19005
ABHD17A	0.285464	2589	1.212064	4999
ABHD17B	-0.070550	15960	0.857384	7672
ABHD17C	0.111076	5920	1.152469	5494
ABHD18	-0.014453	15175	0.483615	9964
ABHD2	0.213861	3595	1.632069	2318
ABHD3	-0.249075	16887	0.701287	8720
ABHD4	0.082934	6554	1.295546	4362
ABHD5	0.060661	7371	1.257540	4634
ABHD6	0.000000	14955	0.413754	10353
