gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	460	1.851746	2258
A1CF	0.000000	16867	0.000000	17239
A2M	0.050763	12908	0.328380	12377
A2ML1	0.000000	16866	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	1624	1.305566	6157
A4GNT	0.000000	16865	0.000000	17237
AAAS	0.403102	4048	1.797072	2499
AACS	0.303873	6069	1.354537	5720
AADAC	0.741939	1197	0.741939	10414
AADACL2	0.000000	16864	0.000000	17236
AADACL3	0.000000	16863	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.205639	8510	0.649010	10777
AAED1	0.369624	4599	1.339763	5855
AAGAB	0.205522	8513	1.754223	2734
AAK1	0.288188	6452	0.949878	9015
AAMDC	0.480847	2972	1.664642	3311
AAMP	0.324415	5643	2.030316	1552
AANAT	0.045574	13164	0.045574	14376
AAR2	0.227897	7954	1.328000	5962
AARD	0.173031	9424	0.187484	12921
AARS	0.154911	9953	1.714749	2979
AARS2	0.043247	13201	1.254064	6592
AARSD1	0.448101	3395	1.577450	3899
AASDH	0.040191	13312	1.104030	7846
AASDHPPT	0.237983	7701	1.742424	2794
AASS	0.224353	8038	1.254653	6542
AATF	0.049569	12928	1.518429	4349
AATK	0.000000	16862	0.000000	17234
ABAT	0.069925	12231	0.799089	10029
ABCA1	0.540045	2306	1.933444	1938
ABCA10	0.293294	6319	0.293294	12483
ABCA12	0.019795	14107	0.019795	14883
ABCA13	0.204967	8544	0.204967	12825
ABCA2	0.436573	3532	0.835045	9721
ABCA3	0.288214	6450	1.016168	8494
ABCA4	0.045574	13163	0.045574	14375
ABCA5	0.060287	12521	0.839486	9707
ABCA6	0.549054	2232	0.949878	9014
ABCA7	0.089012	11647	0.749709	10260
ABCA8	0.515156	2544	1.455952	4865
ABCA9	0.893748	758	1.195623	7109
ABCB1	0.081838	11858	0.566264	11147
ABCB10	0.390227	4257	1.004657	8559
ABCB11	0.000000	16861	0.000000	17233
ABCB4	0.179387	9238	0.328380	12376
ABCB5	0.040191	13311	0.040191	14429
ABCB6	0.412317	3884	0.741939	10413
ABCB7	0.052787	12760	1.199991	7007
ABCB8	0.295504	6260	1.450963	4897
ABCB9	0.429417	3630	0.892807	9338
ABCC1	0.397392	4125	1.654362	3374
ABCC10	0.409095	3942	0.822139	9909
ABCC11	0.000000	16860	0.000000	17232
ABCC12	0.080183	11903	0.080183	13744
ABCC2	0.060287	12520	0.060287	14018
ABCC3	0.142396	10265	0.891576	9344
ABCC4	0.355300	4845	1.246331	6644
ABCC5	0.109576	11163	0.987403	8729
ABCC6	-	19006	-	19006
ABCC8	0.000000	16859	0.000000	17231
ABCC9	0.488652	2862	0.642465	10903
ABCD1	0.562447	2121	1.515671	4371
