gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	1371	1.607366	3436
A1CF	0.000000	16404	0.000000	17239
A2M	0.673726	1467	1.558170	3778
A2ML1	1.402223	252	1.402223	4958
A3GALT2	-	19008	-	19008
A4GALT	0.502244	2389	1.166669	6872
A4GNT	0.000000	16403	0.000000	17238
AAAS	0.317885	4543	1.711855	2821
AACS	0.273142	5371	1.323806	5565
AADAC	0.000000	16402	0.000000	17237
AADACL2	0.000000	16401	0.000000	17236
AADACL3	0.000000	16400	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.066202	10930	0.456039	11344
AAED1	0.365583	3796	1.583938	3596
AAGAB	0.257779	5686	1.806480	2323
AAK1	0.061234	11028	0.838068	9318
AAMDC	0.324839	4416	1.508635	4155
AAMP	0.117428	9265	1.922194	1811
AANAT	0.000000	16399	0.000000	17234
AAR2	0.210467	6662	1.207933	6540
AARD	0.126629	8895	0.141082	12785
AARS	0.135472	8653	1.747549	2608
AARS2	0.007887	12464	1.218704	6444
AARSD1	0.178835	7506	1.591669	3551
AASDH	0.142779	8457	1.090210	7500
AASDHPPT	0.071556	10789	1.537537	3924
AASS	0.095052	10073	0.841607	9301
AATF	0.224030	6397	1.692890	2927
AATK	0.000000	16398	0.000000	17233
ABAT	0.313132	4625	0.942782	8616
ABCA1	0.056476	11131	1.236023	6270
ABCA10	0.117764	9255	0.117764	12972
ABCA12	0.993008	634	0.993008	8244
ABCA13	0.117764	9254	0.117764	12971
ABCA2	0.106428	9678	0.814664	9472
ABCA3	0.000000	16397	0.230920	12312
ABCA4	0.000000	16396	0.000000	17232
ABCA5	0.110726	9410	0.689015	10193
ABCA6	0.924634	756	1.383808	5078
ABCA7	0.558106	2022	1.032540	7957
ABCA8	0.470968	2671	1.411764	4878
ABCA9	0.698790	1337	1.000665	8182
ABCB1	0.000000	16395	0.028905	13575
ABCB10	0.280009	5197	0.911982	8854
ABCB11	0.000000	16394	0.000000	17231
ABCB4	0.000000	16393	0.000000	17230
ABCB5	0.000000	16392	0.000000	17229
ABCB6	0.202713	6890	0.519139	11095
ABCB7	0.000000	16391	1.171824	6835
ABCB8	0.338698	4149	1.421652	4794
ABCB9	0.163565	7929	0.555544	10936
ABCC1	0.197580	7038	1.380673	5103
ABCC10	0.329699	4322	0.820460	9446
ABCC11	0.000000	16390	0.000000	17228
ABCC12	0.000000	16389	0.000000	17227
ABCC2	0.041501	11465	0.041501	13524
ABCC3	0.916007	775	1.728335	2720
ABCC4	0.208648	6710	1.099679	7433
ABCC5	0.026622	11820	0.979078	8355
ABCC6	-	19006	-	19006
ABCC8	0.000000	16388	0.000000	17226
ABCC9	0.179651	7492	0.454264	11376
ABCD1	0.029326	11711	0.982550	8321
ABCD2	0.027817	11795	0.189199	12595
ABCD3	0.114427	9321	1.034960	7931
ABCD4	0.019413	11953	1.149763	7007
ABCE1	0.197265	7045	1.716329	2797
ABCF1	0.286584	5059	2.136518	1112
ABCF2	0.283244	5130	1.710486	2828
ABCF3	0.009554	12444	1.484331	4334
ABCG1	0.000000	16387	0.822664	9438
ABCG2	0.278814	5242	0.278814	12123
ABCG4	0.108742	9627	0.108742	13136
ABCG5	0.000000	16386	0.000000	17225
ABCG8	0.000000	16385	0.000000	17224
ABHD1	0.023005	11892	0.082176	13450
ABHD10	-0.038442	16689	1.136644	7123
ABHD11	0.149170	8269	1.119130	7284
ABHD12	0.000000	16384	1.455746	4537
ABHD12B	0.108742	9626	0.108742	13135
ABHD13	0.004710	12506	1.031924	7960
ABHD14A	0.280564	5186	1.397732	4989
ABHD14B	0.539768	2129	2.297225	783
ABHD15	0.099165	9872	0.439729	11451
ABHD16A	0.000000	16383	1.144681	7057
ABHD16B	-	19005	-	19005
ABHD17A	0.401593	3337	1.058298	7775
ABHD17B	0.089367	10222	0.849002	9271
ABHD17C	0.250586	5825	1.291979	5822
ABHD18	0.067724	10886	0.814161	9475
ABHD2	0.142900	8436	1.479753	4363
ABHD3	0.008616	12451	0.958978	8491
ABHD4	0.337841	4169	1.678331	3026
ABHD5	0.072125	10775	1.190076	6681
ABHD6	0.097950	10003	0.709337	10064
ABHD8	0.280328	5193	1.174708	6804
ABI1	0.201849	6918	1.673206	3050
ABI2	0.147831	8316	1.363539	5240
ABI3	0.000000	16382	0.000000	17223
ABI3BP	1.050981	559	1.727321	2725
ABL1	0.182245	7411	1.013828	8084
ABL2	0.480662	2571	1.148729	7017
ABLIM1	0.521759	2242	1.337158	5456
ABLIM2	0.000000	16381	0.132066	12802
ABLIM3	0.378585	3614	1.590915	3558
ABO	0.000000	16380	0.000000	17222
ABR	0.332706	4267	1.266293	6034
ABRA	0.000000	16379	0.000000	17221
ABRACL	0.277151	5275	1.773689	2486
ABT1	0.132032	8738	1.328898	5520
ABTB1	0.197762	7032	1.224058	6386
ABTB2	0.055394	11153	0.585263	10762
ACAA1	0.383535	3545	1.761647	2542
ACAA2	0.332763	4263	1.433269	4705
ACACA	0.440326	2944	1.583653	3599
ACACB	0.013798	12392	0.142779	12781
ACAD10	0.099089	9875	1.088666	7516
ACAD11	0.443514	2911	1.108950	7359
ACAD8	-0.038722	16694	1.170030	6847
ACAD9	0.097950	10002	1.400571	4970
ACADL	0.013798	12391	0.013798	13965
ACADM	0.113781	9340	1.487877	4305
ACADS	0.338897	4146	1.226532	6354
ACADSB	0.144800	8393	1.045378	7860
ACADVL	0.106629	9675	1.927685	1796
ACAN	0.166986	7831	0.217284	12364
ACAP1	0.000000	16378	0.082176	13449
ACAP2	0.017915	11971	1.466198	4462
ACAP3	0.137684	8595	0.746548	9877
ACAT1	0.737964	1202	1.826245	2231
ACAT2	0.882599	841	2.315749	740
ACBD3	0.105890	9697	1.959831	1666
ACBD4	0.240405	6061	0.652683	10403
ACBD5	0.148687	8284	0.592420	10717
ACBD6	0.247234	5909	1.424000	4776
ACBD7	-0.139368	17042	0.097950	13292
ACCS	0.290730	5003	0.755637	9836
ACCSL	-	19004	-	19004
ACD	0.424603	3105	1.245375	6209
ACE	0.000000	16377	0.117764	12970
ACE2	0.000000	16376	0.000000	17220
ACER1	0.163860	7921	0.163860	12698
ACER2	0.177631	7532	0.494168	11208
ACER3	0.208328	6718	1.326922	5535
ACHE	0.082176	10532	0.099618	13151
ACIN1	0.249842	5848	1.780265	2461
ACKR1	0.000000	16375	0.000000	17219
ACKR2	0.028907	11714	0.261557	12202
ACKR3	0.625420	1657	1.969518	1625
ACKR4	1.098071	503	1.202706	6585
ACLY	0.947925	701	2.242624	887
ACMSD	0.000000	16374	0.000000	17218
ACO1	0.314424	4607	1.838365	2172
ACO2	0.206692	6797	1.873948	2031
ACOD1	0.000000	16373	0.000000	17217
ACOT1	0.633982	1628	0.685619	10219
ACOT11	0.135973	8644	0.381952	11712
ACOT12	0.000000	16372	0.000000	17216
ACOT13	0.376428	3643	1.800818	2356
ACOT2	0.420616	3155	1.385233	5073
ACOT4	-0.075371	16852	0.063817	13476
ACOT6	-	19003	-	19003
ACOT7	1.374946	264	1.775812	2479
ACOT8	0.120036	9078	1.520806	4049
ACOT9	0.218681	6497	1.767747	2515
ACOX1	0.199285	7002	1.641058	3245
ACOX2	0.424724	3103	0.938583	8643
ACOX3	0.105780	9702	0.959790	8488
ACOXL	0.013798	12390	0.013798	13964
ACP1	0.127487	8872	1.888631	1967
ACP2	0.049843	11291	1.522754	4039
ACP5	0.732146	1223	0.904497	8901
ACP6	0.167243	7821	0.768808	9760
ACP7	-	19002	-	19002
ACPP	0.108742	9625	0.108742	13134
ACPT	-	19001	-	19001
ACR	0.000000	16371	0.000000	17215
ACRBP	0.000000	16370	0.000000	17214
ACRC	0.000000	16369	0.000000	17213
ACRV1	0.000000	16368	0.000000	17212
ACSBG1	0.000000	16367	0.000000	17211
ACSBG2	0.000000	16366	0.000000	17210
ACSF2	0.762549	1122	1.388656	5048
ACSF3	0.128827	8832	0.837814	9329
ACSL1	0.954784	691	1.586310	3580
ACSL3	0.127029	8885	2.125557	1135
ACSL4	0.228163	6317	1.620246	3355
ACSL5	0.082176	10531	0.228183	12331
ACSL6	0.015108	12191	0.015108	13802
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16365	0.000000	17209
ACSM2B	0.000000	16364	0.000000	17208
ACSM3	0.199941	6986	0.199941	12524
ACSM4	-	18999	-	18999
ACSM5	0.000000	16363	0.000000	17207
ACSM6	0.000000	16362	0.000000	17206
ACSS1	0.039354	11520	0.746585	9872
ACSS2	0.782182	1075	1.622600	3343
ACSS3	0.331423	4291	0.905473	8897
ACTA1	0.000000	16361	0.000000	17205
ACTA2	0.984934	649	2.032793	1391
ACTB	0.407868	3267	4.068619	5
ACTBL2	0.082658	10382	0.082658	13318
ACTC1	0.000000	16360	0.000000	17204
ACTG1	0.552842	2043	3.963844	8
ACTG2	0.000000	16359	0.402597	11585
ACTL10	0.123786	8970	0.240845	12290
ACTL6A	0.209921	6677	1.725938	2732
ACTL6B	0.000000	16358	0.000000	17203
ACTL7A	0.000000	16357	0.000000	17202
ACTL7B	0.000000	16356	0.000000	17201
ACTL8	0.000000	16355	0.000000	17200
ACTL9	0.000000	16354	0.000000	17199
ACTN1	0.795753	1049	2.951423	137
ACTN2	0.000000	16353	0.000000	17198
ACTN3	0.000000	16352	0.000000	17197
ACTN4	0.399620	3363	2.164865	1049
ACTR10	0.127135	8880	1.792255	2394
ACTR1A	0.280363	5191	2.239013	895
ACTR1B	0.052326	11243	1.343141	5413
ACTR2	0.093986	10096	1.750337	2599
ACTR3	0.305293	4771	2.474861	522
ACTR3B	0.108173	9639	0.812988	9486
ACTR3C	0.054755	11164	0.401130	11615
ACTR5	0.155186	8127	0.952454	8540
ACTR6	0.078228	10631	1.125585	7218
ACTR8	0.348379	4027	1.240119	6251
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16351	0.000000	17196
ACTRT3	-	18997	-	18997
ACVR1	0.438200	2967	1.063985	7743
ACVR1B	-0.038652	16693	0.979078	8354
ACVR1C	0.028905	11744	0.028905	13574
ACVR2A	0.068392	10871	0.729426	9952
ACVR2B	-0.037519	16683	0.199941	12523
ACVRL1	0.818408	990	1.184455	6728
ACY1	0.804328	1023	1.603912	3463
ACY3	0.000000	16350	0.000000	17195
ACYP1	0.082176	10530	0.943738	8602
ACYP2	0.290722	5005	1.180894	6755
ADA	0.382721	3563	1.057237	7780
ADAD1	0.000000	16349	0.000000	17194
ADAD2	0.000000	16348	0.000000	17193
ADAL	0.050083	11282	0.778015	9693
ADAM10	0.256557	5707	1.743647	2628
ADAM11	0.117764	9253	0.117764	12969
ADAM12	0.196224	7072	0.474719	11319
ADAM15	0.650294	1546	2.330130	721
ADAM17	0.331562	4288	1.439839	4647
ADAM18	0.000000	16347	0.000000	17192
ADAM19	0.140442	8517	0.972749	8396
ADAM2	0.000000	16346	0.000000	17191
ADAM20	0.000000	16345	0.000000	17190
ADAM21	0.000000	16344	0.000000	17189
ADAM22	0.000000	16343	0.228183	12330
ADAM23	0.028905	11743	0.495436	11198
ADAM28	0.000000	16342	0.097950	13291
ADAM29	0.000000	16341	0.000000	17188
ADAM30	0.000000	16340	0.000000	17187
ADAM32	0.000000	16339	0.000000	17186
ADAM33	1.065570	541	1.375221	5141
ADAM7	0.000000	16338	0.000000	17185
ADAM8	1.349160	280	1.523143	4033
ADAM9	0.480981	2566	2.163667	1053
ADAMDEC1	0.000000	16337	0.000000	17184
ADAMTS1	0.681482	1426	2.486253	509
ADAMTS10	0.000000	16336	0.260569	12213
ADAMTS12	0.488193	2511	0.724981	9976
ADAMTS13	0.000000	16335	0.000000	17183
ADAMTS14	0.058225	11089	0.241179	12288
ADAMTS15	0.117764	9252	0.635130	10500
ADAMTS16	0.000000	16334	0.000000	17182
ADAMTS17	0.012821	12404	0.122576	12833
ADAMTS18	0.000000	16333	0.000000	17181
ADAMTS19	0.108742	9624	0.108742	13133
ADAMTS2	0.838280	939	1.578699	3632
ADAMTS20	0.000000	16332	0.000000	17180
ADAMTS3	0.000000	16331	0.180864	12639
ADAMTS4	0.146637	8347	0.748043	9868
ADAMTS5	1.305232	317	2.025296	1416
ADAMTS6	0.220902	6457	0.391002	11671
ADAMTS7	0.433344	3018	1.023803	8016
ADAMTS8	0.000000	16330	0.000000	17179
ADAMTS9	0.000000	16329	0.082176	13448
ADAMTSL1	1.215062	389	1.711989	2819
ADAMTSL2	0.000000	16328	0.000000	17178
ADAMTSL3	-0.013137	16500	0.000000	17177
ADAMTSL4	0.871814	867	1.752198	2588
ADAMTSL5	0.349397	4012	0.675986	10267
ADAP1	0.206692	6796	0.791253	9622
ADAP2	0.377833	3623	0.621798	10569
ADAR	0.285571	5088	1.575382	3645
ADARB1	0.523856	2226	1.491681	4278
ADARB2	0.000000	16327	0.000000	17176
ADAT1	0.143776	8413	1.096433	7454
ADAT2	0.276941	5280	1.152967	6981
ADAT3	0.263721	5532	1.937117	1748
ADCK1	0.105729	9705	0.745848	9886
ADCK2	0.116357	9281	1.159359	6935
ADCK5	0.104193	9753	0.901119	8924
ADCY1	0.000000	16326	0.000000	17175
ADCY10	0.000000	16325	0.000000	17174
ADCY2	0.022436	11908	0.076816	13458
ADCY3	0.433249	3021	1.514273	4112
ADCY4	-0.042047	16716	0.274961	12190
ADCY5	0.000000	16324	0.000000	17173
ADCY6	-0.268868	17174	0.541551	10972
ADCY7	0.060247	11048	0.626169	10551
ADCY8	0.082176	10529	0.082176	13447
ADCY9	0.050321	11277	0.607695	10660
ADCYAP1	0.000000	16323	0.000000	17172
ADCYAP1R1	0.000000	16322	0.000000	17171
ADD1	0.197356	7042	1.790165	2404
ADD2	0.060715	11036	0.176819	12642
ADD3	0.763075	1117	1.844571	2139
ADGB	0.000000	16321	0.000000	17170
ADGRA1	0.000000	16320	0.000000	17169
ADGRA2	0.493240	2463	1.477867	4374
ADGRA3	0.205042	6842	0.987211	8291
ADGRB1	0.000000	16319	0.000000	17168
ADGRB2	0.000000	16318	0.306963	12021
ADGRB3	0.015108	12190	0.015108	13801
ADGRD1	0.000000	16317	0.193695	12570
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	16316	0.000000	17167
ADGRE2	0.581119	1896	1.410438	4892
ADGRE3	0.000000	16315	0.000000	17166
ADGRE5	0.182403	7406	0.783898	9662
ADGRF1	0.953948	693	0.953948	8524
