gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.281374	2622	1.144599	5882
A1CF	0.000000	15513	0.000000	17239
A2M	0.094434	6612	0.446735	10609
A2ML1	0.000000	15512	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.858893	378	1.523318	3061
A4GNT	0.000000	15511	0.000000	17237
AAAS	0.294756	2488	1.495409	3231
AACS	0.037760	9039	0.770450	8762
AADAC	0.000000	15510	0.000000	17236
AADACL2	0.000000	15509	0.000000	17235
AADACL3	0.000000	15508	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.187626	4060	0.757239	8862
AAED1	0.285475	2589	1.502158	3198
AAGAB	0.052393	8158	1.601094	2588
AAK1	0.052270	8166	0.559455	10065
AAMDC	0.262456	2838	1.446252	3569
AAMP	0.045574	8830	1.804779	1642
AANAT	0.000000	15507	0.000000	17233
AAR2	0.180334	4201	1.301569	4624
AARD	0.277829	2661	0.292282	11295
AARS	-0.039833	16131	1.547022	2912
AARS2	-0.034719	16048	1.176098	5621
AARSD1	0.035431	9115	1.448264	3559
AASDH	0.051779	8417	1.015444	6990
AASDHPPT	0.031068	9246	1.502812	3194
AASS	-0.028380	15958	0.804003	8527
AATF	-0.160094	16895	1.308766	4567
AATK	0.034086	9151	0.051779	12951
ABAT	0.000000	15506	0.581630	9941
ABCA1	0.000000	15505	1.114034	6159
ABCA10	0.000000	15504	0.000000	17232
ABCA12	0.000000	15503	0.000000	17231
ABCA13	0.045574	8829	0.045574	13116
ABCA2	0.073170	7305	0.852064	8233
ABCA3	0.000000	15502	0.295867	11278
ABCA4	0.000000	15501	0.000000	17230
ABCA5	0.000000	15500	0.449305	10592
ABCA6	0.123946	5646	0.377548	10903
ABCA7	0.036671	9069	0.325525	11146
ABCA8	0.000000	15499	0.719500	9139
ABCA9	0.000000	15498	0.185434	11782
ABCB1	0.000000	15497	0.000000	17229
ABCB10	0.144415	5075	0.878997	8026
ABCB11	0.000000	15496	0.000000	17228
ABCB4	0.172392	4388	0.321385	11164
ABCB5	0.000000	15495	0.000000	17227
ABCB6	0.349193	1948	0.620780	9739
ABCB7	0.045574	8828	1.076892	6475
ABCB8	0.118026	5811	1.203844	5410
ABCB9	0.149994	4921	0.604090	9832
ABCC1	0.150176	4912	1.407146	3832
ABCC10	0.027715	9348	0.581205	9945
ABCC11	0.000000	15494	0.000000	17226
ABCC12	0.000000	15493	0.000000	17225
ABCC2	0.051779	8416	0.051779	12950
ABCC3	0.740264	518	1.552593	2876
ABCC4	0.067076	7510	0.958108	7445
ABCC5	0.113718	5924	1.102518	6261
ABCC6	-	19006	-	19006
ABCC8	0.000000	15492	0.000000	17224
ABCC9	0.163563	4582	0.290357	11301
ABCD1	0.079467	7127	1.032691	6840
ABCD2	0.000000	15491	0.000000	17223
ABCD3	-0.060072	16356	1.097322	6288
ABCD4	0.188244	4044	1.345107	4275
ABCE1	0.014255	9802	1.533320	3000
ABCF1	0.311938	2297	1.716739	2020
ABCF2	0.012157	9862	1.425805	3689
ABCF3	-0.030929	16002	1.443848	3590
ABCG1	0.000000	15490	0.000000	17222
ABCG2	0.051779	8415	0.097352	12341
