gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	1790	1.908622	2329
A1CF	0.000000	16513	0.000000	17239
A2M	1.578519	447	2.628821	412
A2ML1	0.694057	2863	0.694057	10697
A3GALT2	-	19008	-	19008
A4GALT	-0.273917	17148	0.421532	11854
A4GNT	0.000000	16512	0.000000	17238
AAAS	0.368805	6137	1.286508	6989
AACS	0.199507	9045	1.147050	7967
AADAC	0.000000	16511	0.000000	17237
AADACL2	0.896964	1858	0.896964	9635
AADACL3	0.000000	16510	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	16509	0.000000	17235
AAED1	0.627581	3357	1.845936	2677
AAGAB	0.184012	9353	1.732713	3392
AAK1	0.231584	8436	1.126920	8132
AAMDC	0.163460	9723	1.277072	7058
AAMP	0.249419	8096	1.795599	2986
AANAT	0.000000	16508	0.000000	17234
AAR2	0.291493	7327	1.412728	5985
AARD	0.314024	6939	0.328477	12194
AARS	0.013315	13289	1.625392	4153
AARS2	0.046954	12046	1.257771	7198
AARSD1	0.493541	4580	1.347166	6523
AASDH	0.170015	9573	1.250299	7256
AASDHPPT	0.449873	5077	1.528094	4976
AASS	0.032223	12584	0.745457	10425
AATF	0.291248	7332	1.760108	3208
AATK	0.013448	13287	0.031141	14336
ABAT	0.245957	8179	0.975121	9179
ABCA1	0.482177	4700	1.875577	2487
ABCA10	0.000000	16507	0.000000	17233
ABCA12	1.835819	250	1.835819	2733
ABCA13	0.000000	16506	0.000000	17232
ABCA2	0.734104	2606	0.912443	9545
ABCA3	0.573479	3787	1.301433	6870
ABCA4	0.000000	16505	0.000000	17231
ABCA5	0.769860	2419	1.802296	2945
ABCA6	0.973649	1614	0.973649	9194
ABCA7	0.677586	2965	1.513145	5091
ABCA8	0.000000	16504	0.000000	17230
ABCA9	0.000000	16503	0.026539	14437
ABCB1	0.153342	9890	0.751015	10398
ABCB10	1.228844	928	2.089005	1523
ABCB11	0.000000	16502	0.000000	17229
ABCB4	0.737048	2589	0.886041	9706
ABCB5	0.123987	10581	0.123987	13398
ABCB6	0.023220	12975	0.401913	11913
ABCB7	0.289109	7369	1.538546	4886
ABCB8	0.383150	5924	1.087941	8422
ABCB9	0.327527	6732	0.611244	11064
ABCC1	0.376546	6014	1.633516	4086
ABCC10	0.210678	8796	0.878221	9744
ABCC11	0.000000	16501	0.000000	17228
ABCC12	0.000000	16500	0.000000	17227
ABCC2	0.378333	5999	0.378333	12016
ABCC3	1.370024	699	2.182352	1200
ABCC4	1.198873	998	1.818843	2839
ABCC5	0.075332	11483	1.042724	8737
ABCC6	-	19006	-	19006
ABCC8	0.017693	13238	0.017693	14733
ABCC9	0.000000	16499	0.000000	17226
ABCD1	0.651962	3164	1.605186	4337
ABCD2	1.179367	1037	1.340749	6580
ABCD3	0.194373	9141	1.242912	7306
ABCD4	0.237037	8325	1.319029	6758
ABCE1	0.264931	7777	1.783996	3054
ABCF1	0.324251	6772	2.174185	1216
ABCF2	0.309950	7020	1.639466	4046
ABCF3	0.260950	7858	1.735727	3369
ABCG1	0.640819	3235	1.773740	3125
ABCG2	0.957230	1661	1.072179	8529
ABCG4	0.065625	11636	0.081270	13610
ABCG5	0.000000	16498	0.000000	17225
ABCG8	0.000000	16497	0.000000	17224
ABHD1	0.000000	16496	0.017693	14732
ABHD10	0.245758	8184	1.516435	5065
ABHD11	0.150510	9925	0.988783	9091
ABHD12	0.616262	3436	2.135148	1348
ABHD12B	0.045574	12130	0.045574	13963
ABHD13	0.592886	3624	1.620100	4195
ABHD14A	-0.078129	16900	1.025680	8841
ABHD14B	-0.114439	16989	1.643019	4018
ABHD15	0.993511	1545	1.334075	6643
ABHD16A	0.569043	3826	1.696856	3631
ABHD16B	-	19005	-	19005
ABHD17A	0.141028	10087	0.891633	9677
ABHD17B	0.511805	4374	1.357515	6438
ABHD17C	-0.032868	16708	0.666195	10838
ABHD18	0.478388	4743	1.330257	6674
ABHD2	0.855190	2013	2.085673	1541
ABHD3	0.524543	4252	1.474905	5420
ABHD4	0.474006	4788	1.814495	2865
ABHD5	0.419006	5467	1.615885	4228
ABHD6	1.231904	920	1.479364	5383
ABHD8	0.310687	7008	1.145442	7976
ABI1	0.565951	3861	1.964938	2039
ABI2	0.029234	12686	1.463195	5537
ABI3	0.973100	1615	1.478248	5388
ABI3BP	0.000000	16495	0.017693	14731
ABL1	0.643806	3215	0.894483	9652
ABL2	1.264836	863	1.932902	2188
ABLIM1	0.977571	1604	1.867294	2535
ABLIM2	0.075705	11476	0.343764	12137
ABLIM3	0.000000	16494	0.311749	12247
ABO	0.096254	11112	0.222100	12682
ABR	1.081152	1301	1.511082	5108
ABRA	0.000000	16493	0.000000	17223
ABRACL	0.672322	3008	1.781353	3072
ABT1	0.415247	5525	1.612113	4258
ABTB1	0.282051	7500	1.469906	5472
ABTB2	0.668285	3031	1.429106	5835
ACAA1	0.446189	5134	1.768527	3162
ACAA2	0.825604	2140	2.118383	1405
ACACA	0.165202	9690	1.256496	7211
ACACB	0.123987	10580	0.235345	12635
ACAD10	0.144973	10020	1.134550	8080
ACAD11	0.522786	4269	0.856232	9856
ACAD8	-0.114660	16991	1.094091	8377
ACAD9	0.139377	10112	1.419140	5922
ACADL	0.203270	8990	0.203270	12828
ACADM	0.188906	9236	1.563002	4683
ACADS	0.382889	5930	1.270523	7114
ACADSB	0.102919	10995	1.112165	8234
ACADVL	0.537291	4137	2.425245	650
ACAN	0.000000	16492	0.026539	14436
ACAP1	1.570460	454	1.682562	3730
ACAP2	0.831103	2125	1.927839	2220
ACAP3	0.155432	9852	0.853892	9869
ACAT1	0.000000	16491	1.616713	4223
ACAT2	0.495244	4559	1.928394	2219
ACBD3	0.122011	10619	1.975953	1984
ACBD4	0.048854	11996	0.677672	10772
ACBD5	0.666982	3047	1.270084	7117
ACBD6	0.201167	9022	1.317229	6767
ACBD7	0.147017	9986	0.384336	11999
ACCS	0.325698	6756	0.745330	10427
ACCSL	-	19004	-	19004
ACD	0.214880	8713	0.792531	10196
ACE	1.718139	337	2.164656	1246
ACE2	0.000000	16490	0.000000	17222
ACER1	0.204671	8926	0.204671	12761
ACER2	0.603170	3531	0.919708	9511
ACER3	0.519159	4308	1.637753	4063
ACHE	1.168318	1067	1.560127	4706
ACIN1	0.248792	8111	2.092368	1507
ACKR1	0.026539	12816	0.026539	14435
ACKR2	0.334285	6625	0.566935	11250
ACKR3	0.000000	16489	0.997984	9033
ACKR4	0.032699	12577	0.137334	13119
ACLY	0.111072	10840	1.454115	5610
ACMSD	0.000000	16488	0.000000	17221
ACO1	0.170538	9564	1.694479	3648
ACO2	0.341253	6540	1.978699	1976
ACOD1	0.303749	7142	0.303749	12309
ACOT1	0.246771	8147	0.298408	12323
ACOT11	0.601512	3547	0.613987	11049
ACOT12	0.000000	16487	0.000000	17220
ACOT13	0.951039	1678	1.964542	2041
ACOT2	0.227995	8508	1.267285	7140
ACOT4	0.355256	6328	0.494444	11557
