gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.769957	1477	1.476224	4127
A1CF	0.000000	15818	0.000000	17239
A2M	1.055263	794	1.526282	3773
A2ML1	0.694057	1777	0.694057	9622
A3GALT2	-	19008	-	19008
A4GALT	-0.301761	17050	0.393688	11087
A4GNT	0.000000	15817	0.000000	17238
AAAS	0.110707	8711	1.206084	6219
AACS	0.181693	7043	1.147050	6664
AADAC	0.000000	15816	0.000000	17237
AADACL2	0.896964	1123	0.896964	8388
AADACL3	0.000000	15815	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	15814	0.000000	17235
AAED1	0.627581	2127	1.845936	1890
AAGAB	0.184012	7008	1.732713	2449
AAK1	0.043180	10427	0.794868	9012
AAMDC	0.163460	7421	1.045794	7398
AAMP	0.249419	5800	1.795599	2113
AANAT	0.000000	15813	0.000000	17234
AAR2	0.219308	6302	1.340543	5209
AARD	0.314024	4816	0.328477	11421
AARS	0.013315	11573	1.625392	3079
AARS2	0.046954	10059	1.257771	5830
AARSD1	0.423144	3624	1.322680	5350
AASDH	0.170015	7243	1.250299	5889
AASDHPPT	0.296534	5084	1.514327	3863
AASS	0.032223	10709	0.745457	9323
AATF	0.291248	5150	1.760108	2303
AATK	0.000000	15812	0.017693	14213
ABAT	0.245957	5884	0.975121	7875
ABCA1	0.482177	3108	1.875577	1778
ABCA10	0.000000	15811	0.000000	17233
ABCA12	1.835819	136	1.835819	1930
ABCA13	0.000000	15810	0.000000	17232
ABCA2	0.203270	6669	0.543144	10428
ABCA3	0.573479	2435	1.301433	5500
ABCA4	0.000000	15809	0.000000	17231
ABCA5	0.769860	1478	1.802296	2071
ABCA6	0.131620	7979	0.131620	12475
ABCA7	0.644265	2024	1.479824	4097
ABCA8	0.000000	15808	0.000000	17230
ABCA9	0.000000	15807	0.021486	14040
ABCB1	0.000000	15806	0.191209	12182
ABCB10	1.228844	527	2.089005	1052
ABCB11	0.000000	15805	0.000000	17229
ABCB4	0.000000	15804	0.082911	13019
ABCB5	0.123987	8437	0.123987	12843
ABCB6	0.000000	15803	0.260569	11776
ABCB7	0.204671	6597	1.343343	5192
ABCB8	-0.105750	16596	1.032046	7496
ABCB9	0.108002	8756	0.235345	11920
ABCC1	0.247802	5821	1.371272	4962
ABCC10	0.151202	7631	0.786551	9057
ABCC11	0.000000	15802	0.000000	17228
ABCC12	0.000000	15801	0.000000	17227
ABCC2	0.187423	6936	0.187423	12193
ABCC3	0.728318	1629	1.540646	3683
ABCC4	1.198873	573	1.818843	2003
ABCC5	0.075332	9440	1.042724	7422
ABCC6	-	19006	-	19006
ABCC8	0.017693	11507	0.017693	14212
ABCC9	0.000000	15800	0.000000	17226
ABCD1	0.232176	6094	1.185399	6373
ABCD2	1.179367	598	1.340749	5208
ABCD3	0.194373	6824	1.242912	5946
ABCD4	0.191263	6869	1.004963	7701
ABCE1	0.264931	5515	1.783996	2180
ABCF1	0.324251	4683	2.174185	840
ABCF2	0.309950	4869	1.639466	3008
ABCF3	-0.006748	15879	1.468029	4198
ABCG1	0.499576	2969	1.632497	3040
ABCG2	0.017693	11506	0.039179	13673
ABCG4	0.065625	9640	0.081270	13030
ABCG5	0.000000	15799	0.000000	17225
ABCG8	0.000000	15798	0.000000	17224
ABHD1	0.000000	15797	0.017693	14211
ABHD10	-0.052611	16300	0.984425	7827
ABHD11	0.018822	11297	0.988783	7791
ABHD12	0.116289	8600	1.635175	3030
ABHD12B	0.000000	15796	0.000000	17223
ABHD13	0.368310	4161	1.395524	4766
ABHD14A	-0.084144	16497	0.486998	10667
ABHD14B	-0.526190	17188	1.231268	6028
ABHD15	0.063310	9704	0.403874	11042
ABHD16A	0.569043	2457	1.173293	6476
ABHD16B	-	19005	-	19005
ABHD17A	0.141028	7802	0.876349	8518
ABHD17B	0.379098	4052	0.919708	8229
ABHD17C	-0.220468	16917	0.539723	10441
ABHD18	0.429357	3559	1.281227	5645
ABHD2	0.295854	5094	1.683923	2742
ABHD3	0.246360	5874	1.196723	6291
ABHD4	0.230057	6135	1.570547	3453
ABHD5	0.419006	3658	1.615885	3129
ABHD6	1.231904	522	1.479364	4103
ABHD8	0.082520	9261	0.873704	8530
ABI1	0.565951	2487	1.964938	1422
ABI2	0.003274	11739	1.002774	7706
ABI3	0.973100	962	1.478248	4107
ABI3BP	0.000000	15795	0.017693	14210
ABL1	0.310888	4856	0.817726	8885
ABL2	1.264836	494	1.932902	1536
ABLIM1	0.977571	953	1.867294	1815
ABLIM2	0.075705	9433	0.343764	11331
ABLIM3	0.000000	15794	0.123987	12842
ABO	0.000000	15793	0.094855	12967
ABR	0.123987	8436	1.049340	7376
ABRA	0.000000	15792	0.000000	17222
ABRACL	0.457916	3298	1.694609	2688
ABT1	0.357212	4273	1.554078	3585
ABTB1	0.282051	5291	1.469906	4182
ABTB2	0.668285	1893	1.429106	4502
ACAA1	0.230216	6132	1.649569	2949
ACAA2	0.058191	9828	0.441344	10924
ACACA	0.165202	7389	1.256496	5842
ACACB	0.123987	8435	0.235345	11919
ACAD10	0.144973	7738	1.134550	6749
ACAD11	0.375557	4083	0.721599	9463
ACAD8	-0.114660	16632	1.094091	7044
ACAD9	0.139377	7831	1.419140	4583
ACADL	0.203270	6668	0.203270	12154
ACADM	0.110189	8720	1.371367	4961
ACADS	0.067416	9592	0.955050	8019
ACADSB	0.055499	9893	1.064745	7257
ACADVL	0.505468	2924	2.425245	456
ACAN	0.000000	15791	0.000000	17221
ACAP1	1.135878	660	1.247980	5907
ACAP2	0.420085	3651	1.868286	1807
ACAP3	0.155432	7555	0.853892	8650
ACAT1	0.000000	15790	1.368917	4985
ACAT2	0.495244	3003	1.928394	1560
ACBD3	0.122011	8465	1.975953	1387
ACBD4	-0.031174	16129	0.677672	9717
ACBD5	0.486997	3070	1.053544	7349
ACBD6	0.201167	6700	1.317229	5389
ACBD7	-0.155045	16764	0.082273	13022
ACCS	0.285909	5228	0.700411	9575
ACCSL	-	19004	-	19004
ACD	0.214880	6377	0.792531	9019
ACE	0.000000	15789	0.163168	12364
ACE2	0.000000	15788	0.000000	17220
ACER1	0.204671	6596	0.204671	12051
ACER2	0.603170	2254	0.919708	8228
ACER3	0.268211	5466	1.386805	4847
ACHE	1.168318	609	1.560127	3533
ACIN1	0.248792	5813	2.092368	1036
ACKR1	0.025182	11016	0.025182	13859
ACKR2	0.334285	4561	0.566935	10312
ACKR3	0.000000	15787	0.997984	7735
ACKR4	0.032699	10702	0.137334	12464
ACLY	0.111072	8704	1.454115	4290
ACMSD	0.000000	15786	0.000000	17219
ACO1	-0.716879	17213	0.807062	8945
ACO2	0.341253	4488	1.814190	2023
ACOD1	0.303749	4992	0.303749	11577
ACOT1	0.069158	9564	0.069158	13133
ACOT11	0.337789	4526	0.583768	10203
ACOT12	0.000000	15785	0.000000	17218
ACOT13	0.951039	1004	1.881571	1757
ACOT2	0.206892	6513	0.993083	7760
ACOT4	0.132941	7940	0.272129	11700
ACOT6	-	19003	-	19003
ACOT7	1.514857	277	1.568291	3473
ACOT8	-0.245535	16964	1.155235	6620
ACOT9	0.791630	1396	2.340696	551
ACOX1	0.471162	3200	1.649834	2945
ACOX2	0.000000	15784	0.000000	17217
ACOX3	0.439899	3483	1.329868	5301
ACOXL	0.046668	10089	0.046668	13316
ACP1	-0.095373	16544	1.711959	2575
ACP2	0.110825	8708	1.663688	2876
ACP5	0.913487	1089	1.085838	7107
ACP6	0.217949	6327	0.769916	9163
ACP7	-	19002	-	19002
ACPP	0.597281	2291	0.826448	8843
ACPT	-	19001	-	19001
ACR	0.000000	15783	0.000000	17216
ACRBP	0.376361	4070	0.622942	10034
ACRC	0.000000	15782	0.000000	17215
ACRV1	0.000000	15781	0.000000	17214
ACSBG1	0.000000	15780	0.000000	17213
ACSBG2	0.000000	15779	0.000000	17212
ACSF2	0.129740	8010	0.912353	8270
ACSF3	0.000000	15778	0.725048	9439
ACSL1	0.695640	1768	1.497623	3983
ACSL3	0.068738	9572	1.964939	1421
ACSL4	0.794494	1386	1.955522	1455
ACSL5	1.038757	825	1.610194	3171
ACSL6	0.123987	8434	0.123987	12841
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15777	0.000000	17211
ACSM2B	0.000000	15776	0.000000	17210
ACSM3	0.051530	9955	0.123987	12840
ACSM4	-	18999	-	18999
ACSM5	0.104383	8828	0.104383	12934
ACSM6	0.000000	15775	0.000000	17209
ACSS1	0.045576	10114	0.821529	8865
ACSS2	0.174459	7169	0.902003	8345
ACSS3	0.000000	15774	0.123987	12839
ACTA1	0.061564	9740	0.061564	13186
ACTA2	0.000000	15773	0.605386	10105
ACTB	0.674255	1867	4.184978	4
ACTBL2	0.000000	15772	0.000000	17208
ACTC1	0.000000	15771	0.000000	17207
ACTG1	0.426130	3588	3.905554	9
ACTG2	0.000000	15770	0.123987	12838
ACTL10	0.204671	6595	0.214571	11978
ACTL6A	0.173194	7193	1.683808	2743
ACTL6B	0.043180	10426	0.043180	13588
ACTL7A	0.000000	15769	0.000000	17206
ACTL7B	0.000000	15768	0.000000	17205
ACTL8	0.000000	15767	0.000000	17204
ACTL9	0.000000	15766	0.000000	17203
ACTN1	0.000000	15765	0.901952	8347
ACTN2	0.722143	1658	0.951746	8040
ACTN3	0.000000	15764	0.000000	17202
ACTN4	0.473772	3175	2.187821	813
ACTR10	0.179126	7087	1.614511	3136
ACTR1A	0.231285	6120	2.260716	685
ACTR1B	-0.023852	16039	1.266963	5751
ACTR2	0.576160	2422	2.288808	637
ACTR3	0.649717	1994	2.819285	168
ACTR3B	0.718594	1675	1.646744	2971
ACTR3C	0.792629	1392	1.139004	6716
ACTR5	0.192852	6844	0.990120	7783
ACTR6	0.143864	7752	1.191221	6330
ACTR8	0.151944	7619	1.412409	4643
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15763	0.000000	17201
ACTRT3	-	18997	-	18997
ACVR1	0.131759	7972	0.779001	9096
ACVR1B	-0.417281	17154	0.600448	10130
ACVR1C	1.377624	380	1.413102	4637
ACVR2A	0.306716	4929	1.180696	6411
ACVR2B	-0.027418	16089	0.373873	11196
ACVRL1	0.000000	15762	0.043180	13587
ACY1	0.180360	7065	0.798114	8999
ACY3	0.303749	4991	0.303749	11576
ACYP1	0.043180	10425	0.700754	9568
ACYP2	0.523604	2790	1.568839	3468
ADA	0.000000	15761	0.263363	11726
ADAD1	0.000000	15760	0.000000	17200
ADAD2	0.000000	15759	0.000000	17199
ADAL	-0.108734	16612	0.619199	10047
ADAM10	0.083912	9235	1.194564	6305
ADAM11	0.000000	15758	0.000000	17198
ADAM12	1.463714	318	1.723069	2504
ADAM15	-0.260506	16988	1.419330	4577
ADAM17	0.429411	3558	1.618835	3113
ADAM18	0.000000	15757	0.000000	17197
ADAM19	0.537391	2692	1.547788	3636
ADAM2	0.000000	15756	0.000000	17196
ADAM20	0.000000	15755	0.000000	17195
ADAM21	0.000000	15754	0.000000	17194
ADAM22	0.017693	11505	0.174041	12240
ADAM23	0.000000	15753	0.046668	13315
ADAM28	1.481867	307	1.706881	2608
ADAM29	0.000000	15752	0.000000	17193
ADAM30	0.000000	15751	0.000000	17192
ADAM32	0.021486	11258	0.021486	14039
ADAM33	0.000000	15750	0.000000	17191
ADAM7	0.000000	15749	0.000000	17190
ADAM8	1.625484	222	1.799467	2088
ADAM9	0.385887	3985	1.786080	2168
ADAMDEC1	0.057729	9844	0.057729	13223
ADAMTS1	0.000000	15748	0.587030	10187
ADAMTS10	0.017693	11504	0.542678	10429
ADAMTS12	-0.036014	16177	0.000000	17189
ADAMTS13	0.000000	15747	0.000000	17188
ADAMTS14	0.125774	8093	0.167167	12344
ADAMTS15	0.000000	15746	0.043180	13586
ADAMTS16	0.000000	15745	0.000000	17187
ADAMTS17	0.645569	2016	0.755324	9264
ADAMTS18	0.000000	15744	0.000000	17186
ADAMTS19	0.000000	15743	0.000000	17185
ADAMTS2	0.009490	11634	0.017693	14209
ADAMTS20	0.000000	15742	0.000000	17184
ADAMTS3	0.000000	15741	0.000000	17183
ADAMTS4	0.000000	15740	0.246450	11857
ADAMTS5	0.011495	11597	0.080684	13100
ADAMTS6	0.000000	15739	0.123987	12837
ADAMTS7	0.000000	15738	0.000000	17182
ADAMTS8	0.000000	15737	0.000000	17181
ADAMTS9	0.000000	15736	0.025182	13858
ADAMTSL1	0.000000	15735	0.000000	17180
ADAMTSL2	0.021486	11257	0.021486	14038
ADAMTSL3	0.190134	6887	0.203270	12153
ADAMTSL4	0.043180	10424	0.598625	10140
ADAMTSL5	0.000000	15734	0.059784	13195
ADAP1	0.677695	1850	1.325969	5329
ADAP2	0.939861	1024	1.137062	6733
ADAR	0.693734	1779	1.551187	3608
ADARB1	0.328509	4630	0.529298	10494
ADARB2	0.058977	9813	0.058977	13207
ADAT1	0.212851	6406	1.176051	6452
ADAT2	0.308967	4895	1.184994	6376
ADAT3	0.000000	15733	1.604576	3215
ADCK1	-0.072650	16428	0.371927	11221
ADCK2	-0.266506	16995	0.776496	9111
ADCK5	0.070489	9529	0.867416	8569
ADCY1	0.000000	15732	0.000000	17179
ADCY10	0.000000	15731	0.000000	17178
ADCY2	0.206189	6524	0.260569	11775
ADCY3	0.000000	15730	0.895107	8399
ADCY4	-0.055845	16334	0.017693	14208
ADCY5	0.000000	15729	0.025182	13857
ADCY6	-0.438227	17163	0.372192	11201
ADCY7	1.149460	638	1.350261	5126
ADCY8	0.000000	15728	0.000000	17177
ADCY9	0.000000	15727	0.283954	11680
ADCYAP1	0.017693	11503	0.017693	14207
ADCYAP1R1	0.000000	15726	0.000000	17176
ADD1	0.000835	11783	1.689734	2717
ADD2	0.466000	3235	0.671778	9768
ADD3	0.264286	5527	1.073960	7192
ADGB	0.985728	929	0.985728	7817
ADGRA1	0.000000	15725	0.000000	17175
ADGRA2	-0.054706	16329	0.097677	12959
ADGRA3	0.000000	15724	0.246450	11856
ADGRB1	0.123987	8433	0.123987	12836
ADGRB2	0.123987	8432	0.231446	11928
ADGRB3	0.123987	8431	0.123987	12835
ADGRD1	1.439306	336	1.439306	4430
ADGRD2	-	18996	-	18996
ADGRE1	0.021486	11256	0.021486	14037
ADGRE2	0.123987	8430	0.602093	10122
ADGRE3	0.309521	4881	0.309521	11505
ADGRE5	1.165195	615	2.260766	684
ADGRF1	0.000000	15723	0.000000	17174
ADGRF2	0.306392	4946	0.306392	11542
ADGRF3	0.215303	6374	0.424354	10972
ADGRF4	1.209945	555	1.209945	6185
ADGRF5	0.000000	15722	0.000000	17173
ADGRG1	0.417750	3685	0.486998	10666
ADGRG2	0.627907	2125	0.627907	9996
ADGRG3	0.000000	15721	0.000000	17172
ADGRG4	0.000000	15720	0.000000	17171
ADGRG5	0.207731	6498	0.207731	11986
ADGRG6	0.667714	1898	1.072127	7207
ADGRG7	0.000000	15719	0.000000	17170
ADGRL1	0.000000	15718	0.123987	12834
ADGRL2	0.815232	1326	0.815232	8906
ADGRL3	0.000000	15717	0.000000	17169
ADGRL4	-0.055845	16333	0.025182	13856
ADGRV1	0.000000	15716	0.000000	17168
ADH1A	0.000000	15715	0.000000	17167
ADH1B	-0.063951	16376	0.000000	17166
ADH1C	0.000000	15714	0.000000	17165
ADH4	0.000000	15713	0.000000	17164
ADH5	-0.038120	16194	1.544785	3656
ADH6	0.000000	15712	0.000000	17163
ADH7	0.000000	15711	0.000000	17162
ADHFE1	0.000000	15710	0.684664	9684
ADI1	0.000305	11797	1.380814	4892
ADIG	0.000000	15709	0.000000	17161
ADIPOQ	0.000000	15708	0.000000	17160
ADIPOR1	0.266088	5493	1.567705	3477
ADIPOR2	0.168844	7267	1.652859	2932
ADIRF	-0.224741	16925	1.544973	3655
ADK	0.774306	1464	2.162833	876
ADM	0.000000	15707	1.366104	5008
ADM2	0.454847	3335	0.729778	9414
ADM5	0.000000	15706	0.000000	17159
ADNP	0.435838	3513	1.546632	3646
ADNP2	0.563244	2505	1.385292	4859
ADO	0.154030	7575	0.773949	9128
ADORA1	0.063145	9707	0.246450	11855
ADORA2A	1.440052	335	1.522822	3794
ADORA2B	0.081074	9295	0.582114	10219
ADORA3	0.000000	15705	0.000000	17158
ADPGK	0.384070	4000	1.629540	3062
ADPRH	0.914877	1087	1.172124	6489
ADPRHL1	0.000000	15704	0.000000	17157
ADPRHL2	0.093040	9043	1.244775	5938
ADPRM	0.061449	9749	0.963115	7958
ADRA1A	0.000000	15703	0.000000	17156
ADRA1B	0.000000	15702	0.025182	13855
ADRA1D	0.000000	15701	0.000000	17155
ADRA2A	0.000000	15700	0.080684	13099
ADRA2B	0.204671	6594	0.204671	12050
ADRA2C	0.021486	11255	0.021486	14036
ADRB1	0.025182	11015	0.123987	12833
