gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.367125	5018	1.358125	6164
A1CF	0.026394	14431	0.026394	14983
A2M	0.285479	6924	1.335782	6368
A2ML1	0.000000	17030	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.858893	1169	1.523318	4734
A4GNT	0.000000	17029	0.000000	17238
AAAS	0.354669	5278	1.748639	3107
AACS	0.521760	2945	1.572424	4376
AADAC	0.074610	13112	0.074610	14247
AADACL2	0.000000	17028	0.000000	17237
AADACL3	0.000000	17027	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.264509	7466	0.757239	10722
AAED1	0.456166	3629	1.674521	3595
AAGAB	0.255643	7701	1.804344	2766
AAK1	0.239580	8142	0.957186	9470
AAMDC	0.357779	5207	1.541575	4598
AAMP	0.196348	9561	1.923446	2143
AANAT	0.000000	17026	0.000000	17235
AAR2	0.431217	3960	1.552452	4526
AARD	0.277829	7097	0.292282	12769
AARS	0.250905	7836	1.862981	2432
AARS2	0.167698	10365	1.378516	5970
AARSD1	0.159462	10613	1.572296	4378
AASDH	0.110328	12016	1.190612	7648
AASDHPPT	0.118892	11825	1.609195	4089
AASS	0.292841	6735	0.855519	10142
AATF	0.102692	12201	1.571552	4385
AATK	0.034086	14113	0.051779	14502
ABAT	0.514283	2998	1.243447	7194
ABCA1	0.074743	12967	1.456334	5295
ABCA10	0.202983	9237	0.202983	13168
ABCA12	0.000000	17025	0.000000	17234
ABCA13	0.130999	11412	0.130999	13586
ABCA2	0.228605	8457	1.007499	9125
ABCA3	0.085655	12766	0.736667	10842
ABCA4	0.297089	6624	0.297089	12736
ABCA5	0.177079	10112	1.209515	7485
ABCA6	0.181085	9981	0.640260	11302
ABCA7	0.118912	11824	0.630417	11365
ABCA8	0.335348	5690	1.276144	6916
ABCA9	0.512844	3014	0.814718	10394
ABCB1	0.017693	14661	0.582766	11563
ABCB10	0.255198	7722	1.115359	8266
ABCB11	0.000000	17024	0.000000	17233
ABCB4	0.172392	10244	0.321385	12667
ABCB5	0.037426	14069	0.037426	14735
ABCB6	0.423999	4061	0.804520	10454
ABCB7	0.045574	13819	1.147406	8007
ABCB8	0.448495	3721	1.274593	6922
ABCB9	0.252180	7808	0.721234	10929
ABCC1	0.762181	1509	1.930998	2112
ABCC10	0.302032	6478	0.947601	9558
ABCC11	0.000000	17023	0.000000	17232
ABCC12	0.100343	12290	0.100343	13878
ABCC2	0.074610	13111	0.074610	14246
ABCC3	0.740264	1584	1.552593	4524
ABCC4	0.802848	1346	1.483471	5072
ABCC5	0.113718	11937	1.102518	8376
ABCC6	-	19006	-	19006
ABCC8	0.196348	9560	0.196348	13294
ABCC9	0.163563	10485	0.394452	12361
ABCD1	0.181658	9963	1.134881	8104
ABCD2	0.000000	17022	0.017693	15127
ABCD3	0.080626	12856	1.245266	7183
ABCD4	0.188244	9789	1.345107	6282
ABCE1	0.308369	6298	1.827434	2634
ABCF1	0.311938	6202	2.031395	1687
ABCF2	0.248450	7913	1.675692	3585
ABCF3	0.062561	13373	1.537338	4627
ABCG1	0.000000	17021	0.589783	11536
ABCG2	0.177307	10105	0.292256	12781
ABCG4	0.255314	7717	0.270958	12899
ABCG5	0.000000	17020	0.000000	17231
ABCG8	0.000000	17019	0.000000	17230
ABHD1	0.015108	14724	0.063481	14348
ABHD10	0.140195	11143	1.316390	6543
ABHD11	0.283989	6950	1.253950	7104
ABHD12	0.238118	8181	1.757004	3057
ABHD12B	0.000000	17018	0.000000	17229
ABHD13	0.121985	11754	1.149199	8000
ABHD14A	0.365011	5057	1.356736	6179
ABHD14B	0.190495	9715	1.947952	2046
ABHD15	0.143370	11060	0.483934	11971
ABHD16A	0.066141	13312	1.350893	6230
ABHD16B	-	19005	-	19005
ABHD17A	0.253526	7770	1.180126	7749
ABHD17B	0.084802	12784	1.025174	8977
ABHD17C	0.400926	4434	1.442319	5439
ABHD18	0.080278	12866	0.932148	9657
ABHD2	0.676629	1888	2.111569	1387
ABHD3	-0.033784	17110	0.916579	9763
ABHD4	0.438018	3859	1.778507	2924
ABHD5	0.292884	6732	1.489762	5006
ABHD6	0.127636	11633	0.711975	10969
ABHD8	0.136449	11246	1.016530	9043
ABI1	0.291186	6781	1.806729	2745
ABI2	0.297898	6583	1.571025	4387
ABI3	0.422428	4084	0.618709	11415
ABI3BP	1.855504	85	2.531845	503
ABL1	0.490341	3254	1.491853	4982
ABL2	0.816802	1300	1.484869	5057
ABLIM1	0.167354	10372	0.952483	9517
ABLIM2	0.139912	11156	0.407971	12300
ABLIM3	0.508618	3055	1.515874	4801
ABO	0.168570	10337	0.294416	12754
ABR	0.885950	1087	1.448207	5378
ABRA	0.164239	10464	0.164239	13424
ABRACL	0.292754	6736	1.761912	3025
ABT1	0.188452	9780	1.385318	5911
ABTB1	0.234911	8270	1.238687	7228
ABTB2	0.451604	3673	1.212424	7453
ACAA1	0.177652	10093	1.659668	3702
ACAA2	0.449528	3708	1.697173	3442
ACACA	0.277783	7100	1.421110	5605
ACACB	0.054784	13535	0.265100	12936
ACAD10	0.234434	8279	1.224012	7343
ACAD11	0.793956	1374	1.459392	5278
ACAD8	0.050185	13713	1.258936	7072
ACAD9	0.270958	7298	1.513275	4823
ACADL	0.045208	13824	0.066219	14343
ACADM	0.022738	14485	1.367915	6079
ACADS	0.206465	9135	1.094100	8451
ACADSB	0.105502	12142	1.001734	9164
ACADVL	0.447909	3730	2.128836	1328
ACAN	2.869343	7	2.919642	200
ACAP1	0.159740	10605	0.271842	12850
ACAP2	0.155718	10720	1.715251	3322
ACAP3	0.130296	11448	0.796892	10499
ACAT1	0.364324	5067	1.927268	2128
ACAT2	0.634033	2112	2.067182	1538
ACBD3	0.260728	7549	2.114670	1375
ACBD4	0.197934	9396	0.794984	10505
ACBD5	0.212736	8923	0.701086	11020
ACBD6	0.289006	6834	1.352990	6215
ACBD7	0.543032	2770	0.780350	10596
ACCS	0.381449	4746	0.699262	11027
ACCSL	-	19004	-	19004
ACD	0.340733	5581	1.257550	7083
ACE	0.717360	1687	1.163878	7882
ACE2	0.000000	17017	0.000000	17228
ACER1	0.000000	17016	0.000000	17227
ACER2	-0.011950	17062	0.214229	13111
ACER3	-0.029042	17101	1.089552	8482
ACHE	0.470587	3445	0.862396	10098
ACIN1	0.389640	4623	2.004981	1792
ACKR1	0.000000	17015	0.000000	17226
ACKR2	0.175321	10154	0.407971	12299
ACKR3	1.311808	359	2.655905	394
ACKR4	2.214242	36	2.318877	858
ACLY	0.881850	1096	2.176549	1214
ACMSD	0.000000	17014	0.000000	17225
ACO1	0.521664	2947	2.045605	1629
ACO2	0.027595	14325	1.750033	3099
ACOD1	0.000000	17013	0.000000	17224
ACOT1	0.703206	1755	0.754843	10751
ACOT11	0.275569	7148	0.372358	12442
ACOT12	0.115399	11902	0.115399	13786
ACOT13	0.843409	1211	1.523504	4732
ACOT2	0.314261	6158	1.182057	7723
ACOT4	0.057161	13477	0.196348	13293
ACOT6	-	19003	-	19003
ACOT7	0.887898	1079	1.604716	4123
ACOT8	0.177747	10085	1.578516	4327
ACOT9	0.142089	11096	1.691155	3467
ACOX1	0.106918	12108	1.548691	4547
ACOX2	0.477718	3381	0.991576	9233
ACOX3	0.320445	6012	1.267139	6992
ACOXL	0.000000	17012	0.000000	17223
ACP1	0.142759	11076	1.950091	2033
ACP2	0.136394	11249	1.679194	3557
ACP5	0.231470	8366	0.328380	12616
ACP6	0.047777	13743	0.624282	11397
ACP7	-	19002	-	19002
ACPP	1.496172	225	1.725340	3258
ACPT	-	19001	-	19001
ACR	0.000000	17011	0.000000	17222
ACRBP	0.047834	13741	0.294416	12753
ACRC	0.000000	17010	0.000000	17221
ACRV1	0.000000	17009	0.000000	17220
ACSBG1	0.037426	14068	0.037426	14734
ACSBG2	0.027595	14324	0.027595	14897
ACSF2	0.232711	8330	1.015323	9071
ACSF3	0.195255	9596	1.060348	8700
ACSL1	0.108082	12083	1.274599	6921
ACSL3	0.309165	6281	2.154971	1253
ACSL4	0.196445	9444	1.729792	3231
ACSL5	0.086593	12749	0.844146	10213
ACSL6	0.026394	14430	0.026394	14982
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17008	0.000000	17219
ACSM2B	0.000000	17007	0.000000	17218
ACSM3	0.072525	13147	0.100371	13872
ACSM4	-	18999	-	18999
ACSM5	0.203394	9224	0.203394	13166
ACSM6	0.000000	17006	0.000000	17217
ACSS1	0.414460	4210	1.118175	8245
ACSS2	0.490670	3250	1.331089	6420
ACSS3	0.304884	6381	0.723987	10917
ACTA1	1.119597	611	1.119597	8233
ACTA2	1.520110	218	2.894407	213
ACTB	0.657072	1983	4.107557	8
ACTBL2	0.371363	4928	0.371363	12445
ACTC1	1.662496	149	1.770001	2974
ACTG1	0.772866	1458	4.252290	4
ACTG2	1.952952	67	2.682517	360
ACTL10	0.127636	11632	0.196741	13183
ACTL6A	0.242098	8084	1.758114	3051
ACTL6B	0.074610	13110	0.074610	14245
ACTL7A	0.000000	17005	0.000000	17216
ACTL7B	0.000000	17004	0.000000	17215
ACTL8	0.028787	14177	0.028787	14775
ACTL9	0.000000	17003	0.000000	17214
ACTN1	0.671454	1909	2.710357	331
ACTN2	0.567150	2580	0.796754	10500
ACTN3	0.106563	12122	0.106563	13815
ACTN4	0.486132	3290	2.131538	1319
ACTR10	0.164211	10465	1.830493	2614
ACTR1A	0.311546	6219	2.340977	815
ACTR1B	0.317937	6078	1.608752	4094
ACTR2	0.227819	8476	1.940467	2077
ACTR3	0.534036	2850	2.521060	515
ACTR3B	0.068428	13228	0.996577	9200
ACTR3C	0.054784	13534	0.270165	12907
ACTR5	0.094349	12441	0.891617	9926
ACTR6	0.128444	11538	1.175802	7790
ACTR8	0.206836	9108	1.328001	6439
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17002	0.000000	17213
ACTRT3	-	18997	-	18997
ACVR1	0.355564	5266	1.418347	5632
ACVR1B	0.198098	9390	1.215828	7419
ACVR1C	0.130334	11446	0.164239	13423
ACVR2A	0.364442	5066	1.017794	9032
ACVR2B	-0.045544	17134	0.337389	12594
ACVRL1	0.691999	1804	1.058046	8727
ACY1	0.358335	5194	1.489514	5010
ACY3	0.074610	13109	0.074610	14244
ACYP1	0.181313	9973	1.249687	7134
ACYP2	0.320701	6003	0.962563	9432
ADA	0.288235	6864	0.962751	9431
ADAD1	0.000000	17001	0.000000	17212
ADAD2	0.000000	17000	0.000000	17211
ADAL	0.228384	8462	0.956317	9476
ADAM10	0.498561	3157	1.985651	1882
ADAM11	0.090040	12551	0.090040	13937
ADAM12	1.409175	288	1.687670	3484
ADAM15	0.282024	6999	1.961860	1996
ADAM17	0.250258	7868	1.237393	7237
ADAM18	0.017693	14660	0.017693	15126
ADAM19	0.593088	2379	1.478506	5117
ADAM2	0.000000	16999	0.000000	17210
ADAM20	0.000000	16998	0.000000	17209
ADAM21	0.017693	14659	0.017693	15125
ADAM22	0.086593	12748	0.427784	12203
ADAM23	0.177737	10089	0.592605	11514
ADAM28	0.000000	16997	0.000000	17208
ADAM29	0.000000	16996	0.000000	17207
ADAM30	0.000000	16995	0.000000	17206
ADAM32	0.051779	13668	0.051779	14501
ADAM33	1.419087	275	1.710202	3360
ADAM7	0.000000	16994	0.000000	17205
ADAM8	0.172370	10246	0.346353	12572
ADAM9	0.667445	1927	2.350132	799
ADAMDEC1	0.050763	13706	0.050763	14543
ADAMTS1	1.051339	711	2.856110	236
ADAMTS10	0.764536	1502	1.463054	5235
ADAMTS12	1.327213	345	1.564000	4437
ADAMTS13	0.000000	16993	0.000000	17204
ADAMTS14	0.693298	1796	0.928164	9679
ADAMTS15	0.812868	1312	1.337348	6352
ADAMTS16	0.631728	2129	0.631728	11355
ADAMTS17	0.107472	12092	0.232306	13023
ADAMTS18	0.270958	7297	0.270958	12898
ADAMTS19	0.715054	1697	0.715054	10947
ADAMTS2	1.323713	346	2.043905	1641
ADAMTS20	0.000000	16992	0.000000	17203
ADAMTS3	0.183784	9896	0.460567	12077
ADAMTS4	0.561349	2627	1.162755	7893
ADAMTS5	1.730556	118	2.450620	637
ADAMTS6	1.438639	267	1.681350	3537
ADAMTS7	1.145658	557	1.736117	3181
ADAMTS8	0.367633	5014	0.367633	12492
ADAMTS9	0.519042	2966	0.971758	9361
ADAMTSL1	1.447397	262	1.944324	2060
ADAMTSL2	0.262029	7519	0.297748	12735
ADAMTSL3	0.263144	7495	0.302485	12708
ADAMTSL4	0.667879	1922	1.548263	4553
ADAMTSL5	0.464431	3520	0.825939	10329
ADAP1	0.146647	10969	0.664167	11196
ADAP2	0.025325	14438	0.228567	13044
ADAR	0.326946	5869	1.583857	4283
ADARB1	0.498345	3161	1.412987	5685
ADARB2	0.052787	13609	0.052787	14457
ADAT1	0.187581	9808	1.150781	7992
ADAT2	-0.029313	17102	0.846713	10193
ADAT3	0.376411	4842	2.049806	1617
ADCK1	0.183764	9898	0.607532	11467
ADCK2	0.111813	11981	1.154815	7958
ADCK5	0.252568	7798	1.049495	8793
ADCY1	0.022539	14489	0.102983	13833
ADCY10	0.000000	16991	0.000000	17202
ADCY2	0.457575	3609	0.511955	11862
ADCY3	0.286858	6891	1.348152	6260
ADCY4	0.991128	837	1.393276	5847
ADCY5	0.117297	11868	0.145917	13520
ADCY6	0.301003	6503	1.111422	8288
ADCY7	0.244248	8022	0.810170	10421
ADCY8	0.141437	11113	0.141437	13542
ADCY9	0.313754	6167	0.879686	9989
ADCYAP1	0.037426	14067	0.037426	14733
ADCYAP1R1	0.166287	10407	0.166287	13412
ADD1	0.396223	4517	1.840673	2543
ADD2	0.148285	10901	0.196348	13292
ADD3	0.874938	1118	1.956434	2015
ADGB	0.026394	14429	0.026394	14981
ADGRA1	0.297748	6605	0.297748	12734
ADGRA2	0.971799	886	1.956425	2016
ADGRA3	0.114574	11921	0.782583	10585
ADGRB1	0.054784	13533	0.054784	14411
ADGRB2	0.431163	3961	0.953760	9505
ADGRB3	0.058697	13451	0.271842	12849
ADGRD1	0.954580	923	1.340135	6328
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	16990	0.000000	17201
ADGRE2	0.466688	3496	1.296007	6735
ADGRE3	0.027595	14323	0.027595	14896
ADGRE5	0.658799	1975	1.754369	3071
ADGRF1	0.017693	14658	0.017693	15124
ADGRF2	0.000000	16989	0.000000	17200
ADGRF3	0.084193	12799	0.293243	12766
ADGRF4	0.127636	11631	0.127636	13736
ADGRF5	0.049377	13721	0.183409	13325
ADGRG1	0.157642	10671	0.935488	9630
ADGRG2	0.730082	1637	0.730082	10893
ADGRG3	0.000000	16988	0.000000	17199
ADGRG4	0.000000	16987	0.000000	17198
ADGRG5	0.050763	13705	0.050763	14542
ADGRG6	0.459576	3583	1.115490	8265
