gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15164	0.832688	8062
A1CF	0.000000	15163	0.000000	17239
A2M	0.097395	6053	0.941886	7234
A2ML1	0.000000	15162	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.165796	4272	0.861245	7842
A4GNT	0.000000	15161	0.000000	17237
AAAS	0.000896	9749	1.293756	4411
AACS	0.078953	6632	1.129616	5690
AADAC	0.921208	140	0.921208	7378
AADACL2	0.000000	15160	0.000000	17236
AADACL3	0.000000	15159	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15158	0.367941	10805
AAED1	-0.051662	16012	0.933364	7292
AAGAB	-0.106210	16525	1.442491	3344
AAK1	0.216268	3004	0.685577	9045
AAMDC	0.390738	1128	1.574533	2555
AAMP	0.017693	9266	1.793072	1565
AANAT	0.000000	15157	0.000000	17234
AAR2	0.312173	1708	0.985516	6858
AARD	0.032174	8348	0.046626	12780
AARS	0.034977	8169	1.647054	2187
AARS2	-0.117631	16602	1.093186	5980
AARSD1	0.045295	7883	1.387343	3723
AASDH	0.017693	9265	1.076447	6118
AASDHPPT	0.438577	907	1.700617	1949
AASS	0.124085	5333	1.186152	5250
AATF	-0.064559	16166	1.404301	3613
AATK	0.000000	15156	0.000000	17233
ABAT	0.297235	1862	1.008499	6685
ABCA1	0.351547	1367	1.744947	1759
ABCA10	0.178853	3946	0.178853	11932
ABCA12	0.000000	15155	0.000000	17232
ABCA13	0.000000	15154	0.000000	17231
ABCA2	0.108626	5751	0.887520	7615
ABCA3	0.000000	15153	0.216120	11588
ABCA4	0.033457	8314	0.033457	12948
ABCA5	0.017693	9264	0.932124	7300
ABCA6	1.068962	88	1.528136	2814
ABCA7	0.058491	7456	0.390357	10705
ABCA8	0.558100	536	1.498896	3001
ABCA9	0.653122	369	0.866744	7797
ABCB1	0.000000	15152	0.000000	17230
ABCB10	-0.020447	15521	0.838394	8013
ABCB11	0.000000	15151	0.000000	17229
ABCB4	0.000000	15150	0.000000	17228
ABCB5	0.000000	15149	0.000000	17227
ABCB6	0.389595	1134	0.626611	9412
ABCB7	0.000000	15148	1.147126	5530
ABCB8	-0.005712	15276	1.166254	5396
ABCB9	0.213112	3062	0.585367	9669
ABCC1	0.207326	3186	1.335859	4075
ABCC10	0.131622	5128	0.799165	8295
ABCC11	0.000000	15147	0.000000	17226
ABCC12	0.000000	15146	0.000000	17225
ABCC2	0.000000	15145	0.000000	17224
ABCC3	0.341181	1436	1.153509	5489
ABCC4	0.243026	2559	1.134057	5653
ABCC5	0.000000	15144	0.823304	8121
ABCC6	-	19006	-	19006
ABCC8	0.178853	3945	0.178853	11931
ABCC9	0.015886	9317	0.169698	11979
ABCD1	0.119657	5466	1.072880	6153
ABCD2	0.000000	15143	0.000000	17223
ABCD3	0.175994	4018	1.340634	4047
ABCD4	-0.014220	15407	0.774302	8468
ABCE1	-0.208683	16945	1.310382	4292
ABCF1	0.044029	7918	1.807018	1528
ABCF2	0.171822	4114	1.599064	2418
ABCF3	0.004997	9620	1.479774	3126
ABCG1	0.038579	8085	0.510946	10075
ABCG2	0.017693	9263	0.071615	12644
ABCG4	0.074239	6997	0.074239	12601
ABCG5	0.000000	15142	0.000000	17222
ABCG8	0.000000	15141	0.000000	17221
ABHD1	0.000000	15140	0.033457	12947
ABHD10	-0.001950	15208	1.268727	4591
ABHD11	0.106809	5822	1.076770	6113
ABHD12	0.000000	15139	1.339234	4052
ABHD12B	0.074239	6996	0.074239	12600
ABHD13	-0.127630	16663	0.914550	7419
ABHD14A	0.062543	7333	1.115740	5794
ABHD14B	0.126804	5250	1.884261	1269
ABHD15	0.000000	15138	0.286548	11239
ABHD16A	0.000000	15137	1.111178	5838
ABHD16B	-	19005	-	19005
ABHD17A	0.112379	5647	1.038979	6435
ABHD17B	-0.007764	15299	0.765274	8525
ABHD17C	0.380775	1178	1.422168	3497
ABHD18	0.164400	4302	0.884221	7648
ABHD2	0.226097	2830	1.484191	3095
ABHD3	-0.196589	16907	0.753773	8592
ABHD4	0.100081	5977	1.440571	3359
ABHD5	0.122369	5394	1.251106	4734
ABHD6	0.031939	8358	0.499808	10127
ABHD8	-0.082678	16359	0.823549	8119
ABI1	-0.046447	15946	1.348315	3983
ABI2	0.159719	4432	1.500265	2986
ABI3	0.143888	4836	0.340169	10945
ABI3BP	0.000000	15136	0.712636	8879
ABL1	0.170189	4158	1.074351	6142
ABL2	0.129653	5195	0.825392	8106
ABLIM1	0.160973	4396	0.654213	9241
ABLIM2	0.000000	15135	0.000000	17220
ABLIM3	0.256459	2351	0.969667	7011
ABO	0.000000	15134	0.107696	12295
ABR	0.144832	4806	1.094266	5971
ABRA	0.000000	15133	0.000000	17219
ABRACL	0.277953	2077	1.722575	1853
ABT1	-0.030132	15705	1.166734	5393
ABTB1	0.017693	9262	1.145922	5540
ABTB2	-0.045776	15935	0.700934	8942
ACAA1	-0.039245	15843	1.321639	4179
ACAA2	0.271972	2153	1.564751	2597
ACACA	0.304038	1800	1.447365	3322
ACACB	0.000000	15132	0.074239	12599
ACAD10	0.000723	9754	0.990300	6822
ACAD11	0.109156	5745	0.774593	8465
ACAD8	0.072416	7047	1.281167	4492
ACAD9	0.080697	6566	1.480834	3118
ACADL	0.033457	8313	0.033457	12946
ACADM	0.008605	9536	1.382701	3750
ACADS	0.225893	2833	1.113527	5818
ACADSB	0.210389	3129	0.902787	7506
ACADVL	0.598070	461	2.135814	689
ACAN	0.051485	7655	0.101784	12312
