gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.343858	1550	1.314673	4382
A1CF	0.000000	15585	0.000000	17239
A2M	0.000000	15584	0.185211	11668
A2ML1	0.000000	15583	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.140451	4504	0.835901	8120
A4GNT	0.000000	15582	0.000000	17237
AAAS	0.240038	2556	1.326721	4283
AACS	-0.017920	15903	0.946981	7332
AADAC	0.000000	15581	0.000000	17236
AADACL2	0.000000	15580	0.000000	17235
AADACL3	0.000000	15579	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.230017	2666	0.722156	8874
AAED1	0.124631	4931	1.305051	4451
AAGAB	0.051537	7780	1.600238	2425
AAK1	0.061239	7318	0.707928	8994
AAMDC	-0.000077	15589	1.170067	5526
AAMP	0.000000	15578	1.759083	1701
AANAT	0.000000	15577	0.000000	17233
AAR2	0.042140	8319	1.028736	6699
AARD	0.135719	4626	0.150172	11885
AARS	-0.122010	16820	1.412723	3616
AARS2	-0.113639	16783	1.097179	6131
AARSD1	0.069394	6960	1.426125	3510
AASDH	0.027595	9212	0.956654	7271
AASDHPPT	0.183318	3478	1.592962	2457
AASS	-0.053333	16358	0.810333	8290
AATF	0.021360	9661	1.490220	3071
AATK	0.009902	10342	0.027595	13092
ABAT	0.016827	10112	0.429083	10551
ABCA1	0.000000	15576	0.776745	8524
ABCA10	0.018968	10043	0.018968	13477
ABCA12	0.023961	9571	0.023961	13259
ABCA13	0.102470	5639	0.102470	12212
ABCA2	0.106702	5496	0.783299	8474
ABCA3	0.002059	10583	0.272380	11285
ABCA4	0.000000	15575	0.000000	17232
ABCA5	0.046563	8068	0.640611	9415
ABCA6	0.060228	7374	0.427057	10561
ABCA7	0.212949	2944	0.467016	10367
ABCA8	0.147523	4303	1.088319	6213
ABCA9	0.018968	10042	0.257971	11365
ABCB1	0.023961	9570	0.231227	11471
ABCB10	0.131004	4744	0.991165	7004
ABCB11	0.000000	15574	0.000000	17231
ABCB4	0.027595	9211	0.027595	13091
ABCB5	0.000000	15573	0.000000	17230
ABCB6	0.000000	15572	0.387333	10741
ABCB7	0.000000	15571	1.043441	6581
ABCB8	0.099645	5738	1.206898	5248
ABCB9	0.035377	8612	0.498767	10197
ABCC1	0.174388	3668	1.359825	4025
ABCC10	0.097591	5813	0.761861	8611
ABCC11	0.000000	15570	0.000000	17229
ABCC12	0.000000	15569	0.000000	17228
ABCC2	0.042929	8294	0.042929	12850
ABCC3	0.921708	201	1.734036	1792
ABCC4	0.379780	1334	1.270811	4721
ABCC5	0.210967	2967	1.199767	5313
ABCC6	-	19006	-	19006
ABCC8	0.000000	15568	0.000000	17227
ABCC9	0.078457	6558	0.402639	10672
ABCD1	0.081031	6460	1.034255	6648
ABCD2	0.018968	10041	0.091076	12312
ABCD3	0.073167	6774	1.237806	4991
ABCD4	0.022212	9635	1.027646	6706
ABCE1	0.292518	1952	1.811583	1523
ABCF1	0.051612	7712	1.822492	1477
ABCF2	0.180202	3542	1.547806	2680
ABCF3	-0.020375	15940	1.454402	3314
ABCG1	0.000000	15567	0.000000	17226
ABCG2	0.018968	10040	0.023961	13258
ABCG4	0.027595	9210	0.027595	13090
ABCG5	0.000000	15566	0.000000	17225
ABCG8	0.000000	15565	0.000000	17224
ABHD1	0.000000	15564	0.049740	12705
ABHD10	0.002888	10563	1.245550	4924
ABHD11	0.009492	10358	0.941396	7375
ABHD12	0.023961	9569	1.496414	3020
ABHD12B	0.000000	15563	0.000000	17223
ABHD13	-0.042332	16249	0.984882	7042
ABHD14A	0.072676	6787	0.944941	7345
ABHD14B	0.130648	4754	1.888105	1240
ABHD15	0.018968	10039	0.269261	11308
ABHD16A	0.006331	10452	1.183722	5428
ABHD16B	-	19005	-	19005
ABHD17A	0.069244	6965	0.935784	7410
ABHD17B	0.074098	6728	0.834783	8127
ABHD17C	-0.091085	16637	0.827447	8187
ABHD18	0.081263	6451	0.933133	7432
ABHD2	0.378801	1344	1.793001	1581
ABHD3	-0.235285	17111	0.715077	8934
ABHD4	0.046270	8077	1.266588	4750
ABHD5	0.536532	748	1.733411	1797
ABHD6	0.023961	9568	0.529668	10037
ABHD8	0.029891	8839	0.624121	9506
ABI1	0.122829	4982	1.437864	3434
ABI2	0.090903	6064	1.355075	4059
ABI3	0.000000	15562	0.000000	17222
ABI3BP	1.653523	21	2.329864	378
ABL1	0.209026	2998	1.210538	5208
ABL2	0.824248	272	1.492315	3053
ABLIM1	0.000000	15561	0.292830	11184
ABLIM2	0.000000	15560	0.126965	12035
ABLIM3	0.932013	190	1.743541	1757
ABO	0.000000	15559	0.000000	17221
ABR	0.199097	3169	1.248764	4895
ABRA	0.018968	10038	0.018968	13476
ABRACL	0.271100	2183	1.767638	1671
ABT1	-0.062715	16436	1.134151	5825
ABTB1	0.000000	15558	0.924251	7500
ABTB2	-0.013562	15837	0.747259	8713
ACAA1	0.060837	7334	1.507190	2944
ACAA2	0.556655	701	1.849434	1366
ACACA	0.101683	5663	1.126836	5878
ACACB	0.073700	6749	0.128660	12024
ACAD10	-0.185866	17041	0.803712	8332
ACAD11	0.097705	5808	0.715375	8931
ACAD8	-0.185121	17037	1.023630	6748
ACAD9	0.027595	9209	1.338690	4197
ACADL	0.058363	7448	0.079374	12397
ACADM	0.005171	10485	1.374544	3892
ACADS	0.042929	8293	0.772920	8554
ACADSB	0.015958	10141	0.915435	7558
ACADVL	0.691661	412	2.291271	421
ACAN	0.800604	292	0.850903	8029
ACAP1	0.000000	15557	0.000000	17220
ACAP2	0.173991	3680	1.601431	2415
ACAP3	0.084132	6323	0.754318	8668
ACAT1	0.080967	6463	1.753103	1727
ACAT2	0.046764	7989	1.479914	3142
ACBD3	0.097355	5821	1.951297	1049
ACBD4	-0.170429	16988	0.538417	9987
ACBD5	0.092203	6007	0.664963	9281
ACBD6	0.224217	2748	1.314403	4386
ACBD7	-0.094661	16664	0.142658	11925
ACCS	0.027631	8927	0.323157	11027
ACCSL	-	19004	-	19004
ACD	0.014713	10178	0.911676	7593
ACE	0.023961	9567	0.358791	10874
ACE2	0.000000	15556	0.000000	17219
ACER1	0.000000	15555	0.000000	17218
ACER2	-0.029643	16089	0.036863	12897
ACER3	-0.089024	16623	1.029570	6689
ACHE	0.000000	15554	0.123887	12066
ACIN1	0.161626	3954	1.655097	2141
ACKR1	0.064458	7187	0.064458	12553
ACKR2	0.000000	15553	0.198564	11615
ACKR3	0.000000	15552	0.110564	12153
ACKR4	0.184023	3464	0.288658	11200
ACLY	0.530301	775	1.825000	1467
ACMSD	0.000000	15551	0.000000	17217
ACO1	0.239494	2561	1.763435	1690
ACO2	0.023961	9566	1.563560	2597
ACOD1	0.000000	15550	0.000000	17216
ACOT1	0.128249	4831	0.128249	12030
ACOT11	0.313179	1771	0.404209	10667
ACOT12	0.000000	15549	0.000000	17215
ACOT13	0.272947	2154	1.555862	2638
ACOT2	0.142879	4442	1.111280	6015
ACOT4	0.092231	6006	0.231419	11469
ACOT6	-	19003	-	19003
ACOT7	0.665735	458	1.398052	3716
ACOT8	-0.073110	16517	1.327659	4271
ACOT9	0.095380	5882	1.644446	2197
ACOX1	0.059213	7417	1.483025	3114
ACOX2	0.287823	1998	0.755206	8661
ACOX3	0.098381	5780	0.894828	7708
ACOXL	0.000000	15548	0.000000	17214
ACP1	0.051804	7683	1.859136	1332
ACP2	0.070091	6923	1.477515	3160
ACP5	0.000000	15547	0.000000	17213
ACP6	0.001139	10616	0.647538	9371
ACP7	-	19002	-	19002
ACPP	0.049740	7895	0.270316	11297
ACPT	-	19001	-	19001
ACR	0.000000	15546	0.000000	17212
ACRBP	0.000000	15545	0.138327	11960
ACRC	0.000000	15544	0.000000	17211
ACRV1	0.000000	15543	0.000000	17210
ACSBG1	0.000000	15542	0.000000	17209
ACSBG2	0.000000	15541	0.000000	17208
ACSF2	0.172706	3708	0.798814	8365
ACSF3	0.000000	15540	0.698876	9057
ACSL1	0.153452	4151	1.319969	4345
ACSL3	0.327635	1657	2.160968	598
ACSL4	0.148962	4264	1.678655	2014
ACSL5	0.046563	8067	0.405030	10663
ACSL6	0.000000	15539	0.000000	17207
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15538	0.000000	17206
ACSM2B	0.000000	15537	0.000000	17205
ACSM3	0.000000	15536	0.000000	17204
ACSM4	-	18999	-	18999
ACSM5	0.298383	1887	0.298383	11151
ACSM6	0.000000	15535	0.000000	17203
ACSS1	-0.078411	16557	0.145428	11916
ACSS2	0.046563	8066	0.794456	8405
ACSS3	0.160123	3998	0.734173	8798
ACTA1	0.894661	219	0.894661	7710
ACTA2	0.197503	3199	1.245361	4930
ACTB	0.399420	1249	3.737944	6
ACTBL2	0.027595	9208	0.027595	13089
ACTC1	2.895693	1	3.003198	49
ACTG1	0.453117	1023	3.837099	3
ACTG2	0.000000	15534	0.111886	12126
ACTL10	0.123314	4969	0.240373	11435
ACTL6A	0.122130	5009	1.638147	2232
ACTL6B	0.000000	15533	0.000000	17202
ACTL7A	0.000000	15532	0.000000	17201
ACTL7B	0.000000	15531	0.000000	17200
ACTL8	0.000000	15530	0.000000	17199
ACTL9	0.000000	15529	0.000000	17198
ACTN1	0.186161	3425	2.317614	393
ACTN2	0.110668	5346	0.340271	10951
ACTN3	0.000000	15528	0.000000	17197
ACTN4	0.190280	3343	1.955525	1037
ACTR10	0.154708	4120	1.716856	1869
ACTR1A	0.167498	3824	2.085401	734
ACTR1B	0.034030	8673	1.324845	4300
ACTR2	0.248195	2439	1.960843	1019
ACTR3	0.334121	1608	2.503690	240
ACTR3B	0.035373	8614	0.767599	8584
ACTR3C	0.042929	8292	0.092918	12280
ACTR5	-0.111889	16772	0.685378	9145
ACTR6	0.065210	7131	1.112567	5997
ACTR8	0.123887	4951	1.384352	3820
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15527	0.000000	17196
ACTRT3	-	18997	-	18997
ACVR1	0.132249	4709	1.183364	5434
ACVR1B	-0.264374	17138	0.753356	8675
ACVR1C	0.000000	15526	0.000000	17195
ACVR2A	0.000000	15525	0.678424	9193
ACVR2B	-0.145096	16918	0.184124	11683
ACVRL1	0.044513	8182	0.384358	10752
ACY1	0.130400	4764	1.261578	4792
ACY3	0.000000	15524	0.000000	17194
ACYP1	0.096292	5863	1.094892	6152
ACYP2	0.257700	2328	1.163033	5585
ADA	0.015436	10157	0.689953	9113
ADAD1	0.000000	15523	0.000000	17193
ADAD2	0.000000	15522	0.000000	17192
ADAL	0.125022	4920	0.852955	8002
ADAM10	0.309855	1795	1.753940	1723
ADAM11	0.018968	10037	0.018968	13475
ADAM12	1.138943	112	1.417438	3575
ADAM15	0.096993	5835	1.776829	1642
ADAM17	0.138478	4559	1.323198	4315
ADAM18	0.000000	15521	0.000000	17191
ADAM19	0.126965	4861	1.060837	6431
ADAM2	0.000000	15520	0.000000	17190
ADAM20	0.000000	15519	0.000000	17189
ADAM21	0.000000	15518	0.000000	17188
