gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.079874	5777	0.199057	10048
A1CF	0.000000	14714	0.000000	17239
A2M	0.000000	14713	0.050185	11343
A2ML1	0.000000	14712	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.693680	1096	1.389129	3783
A4GNT	0.000000	14711	0.000000	17237
AAAS	0.398860	2265	1.792830	1720
AACS	-0.041880	15377	0.511356	8593
AADAC	0.000000	14710	0.000000	17236
AADACL2	0.000000	14709	0.000000	17235
AADACL3	0.000000	14708	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14707	0.000000	17233
AAED1	-0.100414	15978	0.286320	9612
AAGAB	0.301393	2971	1.850095	1523
AAK1	0.115369	5184	0.407772	9048
AAMDC	0.053595	6204	1.237390	4746
AAMP	0.000000	14706	1.565715	2790
AANAT	0.000000	14705	0.000000	17232
AAR2	-0.025306	15060	0.842523	7043
AARD	0.078913	5816	0.093365	10723
AARS	0.351287	2604	1.963364	1164
AARS2	-0.037990	15319	1.172827	5176
AARSD1	0.099717	5406	1.512550	3066
AASDH	0.270171	3255	1.350455	4039
AASDHPPT	0.453119	1935	1.584233	2686
AASS	0.287366	3113	0.579878	8292
AATF	0.252087	3439	1.720948	2007
AATK	0.000000	14704	0.000000	17231
ABAT	0.000000	14703	0.170103	10179
ABCA1	0.000000	14702	0.043180	11778
ABCA10	0.000000	14701	0.000000	17230
ABCA12	0.000000	14700	0.000000	17229
ABCA13	0.043180	6950	0.043180	11777
ABCA2	0.000000	14699	0.043180	11776
ABCA3	0.000000	14698	0.134102	10357
ABCA4	0.000000	14697	0.000000	17228
ABCA5	0.050185	6533	0.980418	6322
ABCA6	0.000000	14696	0.000000	17227
ABCA7	0.789215	901	1.624774	2469
ABCA8	0.000000	14695	0.000000	17226
ABCA9	0.000000	14694	0.000000	17225
ABCB1	0.000000	14693	0.050185	11342
ABCB10	1.653193	176	2.513355	280
ABCB11	0.000000	14692	0.000000	17224
ABCB4	0.274639	3221	0.423632	8992
ABCB5	0.000000	14691	0.000000	17223
ABCB6	1.291057	366	1.669749	2256
ABCB7	0.430789	2061	1.680227	2201
ABCB8	0.222950	3749	1.394917	3739
ABCB9	0.056989	6161	0.504470	8623
ABCC1	0.000000	14690	0.818962	7153
ABCC10	-0.060943	15604	0.471344	8775
ABCC11	0.000000	14689	0.000000	17222
ABCC12	0.000000	14688	0.000000	17221
ABCC2	0.000000	14687	0.000000	17220
ABCC3	0.015585	7433	0.232929	9842
ABCC4	1.350769	315	1.565701	2791
ABCC5	1.056324	555	1.670680	2250
ABCC6	-	19006	-	19006
ABCC8	0.000000	14686	0.000000	17219
ABCC9	0.000000	14685	0.000000	17218
ABCD1	0.000000	14684	0.134102	10356
ABCD2	0.000000	14683	0.000000	17217
ABCD3	-0.019020	14970	1.142228	5380
ABCD4	-0.073180	15734	0.834034	7082
ABCE1	0.271138	3247	1.790203	1736
ABCF1	0.190342	4159	2.040276	963
ABCF2	0.114331	5198	1.541573	2925
ABCF3	-0.550070	17048	0.924707	6637
ABCG1	0.000000	14682	0.000000	17216
ABCG2	1.593651	194	1.701627	2091
ABCG4	0.000000	14681	0.000000	17215
ABCG5	0.000000	14680	0.000000	17214
ABCG8	0.000000	14679	0.000000	17213
ABHD1	0.000000	14678	0.043180	11775
ABHD10	0.134153	4894	1.404830	3677
ABHD11	-0.031872	15211	0.787512	7305
ABHD12	0.000000	14677	1.334186	4156
ABHD12B	0.000000	14676	0.000000	17212
ABHD13	0.070959	5931	1.098173	5666
ABHD14A	-0.113458	16064	0.558105	8406
ABHD14B	-0.595726	17077	1.161732	5251
ABHD15	0.000000	14675	0.129367	10469
ABHD16A	0.433504	2042	1.523249	3007
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	14674	0.741893	7522
ABHD17B	0.084859	5717	0.859085	6954
ABHD17C	-0.344455	16815	0.000000	17211
ABHD18	0.567195	1451	1.208211	4945
ABHD2	0.021172	7317	1.720685	2009
ABHD3	-0.173757	16368	0.776605	7346
ABHD4	0.391695	2318	1.732185	1962
ABHD5	0.969381	641	2.166260	692
ABHD6	0.000000	14673	0.125210	10492
ABHD8	-0.007005	14790	0.357437	9287
ABI1	0.029062	7174	1.446156	3428
ABI2	0.003786	7671	1.168037	5210
ABI3	0.000000	14672	0.000000	17210
ABI3BP	0.000000	14671	0.000000	17209
ABL1	-0.016731	14922	0.594982	8223
ABL2	0.000000	14670	0.079181	10906
ABLIM1	0.093365	5566	0.168390	10217
ABLIM2	0.000000	14669	0.000000	17208
ABLIM3	0.000000	14668	0.129367	10468
ABO	0.399086	2262	0.524933	8528
ABR	0.000000	14667	0.093365	10722
ABRA	0.000000	14666	0.000000	17207
ABRACL	0.047495	6569	1.280062	4484
ABT1	0.199531	4037	1.396398	3730
ABTB1	0.166490	4469	1.354346	4009
ABTB2	-0.179710	16393	0.262289	9708
ACAA1	0.036449	7061	1.116507	5533
ACAA2	0.399453	2259	1.691035	2140
ACACA	-0.149374	16270	0.812939	7184
ACACB	0.075080	5863	0.134102	10355
ACAD10	-0.116357	16084	0.873221	6869
ACAD11	0.042891	6955	0.200976	10017
ACAD8	-0.085390	15852	1.123362	5504
ACAD9	0.128643	5009	1.528781	2974
ACADL	0.000000	14665	0.000000	17206
ACADM	0.470759	1842	1.844855	1542
ACADS	0.333581	2733	1.221216	4857
ACADSB	0.000000	14664	0.962310	6440
ACADVL	0.385814	2354	1.758540	1856
ACAN	0.000000	14663	0.000000	17205
ACAP1	0.641888	1212	0.753989	7458
ACAP2	0.346971	2640	1.591826	2645
ACAP3	0.000000	14662	0.366076	9212
ACAT1	0.457234	1917	2.129370	774
ACAT2	0.396967	2287	1.830117	1587
ACBD3	-0.481332	16996	1.372610	3894
ACBD4	0.104094	5353	0.812939	7183
ACBD5	0.213677	3834	0.894196	6781
ACBD6	-0.046225	15428	0.880115	6840
ACBD7	-0.112108	16054	0.125210	10491
ACCS	-0.082371	15824	0.204391	9961
ACCSL	-	19004	-	19004
ACD	0.037554	7036	0.872531	6885
ACE	0.000000	14661	0.000000	17204
ACE2	0.000000	14660	0.000000	17203
ACER1	0.000000	14659	0.000000	17202
ACER2	0.020542	7326	0.286320	9611
ACER3	0.138722	4827	1.257316	4625
ACHE	1.551739	215	1.943548	1206
ACIN1	0.255584	3402	2.099160	825
ACKR1	1.466085	253	1.466085	3322
ACKR2	0.573622	1425	0.573622	8331
ACKR3	0.000000	14658	0.000000	17201
ACKR4	0.000000	14657	0.000000	17200
ACLY	-0.009861	14813	1.333182	4165
ACMSD	0.000000	14656	0.000000	17199
ACO1	-0.395515	16904	1.128426	5476
ACO2	0.054932	6188	1.816327	1636
ACOD1	0.000000	14655	0.000000	17198
ACOT1	0.000000	14654	0.000000	17197
ACOT11	0.037710	7032	0.090922	10797
ACOT12	0.000000	14653	0.000000	17196
ACOT13	0.074043	5879	1.498433	3139
ACOT2	0.021733	7306	0.574369	8323
ACOT4	-0.139188	16212	0.000000	17195
ACOT6	-	19003	-	19003
ACOT7	0.241777	3546	0.931917	6604
ACOT8	-0.092883	15913	1.307887	4322
ACOT9	0.168390	4445	0.948530	6524
ACOX1	-0.013175	14859	1.196620	5018
ACOX2	0.000000	14652	0.000000	17194
ACOX3	0.271469	3246	0.938468	6565
ACOXL	0.000000	14651	0.000000	17193
ACP1	1.046863	564	2.363703	400
ACP2	0.000000	14650	1.208522	4941
ACP5	1.101890	512	1.274241	4526
ACP6	-0.298576	16742	0.050185	11341
ACP7	-	19002	-	19002
ACPP	0.000000	14649	0.043180	11774
ACPT	-	19001	-	19001
ACR	0.000000	14648	0.000000	17192
ACRBP	0.000000	14647	0.235264	9794
ACRC	0.000000	14646	0.000000	17191
ACRV1	0.000000	14645	0.000000	17190
ACSBG1	1.155214	473	1.155214	5297
ACSBG2	0.000000	14644	0.000000	17189
ACSF2	0.000000	14643	0.228001	9874
ACSF3	0.412180	2173	0.865849	6922
ACSL1	0.617164	1285	0.998602	6217
ACSL3	0.012576	7495	1.698663	2105
ACSL4	0.043180	6949	1.370398	3910
ACSL5	0.591769	1363	1.469678	3306
ACSL6	1.672086	171	1.672086	2240
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14642	0.000000	17188
ACSM2B	0.000000	14641	0.000000	17187
ACSM3	0.528774	1592	0.601231	8196
ACSM4	-	18999	-	18999
ACSM5	0.000000	14640	0.000000	17186
ACSM6	0.000000	14639	0.000000	17185
ACSS1	0.724439	1026	1.812235	1648
ACSS2	0.000000	14638	0.797113	7257
ACSS3	0.235264	3616	0.235264	9793
ACTA1	0.000000	14637	0.000000	17184
ACTA2	0.000000	14636	0.561208	8381
ACTB	0.014184	7459	3.283558	61
ACTBL2	0.000000	14635	0.000000	17183
ACTC1	0.000000	14634	0.000000	17182
ACTG1	0.013314	7486	2.129745	771
ACTG2	0.000000	14633	0.000000	17181
ACTL10	0.000000	14632	0.000000	17180
ACTL6A	0.439110	2006	1.955126	1180
ACTL6B	0.000000	14631	0.000000	17179
ACTL7A	0.000000	14630	0.000000	17178
ACTL7B	0.000000	14629	0.000000	17177
ACTL8	0.000000	14628	0.000000	17176
ACTL9	0.000000	14627	0.000000	17175
ACTN1	0.000000	14626	0.820433	7141
ACTN2	0.000000	14625	0.050185	11340
ACTN3	0.000000	14624	0.000000	17174
ACTN4	0.109814	5281	1.875059	1436
ACTR10	0.224954	3726	1.926078	1263
ACTR1A	0.140923	4796	2.170353	680
ACTR1B	-0.637967	17102	0.652848	7946
ACTR2	0.000000	14623	1.583002	2692
ACTR3	0.699735	1083	2.494470	292
ACTR3B	0.000000	14622	0.613297	8139
ACTR3C	0.000000	14621	0.043180	11773
ACTR5	0.157974	4582	0.955241	6478
ACTR6	0.207633	3921	1.254990	4643
ACTR8	-0.056142	15559	0.977684	6336
