gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.145752	4136	1.136752	5707
A1CF	0.000000	15340	0.000000	17239
A2M	0.022476	8888	0.252471	11171
A2ML1	0.000000	15339	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.438687	903	1.103113	5978
A4GNT	0.000000	15338	0.000000	17237
AAAS	0.030349	8333	1.422472	3501
AACS	0.056829	6960	0.932943	7310
AADAC	0.531796	633	0.531796	9882
AADACL2	0.000000	15337	0.000000	17236
AADACL3	0.000000	15336	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.050962	7237	0.549269	9778
AAED1	0.036925	7959	1.200812	5189
AAGAB	0.110027	5087	1.658728	2197
AAK1	0.026953	8570	0.600861	9456
AAMDC	0.187731	3225	1.371526	3870
AAMP	0.068076	6524	1.856568	1392
AANAT	0.000000	15335	0.000000	17234
AAR2	0.056769	6961	1.147123	5633
AARD	0.000000	15334	0.000000	17233
AARS	0.020057	8961	1.632133	2309
AARS2	-0.184730	16968	1.026087	6557
AARSD1	0.000000	15333	1.384975	3755
AASDH	0.000000	15332	0.888942	7639
AASDHPPT	0.038956	7792	1.458540	3238
AASS	0.037459	7947	1.020415	6605
AATF	-0.108396	16621	1.360464	3943
AATK	0.000000	15331	0.000000	17232
ABAT	0.000000	15330	0.255231	11154
ABCA1	0.149856	4050	1.343073	4091
ABCA10	0.149960	4045	0.149960	11679
ABCA12	0.053765	7106	0.053765	12388
ABCA13	0.028486	8525	0.028486	12786
ABCA2	0.044600	7502	0.560946	9713
ABCA3	0.000000	15329	0.150341	11677
ABCA4	0.000000	15328	0.000000	17231
ABCA5	0.037651	7936	0.591953	9499
ABCA6	0.613655	458	1.072830	6186
ABCA7	0.000000	15327	0.453931	10275
ABCA8	0.345010	1383	1.285806	4506
ABCA9	1.220366	65	1.522241	2880
ABCB1	0.000000	15326	0.000000	17230
ABCB10	0.061668	6758	0.771319	8422
ABCB11	0.000000	15325	0.000000	17229
ABCB4	0.000000	15324	0.015174	13336
ABCB5	0.000000	15323	0.000000	17228
ABCB6	0.214382	2763	0.645309	9216
ABCB7	0.000000	15322	1.014911	6645
ABCB8	0.061729	6756	1.189892	5279
ABCB9	0.061680	6757	0.530734	9887
ABCC1	0.048095	7345	1.305065	4355
ABCC10	0.145482	4147	0.575492	9611
ABCC11	0.000000	15321	0.000000	17227
ABCC12	0.015174	9817	0.015174	13335
ABCC2	0.000000	15320	0.000000	17226
ABCC3	0.122224	4720	0.934552	7294
ABCC4	0.144609	4175	1.035641	6487
ABCC5	0.000000	15319	0.983485	6904
ABCC6	-	19006	-	19006
ABCC8	0.000000	15318	0.000000	17225
ABCC9	0.057203	6936	0.390015	10587
ABCD1	0.000000	15317	0.855149	7870
ABCD2	0.000000	15316	0.000000	17224
ABCD3	-0.075298	16390	1.089341	6074
ABCD4	-0.045184	16132	1.066480	6239
ABCE1	0.159487	3829	1.678551	2105
ABCF1	0.165709	3659	1.782351	1646
ABCF2	0.162141	3761	1.589383	2515
ABCF3	0.043877	7547	1.518654	2899
ABCG1	0.000000	15315	0.326094	10870
ABCG2	0.015174	9816	0.073506	12163
ABCG4	0.000000	15314	0.015174	13334
ABCG5	0.000000	15313	0.000000	17223
ABCG8	0.000000	15312	0.000000	17222
ABHD1	0.000000	15311	0.000000	17221
ABHD10	0.006683	10076	1.275265	4574
ABHD11	0.015688	9333	0.860640	7825
ABHD12	0.035964	7994	1.554850	2710
ABHD12B	0.000000	15310	0.000000	17220
ABHD13	-0.013488	15613	1.013726	6656
ABHD14A	0.148626	4077	0.913914	7456
ABHD14B	0.000433	10300	1.757890	1764
ABHD15	0.000000	15309	0.293657	11001
ABHD16A	0.004715	10131	1.191710	5269
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15308	0.858425	7840
ABHD17B	0.010168	9968	0.823715	8087
ABHD17C	0.067198	6553	1.108590	5935
ABHD18	0.015896	9330	0.803966	8214
ABHD2	0.154360	3941	1.751735	1789
ABHD3	-0.270313	17123	0.680050	9020
ABHD4	0.103791	5289	1.415566	3541
ABHD5	0.223950	2609	1.359636	3951
ABHD6	0.094995	5586	0.786896	8318
ABHD8	-0.008024	15515	0.805693	8204
ABI1	0.080882	6055	1.479662	3115
ABI2	0.096925	5524	1.407723	3587
ABI3	0.016114	9320	0.031289	12672
ABI3BP	1.847193	7	2.523533	241
ABL1	0.522772	654	1.242515	4830
ABL2	0.697876	342	1.365943	3909
ABLIM1	0.016114	9319	0.395751	10564
ABLIM2	0.000000	15307	0.030349	12693
ABLIM3	0.414031	1012	1.338999	4122
ABO	0.000000	15306	0.000000	17219
ABR	0.108002	5165	1.137901	5699
ABRA	0.000000	15305	0.000000	17218
ABRACL	0.347187	1367	1.843726	1432
ABT1	-0.029213	15915	1.167653	5464
ABTB1	0.015174	9815	1.015680	6639
ABTB2	-0.136425	16770	0.616215	9372
ACAA1	0.040408	7711	1.419857	3517
ACAA2	0.398657	1086	1.691436	2052
ACACA	0.161452	3782	1.174343	5411
ACACB	0.015174	9814	0.194331	11450
ACAD10	-0.150078	16820	0.839500	7985
ACAD11	0.135632	4397	0.798488	8252
ACAD8	-0.198272	17008	1.010480	6684
ACAD9	0.016114	9318	1.350542	4031
ACADL	0.015174	9813	0.015174	13333
ACADM	0.013005	9887	1.387101	3741
ACADS	0.000000	15304	0.545633	9792
ACADSB	0.037651	7935	0.739788	8659
ACADVL	0.426244	952	1.947890	1092
ACAN	0.000000	15303	0.000000	17217
ACAP1	0.000000	15302	0.000000	17216
ACAP2	0.087799	5799	1.428624	3447
ACAP3	0.037651	7934	0.714586	8815
ACAT1	0.031469	8164	1.634985	2297
ACAT2	0.455833	847	1.888983	1276
ACBD3	0.100326	5397	1.954268	1072
ACBD4	-0.152523	16838	0.556323	9738
ACBD5	-0.016431	15669	0.580182	9584
ACBD6	0.286925	1839	1.302495	4388
ACBD7	-0.129965	16739	0.107353	11935
ACCS	0.045663	7449	0.510570	9984
ACCSL	-	19004	-	19004
ACD	0.050856	7248	0.818832	8115
ACE	0.335457	1446	0.781975	8352
ACE2	0.015174	9812	0.015174	13332
ACER1	0.000000	15301	0.000000	17215
ACER2	0.024122	8679	0.197096	11437
ACER3	-0.126561	16723	0.992034	6844
ACHE	0.000000	15300	0.038591	12577
ACIN1	0.107311	5190	1.701521	2003
ACKR1	0.000000	15299	0.000000	17214
ACKR2	0.015174	9811	0.069574	12212
ACKR3	0.406360	1043	1.750457	1798
ACKR4	0.655137	388	0.759771	8505
ACLY	0.507984	700	1.802683	1571
ACMSD	0.000000	15298	0.000000	17213
ACO1	0.433296	924	1.957237	1064
ACO2	0.000000	15297	1.597479	2478
ACOD1	0.000000	15296	0.000000	17212
ACOT1	0.291308	1786	0.342945	10795
ACOT11	0.043787	7552	0.238157	11240
ACOT12	0.000000	15295	0.000000	17211
ACOT13	0.400471	1077	1.557077	2694
ACOT2	0.163775	3714	0.970600	6999
ACOT4	-0.057045	16258	0.082143	12113
ACOT6	-	19003	-	19003
ACOT7	0.337959	1429	1.217338	5035
ACOT8	-0.122147	16701	1.278622	4553
ACOT9	0.071437	6382	1.571079	2627
ACOX1	0.060992	6789	1.338875	4124
ACOX2	0.430576	934	0.638530	9256
ACOX3	-0.012692	15597	0.741784	8647
ACOXL	0.000000	15294	0.000000	17210
ACP1	0.118591	4830	1.925923	1167
ACP2	0.104485	5273	1.549792	2732
ACP5	0.015174	9810	0.104795	11949
