gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.078043	6161	1.011549	6090
A1CF	0.000000	14677	0.000000	17239
A2M	0.000000	14676	0.000000	17238
A2ML1	1.158523	327	1.158523	5113
A3GALT2	-	19008	-	19008
A4GALT	0.889827	573	1.585276	2602
A4GNT	0.000000	14675	0.000000	17237
AAAS	0.525083	1449	1.919053	1349
AACS	0.439001	1869	1.479664	3165
AADAC	0.000000	14674	0.000000	17236
AADACL2	0.000000	14673	0.000000	17235
AADACL3	0.000000	14672	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14671	0.294192	10810
AAED1	0.073013	6241	1.291369	4260
AAGAB	-0.191832	16416	1.356869	3876
AAK1	0.017632	7927	0.553265	9315
AAMDC	-0.010455	14776	0.775126	7820
AAMP	0.284975	3216	2.089741	914
AANAT	0.000000	14670	0.000000	17233
AAR2	0.208736	4144	1.329971	4050
AARD	0.000000	14669	0.000000	17232
AARS	0.277600	3314	1.889677	1440
AARS2	0.214618	4069	1.425435	3455
AARSD1	0.162467	4790	1.575300	2642
AASDH	0.000000	14668	0.799672	7653
AASDHPPT	0.040376	7414	1.038044	5912
AASS	0.000187	8329	0.595484	9006
AATF	0.028452	7714	1.497313	3058
AATK	0.000000	14667	0.000000	17231
ABAT	0.014663	8001	0.715720	8218
ABCA1	0.000000	14666	0.634467	8711
ABCA10	0.000000	14665	0.000000	17230
ABCA12	0.280348	3282	0.280348	10952
ABCA13	0.066769	6890	0.066769	12701
ABCA2	0.042378	7361	0.477863	9818
ABCA3	0.000000	14664	0.187383	11390
ABCA4	0.000000	14663	0.000000	17229
ABCA5	0.035884	7536	0.449121	10010
ABCA6	0.000000	14662	0.000000	17228
ABCA7	0.137070	5153	0.972629	6384
ABCA8	0.000000	14661	0.000000	17227
ABCA9	0.000000	14660	0.000000	17226
ABCB1	0.000000	14659	0.000000	17225
ABCB10	0.053201	7128	0.724174	8150
ABCB11	0.000000	14658	0.000000	17224
ABCB4	0.000000	14657	0.000000	17223
ABCB5	0.000000	14656	0.000000	17222
ABCB6	0.470038	1704	0.848731	7287
ABCB7	0.000000	14655	0.758048	7929
ABCB8	0.216306	4052	1.388272	3672
ABCB9	0.132094	5286	0.595484	9005
ABCC1	0.168638	4718	1.364135	3838
ABCC10	0.200232	4243	0.836260	7371
ABCC11	0.000000	14654	0.000000	17221
ABCC12	0.000000	14653	0.000000	17220
ABCC2	0.000000	14652	0.000000	17219
ABCC3	0.560556	1307	1.372884	3773
ABCC4	-0.016406	14867	0.514212	9563
ABCC5	0.093822	5923	1.082622	5616
ABCC6	-	19006	-	19006
ABCC8	0.000000	14651	0.000000	17218
ABCC9	0.000000	14650	0.000000	17217
ABCD1	0.000000	14649	0.414037	10185
ABCD2	0.000000	14648	0.000000	17216
ABCD3	-0.206284	16462	0.603919	8959
ABCD4	0.033941	7577	1.190805	4899
ABCE1	-0.295404	16722	1.223661	4701
ABCF1	-0.028376	15077	1.761460	1891
ABCF2	0.331379	2741	1.758621	1903
ABCF3	0.071503	6265	1.546280	2801
ABCG1	0.032701	7609	0.530047	9466
ABCG2	0.120275	5483	0.120275	11901
ABCG4	0.066769	6889	0.066769	12700
ABCG5	0.000000	14647	0.000000	17215
ABCG8	0.000000	14646	0.000000	17214
ABHD1	0.000000	14645	0.000000	17213
ABHD10	-0.245043	16600	0.825662	7427
ABHD11	0.198187	4276	1.168148	5053
ABHD12	0.000000	14644	1.497533	3057
ABHD12B	0.000000	14643	0.000000	17212
ABHD13	-0.241860	16588	0.785354	7771
ABHD14A	-0.021509	14947	0.928499	6675
ABHD14B	0.411283	2079	2.168740	768
ABHD15	0.066769	6888	0.294192	10809
ABHD16A	0.000000	14642	1.198576	4847
ABHD16B	-	19005	-	19005
ABHD17A	0.207399	4166	1.133998	5282
ABHD17B	-0.018593	14905	0.781580	7780
ABHD17C	0.620978	1090	1.662371	2245
ABHD18	-0.014453	14833	0.634357	8723
ABHD2	0.000000	14641	1.261070	4449
ABHD3	0.007948	8147	0.958310	6470
ABHD4	0.249148	3649	1.589637	2578
ABHD5	0.000000	14640	0.773439	7832
ABHD6	0.218321	4028	0.773315	7840
ABHD8	0.179977	4585	1.052937	5808
ABI1	-0.040804	15298	1.464089	3246
ABI2	-0.024642	15001	1.369969	3793
ABI3	0.000000	14639	0.000000	17211
ABI3BP	0.013778	8029	0.472340	9862
ABL1	0.188957	4408	0.870446	7112
ABL2	0.066769	6887	0.505823	9620
ABLIM1	0.479475	1652	1.369198	3802
