gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.113185	5336	1.104185	6272
A1CF	0.000000	15704	0.000000	17239
A2M	0.012475	11345	0.523503	10333
A2ML1	0.000000	15703	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.242114	2467	0.937563	7644
A4GNT	0.000000	15702	0.000000	17237
AAAS	0.202788	3096	1.596758	2404
AACS	0.338202	1505	1.388866	3859
AADAC	0.000000	15701	0.000000	17236
AADACL2	0.000000	15700	0.000000	17235
AADACL3	0.000000	15699	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.360874	1338	0.930487	7686
AAED1	0.078465	6615	1.269885	4814
AAGAB	0.010492	11407	1.559193	2644
AAK1	0.079656	6569	0.726100	9172
AAMDC	0.110298	5444	1.294093	4625
AAMP	0.103111	5695	1.720699	1765
AANAT	0.000000	15698	0.000000	17233
AAR2	0.037201	8711	1.122555	6089
AARD	0.223668	2771	0.238121	11665
AARS	0.054987	7711	1.650934	2081
AARS2	0.043539	8346	1.254356	4951
AARSD1	0.104421	5650	1.517254	2909
AASDH	0.127957	4894	1.208241	5335
AASDHPPT	0.096745	5923	1.613346	2293
AASS	0.254094	2294	1.316161	4448
AATF	0.006060	11570	1.474920	3192
AATK	0.000000	15697	0.000000	17232
ABAT	0.016859	10335	0.570453	10081
ABCA1	0.000000	15696	1.136485	5975
ABCA10	0.012475	11344	0.012475	14395
ABCA12	0.052667	7823	0.052667	13032
ABCA13	0.015108	10656	0.015108	14015
ABCA2	0.015108	10655	0.492714	10497
ABCA3	0.015108	10654	0.088642	12648
ABCA4	0.000000	15695	0.000000	17231
ABCA5	0.037836	8687	0.954452	7520
ABCA6	0.137018	4646	0.596192	9942
ABCA7	0.000000	15694	0.397919	10916
ABCA8	0.047828	8130	0.863472	8167
ABCA9	0.063649	7293	0.365524	11058
ABCB1	0.000000	15693	0.057476	13001
ABCB10	0.116990	5215	0.977151	7324
ABCB11	0.000000	15692	0.000000	17230
ABCB4	0.000000	15691	0.123974	12333
ABCB5	0.000000	15690	0.000000	17229
ABCB6	0.064385	7257	0.495312	10487
ABCB7	0.137134	4641	1.386571	3874
ABCB8	0.154310	4154	1.326276	4355
ABCB9	0.207012	3020	0.676066	9477
ABCC1	0.000000	15689	1.171559	5670
ABCC10	-0.008553	15868	0.626796	9761
ABCC11	0.000000	15688	0.000000	17228
ABCC12	0.067895	7091	0.067895	12865
ABCC2	0.176076	3638	0.176076	11988
ABCC3	0.251389	2330	1.063718	6613
ABCC4	0.235575	2567	1.126607	6064
ABCC5	0.000000	15687	0.968183	7414
ABCC6	-	19006	-	19006
ABCC8	0.022729	9854	0.022729	13733
ABCC9	0.405525	1096	0.768464	8877
ABCD1	0.000000	15686	0.715505	9246
ABCD2	0.012475	11343	0.120953	12350
ABCD3	0.072873	6870	1.237512	5085
ABCD4	-0.048666	16418	1.089869	6398
ABCE1	0.257045	2257	1.776110	1550
ABCF1	0.065172	7203	1.731426	1728
ABCF2	0.078376	6618	1.459566	3307
ABCF3	-0.122911	16885	1.351867	4168
ABCG1	0.000000	15685	0.051779	13081
ABCG2	0.040071	8588	0.040071	13250
ABCG4	0.019696	10226	0.035340	13347
ABCG5	0.000000	15684	0.000000	17227
ABCG8	0.000000	15683	0.000000	17226
ABHD1	0.000000	15682	0.035340	13346
ABHD10	0.127644	4905	1.341356	4253
ABHD11	0.081063	6505	0.823685	8476
ABHD12	0.000000	15681	1.400838	3753
ABHD12B	0.000000	15680	0.000000	17225
ABHD13	-0.032312	16238	0.994902	7194
ABHD14A	0.187818	3371	1.083479	6447
ABHD14B	0.135390	4698	1.892848	1171
ABHD15	0.000000	15679	0.219003	11758
ABHD16A	0.020294	9949	1.002566	7116
ABHD16B	-	19005	-	19005
ABHD17A	0.010597	11403	0.886888	8018
ABHD17B	0.002606	11688	0.925413	7724
ABHD17C	0.023921	9641	1.012593	7041
ABHD18	0.151533	4228	1.003403	7109
ABHD2	0.000000	15678	1.421171	3598
ABHD3	-0.103666	16793	0.846697	8303
ABHD4	0.009442	11452	1.308970	4509
ABHD5	0.095934	5951	1.095629	6357
ABHD6	0.000000	15677	0.377655	11009
ABHD8	-0.035924	16276	0.676643	9471
ABI1	0.001413	11726	1.344517	4226
ABI2	0.120339	5113	1.518301	2900
ABI3	0.184720	3447	0.381001	10989
ABI3BP	0.612561	516	1.288901	4664
ABL1	0.310937	1716	1.312449	4482
ABL2	0.566052	608	1.234119	5115
ABLIM1	0.041597	8483	0.856996	8219
ABLIM2	0.000000	15676	0.027583	13584
ABLIM3	0.338805	1501	1.439363	3457
ABO	0.000000	15675	0.012475	14394
ABR	0.051971	7866	1.003416	7108
ABRA	0.012475	11342	0.012475	14393
ABRACL	0.130397	4832	1.626936	2203
ABT1	-0.061265	16525	1.135602	5984
ABTB1	0.020233	10201	0.896649	7951
ABTB2	-0.057411	16494	0.648473	9639
ACAA1	0.043917	8319	1.357352	4118
ACAA2	0.324628	1608	1.601773	2369
ACACA	0.510114	736	1.653441	2068
ACACB	0.020233	10200	0.140938	12222
ACAD10	0.071153	6947	1.060730	6631
ACAD11	0.308211	1740	0.973648	7366
ACAD8	-0.050641	16440	1.158111	5794
ACAD9	0.044804	8288	1.444941	3422
ACADL	0.000000	15674	0.000000	17224
ACADM	0.047528	8174	1.421624	3595
ACADS	0.000000	15673	0.849771	8271
ACADSB	0.012218	11354	1.016382	6997
ACADVL	-0.073696	16619	1.762291	1610
ACAN	0.160503	3990	0.210802	11809
ACAP1	0.000000	15672	0.079892	12717
ACAP2	0.017776	10304	1.570456	2581
ACAP3	0.000000	15671	0.601661	9914
ACAT1	0.149729	4278	1.804312	1436
ACAT2	0.785833	265	2.218983	490
ACBD3	0.073446	6842	1.927388	1059
ACBD4	-0.101863	16784	0.577108	10044
ACBD5	-0.003841	15777	0.502155	10447
ACBD6	0.260671	2220	1.362532	4067
ACBD7	0.122834	5040	0.360152	11080
ACCS	0.036620	8763	0.501526	10453
ACCSL	-	19004	-	19004
ACD	0.098990	5850	1.015807	7004
ACE	0.367099	1303	0.813617	8546
ACE2	0.000000	15670	0.000000	17223
ACER1	0.000000	15669	0.000000	17222
ACER2	-0.029643	16204	0.012475	14392
ACER3	-0.116079	16854	1.002515	7117
ACHE	0.000000	15668	0.299830	11356
ACIN1	0.351260	1405	1.794199	1474
ACKR1	0.015108	10653	0.015108	14014
ACKR2	0.108207	5517	0.340857	11178
ACKR3	0.027186	9510	0.659945	9563
ACKR4	0.000000	15667	0.059659	12973
ACLY	0.733904	328	2.028603	821
ACMSD	0.000000	15666	0.000000	17221
ACO1	0.206739	3024	1.730681	1733
ACO2	0.027583	9490	1.697595	1870
ACOD1	0.000000	15665	0.000000	17220
ACOT1	0.230257	2648	0.281894	11449
ACOT11	0.144537	4418	0.222073	11747
ACOT12	0.035340	8888	0.035340	13345
ACOT13	0.262890	2184	1.637264	2152
ACOT2	0.150231	4266	1.189521	5502
ACOT4	-0.078136	16654	0.061052	12928
ACOT6	-	19003	-	19003
ACOT7	0.333306	1545	1.215866	5271
ACOT8	-0.034096	16255	1.366673	4042
ACOT9	0.052223	7841	1.601288	2376
ACOX1	0.041692	8479	1.354520	4148
