gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.159631	7039	0.904497	8812
A1CF	0.000000	16247	0.000000	17239
A2M	0.027595	11331	0.344551	11698
A2ML1	1.440274	192	1.440274	4382
A3GALT2	-	19008	-	19008
A4GALT	0.426907	2425	1.122356	7111
A4GNT	0.000000	16246	0.000000	17238
AAAS	0.442890	2282	1.697564	2566
AACS	0.273142	4388	1.323806	5332
AADAC	0.000000	16245	0.000000	17237
AADACL2	0.334228	3410	0.334228	11719
AADACL3	0.000000	16244	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.066202	10111	0.347083	11691
AAED1	0.182433	6385	1.218935	6272
AAGAB	0.193470	6097	1.742171	2288
AAK1	0.061234	10265	0.843014	9191
AAMDC	0.057524	10378	1.077387	7479
AAMP	0.060216	10285	1.864982	1717
AANAT	0.000000	16243	0.000000	17235
AAR2	0.106386	8666	1.140890	6956
AARD	0.332611	3441	0.347064	11693
AARS	0.032744	11043	1.631664	2968
AARS2	0.083832	9496	1.294649	5581
AARSD1	0.078920	9618	1.491753	3984
AASDH	0.022729	11611	1.004435	8056
AASDHPPT	0.121893	8080	1.638494	2929
AASS	0.051231	10548	1.088809	7375
AATF	0.214360	5554	1.683220	2662
AATK	0.000000	16242	0.000000	17234
ABAT	0.313132	3738	0.942782	8557
ABCA1	0.563757	1537	1.957157	1357
ABCA10	0.022729	11610	0.022729	13784
ABCA12	1.081838	421	1.081838	7426
ABCA13	0.453375	2205	0.453375	11211
ABCA2	0.361883	3079	1.140778	6957
ABCA3	0.022729	11609	0.075962	13292
ABCA4	0.000000	16241	0.000000	17233
ABCA5	0.447836	2249	1.480272	4083
ABCA6	0.022133	11626	0.147143	12602
ABCA7	0.196981	6002	1.032540	7821
ABCA8	0.022729	11608	0.743995	9798
ABCA9	0.000000	16240	0.000000	17232
ABCB1	0.027595	11330	0.027595	13649
ABCB10	0.280009	4242	0.850654	9145
ABCB11	0.000000	16239	0.000000	17231
ABCB4	0.000000	16238	0.000000	17230
ABCB5	0.000000	16237	0.000000	17229
ABCB6	0.350471	3193	0.729164	9870
ABCB7	0.000000	16236	1.200510	6430
ABCB8	0.197226	5992	1.285472	5664
ABCB9	0.061574	10250	0.486333	11067
ABCC1	0.273823	4383	1.530793	3664
ABCC10	0.297027	3973	0.688349	10118
ABCC11	0.000000	16235	0.000000	17228
ABCC12	0.000000	16234	0.000000	17227
ABCC2	0.234924	5100	0.234924	12121
ABCC3	0.927524	595	1.739852	2300
ABCC4	0.081544	9558	0.779759	9602
ABCC5	0.164235	6913	1.068823	7553
ABCC6	-	19006	-	19006
ABCC8	0.000000	16233	0.000000	17226
ABCC9	0.000000	16232	0.000000	17225
ABCD1	0.022729	11607	0.772483	9640
ABCD2	0.000000	16231	0.000000	17224
ABCD3	0.051741	10541	1.216381	6295
ABCD4	-0.009632	16339	1.147232	6901
ABCE1	0.100490	8823	1.619554	3032
ABCF1	0.286584	4134	2.136518	900
ABCF2	0.283244	4186	1.710486	2486
ABCF3	0.004058	11957	1.478835	4095
ABCG1	0.253166	4753	1.386087	4807
ABCG2	0.278814	4276	0.278814	11961
ABCG4	0.108742	8622	0.108742	12907
ABCG5	0.000000	16230	0.000000	17223
ABCG8	0.000000	16229	0.000000	17222
ABHD1	0.000000	16228	0.000000	17221
ABHD10	-0.038442	16600	1.031610	7833
ABHD11	0.023946	11397	0.951056	8477
ABHD12	0.000000	16227	1.230440	6169
ABHD12B	0.108742	8621	0.108742	12906
ABHD13	0.136708	7668	1.163922	6758
ABHD14A	-0.106315	16942	0.879330	8983
ABHD14B	0.159299	7044	1.916756	1512
ABHD15	0.022729	11606	0.344059	11700
ABHD16A	0.084237	9485	0.963603	8383
ABHD16B	-	19005	-	19005
