gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.512567	2290	0.882305	7648
A1CF	0.000000	15002	0.000000	17239
A2M	0.000000	15001	0.026394	12581
A2ML1	0.000000	15000	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.604766	17152	0.059659	11874
A4GNT	0.000000	14999	0.000000	17237
AAAS	0.046479	7897	1.141706	5966
AACS	0.014993	9176	0.823419	8009
AADAC	0.000000	14998	0.000000	17236
AADACL2	0.000000	14997	0.000000	17235
AADACL3	0.000000	14996	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14995	0.000000	17233
AAED1	0.344681	3591	1.563036	2873
AAGAB	-0.059168	15729	1.489533	3366
AAK1	0.723401	1372	1.452715	3634
AAMDC	-0.038383	15483	0.305155	10425
AAMP	0.000000	14994	1.463403	3564
AANAT	0.000000	14993	0.000000	17232
AAR2	0.147439	5976	1.268674	5044
AARD	0.000000	14992	0.000000	17231
AARS	-0.767501	17192	0.844576	7868
AARS2	0.065122	7407	1.275939	4990
AARSD1	0.000000	14991	1.321581	4614
AASDH	0.028787	8464	1.085790	6348
AASDHPPT	0.147792	5970	1.287289	4895
AASS	0.073681	7228	0.568597	9349
AATF	0.285593	4243	1.754453	1706
AATK	0.000000	14990	0.000000	17230
ABAT	0.473424	2536	1.202588	5546
ABCA1	0.393194	3146	1.227073	5369
ABCA10	0.000000	14989	0.000000	17229
ABCA12	0.000000	14988	0.000000	17228
ABCA13	0.000000	14987	0.000000	17227
ABCA2	0.605595	1807	1.324209	4592
ABCA3	0.049371	7759	0.657839	8927
ABCA4	0.017693	9137	0.017693	12910
ABCA5	0.397064	3105	1.429500	3799
ABCA6	0.000000	14986	0.000000	17226
ABCA7	0.589312	1876	1.424871	3832
ABCA8	0.000000	14985	0.000000	17225
ABCA9	0.000000	14984	0.000000	17224
ABCB1	1.201530	449	1.799203	1478
ABCB10	0.084009	7050	0.778170	8289
ABCB11	0.000000	14983	0.000000	17223
ABCB4	0.000000	14982	0.046479	12049
ABCB5	0.000000	14981	0.000000	17222
ABCB6	0.000000	14980	0.233781	10747
ABCB7	0.132451	6203	1.381888	4144
ABCB8	-0.006735	15068	1.010565	6840
ABCB9	0.002474	9403	0.465864	9785
ABCC1	0.280371	4299	1.537341	3040
ABCC10	0.304699	4014	0.721676	8613
ABCC11	0.000000	14979	0.000000	17221
ABCC12	0.000000	14978	0.000000	17220
ABCC2	0.000000	14977	0.000000	17219
ABCC3	0.017693	9136	0.017693	12909
ABCC4	0.078250	7132	0.969282	7118
ABCC5	0.000000	14976	0.752557	8432
ABCC6	-	19006	-	19006
ABCC8	0.000000	14975	0.000000	17218
ABCC9	0.000000	14974	0.000000	17217
ABCD1	0.066881	7366	1.020105	6777
ABCD2	0.677453	1527	0.784589	8246
ABCD3	0.324946	3788	1.065045	6482
ABCD4	0.224139	4947	1.247988	5208
ABCE1	0.014759	9182	1.533824	3057
ABCF1	0.218588	5002	1.960012	934
ABCF2	-0.039622	15499	1.118335	6132
ABCF3	0.071272	7291	1.546050	2989
ABCG1	0.505403	2339	1.638324	2398
ABCG2	0.000000	14973	0.000000	17216
ABCG4	0.000000	14972	0.000000	17215
ABCG5	0.000000	14971	0.000000	17214
ABCG8	0.000000	14970	0.000000	17213
ABHD1	0.169222	5665	0.228394	10768
ABHD10	-0.102252	16065	1.168426	5782
ABHD11	0.155788	5868	1.125749	6078
ABHD12	0.017693	9135	1.373041	4219
ABHD12B	0.000000	14969	0.000000	17212
ABHD13	0.506250	2333	1.533464	3059
ABHD14A	0.078401	7130	1.195568	5593
ABHD14B	0.050262	7746	1.807719	1445
ABHD15	0.699806	1439	1.040370	6648
ABHD16A	0.152245	5917	1.354159	4349
ABHD16B	-	19005	-	19005
ABHD17A	0.933107	847	0.933107	7344
ABHD17B	0.347134	3562	1.137909	5996
ABHD17C	-0.189253	16526	0.634762	9036
ABHD18	0.374537	3301	1.226406	5374
ABHD2	0.033457	8197	1.721291	1885
ABHD3	0.394099	3138	1.344461	4426
ABHD4	0.027190	8492	1.162705	5833
ABHD5	0.047672	7829	1.166711	5797
ABHD6	0.055396	7612	0.455136	9830
ABHD8	0.011259	9253	0.557524	9396
ABI1	0.546962	2095	1.826857	1374
ABI2	-0.004113	15043	1.109358	6194
ABI3	1.066025	634	1.571173	2828
ABI3BP	0.000000	14968	0.000000	17211
