gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.332923	2581	1.323924	4459
A1CF	0.000000	15022	0.000000	17239
A2M	0.000000	15021	0.000000	17238
A2ML1	0.000000	15020	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17166	0.000000	17236
A4GNT	0.000000	15019	0.000000	17235
AAAS	0.014011	8465	1.256402	5031
AACS	-0.036362	15622	0.598574	9047
AADAC	0.000000	15018	0.000000	17234
AADACL2	0.000000	15017	0.000000	17233
AADACL3	0.000000	15016	0.000000	17232
AADACL4	-	19007	-	19007
AADAT	0.000000	15015	0.000000	17231
AAED1	0.092501	6160	1.232397	5219
AAGAB	0.041887	7324	1.590588	2372
AAK1	0.476816	1542	1.174809	5659
AAMDC	0.108837	5808	0.512247	9394
AAMP	0.000000	15014	1.546787	2692
AANAT	0.000000	15013	0.000000	17230
AAR2	0.042091	7318	1.163326	5749
AARD	0.000000	15012	0.000000	17229
AARS	-0.557966	17142	0.996833	6926
AARS2	0.127893	5470	1.338710	4329
AARSD1	0.000000	15011	1.369848	4067
AASDH	0.188441	4463	1.268725	4914
AASDHPPT	0.073018	6549	1.589618	2382
AASS	0.143734	5205	0.688412	8652
AATF	0.195326	4366	1.664187	1926
AATK	0.000000	15010	0.005518	13003
ABAT	0.152899	5043	0.723093	8500
ABCA1	0.000000	15009	0.629754	8933
ABCA10	0.000000	15008	0.000000	17228
ABCA12	0.000000	15007	0.000000	17227
ABCA13	0.000000	15006	0.000000	17226
ABCA2	0.301221	2922	0.917187	7482
ABCA3	0.000000	15005	0.431206	9725
ABCA4	0.000000	15004	0.000000	17225
ABCA5	0.161978	4912	1.194413	5508
ABCA6	0.000000	15003	0.008493	12805
ABCA7	0.710869	812	1.546428	2698
ABCA8	0.000000	15002	0.000000	17224
ABCA9	0.000000	15001	0.000000	17223
ABCB1	0.919207	538	1.516880	2941
ABCB10	0.123600	5550	0.796385	8132
ABCB11	0.000000	15000	0.000000	17222
ABCB4	0.000000	14999	0.000000	17221
ABCB5	0.000000	14998	0.000000	17220
ABCB6	0.000000	14997	0.108588	11196
ABCB7	0.104444	5915	1.353882	4210
ABCB8	-0.029083	15505	1.019085	6777
ABCB9	0.003653	9566	0.246079	10471
ABCC1	0.091814	6176	1.253039	5061
ABCC10	0.247537	3611	0.816417	8020
ABCC11	0.000000	14996	0.000000	17219
ABCC12	0.000000	14995	0.000000	17218
ABCC2	0.000000	14994	0.000000	17217
ABCC3	0.000000	14993	0.058337	11631
ABCC4	0.020021	8157	0.911052	7517
ABCC5	0.057537	6909	0.939515	7338
ABCC6	-	19006	-	19006
ABCC8	0.000000	14992	0.000000	17216
ABCC9	0.000000	14991	0.000000	17215
ABCD1	0.019490	8218	0.761051	8311
ABCD2	1.322961	277	1.484343	3163
ABCD3	0.132043	5401	1.098579	6225
ABCD4	0.364539	2290	1.326269	4440
ABCE1	0.106713	5861	1.625777	2153
ABCF1	0.013991	8466	1.793245	1333
ABCF2	-0.030185	15526	1.259909	4985
ABCF3	0.100986	5991	1.575764	2467
ABCG1	0.238893	3725	1.371814	4053
ABCG2	0.012371	8565	0.057184	11645
ABCG4	0.000000	14990	0.000000	17214
ABCG5	0.000000	14989	0.000000	17213
ABCG8	0.000000	14988	0.000000	17212
ABHD1	0.124114	5537	0.183285	10789
ABHD10	0.067661	6668	1.338338	4330
ABHD11	-0.009132	15166	0.926621	7409
ABHD12	0.000000	14987	1.327360	4432
ABHD12B	0.000000	14986	0.000000	17211
ABHD13	0.416987	1893	1.444201	3467
ABHD14A	0.190938	4426	1.308106	4589
ABHD14B	0.117578	5654	1.875035	1035
ABHD15	0.023425	8021	0.341438	10067
ABHD16A	0.106769	5860	1.283391	4790
ABHD16B	-	19005	-	19005
ABHD17A	0.772370	712	0.772370	8254
ABHD17B	0.521059	1334	1.035850	6660
ABHD17C	-0.200136	16718	0.523231	9358
ABHD18	0.620982	994	1.472851	3256
ABHD2	0.060460	6839	1.491267	3119
ABHD3	0.478030	1533	1.428393	3600
ABHD4	-0.050982	15832	0.946620	7283
ABHD5	0.000000	14985	0.843868	7873
ABHD6	0.004825	9536	0.561664	9194
ABHD8	-0.086249	16162	0.530997	9323
ABI1	0.394621	2061	1.709339	1694
ABI2	-0.014257	15252	1.185493	5578
ABI3	1.038681	447	1.543829	2724
ABI3BP	0.000000	14984	0.000000	17210
ABL1	0.237488	3745	0.420937	9770
ABL2	0.047312	7172	0.743051	8400
ABLIM1	1.129612	381	1.788576	1351
ABLIM2	0.055803	6961	0.323863	10132
ABLIM3	0.000000	14983	0.000000	17209
ABO	0.096988	6071	0.222834	10586
ABR	0.219372	4006	1.269038	4912
ABRA	0.000000	14982	0.000000	17208
ABRACL	0.809171	647	1.918202	917
ABT1	0.394901	2057	1.591767	2362
ABTB1	0.426296	1826	1.614151	2213
ABTB2	-0.203095	16726	0.253165	10437
ACAA1	0.267947	3340	1.500412	3038
ACAA2	0.944654	518	1.362540	4123
ACACA	-0.045274	15746	1.098053	6230
ACACB	0.232207	3839	0.349199	10036
ACAD10	0.048137	7150	1.037715	6636
ACAD11	0.420630	1868	0.754076	8340
ACAD8	0.107066	5854	1.315818	4525
ACAD9	0.041099	7348	1.434923	3561
ACADL	0.000000	14981	0.000000	17207
ACADM	0.024142	7969	1.284889	4781
ACADS	0.023563	8016	0.911198	7516
ACADSB	0.183909	4537	1.193155	5521
ACADVL	0.407472	1957	1.376318	4013
ACAN	0.000000	14980	0.000000	17206
ACAP1	1.863603	76	1.975704	761
ACAP2	0.725483	785	1.620400	2183
ACAP3	0.015465	8384	0.668187	8756
ACAT1	0.005173	9414	1.188655	5555
ACAT2	0.146405	5158	1.424608	3626
ACBD3	-0.127612	16429	1.726330	1618
ACBD4	0.357878	2341	0.892667	7604
ACBD5	0.352135	2389	1.032654	6688
ACBD6	0.040391	7382	1.267006	4934
ACBD7	-0.179171	16656	0.058147	11633
ACCS	0.278468	3194	0.743374	8398
ACCSL	-	19004	-	19004
ACD	0.235689	3782	1.071836	6419
ACE	0.057306	6912	0.374998	9950
ACE2	0.000000	14979	0.000000	17205
ACER1	0.000000	14978	0.000000	17204
ACER2	-0.024818	15428	0.185546	10777
ACER3	-0.368742	17015	0.749852	8356
ACHE	0.017252	8312	0.285922	10292
ACIN1	0.238671	3728	2.082246	562
ACKR1	0.000000	14977	0.000000	17203
ACKR2	0.002212	9596	0.234863	10521
ACKR3	0.009437	8834	0.139767	11004
ACKR4	0.000000	14976	0.000000	17202
ACLY	-0.166482	16598	1.176560	5650
ACMSD	0.000000	14975	0.000000	17201
ACO1	-0.575136	17147	0.948805	7262
ACO2	0.028380	7815	1.476254	3231
ACOD1	0.000000	14974	0.000000	17200
ACOT1	0.000000	14973	0.000000	17199
ACOT11	0.000000	14972	0.059256	11620
ACOT12	0.000000	14971	0.000000	17198
ACOT13	0.000000	14970	1.047597	6580
ACOT2	0.068865	6642	0.889392	7632
ACOT4	0.340848	2504	0.480036	9529
ACOT6	-	19003	-	19003
ACOT7	0.185235	4520	0.645703	8846
ACOT8	-0.010177	15186	1.390592	3887
ACOT9	0.017889	8285	1.294664	4709
ACOX1	0.047835	7160	0.992313	6961
ACOX2	0.000000	14969	0.020729	12238
ACOX3	0.009481	8742	0.792809	8148
ACOXL	0.000000	14968	0.000000	17197
ACP1	0.100098	6006	1.907430	945
ACP2	0.000000	14967	1.100897	6201
ACP5	0.593649	1083	0.766000	8286
ACP6	0.136069	5332	0.805217	8086
ACP7	-	19002	-	19002
ACPP	0.061814	6805	0.202956	10677
ACPT	-	19001	-	19001
ACR	0.000000	14966	0.000000	17196
ACRBP	0.042978	7294	0.104063	11234
ACRC	0.000000	14965	0.000000	17195
ACRV1	0.000000	14964	0.000000	17194
ACSBG1	0.000000	14963	0.000000	17193
ACSBG2	0.000000	14962	0.000000	17192
ACSF2	0.000000	14961	0.572607	9156
ACSF3	0.148109	5121	1.012206	6827
ACSL1	0.058275	6888	0.893337	7600
ACSL3	-0.003792	15104	1.620921	2181
ACSL4	0.026844	7864	1.190275	5542
ACSL5	0.971918	500	1.631485	2118
ACSL6	1.280767	296	1.280767	4814
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14960	0.000000	17191
ACSM2B	0.000000	14959	0.000000	17190
ACSM3	0.570273	1150	0.642729	8863
ACSM4	-	18999	-	18999
ACSM5	0.000000	14958	0.000000	17189
ACSM6	0.000000	14957	0.000000	17188
ACSS1	0.839556	608	1.561602	2571
ACSS2	0.000000	14956	0.465251	9596
ACSS3	0.000000	14955	0.000000	17187
ACTA1	0.000000	14954	0.000000	17186
ACTA2	0.010343	8699	0.856483	7814
ACTB	0.014610	8434	3.493532	10
ACTBL2	0.000000	14953	0.000000	17185
ACTC1	0.000000	14952	0.000000	17184
ACTG1	0.009437	8833	3.137827	29
ACTG2	0.000000	14951	0.019531	12278
ACTL10	0.172178	4732	0.289237	10278
ACTL6A	0.013318	8496	1.493791	3096
ACTL6B	0.000000	14950	0.000000	17183
ACTL7A	0.000000	14949	0.000000	17182
ACTL7B	0.000000	14948	0.000000	17181
ACTL8	0.000000	14947	0.000000	17180
ACTL9	0.000000	14946	0.000000	17179
ACTN1	0.124448	5533	1.394175	3865
ACTN2	0.000000	14945	0.029076	12055
ACTN3	0.009437	8832	0.009437	12705
ACTN4	-0.065929	15986	1.602897	2287
ACTR10	-0.043106	15714	1.560757	2576
ACTR1A	-0.038754	15648	1.758022	1472
ACTR1B	0.133768	5370	1.424583	3627
ACTR2	0.197577	4329	1.910225	938
ACTR3	0.408853	1944	2.387714	261
ACTR3B	0.266972	3355	1.195121	5504
ACTR3C	0.442702	1743	0.585905	9096
ACTR5	0.459190	1659	1.256458	5027
ACTR6	0.401420	2010	1.448777	3425
ACTR8	0.331607	2593	1.304913	4619
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14944	0.000000	17178
ACTRT3	-	18997	-	18997
ACVR1	0.005518	9237	0.841629	7885
ACVR1B	-0.412711	17052	0.605019	9023
ACVR1C	0.325623	2663	0.361101	10002
ACVR2A	0.033089	7620	0.666875	8764
ACVR2B	0.204934	4226	0.606225	9018
ACVRL1	0.000000	14943	0.000000	17177
ACY1	0.005518	9236	0.507704	9410
ACY3	0.004825	9535	0.004825	13213
ACYP1	0.109580	5800	1.177954	5638
ACYP2	0.233605	3812	1.137676	5955
ADA	0.382221	2149	0.816070	8025
ADAD1	0.000000	14942	0.000000	17176
ADAD2	0.000000	14941	0.000000	17175
ADAL	-0.068175	16018	0.659758	8799
ADAM10	0.260935	3433	1.082448	6337
ADAM11	0.000000	14940	0.000000	17174
ADAM12	0.000000	14939	0.089263	11350
ADAM15	-0.759463	17183	0.920373	7454
ADAM17	0.280030	3169	1.257540	5015
ADAM18	0.000000	14938	0.000000	17173
ADAM19	0.103041	5948	1.113438	6124
ADAM2	0.000000	14937	0.000000	17172
ADAM20	0.000000	14936	0.000000	17171
ADAM21	0.000000	14935	0.000000	17170
ADAM22	0.574298	1142	1.022516	6762
ADAM23	0.000000	14934	0.099688	11269
ADAM28	0.046779	7185	0.135471	11031
ADAM29	0.000000	14933	0.000000	17169
ADAM30	0.000000	14932	0.000000	17168
ADAM32	0.000000	14931	0.000000	17167
ADAM33	0.000000	14930	0.000000	17166
ADAM7	0.000000	14929	0.000000	17165
ADAM8	1.372979	241	1.546962	2688
ADAM9	-0.037855	15637	0.477689	9538
ADAMDEC1	0.000000	14928	0.000000	17164
ADAMTS1	0.000000	14927	0.333006	10099
ADAMTS10	0.300328	2928	0.998846	6914
ADAMTS12	-0.036014	15617	0.000000	17163
ADAMTS13	0.000000	14926	0.000000	17162
ADAMTS14	0.000000	14925	0.023283	12191
ADAMTS15	0.000000	14924	0.000000	17161
ADAMTS16	0.000000	14923	0.000000	17160
ADAMTS17	0.286990	3095	0.411823	9802
ADAMTS18	0.000000	14922	0.000000	17159
ADAMTS19	0.000000	14921	0.000000	17158
ADAMTS2	0.000000	14920	0.000000	17157
ADAMTS20	0.000000	14919	0.000000	17156
ADAMTS3	0.000000	14918	0.000000	17155
ADAMTS4	0.000000	14917	0.000000	17154
ADAMTS5	0.005518	9235	0.014011	12441
ADAMTS6	0.212864	4124	0.388471	9888
ADAMTS7	0.000000	14916	0.009437	12704
ADAMTS8	0.000000	14915	0.000000	17153
ADAMTS9	0.000000	14914	0.000000	17152
ADAMTSL1	0.000000	14913	0.000000	17151
ADAMTSL2	0.014879	8411	0.014879	12400
ADAMTSL3	-0.013137	15233	0.000000	17150
ADAMTSL4	0.000000	14912	0.150810	10948
ADAMTSL5	0.058579	6877	0.420086	9775
ADAP1	0.534803	1272	0.991245	6969
ADAP2	0.042360	7310	0.072646	11499
