gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.837879	1058	1.828880	2494
A1CF	0.000000	16486	0.000000	17239
A2M	0.555270	2759	1.307068	6315
A2ML1	0.000000	16485	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	2107	1.325067	6074
A4GNT	0.000000	16484	0.000000	17237
AAAS	0.534829	2975	1.928799	2008
AACS	0.527534	3055	1.578198	4080
AADAC	0.416641	4849	0.416641	12208
AADACL2	0.000000	16483	0.000000	17236
AADACL3	0.000000	16482	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.051902	12058	0.569851	11301
AAED1	0.203379	8972	1.421734	5326
AAGAB	0.143352	10074	1.692053	3312
AAK1	0.416641	4848	0.793694	9984
AAMDC	0.292166	7370	1.475962	4890
AAMP	0.325917	6708	2.130683	1311
AANAT	0.000000	16481	0.000000	17234
AAR2	0.530230	3025	1.651466	3553
AARD	0.088690	11062	0.103143	13331
AARS	0.111910	10657	1.723987	3094
AARS2	0.169981	9591	1.380798	5603
AARSD1	0.112410	10651	1.497281	4709
AASDH	0.000000	16480	0.764923	10390
AASDHPPT	-0.011063	16557	1.475962	4889
AASS	0.281697	7577	0.955688	9158
AATF	0.007101	12754	1.475962	4888
AATK	0.000000	16479	0.000000	17233
ABAT	0.362943	5904	0.860699	9769
ABCA1	0.058694	11807	1.452093	5085
ABCA10	0.000000	16478	0.000000	17232
ABCA12	0.000000	16477	0.000000	17231
ABCA13	0.113943	10621	0.113943	13269
ABCA2	0.902858	851	1.087880	8160
ABCA3	0.691592	1718	1.419546	5336
ABCA4	0.254447	8124	0.254447	12636
ABCA5	0.220403	8709	0.764923	10389
ABCA6	0.628962	2110	1.088136	8159
ABCA7	0.516481	3182	1.321883	6092
ABCA8	0.535165	2972	1.475962	4887
ABCA9	0.887335	894	1.189209	7322
ABCB1	0.327000	6678	0.924673	9260
ABCB10	0.227975	8594	1.088136	8158
ABCB11	0.000000	16476	0.000000	17230
ABCB4	0.179684	9429	0.328676	12418
ABCB5	0.000000	16475	0.000000	17229
ABCB6	0.718672	1591	0.955688	9157
ABCB7	0.000000	16474	1.088136	8157
ABCB8	0.366739	5817	1.538706	4400
ABCB9	0.361753	5927	0.830807	9864
ABCC1	0.557456	2734	1.576138	4088
ABCC10	0.484894	3584	1.066852	8236
ABCC11	0.000000	16473	0.000000	17228
ABCC12	0.063552	11741	0.063552	13778
ABCC2	0.000000	16472	0.000000	17227
ABCC3	0.918155	818	1.730483	3071
ABCC4	0.380345	5553	1.271377	6630
ABCC5	0.236571	8471	0.955688	9156
ABCC6	-	19006	-	19006
ABCC8	0.039591	12347	0.039591	14053
ABCC9	0.289329	7417	0.416641	12207
ABCD1	0.279373	7616	1.232597	6803
ABCD2	0.000000	16471	0.000000	17226
ABCD3	-0.113994	16995	0.955688	9155
ABCD4	0.267405	7886	1.325067	6073
ABCE1	0.078192	11365	1.597256	3949
ABCF1	0.085070	11273	1.795036	2677
ABCF2	0.313733	6957	1.740975	3002
ABCF3	0.241804	8374	1.716581	3139
ABCG1	0.027893	12498	0.378990	12296
ABCG2	0.051902	12057	0.051902	13923
ABCG4	0.350769	6161	0.366414	12329
ABCG5	0.000000	16470	0.000000	17225
ABCG8	0.000000	16469	0.000000	17224
ABHD1	0.220183	8715	0.279354	12578
ABHD10	0.103237	10790	1.307068	6314
ABHD11	0.545355	2873	1.515315	4563
ABHD12	0.587989	2462	2.106875	1381
ABHD12B	0.150515	9947	0.150515	13087
ABHD13	0.099270	10897	1.141450	7709
ABHD14A	0.467644	3826	1.416840	5351
ABHD14B	0.507856	3281	2.265313	964
ABHD15	0.438924	4240	0.779488	10022
ABHD16A	0.155452	9825	1.446154	5117
ABHD16B	-	19005	-	19005
ABHD17A	0.589490	2447	1.516089	4559
ABHD17B	0.376779	5620	0.955688	9154
ABHD17C	0.271862	7780	1.313254	6136
ABHD18	0.236266	8478	1.088136	8156
ABHD2	0.293584	7340	1.739975	3005
ABHD3	0.020913	12587	0.971276	8820
ABHD4	0.589845	2443	1.930334	1998
ABHD5	0.322433	6775	1.271377	6629
ABHD6	0.165708	9661	0.857609	9773
ABHD8	0.492937	3485	1.317182	6118
ABI1	-0.017543	16595	1.340246	6014
ABI2	0.325229	6725	1.560309	4238
ABI3	0.132396	10298	0.328676	12417
ABI3BP	2.026039	39	2.702379	341
ABL1	0.565443	2660	1.566955	4135
ABL2	0.473383	3754	1.141450	7708
ABLIM1	0.364862	5863	0.870989	9741
ABLIM2	0.088046	11234	0.293597	12525
ABLIM3	0.388945	5355	1.349162	5853
ABO	0.275647	7697	0.401493	12241
ABR	0.777933	1275	1.585256	3993
ABRA	0.000000	16468	0.000000	17223
ABRACL	0.553553	2778	1.974010	1829
ABT1	0.325080	6728	1.521947	4469
ABTB1	0.492955	3484	1.680810	3355
ABTB2	0.255684	8104	0.968745	8832
ACAA1	0.540385	2927	1.685023	3339
ACAA2	0.419663	4538	1.677607	3411
ACACA	0.105698	10742	1.249025	6727
ACACB	0.113943	10620	0.139947	13180
ACAD10	0.255945	8102	1.245522	6743
ACAD11	0.566960	2647	0.870989	9740
ACAD8	0.044845	12138	1.253597	6705
ACAD9	0.175379	9504	1.575517	4094
ACADL	0.063552	11740	0.063552	13777
ACADM	0.101866	10849	1.475962	4886
ACADS	0.287515	7459	1.175150	7383
ACADSB	0.310911	7015	1.026942	8616
ACADVL	0.549276	2838	2.085943	1437
ACAN	0.063766	11570	0.139947	13179
ACAP1	0.038413	12358	0.150515	13086
ACAP2	0.316791	6893	1.498724	4703
ACAP3	0.355016	6066	1.053475	8291
ACAT1	0.000000	16467	1.597256	3948
ACAT2	0.428772	4398	1.522294	4466
ACBD3	0.001578	12823	1.855519	2370
ACBD4	0.332769	6543	0.981349	8783
ACBD5	0.204210	8956	0.624282	11168
ACBD6	0.316791	6892	1.383176	5597
ACBD7	0.314594	6936	0.551912	11348
ACCS	0.293542	7343	0.713174	10540
ACCSL	-	19004	-	19004
ACD	0.443116	4178	1.359933	5810
ACE	0.174432	9517	0.620950	11176
ACE2	0.000000	16466	0.000000	17222
ACER1	0.000000	16465	0.000000	17221
ACER2	0.022259	12574	0.093760	13401
ACER3	-0.353671	17210	0.764923	10388
ACHE	0.459770	3944	0.851579	9802
ACIN1	0.416641	4847	1.714751	3151
ACKR1	0.000000	16464	0.000000	17220
ACKR2	0.238884	8434	0.471534	11563
ACKR3	0.000000	16463	1.271377	6628
ACKR4	0.519647	3145	0.624282	11167
ACLY	1.036146	575	2.330845	814
ACMSD	0.051902	12056	0.051902	13922
ACO1	0.478743	3673	2.002684	1720
ACO2	0.222695	8679	1.984091	1786
ACOD1	0.000000	16462	0.000000	17219
ACOT1	0.322566	6772	0.374203	12309
ACOT11	0.354635	6075	0.434028	11679
ACOT12	0.000000	16461	0.000000	17218
ACOT13	0.051572	12061	1.475962	4885
ACOT2	0.358543	6000	1.246370	6737
ACOT4	0.170359	9585	0.309547	12480
ACOT6	-	19003	-	19003
