gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.837879	704	1.828880	1981
A1CF	0.000000	15366	0.000000	17239
A2M	0.000000	15365	0.305330	11849
A2ML1	0.000000	15364	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1401	1.325067	4676
A4GNT	0.000000	15363	0.000000	17237
AAAS	0.534829	1972	1.928799	1604
AACS	0.527534	2033	1.578198	3153
AADAC	0.000000	15362	0.000000	17236
AADACL2	0.000000	15361	0.000000	17235
AADACL3	0.000000	15360	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.051902	9712	0.569851	10242
AAED1	0.203379	6163	1.421734	4079
AAGAB	-0.494800	17119	1.053901	6586
AAK1	0.063552	9236	0.793694	8584
AAMDC	0.245980	5565	1.429775	4032
AAMP	0.325917	4426	2.130683	1024
AANAT	0.000000	15359	0.000000	17233
AAR2	0.530230	2012	1.651466	2785
AARD	0.088690	8291	0.103143	13132
AARS	0.111910	7804	1.723987	2438
AARS2	0.169981	6701	1.380798	4311
AARSD1	0.112410	7790	1.497281	3597
AASDH	0.000000	15358	0.657197	9604
AASDHPPT	-0.020711	15617	1.169890	5744
AASS	-0.041336	15864	0.721526	9129
AATF	-0.039342	15846	1.429518	4036
AATK	0.000000	15357	0.000000	17232
ABAT	0.170483	6687	0.860699	8065
ABCA1	0.000000	15356	1.076118	6406
ABCA10	0.000000	15355	0.000000	17231
ABCA12	0.000000	15354	0.000000	17230
ABCA13	0.113943	7758	0.113943	13049
ABCA2	0.902858	576	1.087880	6329
ABCA3	0.691592	1133	1.419546	4090
ABCA4	0.254447	5442	0.254447	12151
ABCA5	0.051902	9711	0.279354	12026
ABCA6	0.000000	15353	0.063552	13655
ABCA7	0.516481	2118	1.321883	4699
ABCA8	0.000000	15352	0.254447	12150
ABCA9	0.353157	4013	0.655032	9621
ABCB1	0.327000	4407	0.924673	7585
ABCB10	-0.003521	15400	0.603610	9976
ABCB11	0.000000	15351	0.000000	17229
ABCB4	0.179684	6555	0.328676	11721
ABCB5	0.000000	15350	0.000000	17228
ABCB6	0.412623	3207	0.791316	8608
ABCB7	0.000000	15349	0.771223	8744
ABCB8	0.366739	3800	1.538706	3379
ABCB9	0.361753	3870	0.830807	8283
ABCC1	0.372133	3731	1.576138	3163
ABCC10	0.484894	2403	1.066852	6472
ABCC11	0.000000	15348	0.000000	17227
ABCC12	0.063552	9235	0.063552	13654
ABCC2	0.000000	15347	0.000000	17226
