gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.507240	3596	1.395256	6182
A1CF	0.000000	17081	0.000000	17239
A2M	1.649292	208	2.699594	316
A2ML1	1.301008	453	1.301008	7040
A3GALT2	-	19008	-	19008
A4GALT	0.180617	10482	0.876066	10427
A4GNT	0.000000	17080	0.000000	17238
AAAS	0.494810	3747	1.888780	2388
AACS	0.324358	6638	1.375022	6358
AADAC	0.026539	14574	0.026539	15039
AADACL2	0.000000	17079	0.000000	17237
AADACL3	0.000000	17078	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.419407	4794	0.989020	9654
AAED1	0.354897	5965	1.573252	4601
AAGAB	0.291105	7452	1.839806	2641
AAK1	0.156599	11251	1.046901	9217
AAMDC	0.124163	12244	1.300087	7052
AAMP	0.225624	9291	2.030390	1684
AANAT	0.049143	14115	0.049143	14784
AAR2	0.224775	9307	1.330957	6761
AARD	0.067385	13799	0.081838	14611
AARS	0.319285	6725	1.931362	2149
AARS2	0.137857	11879	1.348674	6601
AARSD1	0.140887	11798	1.489791	5291
AASDH	0.069940	13758	1.106445	8753
AASDHPPT	0.112654	12531	1.629254	4157
AASS	0.234598	8997	1.296665	7083
AATF	0.185605	10361	1.654465	3937
AATK	0.256420	8406	0.256420	13357
ABAT	0.047728	14157	0.459318	12454
ABCA1	0.104758	13006	1.311733	6943
ABCA10	0.033457	14397	0.033457	14930
ABCA12	1.241181	528	1.241181	7564
ABCA13	0.178351	10540	0.178351	13722
ABCA2	0.337071	6337	1.115965	8680
ABCA3	0.179203	10510	0.907157	10209
ABCA4	0.494629	3750	0.494629	12270
ABCA5	0.162577	11104	1.159332	8312
ABCA6	0.008620	15107	0.257107	13346
ABCA7	0.408883	4966	1.244441	7541
ABCA8	0.000000	17077	0.223683	13515
ABCA9	0.000000	17076	0.053738	14740
ABCB1	0.544890	3209	1.142563	8438
ABCB10	0.280661	7704	1.140822	8456
ABCB11	0.000000	17075	0.000000	17235
ABCB4	0.970742	1042	1.119735	8650
ABCB5	2.075693	83	2.075693	1507
ABCB6	0.336179	6363	0.573195	11939
ABCB7	0.062887	13877	1.312324	6939
ABCB8	0.433188	4567	1.605155	4344
ABCB9	0.474654	3990	0.943708	9957
ABCC1	0.313784	6862	1.570754	4622
ABCC10	0.495645	3736	1.163188	8280
ABCC11	0.000000	17074	0.000000	17234
ABCC12	0.000000	17073	0.000000	17233
ABCC2	0.848015	1413	0.848015	10600
ABCC3	0.769987	1752	1.582315	4513
ABCC4	0.316064	6811	1.207096	7863
ABCC5	0.281879	7666	1.270679	7329
ABCC6	-	19006	-	19006
ABCC8	0.000000	17072	0.000000	17232
ABCC9	0.012305	15086	0.215141	13589
ABCD1	0.844729	1424	1.797952	2875
ABCD2	0.248876	8616	0.410259	12650
ABCD3	0.361312	5849	1.525951	4986
ABCD4	0.175721	10615	1.212393	7813
ABCE1	0.292139	7431	1.811204	2803
ABCF1	0.190566	10228	1.895977	2330
ABCF2	0.240238	8857	1.667480	3837
ABCF3	0.003520	15132	1.478297	5401
ABCG1	0.307736	6993	1.440657	5771
ABCG2	0.161513	11129	0.276462	13222
ABCG4	0.175305	10627	0.190949	13696
ABCG5	0.000000	17071	0.000000	17231
ABCG8	0.000000	17070	0.000000	17230
ABHD1	0.000000	17069	0.046626	14841
ABHD10	0.194452	10121	1.451786	5661
ABHD11	0.267566	8089	1.237527	7605
ABHD12	0.401705	5068	1.920591	2204
ABHD12B	0.000000	17068	0.000000	17229
ABHD13	0.110748	12611	1.137962	8491
ABHD14A	0.215533	9543	1.161054	8296
ABHD14B	0.406116	5004	2.163573	1224
