gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	14555	0.499066	9690
A1CF	0.000000	14554	0.000000	17239
A2M	0.000000	14553	0.000000	17238
A2ML1	0.932816	449	0.932816	6842
A3GALT2	-	19008	-	19008
A4GALT	0.504103	1227	1.199553	4886
A4GNT	0.000000	14552	0.000000	17237
AAAS	0.289864	2528	1.683834	2078
AACS	0.175022	4025	1.225686	4703
AADAC	0.000000	14551	0.000000	17236
AADACL2	0.000000	14550	0.000000	17235
AADACL3	0.000000	14549	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14548	0.349530	10526
AAED1	0.153343	4406	1.371699	3742
AAGAB	-0.274627	16773	1.274074	4379
AAK1	0.139858	4646	0.652232	8781
AAMDC	-0.022448	14969	1.101838	5585
AAMP	0.105794	5315	1.910560	1271
AANAT	0.000000	14547	0.000000	17233
AAR2	0.147645	4496	1.268880	4413
AARD	0.000000	14546	0.000000	17232
AARS	0.188933	3795	1.801009	1616
AARS2	0.122707	4943	1.333524	3978
AARSD1	0.014673	8065	1.294998	4239
AASDH	0.000000	14545	0.632258	8919
AASDHPPT	-0.020711	14937	1.294916	4241
AASS	-0.104889	16021	0.601797	9127
AATF	0.026948	7503	1.495808	2988
AATK	0.000000	14544	0.000000	17231
ABAT	0.333936	2134	1.063100	5872
ABCA1	0.011928	8136	1.405328	3556
ABCA10	0.217450	3415	0.217450	11250
ABCA12	0.091592	5596	0.091592	12128
ABCA13	0.022476	7882	0.022476	13048
ABCA2	0.154121	4393	0.933015	6837
ABCA3	0.000000	14543	0.022476	13047
ABCA4	0.000000	14542	0.000000	17230
ABCA5	0.000000	14541	0.387432	10331
ABCA6	0.000000	14540	0.000000	17229
ABCA7	0.323505	2222	1.159064	5175
ABCA8	0.000000	14539	0.056972	12457
ABCA9	0.000000	14538	0.000000	17228
ABCB1	0.000000	14537	0.000000	17227
ABCB10	0.003996	8358	0.864157	7357
ABCB11	0.000000	14536	0.000000	17226
ABCB4	0.000000	14535	0.000000	17225
ABCB5	0.000000	14534	0.000000	17224
ABCB6	0.206338	3559	0.585031	9222
ABCB7	0.022476	7881	0.846163	7495
ABCB8	0.024927	7543	1.196894	4900
ABCB9	0.106140	5308	0.569530	9306
ABCC1	0.247921	3013	1.354955	3843
ABCC10	0.224497	3327	0.859846	7396
ABCC11	0.000000	14533	0.000000	17223
ABCC12	0.000000	14532	0.000000	17222
ABCC2	0.000000	14531	0.000000	17221
ABCC3	0.675326	795	1.487654	3036
ABCC4	-0.016406	14848	0.735366	8267
ABCC5	0.027096	7499	1.015897	6229
ABCC6	-	19006	-	19006
ABCC8	0.000000	14530	0.000000	17220
ABCC9	0.000000	14529	0.000000	17219
ABCD1	0.000000	14528	0.412554	10197
ABCD2	0.000000	14527	0.000000	17218
ABCD3	-0.206284	16560	0.683857	8603
ABCD4	-0.090903	15899	1.065961	5856
ABCE1	-0.217906	16620	1.301159	4198
ABCF1	-0.020378	14935	1.829557	1518
ABCF2	0.174381	4040	1.588512	2517
ABCF3	-0.079302	15800	1.395475	3605
ABCG1	0.267573	2765	1.400494	3576
ABCG2	0.038834	7240	0.135396	11777
ABCG4	0.129510	4838	0.129510	11843
ABCG5	0.000000	14526	0.000000	17217
ABCG8	0.000000	14525	0.000000	17216
ABHD1	0.000000	14524	0.000000	17215
ABHD10	-0.251337	16713	0.837641	7567
ABHD11	0.075240	5961	0.960884	6622
ABHD12	0.169101	4129	1.471178	3144
ABHD12B	0.000000	14523	0.000000	17214
ABHD13	-0.192358	16511	0.834856	7583
ABHD14A	-0.094572	15931	0.850835	7459
ABHD14B	0.099469	5435	1.856927	1422
ABHD15	0.119589	4998	0.460153	9922
ABHD16A	0.000000	14522	1.106704	5551
ABHD16B	-	19005	-	19005
ABHD17A	0.106694	5299	0.955959	6662
ABHD17B	-0.066836	15654	0.933807	6824
ABHD17C	0.184695	3859	1.226087	4700
ABHD18	-0.014453	14809	0.833520	7592
ABHD2	0.000000	14521	1.259442	4468
ABHD3	-0.088705	15883	0.861658	7377
ABHD4	0.056052	6476	1.395902	3601
ABHD5	0.000000	14520	0.664381	8717
ABHD6	0.027649	7482	0.619185	8988
ABHD8	0.010749	8172	0.920475	6927
ABI1	0.031180	7405	1.366130	3769
ABI2	0.100225	5425	1.345722	3906
ABI3	0.000000	14519	0.000000	17213
ABI3BP	0.039591	7036	0.176534	11505
ABL1	0.089261	5640	0.932143	6848
ABL2	0.051680	6563	0.719747	8372
ABLIM1	0.172750	4065	0.945898	6741
ABLIM2	0.000000	14518	0.062067	12385
ABLIM3	0.219302	3388	1.504488	2930
ABO	0.770982	640	0.896828	7081
ABR	0.493263	1263	1.542930	2736
ABRA	0.000000	14517	0.000000	17212
ABRACL	0.381827	1803	1.878366	1353
ABT1	0.235893	3175	1.432760	3384
ABTB1	0.022476	7880	0.995192	6382
ABTB2	-0.049594	15429	0.711226	8430
ACAA1	0.235175	3186	1.717191	1931
ACAA2	0.087241	5683	0.601319	9129
ACACA	0.123428	4932	1.266755	4427
ACACB	0.000000	14516	0.000000	17211
ACAD10	-0.391261	16988	0.598317	9140
ACAD11	0.000000	14515	0.351387	10512
ACAD8	-0.031720	15164	1.177032	5034
ACAD9	0.007059	8275	1.407196	3544
ACADL	0.000000	14514	0.000000	17210
ACADM	0.008679	8237	0.848634	7481
ACADS	0.061310	6367	0.806457	7769
ACADSB	0.003993	8359	0.289479	10844
ACADVL	0.110792	5137	2.030569	951
ACAN	0.000000	14513	0.000000	17209
ACAP1	0.036936	7290	0.149038	11696
ACAP2	0.000000	14512	1.065066	5862
ACAP3	0.172042	4077	0.870501	7300
ACAT1	0.000000	14511	0.865891	7342
ACAT2	0.236791	3164	1.669941	2140
ACBD3	-0.283927	16799	1.570014	2606
ACBD4	0.000818	8442	0.485242	9779
ACBD5	-0.059508	15583	0.487165	9767
ACBD6	0.182525	3890	1.241438	4588
ACBD7	-0.237318	16677	0.000000	17208
ACCS	0.162483	4254	0.582116	9229
ACCSL	-	19004	-	19004
ACD	0.299312	2430	1.216129	4767
ACE	0.000000	14510	0.041088	12520
ACE2	0.000000	14509	0.000000	17207
ACER1	0.039591	7035	0.039591	12677
ACER2	0.251689	2954	0.568226	9308
ACER3	-0.256964	16734	0.861630	7379
ACHE	0.022476	7879	0.089959	12134
ACIN1	0.039591	7034	1.672415	2118
ACKR1	0.000000	14508	0.000000	17206
ACKR2	0.631490	878	0.631490	8924
ACKR3	0.854576	537	2.198673	640
ACKR4	0.393495	1722	0.498129	9698
ACLY	0.610319	930	1.905018	1292
ACMSD	0.000000	14507	0.000000	17205
ACO1	-0.320588	16886	1.203353	4860
ACO2	0.065160	6221	1.826555	1528
ACOD1	0.000000	14506	0.000000	17204
ACOT1	0.000000	14505	0.000000	17203
ACOT11	0.010001	8193	0.224817	11214
ACOT12	0.000000	14504	0.000000	17202
ACOT13	0.126165	4889	1.550555	2695
ACOT2	0.000000	14503	0.451980	9971
ACOT4	-0.077121	15774	0.062067	12384
ACOT6	-	19003	-	19003
ACOT7	0.565715	1031	1.609533	2418
ACOT8	0.147049	4513	1.547818	2713
ACOT9	0.127355	4866	1.676420	2105
ACOX1	0.211855	3497	1.653628	2212
ACOX2	0.000000	14502	0.000000	17201
ACOX3	0.168685	4132	1.146232	5255
ACOXL	0.237459	3159	0.237459	11131
ACP1	0.049889	6595	1.671381	2124
ACP2	0.000000	14501	1.482016	3072
ACP5	0.917712	461	1.090063	5668
ACP6	0.205197	3575	0.878684	7233
ACP7	-	19002	-	19002
ACPP	0.039591	7033	0.039591	12676
ACPT	-	19001	-	19001
ACR	0.000000	14500	0.000000	17200
ACRBP	0.000000	14499	0.022476	13046
ACRC	0.000000	14498	0.000000	17199
ACRV1	0.000000	14497	0.000000	17198
ACSBG1	0.000000	14496	0.000000	17197
ACSBG2	0.000000	14495	0.000000	17196
ACSF2	0.724323	701	1.385309	3670
ACSF3	0.088532	5651	0.953625	6682
ACSL1	0.332122	2148	0.826789	7638
ACSL3	0.042082	6754	1.908238	1281
ACSL4	0.062067	6324	1.337131	3961
ACSL5	0.142697	4607	0.983556	6462
ACSL6	0.000000	14494	0.000000	17195
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14493	0.000000	17194
ACSM2B	0.000000	14492	0.000000	17193
ACSM3	0.022476	7878	0.056972	12456
ACSM4	-	18999	-	18999
ACSM5	0.000000	14491	0.000000	17192
ACSM6	0.000000	14490	0.000000	17191
ACSS1	-0.011032	14740	0.543441	9457
ACSS2	0.592156	973	1.432575	3387
ACSS3	0.000000	14489	0.000000	17190
ACTA1	0.000000	14488	0.000000	17189
ACTA2	0.700092	745	1.469261	3156
ACTB	0.388357	1757	4.049108	3
ACTBL2	0.038834	7239	0.038834	12815
ACTC1	0.000000	14487	0.000000	17188
ACTG1	0.515057	1195	3.994482	4
ACTG2	0.000000	14486	0.022476	13045
ACTL10	0.039591	7032	0.067378	12323
ACTL6A	0.022476	7877	1.137302	5316
ACTL6B	0.000000	14485	0.000000	17187
ACTL7A	0.000000	14484	0.000000	17186
ACTL7B	0.000000	14483	0.000000	17185
ACTL8	0.000000	14482	0.000000	17184
ACTL9	0.000000	14481	0.000000	17183
ACTN1	0.789887	614	2.945557	85
ACTN2	0.000000	14480	0.000000	17182
ACTN3	0.000000	14479	0.000000	17181
ACTN4	0.447476	1443	2.212721	616
ACTR10	-0.311351	16862	1.389772	3640
ACTR1A	0.268879	2749	2.298310	476
ACTR1B	0.122472	4947	1.413287	3494
ACTR2	0.017486	7999	1.437821	3354
ACTR3	0.038834	7238	1.967872	1116
ACTR3B	0.000000	14478	0.845782	7499
ACTR3C	0.091592	5595	0.370268	10423
ACTR5	-0.176404	16445	0.620863	8971
ACTR6	0.000000	14477	0.617077	9007
ACTR8	0.099400	5437	0.879662	7223
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14476	0.000000	17180
ACTRT3	-	18997	-	18997
ACVR1	0.115881	5063	1.057041	5907
ACVR1B	0.141319	4626	1.159049	5176
ACVR1C	0.022476	7876	0.022476	13044
ACVR2A	0.000000	14475	0.603489	9120
ACVR2B	-0.070005	15696	0.331286	10616
ACVRL1	0.000000	14474	0.038834	12814
ACY1	0.589596	983	1.548407	2709
ACY3	0.022476	7875	0.022476	13043
ACYP1	0.000000	14473	1.022463	6187
ACYP2	0.252276	2944	0.902097	7051
ADA	0.471522	1350	1.146038	5257
ADAD1	0.000000	14472	0.000000	17179
ADAD2	0.000000	14471	0.000000	17178
ADAL	-0.455386	17078	0.272547	10928
ADAM10	0.061310	6366	1.114232	5498
ADAM11	0.000000	14470	0.000000	17177
ADAM12	0.000000	14469	0.067378	12322
ADAM15	0.544389	1103	2.224226	594
ADAM17	0.000000	14468	1.032063	6115
ADAM18	0.000000	14467	0.000000	17176
ADAM19	0.882154	506	1.837465	1486
ADAM2	0.000000	14466	0.000000	17175
ADAM20	0.000000	14465	0.000000	17174
ADAM21	0.000000	14464	0.000000	17173
ADAM22	0.038834	7237	0.038834	12813
ADAM23	0.017986	7988	0.231384	11167
ADAM28	0.236541	3167	0.335702	10601
ADAM29	0.000000	14463	0.000000	17172
ADAM30	0.000000	14462	0.000000	17171
ADAM32	0.000000	14461	0.000000	17170
