gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	4765	1.908622	4827
A1CF	0.039090	15155	0.039090	15672
A2M	1.578519	1733	2.628821	1243
A2ML1	0.694057	6761	0.694057	12385
A3GALT2	-	19008	-	19008
A4GALT	-0.166333	17190	0.504313	12968
A4GNT	0.000000	17076	0.000000	17239
AAAS	0.408994	10123	1.539701	7789
AACS	0.255713	12092	1.147050	10383
AADAC	0.000000	17075	0.000000	17238
AADACL2	0.896964	4908	0.896964	11595
AADACL3	0.000000	17074	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.026539	15544	0.155628	14420
AAED1	0.837794	5411	2.056150	3797
AAGAB	0.226764	12429	1.775465	5861
AAK1	0.760778	6115	1.490092	8173
AAMDC	0.387164	10402	1.277072	9670
AAMP	0.441341	9685	1.835713	5400
AANAT	0.040191	15100	0.040191	15628
AAR2	0.291493	11644	1.412728	8742
AARD	0.793082	5793	0.807535	11967
AARS	0.104391	13957	1.716468	6358
AARS2	0.295082	11605	1.505899	8058
AARSD1	0.493541	9068	1.586563	7426
AASDH	0.296245	11590	1.376529	9008
AASDHPPT	0.544499	8446	1.764550	5950
AASS	0.301100	11513	1.107888	10621
AATF	0.551789	8360	2.020649	4040
AATK	0.419899	9968	0.437592	13178
ABAT	0.810521	5636	1.335834	9302
ABCA1	1.660715	1505	2.727002	1004
ABCA10	0.150083	13351	0.150083	14471
ABCA12	1.835819	1122	1.835819	5399
ABCA13	0.831252	5463	0.831252	11870
ABCA2	0.769347	6035	1.324209	9381
ABCA3	0.573479	8116	1.301433	9517
ABCA4	0.041284	15060	0.041284	15598
ABCA5	0.769860	6026	1.802296	5653
ABCA6	0.973649	4366	0.973649	11274
ABCA7	0.949393	4539	1.784952	5780
ABCA8	0.114797	13851	0.305660	13643
ABCA9	0.062752	14707	0.258585	13829
ABCB1	1.201530	3099	1.799203	5677
ABCB10	1.228844	2975	2.089005	3586
ABCB11	0.000000	17073	0.000000	17236
ABCB4	1.176150	3235	1.325142	9374
ABCB5	0.443669	9658	0.443669	13163
ABCB6	0.275675	11827	0.654368	12498
ABCB7	0.319492	11266	1.568929	7553
ABCB8	0.665014	7073	1.566193	7574
ABCB9	0.327527	11182	0.611244	12642
ABCC1	0.656883	7172	1.913853	4783
ABCC10	0.381571	10474	1.006408	11129
ABCC11	0.000000	17072	0.000000	17235
ABCC12	0.000000	17071	0.000000	17234
ABCC2	0.378333	10528	0.378333	13380
ABCC3	1.370024	2396	2.182352	3035
ABCC4	1.369468	2399	1.976759	4323
ABCC5	0.869883	5130	1.858683	5223
ABCC6	-	19006	-	19006
ABCC8	0.050763	14841	0.050763	15426
ABCC9	0.068942	14612	0.114797	14804
ABCD1	0.960387	4454	1.913611	4787
ABCD2	1.451098	2093	1.612481	7190
ABCD3	0.667473	7048	1.249198	9839
ABCD4	0.641429	7352	1.473335	8290
ABCE1	0.772304	5998	2.291369	2481
ABCF1	0.414216	10046	2.264151	2612
ABCF2	0.361984	10753	1.639466	7001
ABCF3	0.260950	12012	1.735727	6173
ABCG1	0.923022	4725	1.995739	4211
ABCG2	0.957230	4474	1.072179	10822
ABCG4	0.065625	14645	0.081270	14972
ABCG5	0.000000	17070	0.000000	17233
ABCG8	0.000000	17069	0.000000	17232
ABHD1	0.227220	12423	0.286391	13714
ABHD10	0.245758	12211	1.516435	7982
ABHD11	0.578503	8060	1.548464	7723
ABHD12	1.271608	2794	2.488810	1663
ABHD12B	0.053789	14807	0.053789	15403
ABHD13	0.965539	4416	2.007719	4123
ABHD14A	0.354313	10852	1.471481	8301
ABHD14B	0.195154	12789	1.952612	4493
ABHD15	0.993511	4240	1.334075	9309
ABHD16A	1.076001	3737	2.049847	3836
ABHD16B	-	19005	-	19005
ABHD17A	1.041505	3959	1.088460	10731
ABHD17B	0.598326	7829	1.598969	7295
ABHD17C	0.225207	12446	1.266600	9732
ABHD18	0.741272	6298	1.593142	7359
ABHD2	1.570207	1756	2.856566	758
ABHD3	1.119734	3498	2.070096	3700
ABHD4	0.752628	6193	2.093117	3561
ABHD5	1.636896	1563	2.833775	799
ABHD6	1.231904	2963	1.479364	8242
ABHD8	0.589083	7936	1.159103	10326
ABI1	0.848298	5325	2.138116	3265
ABI2	0.271359	11877	1.463195	8366
ABI3	1.802202	1183	2.307350	2388
ABI3BP	0.672260	6995	1.628819	7068
ABL1	0.994545	4234	1.091894	10704
ABL2	1.806979	1173	2.475046	1702
ABLIM1	1.564855	1776	2.288374	2494
ABLIM2	0.234448	12343	0.502508	12975
ABLIM3	0.032303	15346	1.251689	9811
ABO	0.354651	10849	0.480497	13033
ABR	1.081152	3713	1.554795	7674
ABRA	0.114797	13850	0.114797	14803
ABRACL	1.382877	2343	2.567050	1423
ABT1	0.687971	6836	1.884837	5015
ABTB1	1.540534	1839	2.728390	1001
ABTB2	1.048440	3919	1.809261	5616
ACAA1	0.606552	7731	2.088568	3591
ACAA2	1.590909	1704	2.118383	3396
ACACA	0.165202	13173	1.283815	9637
ACACB	0.583298	8004	0.691513	12410
ACAD10	0.191914	12826	1.181492	10203
ACAD11	0.660449	7119	0.985304	11227
ACAD8	0.186290	12880	1.395042	8864
ACAD9	0.921500	4744	1.566216	7573
ACADL	0.203270	12691	0.203270	14093
ACADM	0.792719	5795	2.166815	3100
ACADS	0.522710	8704	1.410345	8749
ACADSB	0.298213	11560	1.307459	9475
ACADVL	0.537291	8539	2.425245	1896
ACAN	0.016712	15855	0.034601	15759
ACAP1	1.969286	884	2.081388	3633
ACAP2	1.193922	3140	2.713242	1035
ACAP3	0.347843	10930	0.986042	11224
ACAT1	0.042368	15044	1.676423	6694
ACAT2	0.752627	6194	2.185777	3011
ACBD3	1.004457	4173	2.858399	752
ACBD4	0.806817	5675	1.219095	10005
ACBD5	0.851124	5293	1.417671	8705
ACBD6	0.391998	10340	1.345902	9233
ACBD7	0.162339	13206	0.399657	13297
ACCS	0.657825	7159	1.122732	10532
ACCSL	-	19004	-	19004
ACD	0.871406	5117	1.177054	10229
ACE	1.718139	1362	2.164656	3114
ACE2	0.000000	17068	0.000000	17231
ACER1	0.204671	12653	0.204671	14056
ACER2	0.759555	6128	1.076092	10799
ACER3	1.178224	3219	2.296819	2446
