gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.769957	6175	1.476224	8520
A1CF	0.039090	15097	0.039090	15613
A2M	1.578519	1682	2.628821	1267
A2ML1	0.694057	7001	0.694057	12304
A3GALT2	-	19008	-	19008
A4GALT	0.693680	7010	1.389129	9159
A4GNT	0.000000	17084	0.000000	17239
AAAS	0.408994	10386	1.792830	6023
AACS	0.255713	12273	1.177536	10419
AADAC	0.000000	17083	0.000000	17238
AADACL2	0.896964	5035	0.896964	11640
AADACL3	0.000000	17082	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.026539	15406	0.550228	12790
AAED1	0.837794	5531	2.056150	3971
AAGAB	0.301393	11766	1.850095	5528
AAK1	0.492291	9415	1.225814	10136
AAMDC	0.297981	11823	1.277072	9842
AAMP	0.249419	12324	2.034669	4120
AANAT	0.040191	15033	0.040191	15563
AAR2	0.332629	11404	1.340543	9489
AARD	0.793082	5938	0.807535	11947
AARS	0.351287	11174	1.963364	4620
AARS2	0.546655	8741	1.757472	6298
AARSD1	0.423144	10196	1.512550	8249
AASDH	0.270171	12096	1.350455	9435
AASDHPPT	0.544499	8770	1.764550	6244
AASS	0.579058	8336	1.380030	9249
AATF	0.551789	8658	2.020649	4216
AATK	0.419899	10240	0.437592	13082
ABAT	0.810521	5779	1.335834	9516
ABCA1	1.660715	1454	2.727002	1021
ABCA10	0.150083	13384	0.150083	14427
ABCA12	1.835819	1079	1.835819	5646
ABCA13	0.831252	5591	0.831252	11879
ABCA2	0.973348	4452	1.304491	9729
ABCA3	0.573479	8404	1.301433	9741
ABCA4	0.041284	14994	0.041284	15528
ABCA5	0.769860	6176	1.802296	5938
ABCA6	0.973649	4447	0.973649	11333
ABCA7	0.949393	4623	1.784952	6078
ABCA8	0.114797	13853	0.305660	13640
ABCA9	0.062752	14663	0.258585	13807
ABCB1	0.561936	8549	1.159609	10480
ABCB10	1.653193	1477	2.513355	1624
ABCB11	0.000000	17081	0.000000	17236
ABCB4	0.737048	6526	0.886041	11670
ABCB5	0.443669	9966	0.443669	13073
ABCB6	1.291057	2724	1.669749	7033
ABCB7	0.430789	10105	1.680227	6947
ABCB8	0.665014	7346	1.566193	7825
ABCB9	0.327527	11458	0.611244	12571
ABCC1	0.656883	7435	1.913853	5001
ABCC10	0.461561	9755	1.096910	10823
ABCC11	0.000000	17080	0.000000	17235
ABCC12	0.000000	17079	0.000000	17234
ABCC2	0.378333	10782	0.378333	13263
ABCC3	1.370024	2364	2.182352	3139
ABCC4	1.369468	2368	1.976759	4529
ABCC5	1.056324	3932	1.858683	5471
ABCC6	-	19006	-	19006
ABCC8	0.050763	14772	0.050763	15354
ABCC9	0.068942	14571	0.114797	14764
ABCD1	0.960387	4536	1.913611	5004
ABCD2	1.179367	3258	1.340749	9487
ABCD3	0.667473	7323	1.276002	9886
ABCD4	0.745279	6443	1.444513	8770
ABCE1	0.772304	6142	2.291369	2553
ABCF1	0.414216	10314	2.264151	2695
ABCF2	0.361984	10973	1.639466	7265
ABCF3	0.260950	12207	1.735727	6464
ABCG1	0.923022	4834	1.995739	4407
ABCG2	1.593651	1637	1.701627	6759
ABCG4	0.065625	14603	0.081270	14925
ABCG5	0.000000	17078	0.000000	17233
ABCG8	0.000000	17077	0.000000	17232
ABHD1	0.163322	13267	0.222493	13951
ABHD10	0.236825	12471	1.498999	8362
ABHD11	0.578503	8347	1.548464	7978
ABHD12	1.271608	2814	2.488810	1699
ABHD12B	0.357935	11106	0.357935	13467
ABHD13	0.965539	4501	2.007719	4320
ABHD14A	0.201296	12844	1.285521	9801
ABHD14B	0.081883	14194	1.839340	5610
ABHD15	0.963927	4513	1.304491	9728
ABHD16A	1.076001	3807	2.049847	4011
ABHD16B	-	19005	-	19005
ABHD17A	0.557496	8598	1.088460	10856
ABHD17B	0.598326	8119	1.598969	7581
ABHD17C	0.705538	6867	1.737590	6454
ABHD18	0.783212	6047	1.635081	7320
ABHD2	1.570207	1701	2.856566	784
ABHD3	1.119734	3572	2.070096	3852
ABHD4	0.752628	6368	2.093117	3706
ABHD5	1.636896	1513	2.833775	823
ABHD6	1.231904	2991	1.479364	8503
ABHD8	0.589083	8222	1.159103	10486
ABI1	0.848298	5448	2.138116	3400
ABI2	0.574935	8386	2.008259	4318
ABI3	1.802202	1139	2.307350	2458
ABI3BP	0.672260	7269	1.628819	7349
ABL1	0.582366	8294	1.534153	8096
ABL2	1.806979	1130	2.475046	1739
ABLIM1	0.977571	4423	1.867294	5406
ABLIM2	0.075705	14257	0.343764	13534
ABLIM3	0.032303	15203	1.251689	9988
ABO	1.013088	4187	1.138934	10616
ABR	1.081152	3783	1.594614	7632
ABRA	0.114797	13852	0.114797	14763
ABRACL	1.382877	2301	2.567050	1446
ABT1	0.441208	9991	1.638074	7270
ABTB1	1.540534	1782	2.728390	1018
ABTB2	1.048440	3989	1.809261	5871
ACAA1	0.606552	8014	2.088568	3740
ACAA2	0.825604	5645	2.118383	3533
ACACA	0.513418	9148	1.608526	7517
ACACB	0.892840	5070	1.212986	10220
ACAD10	0.454935	9825	1.444513	8769
ACAD11	0.865783	5290	1.177536	10418
ACAD8	0.160831	13284	1.369583	9304
ACAD9	0.921500	4856	1.837020	5639
ACADL	0.203270	12815	0.203270	14062
ACADM	0.792719	5941	2.166815	3220
ACADS	0.522710	9026	1.410345	9009
ACADSB	0.102919	13962	1.112165	10715
ACADVL	0.798783	5885	2.612561	1318
ACAN	0.016712	15680	0.028787	15748
ACAP1	1.673513	1426	1.785615	6072
ACAP2	1.193922	3183	2.713242	1050
ACAP3	0.485965	9493	1.096910	10822
ACAT1	0.457234	9803	2.129370	3461
ACAT2	0.752627	6369	2.185777	3114
ACBD3	1.004457	4227	2.858399	776
ACBD4	0.567157	8486	1.276002	9885
ACBD5	0.851124	5419	1.417671	8966
ACBD6	0.702698	6894	1.937468	4815
ACBD7	0.162339	13279	0.399657	13181
ACCS	0.856341	5382	1.122732	10685
ACCSL	-	19004	-	19004
ACD	0.712981	6793	1.155294	10502
ACE	1.718139	1314	2.164656	3236
ACE2	0.000000	17076	0.000000	17231
ACER1	0.204671	12772	0.204671	14020
ACER2	0.759555	6296	1.076092	10906
ACER3	1.178224	3265	2.296819	2519
ACHE	1.551739	1753	1.943548	4756
ACIN1	0.948413	4628	2.254761	2740
ACKR1	1.466085	2015	1.466085	8573
ACKR2	0.573622	8402	0.573622	12662
ACKR3	0.289674	11902	1.151543	10512
ACKR4	0.160465	13287	0.265100	13765
ACLY	0.120851	13744	1.463893	8625
ACMSD	0.000000	17075	0.000000	17230
ACO1	0.398641	10506	1.922582	4932
ACO2	0.341253	11306	1.978699	4519
ACOD1	3.823862	18	3.823862	103
ACOT1	0.311429	11635	0.363066	13312
ACOT11	1.318749	2596	1.500511	8349
ACOT12	0.025182	15471	0.025182	15895
ACOT13	0.951039	4609	2.103291	3639
ACOT2	0.356358	11122	1.395647	9118
ACOT4	0.445477	9946	0.584665	12636
ACOT6	-	19003	-	19003
ACOT7	1.955695	863	2.009129	4302
ACOT8	0.234312	12501	1.635081	7319
ACOT9	0.791630	5949	2.340696	2296
ACOX1	0.695203	6989	2.136977	3404
ACOX2	1.083338	3764	1.114436	10704
ACOX3	1.017027	4164	1.619946	7434
ACOXL	0.081013	14213	0.081013	14935
ACP1	1.046863	3997	2.363703	2197
ACP2	0.744531	6449	2.274468	2637
ACP5	2.987911	108	3.014291	569
ACP6	0.622241	7863	1.276002	9884
ACP7	-	19002	-	19002
ACPP	1.694111	1370	1.874521	5344
ACPT	-	19001	-	19001
ACR	0.000000	17074	0.000000	17229
ACRBP	1.218231	3056	1.464813	8582
ACRC	0.000000	17073	0.000000	17228
ACRV1	0.000000	17072	0.000000	17227
ACSBG1	1.155214	3391	1.155214	10503
ACSBG2	0.000000	17071	0.000000	17226
ACSF2	0.869065	5263	1.495172	8378
ACSF3	0.769988	6174	1.635081	7318
ACSL1	2.600217	269	3.382931	252
ACSL3	0.591116	8197	2.624530	1280
ACSL4	2.064744	712	3.630671	156
ACSL5	1.863452	1016	2.284094	2584
ACSL6	1.672086	1429	1.672086	6996
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17070	0.000000	17225
ACSM2B	0.000000	17069	0.000000	17224
ACSM3	0.564825	8517	0.637282	12506
ACSM4	-	18999	-	18999
ACSM5	0.699110	6939	0.699110	12289
ACSM6	0.000000	17068	0.000000	17223
ACSS1	1.165142	3338	1.890141	5226
ACSS2	1.114312	3596	1.550106	7974
ACSS3	0.796310	5910	0.796310	11967
ACTA1	0.651398	7518	0.651398	12462
ACTA2	0.454708	9831	1.502567	8306
ACTB	0.871771	5238	4.184978	23
ACTBL2	0.000000	17067	0.000000	17222
ACTC1	0.068942	14570	0.068942	15235
ACTG1	0.426130	10167	3.905554	69
ACTG2	0.065300	14623	0.365637	13301
ACTL10	0.229453	12555	0.346512	13504
ACTL6A	0.620839	7877	1.955126	4677
ACTL6B	0.154989	13333	0.154989	14385
ACTL7A	0.031141	15222	0.031141	15707
ACTL7B	0.000000	17066	0.000000	17221
ACTL8	0.034093	15164	0.034093	15660
ACTL9	0.000000	17065	0.000000	17220
ACTN1	0.668901	7304	2.740874	987
ACTN2	1.039516	4038	1.269120	9919
ACTN3	0.046626	14867	0.046626	15439
ACTN4	0.558332	8591	2.323578	2372
ACTR10	0.224954	12589	1.926078	4897
ACTR1A	0.231285	12540	2.260716	2717
ACTR1B	0.179365	13061	1.470180	8559
ACTR2	0.947999	4637	2.660647	1176
ACTR3	1.422170	2148	3.163184	417
ACTR3B	0.718594	6730	1.646744	7226
ACTR3C	0.792629	5942	1.139004	10558
ACTR5	0.685320	7111	1.482588	8482
ACTR6	0.514579	9135	1.561936	7882
ACTR8	0.449600	9890	1.608526	7516
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17064	0.000000	17219
ACTRT3	-	18997	-	18997
ACVR1	0.930223	4770	1.577112	7761
ACVR1B	0.438350	10027	1.456079	8673
ACVR1C	1.377624	2329	1.413102	8996
ACVR2A	1.070914	3843	1.944894	4736
ACVR2B	0.296764	11837	0.698055	12295
ACVRL1	0.540204	8818	0.635726	12510
ACY1	0.296605	11838	1.427784	8863
ACY3	0.983564	4381	0.983564	11300
ACYP1	0.652384	7502	1.509792	8266
ACYP2	0.523604	9011	1.568839	7804
ADA	1.928040	899	2.602557	1343
ADAD1	0.182744	13032	0.182744	14176
ADAD2	0.039090	15096	0.039090	15612
ADAL	0.376135	10806	1.104068	10755
ADAM10	0.688734	7074	2.175824	3172
ADAM11	0.068942	14569	0.068942	15234
ADAM12	1.960629	853	2.239124	2821
ADAM15	0.665502	7342	2.345338	2279
ADAM17	2.112898	658	2.361172	2206
ADAM18	0.020233	15628	0.020233	16002
ADAM19	1.633503	1527	2.530410	1565
ADAM2	0.000000	17063	0.000000	17218
ADAM20	0.032303	15202	0.032303	15692
ADAM21	0.023583	15484	0.023583	15902
ADAM22	1.235460	2972	1.683677	6926
ADAM23	0.152338	13354	0.300813	13655
ADAM28	1.690047	1379	1.915060	4998
ADAM29	0.026394	15433	0.026394	15869
ADAM30	0.000000	17062	0.000000	17217
ADAM32	0.021486	15516	0.021486	15922
ADAM33	0.055666	14726	0.253197	13834
ADAM7	0.027595	15339	0.027595	15788
ADAM8	2.664859	242	2.838842	811
ADAM9	0.808322	5805	2.306952	2461
ADAMDEC1	2.826724	154	2.826724	839
ADAMTS1	0.000000	17061	0.587030	12629
ADAMTS10	0.398392	10509	1.096910	10821
ADAMTS12	-0.036014	17122	0.000000	17216
ADAMTS13	0.000000	17060	0.000000	17215
ADAMTS14	1.308605	2647	1.543471	8007
ADAMTS15	0.586836	8246	1.111315	10719
ADAMTS16	0.068942	14568	0.068942	15233
ADAMTS17	0.645569	7575	0.755324	12153
ADAMTS18	0.000000	17059	0.000000	17214
ADAMTS19	0.040191	15032	0.040191	15562
ADAMTS2	1.208553	3101	1.948971	4714
ADAMTS20	0.016712	15679	0.016712	16033
ADAMTS3	0.464957	9721	0.741740	12187
ADAMTS4	0.000000	17058	0.246450	13866
ADAMTS5	0.205988	12751	0.746370	12174
ADAMTS6	0.865330	5293	1.035430	11089
ADAMTS7	0.886190	5114	1.476649	8518
ADAMTS8	0.000000	17057	0.000000	17213
ADAMTS9	0.000000	17056	0.221860	13974
ADAMTSL1	0.063444	14658	0.162702	14362
ADAMTSL2	0.071615	14313	0.071615	15009
ADAMTSL3	0.654386	7475	0.693727	12317
ADAMTSL4	1.156712	3379	2.037096	4096
ADAMTSL5	0.000000	17055	0.157513	14377
ADAP1	1.291674	2717	1.900603	5110
ADAP2	1.495832	1915	1.739797	6416
ADAR	1.495938	1913	2.524869	1585
ADARB1	1.138934	3469	1.194487	10307
ADARB2	0.980898	4400	0.980898	11305
ADAT1	0.425859	10169	1.389059	9161
ADAT2	0.807651	5812	1.683677	6925
ADAT3	0.114686	13855	1.788081	6052
ADCK1	0.309051	11662	0.949170	11416
ADCK2	0.632970	7729	1.675972	6974
ADCK5	0.627138	7803	1.424065	8930
ADCY1	0.362359	10967	0.442802	13076
ADCY10	0.000000	17054	0.000000	17212
ADCY2	0.206189	12748	0.260569	13805
ADCY3	0.704100	6884	1.534153	8095
ADCY4	0.058671	14707	0.239777	13898
ADCY5	0.114797	13851	0.114797	14762
ADCY6	-0.126472	17185	0.683947	12400
ADCY7	1.546202	1766	1.747002	6375
ADCY8	0.000000	17053	0.000000	17211
ADCY9	0.596584	8143	0.868644	11784
ADCYAP1	1.492062	1929	1.492062	8401
ADCYAP1R1	0.027595	15338	0.027595	15787
ADD1	0.288748	11910	1.977648	4525
ADD2	2.446462	357	2.446462	1855
ADD3	1.233656	2983	1.830415	5681
ADGB	0.985728	4367	0.985728	11294
ADGRA1	0.039090	15095	0.039090	15611
ADGRA2	0.015133	15684	0.786041	12064
ADGRA3	0.700419	6925	1.482588	8481
ADGRB1	0.732290	6582	0.732290	12221
ADGRB2	0.123987	13700	0.513715	12895
ADGRB3	0.391926	10589	0.632896	12516
ADGRD1	1.439306	2101	1.439306	8798
ADGRD2	-	18996	-	18996
ADGRE1	2.226770	530	2.226770	2890
ADGRE2	1.997412	816	2.826731	838
ADGRE3	2.788182	171	2.788182	901
ADGRE5	1.707166	1337	2.802737	877
ADGRF1	0.027595	15337	0.027595	15786
ADGRF2	0.306392	11703	0.306392	13636
ADGRF3	0.452861	9856	0.491926	12941
ADGRF4	1.209945	3094	1.209945	10240
ADGRF5	0.240878	12416	0.240878	13880
ADGRG1	0.550228	8701	1.212986	10219
ADGRG2	0.627907	7792	0.627907	12529
ADGRG3	3.199314	63	3.199314	376
ADGRG4	0.000000	17052	0.000000	17210
ADGRG5	1.380030	2317	1.380030	9248
ADGRG6	0.667714	7320	1.177536	10417
ADGRG7	0.028787	15284	0.028787	15747
ADGRL1	0.450373	9884	0.689045	12336
ADGRL2	0.815232	5733	0.815232	11918
ADGRL3	0.012601	15741	0.040191	15561
ADGRL4	-0.042575	17131	0.255471	13829
ADGRV1	0.024228	15478	0.024228	15898
ADH1A	0.000000	17051	0.000000	17209
ADH1B	0.225234	12584	0.471993	13001
ADH1C	0.000000	17050	0.000000	17208
ADH4	0.000000	17049	0.000000	17207
ADH5	0.163513	13264	1.746418	6377
ADH6	0.000000	17048	0.000000	17206
ADH7	0.114797	13850	0.114797	14761
ADHFE1	0.489023	9444	1.231353	10115
ADI1	0.394921	10548	2.173481	3187
ADIG	0.000000	17047	0.000000	17205
ADIPOQ	0.000000	17046	0.000000	17204
ADIPOR1	1.437168	2108	2.516079	1617
ADIPOR2	0.829747	5601	2.313762	2425
ADIRF	-0.189639	17196	1.580076	7745
ADK	0.774306	6123	2.162833	3242
ADM	1.044568	4012	2.763526	945
ADM2	0.566644	8495	0.841575	11850
ADM5	0.037305	15104	0.037305	15616
ADNP	0.872819	5232	1.958255	4642
ADNP2	0.820811	5681	1.642859	7238
ADO	1.106206	3644	1.672409	6992
ADORA1	0.135956	13503	0.338698	13555
ADORA2A	2.366639	411	2.366639	2189
ADORA2B	0.874267	5219	1.308108	9685
ADORA3	2.687009	230	2.687009	1114
ADPGK	0.846688	5463	2.092159	3721
ADPRH	1.095020	3702	1.370516	9300
ADPRHL1	0.026394	15432	0.026394	15868
ADPRHL2	0.296563	11839	1.448298	8709
ADPRM	0.414514	10308	1.316180	9652
ADRA1A	0.026539	15405	0.026539	15845
ADRA1B	0.015600	15683	0.068942	15232
ADRA1D	0.000000	17045	0.074076	14963
ADRA2A	0.858567	5354	1.317057	9643
ADRA2B	0.860268	5336	0.860268	11804
ADRA2C	0.357935	11105	0.357935	13466
ADRB1	0.544344	8772	0.668280	12429
ADRB2	2.133507	634	2.975404	617
ADRB3	0.051902	14758	0.051902	15340
ADRM1	0.435589	10046	1.988124	4465
ADSL	0.433146	10079	1.326304	9609
ADSS	1.194554	3179	2.354512	2230
ADSSL1	1.258467	2864	1.526810	8138
ADTRP	2.223822	535	2.223822	2907
AEBP1	-0.200672	17200	1.171974	10439
AEBP2	1.183101	3240	1.624117	7378
AEN	0.770317	6166	1.727443	6517
AES	0.640396	7640	2.227570	2889
AFAP1	0.060615	14696	0.990416	11279
AFAP1L1	0.464149	9731	1.284585	9805
AFAP1L2	0.683947	7144	0.683947	12399
