gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.198233	4798	1.189233	5388
A1CF	0.039090	8234	0.039090	13414
A2M	0.046626	7920	0.046626	13124
A2ML1	0.116749	6088	0.116749	12064
A3GALT2	-	19008	-	19008
A4GALT	-0.609733	17159	0.085717	12432
A4GNT	0.000000	14588	0.000000	17239
AAAS	0.000000	14587	1.077763	6161
AACS	-0.041880	15262	0.598803	9139
AADAC	0.000000	14586	0.000000	17238
AADACL2	0.000000	14585	0.000000	17237
AADACL3	0.000000	14584	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	14583	0.020233	14029
AAED1	0.519959	2157	1.738314	1886
AAGAB	-0.132213	16114	1.416488	3732
AAK1	0.243250	4250	0.972565	6903
AAMDC	-0.113215	15993	0.673188	8687
AAMP	0.000000	14582	1.563518	2795
AANAT	0.000000	14581	0.000000	17235
AAR2	0.106812	6253	1.228047	5100
AARD	0.282574	3859	0.297027	10734
AARS	-0.857828	17213	0.754249	8231
AARS2	-0.359694	16914	0.851124	7688
AARSD1	0.089572	6624	1.153492	5622
AASDH	0.000000	14580	0.874669	7541
AASDHPPT	0.150499	5485	1.240363	5004
AASS	0.016859	9291	0.407549	10112
AATF	0.271586	3968	1.740446	1875
AATK	0.088328	6648	0.106021	12165
ABAT	0.004859	9554	0.683028	8636
ABCA1	0.673568	1515	2.012220	974
ABCA10	0.046626	7919	0.046626	13123
ABCA12	0.054784	7510	0.054784	12895
ABCA13	0.607387	1737	0.607387	9095
ABCA2	0.213269	4612	0.750486	8247
ABCA3	0.000000	14579	0.212987	11256
ABCA4	0.000000	14578	0.000000	17234
ABCA5	0.034382	8323	0.809702	7908
ABCA6	0.000000	14577	0.000000	17233
ABCA7	0.375672	3009	1.211231	5231
ABCA8	0.000000	14576	0.020233	14028
ABCA9	0.000000	14575	0.000000	17232
ABCB1	0.561936	1946	1.159609	5590
ABCB10	0.042750	7977	0.689827	8595
ABCB11	0.000000	14574	0.000000	17231
ABCB4	0.064576	7256	0.213568	11242
ABCB5	0.000000	14573	0.000000	17230
ABCB6	0.000000	14572	0.000000	17229
ABCB7	0.046626	7918	1.224397	5132
ABCB8	-0.156774	16259	0.994123	6745
ABCB9	-0.036376	15175	0.166942	11592
ABCC1	0.035843	8297	1.105552	5956
ABCC10	0.093708	6564	0.504886	9595
ABCC11	0.000000	14571	0.000000	17228
ABCC12	0.000000	14570	0.000000	17227
ABCC2	0.020233	9225	0.020233	14027
ABCC3	0.020233	9224	0.830697	7795
ABCC4	-0.016406	14812	0.636214	8933
ABCC5	0.112819	6166	0.827581	7819
ABCC6	-	19006	-	19006
ABCC8	0.000000	14569	0.000000	17226
ABCC9	0.000000	14568	0.000000	17225
ABCD1	0.363082	3119	1.316306	4442
ABCD2	0.285005	3823	0.446388	9898
ABCD3	0.118966	6006	0.965659	6936
ABCD4	-0.029067	15049	1.032650	6499
ABCE1	-0.276808	16709	1.242256	4983
ABCF1	0.121633	5967	1.971568	1095
ABCF2	-0.039622	15233	1.001421	6704
ABCF3	0.096273	6482	1.571050	2747
ABCG1	0.420431	2699	1.553352	2857
ABCG2	0.000000	14567	0.046626	13122
ABCG4	0.000000	14566	0.000000	17224
ABCG5	0.000000	14565	0.000000	17223
ABCG8	0.000000	14564	0.000000	17222
ABHD1	0.000000	14563	0.054784	12894
ABHD10	-0.241601	16602	1.029076	6519
ABHD11	0.153559	5426	1.123520	5840
ABHD12	0.123375	5940	1.463232	3408
ABHD12B	0.047672	7777	0.047672	13014
ABHD13	0.384827	2947	1.412041	3759
ABHD14A	-0.055228	15446	0.762613	8182
ABHD14B	-0.152045	16231	1.605412	2565
ABHD15	0.423035	2683	0.763599	8177
ABHD16A	0.266228	4020	1.460754	3420
ABHD16B	-	19005	-	19005
ABHD17A	0.557496	1966	0.702204	8531
ABHD17B	0.314058	3530	1.221652	5151
ABHD17C	-0.053793	15428	0.514130	9550
