gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	13922	0.347303	8601
A1CF	0.000000	13921	0.000000	17239
A2M	0.000000	13920	0.000000	17238
A2ML1	0.000000	13919	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	16819	0.000000	17236
A4GNT	0.000000	13918	0.000000	17235
AAAS	0.372739	3866	0.975978	5879
AACS	-0.041880	14494	0.526954	8084
AADAC	0.000000	13917	0.000000	17234
AADACL2	0.000000	13916	0.000000	17233
AADACL3	0.000000	13915	0.000000	17232
AADACL4	-	19007	-	19007
AADAT	0.000000	13914	0.000000	17231
AAED1	-0.143594	15517	1.007507	5687
AAGAB	0.025600	6431	1.574301	3235
AAK1	0.119621	5770	0.848935	6477
AAMDC	-0.197499	15808	0.182744	10336
AAMP	0.000000	13913	1.105322	5284
AANAT	0.000000	13912	0.000000	17230
AAR2	-0.025306	14188	0.742844	7107
AARD	0.000000	13911	0.000000	17229
AARS	-1.387914	17214	0.000000	17228
AARS2	-1.028073	17121	0.182744	10335
AARSD1	0.000000	13910	0.526954	8083
AASDH	0.000000	13909	0.182744	10334
AASDHPPT	-0.020711	14110	1.129647	5176
AASS	-0.104889	15229	0.000000	17227
AATF	0.546945	3035	2.015806	1648
AATK	0.329610	4210	0.347303	8600
ABAT	0.391166	3787	0.819149	6610
ABCA1	0.766288	2071	1.730288	2642
ABCA10	0.000000	13908	0.000000	17226
ABCA12	0.000000	13907	0.000000	17225
ABCA13	0.831252	1900	0.831252	6526
ABCA2	0.000000	13906	0.000000	17224
ABCA3	0.000000	13905	0.000000	17223
ABCA4	0.000000	13904	0.000000	17222
ABCA5	0.217439	4907	1.249874	4637
ABCA6	0.000000	13903	0.000000	17221
ABCA7	0.551745	3008	1.387304	4015
ABCA8	0.000000	13902	0.000000	17220
ABCA9	0.000000	13901	0.000000	17219
ABCB1	0.378304	3842	0.975978	5878
ABCB10	-0.067074	14836	0.624761	7679
ABCB11	0.000000	13900	0.000000	17218
ABCB4	0.280551	4546	0.280551	9456
ABCB5	0.000000	13899	0.000000	17217
ABCB6	0.107194	5877	0.344210	9095
ABCB7	0.000000	13898	0.347303	8599
ABCB8	-0.310082	16204	0.182744	10333
ABCB9	-0.036376	14395	0.000000	17216
ABCC1	0.182744	5325	1.081805	5406
ABCC10	-0.104123	15226	0.000000	17215
ABCC11	0.000000	13897	0.000000	17214
ABCC12	0.000000	13896	0.000000	17213
ABCC2	0.000000	13895	0.000000	17212
ABCC3	0.000000	13894	0.000000	17211
ABCC4	-0.016406	14033	0.000000	17210
ABCC5	0.220620	4889	1.209420	4803
ABCC6	-	19006	-	19006
ABCC8	0.000000	13893	0.000000	17209
ABCC9	0.000000	13892	0.000000	17208
ABCD1	0.113194	5822	1.066418	5430
ABCD2	0.000000	13891	0.000000	17207
ABCD3	-0.186425	15767	0.474939	8154
ABCD4	-0.123365	15383	0.784331	6828
ABCE1	-0.767262	16927	0.751803	6956
ABCF1	0.374441	3858	2.224375	1133
ABCF2	-0.039622	14467	0.742844	7106
ABCF3	0.132059	5696	1.606836	3119
ABCG1	0.814332	1941	1.947253	1874
ABCG2	0.000000	13890	0.000000	17206
ABCG4	0.000000	13889	0.000000	17205
ABCG5	0.000000	13888	0.000000	17204
ABCG8	0.000000	13887	0.000000	17203
ABHD1	0.000000	13886	0.000000	17202
ABHD10	-0.130660	15447	0.347303	8598
ABHD11	-0.041284	14482	0.911373	6173
ABHD12	0.000000	13885	0.819149	6609
ABHD12B	0.000000	13884	0.000000	17201
ABHD13	0.965539	1506	2.007719	1669
ABHD14A	-0.156638	15604	0.000000	17200
ABHD14B	-1.286205	17195	0.471252	8232
ABHD15	0.186390	5098	0.526954	8082
ABHD16A	0.759145	2094	2.049847	1547
ABHD16B	-	19005	-	19005
ABHD17A	0.182744	5324	0.869886	6417
ABHD17B	0.434266	3569	1.204039	4849
ABHD17C	-0.000245	13924	0.344210	9094
ABHD18	0.333942	4182	1.185812	4913
ABHD2	1.461194	667	2.832714	296
ABHD3	0.853382	1841	1.803745	2371
ABHD4	0.385334	3807	1.725824	2661
ABHD5	1.636896	492	2.833775	295
ABHD6	0.000000	13883	0.182744	10332
ABHD8	0.589083	2845	0.751803	6955
ABI1	0.620119	2713	1.895355	2034
ABI2	-0.046400	14560	0.182744	10331
ABI3	0.246655	4750	0.751803	6954
ABI3BP	0.000000	13882	0.000000	17199
ABL1	0.328462	4220	0.347303	8597
ABL2	0.000000	13881	0.000000	17198
ABLIM1	0.790175	2012	1.204039	4848
ABLIM2	0.000000	13880	0.000000	17197
ABLIM3	0.000000	13879	0.000000	17196
ABO	0.000000	13878	0.000000	17195
ABR	0.413484	3679	1.463150	3682
ABRA	0.000000	13877	0.000000	17194
ABRACL	0.238846	4781	1.347877	4205
