gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	13972	0.168496	9775
A1CF	0.000000	13971	0.000000	17239
A2M	0.000000	13970	0.000000	17238
A2ML1	0.000000	13969	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	16805	0.000000	17236
A4GNT	0.000000	13968	0.000000	17235
AAAS	0.000000	13967	0.180942	9654
AACS	-0.041880	14589	0.243392	9208
AADAC	0.000000	13966	0.000000	17234
AADACL2	0.000000	13965	0.000000	17233
AADACL3	0.000000	13964	0.000000	17232
AADACL4	-	19007	-	19007
AADAT	0.000000	13963	0.000000	17231
AAED1	-0.000884	13978	0.463672	7948
AAGAB	-0.053562	14735	1.495139	3469
AAK1	0.483784	2970	1.213098	4646
AAMDC	0.002825	6846	0.200324	9511
AAMP	0.000000	13962	1.125217	5017
AANAT	0.000000	13961	0.000000	17230
AAR2	-0.025306	14277	0.581953	7447
AARD	0.073031	5912	0.087484	10448
AARS	-1.387914	17203	0.130752	10105
AARS2	-0.843168	16992	0.367649	8458
AARSD1	0.008401	6799	0.168496	9774
AASDH	0.000000	13960	0.739637	6794
AASDHPPT	-0.020711	14202	0.842636	6313
AASS	-0.085203	15083	0.049740	11366
AATF	0.551789	2658	2.020649	1487
AATK	0.411593	3344	0.429286	8114
ABAT	0.606670	2436	1.335834	4136
ABCA1	0.747452	1918	2.038208	1435
ABCA10	0.000000	13959	0.000000	17229
ABCA12	0.000000	13958	0.000000	17228
ABCA13	0.549785	2667	0.549785	7587
ABCA2	0.081013	5845	0.081013	10755
ABCA3	0.000000	13957	0.197762	9570
ABCA4	0.000000	13956	0.000000	17227
ABCA5	0.078036	5873	1.062223	5328
ABCA6	0.000000	13955	0.000000	17226
ABCA7	0.850747	1608	1.686306	2667
ABCA8	0.000000	13954	0.081013	10754
ABCA9	0.000000	13953	0.000000	17225
ABCB1	0.000000	13952	0.180942	9653
ABCB10	-0.067074	14892	0.738629	6798
ABCB11	0.000000	13951	0.000000	17224
ABCB4	0.000000	13950	0.000000	17223
ABCB5	0.000000	13949	0.000000	17222
ABCB6	0.000000	13948	0.000000	17221
ABCB7	0.000000	13947	0.539397	7643
ABCB8	-0.443086	16489	0.274274	8989
ABCB9	0.071797	5924	0.182386	9632
ABCC1	0.295472	4013	1.253601	4468
ABCC10	-0.054383	14747	0.398086	8274
ABCC11	0.000000	13946	0.000000	17220
ABCC12	0.000000	13945	0.000000	17219
ABCC2	0.000000	13944	0.000000	17218
ABCC3	0.000000	13943	0.087484	10447
ABCC4	-0.016406	14117	0.087484	10446
ABCC5	0.357555	3670	1.346355	4086
ABCC6	-	19006	-	19006
ABCC8	0.000000	13942	0.000000	17217
ABCC9	0.000000	13941	0.000000	17216
ABCD1	0.301786	3980	1.255009	4461
ABCD2	0.000000	13940	0.000000	17215
ABCD3	-0.206284	15818	0.382456	8355
ABCD4	-0.123365	15395	0.846032	6297
ABCE1	-1.120978	17134	0.398086	8273
ABCF1	0.237258	4380	2.087192	1305
ABCF2	0.010118	6782	0.274274	8988
ABCF3	-0.131795	15457	1.342982	4099
ABCG1	0.704383	2074	1.837304	2093
ABCG2	0.000000	13939	0.000000	17214
ABCG4	0.000000	13938	0.000000	17213
ABCG5	0.000000	13937	0.000000	17212
ABCG8	0.000000	13936	0.000000	17211
ABHD1	0.000000	13935	0.000000	17210
ABHD10	-0.263664	16061	0.706926	6915
ABHD11	0.266319	4198	1.236279	4546
ABHD12	0.000000	13934	0.760949	6683
ABHD12B	0.000000	13933	0.000000	17209
ABHD13	0.909907	1450	1.952087	1710
ABHD14A	-0.156638	15586	0.000000	17208
ABHD14B	-1.106538	17127	0.650920	7111
ABHD15	0.000000	13932	0.332971	8607
ABHD16A	0.676332	2176	1.967034	1665
ABHD16B	-	19005	-	19005
ABHD17A	0.049740	6367	0.695965	6949
ABHD17B	0.265076	4204	1.194430	4722
ABHD17C	-0.213612	15848	0.827781	6388
ABHD18	0.394530	3437	1.246400	4506
ABHD2	1.570207	451	2.856566	228
