gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	668	1.908622	1168
A1CF	0.000000	14733	0.000000	17239
A2M	0.000000	14732	0.110873	11067
A2ML1	0.000000	14731	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.381050	16935	0.314399	10004
A4GNT	0.000000	14730	0.000000	17237
AAAS	0.105535	5945	1.286508	4605
AACS	0.199507	4563	0.731551	8129
AADAC	0.000000	14729	0.000000	17236
AADACL2	0.000000	14728	0.000000	17235
AADACL3	0.000000	14727	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14726	0.000000	17233
AAED1	0.098567	6064	1.240165	4907
AAGAB	-0.146848	16270	1.401853	3804
AAK1	0.000000	14725	0.284247	10123
AAMDC	0.013077	8150	0.546665	8981
AAMP	0.155144	5141	1.581963	2691
AANAT	0.000000	14724	0.000000	17232
AAR2	0.291493	3489	1.412728	3737
AARD	0.000000	14723	0.000000	17231
AARS	-0.968510	17210	0.643566	8541
AARS2	-0.043248	15362	1.167570	5408
AARSD1	0.493541	1892	1.347166	4196
AASDH	0.031141	7831	1.106311	5803
AASDHPPT	0.449873	2159	1.430147	3602
AASS	0.005249	8286	0.416838	9562
AATF	0.234346	4132	1.703206	1999
AATK	0.013448	8137	0.031141	12229
ABAT	0.000000	14722	0.142252	10813
ABCA1	0.349361	2928	1.013064	6421
ABCA10	0.000000	14721	0.000000	17230
ABCA12	0.000000	14720	0.000000	17229
ABCA13	0.000000	14719	0.000000	17228
ABCA2	0.734104	986	0.734104	8110
ABCA3	0.000000	14718	0.031141	12228
ABCA4	0.000000	14717	0.000000	17227
ABCA5	0.204153	4503	1.038852	6232
ABCA6	0.381486	2640	0.381486	9708
ABCA7	0.677586	1152	1.513145	3092
ABCA8	0.000000	14716	0.000000	17226
ABCA9	0.000000	14715	0.000000	17225
ABCB1	0.153342	5166	0.751015	7996
ABCB10	0.109775	5886	0.752592	7986
ABCB11	0.000000	14714	0.000000	17224
ABCB4	0.045574	7292	0.124083	10942
ABCB5	0.000000	14713	0.000000	17223
ABCB6	0.000000	14712	0.102327	11145
ABCB7	0.289109	3507	1.538546	2940
ABCB8	0.383150	2626	1.087941	5911
ABCB9	0.000284	8393	0.241103	10319
ABCC1	0.000000	14711	1.014414	6408
ABCC10	0.072501	6555	0.651761	8502
ABCC11	0.000000	14710	0.000000	17222
ABCC12	0.000000	14709	0.000000	17221
ABCC2	0.000000	14708	0.000000	17220
ABCC3	0.000000	14707	0.158693	10736
ABCC4	-0.005275	14786	0.768106	7913
ABCC5	0.000000	14706	0.313544	10008
ABCC6	-	19006	-	19006
ABCC8	0.000000	14705	0.000000	17219
ABCC9	0.000000	14704	0.000000	17218
ABCD1	0.412891	2391	1.366115	4070
ABCD2	0.571738	1523	0.733120	8117
ABCD3	-0.060801	15590	0.850021	7436
ABCD4	0.237037	4092	1.319029	4386
ABCE1	0.223552	4266	1.742616	1806
ABCF1	-0.068950	15689	1.780985	1631
ABCF2	-0.039622	15318	1.030763	6289
ABCF3	-0.040660	15331	1.434117	3583
ABCG1	0.640819	1268	1.773740	1667
ABCG2	0.000000	14703	0.000000	17217
ABCG4	0.000000	14702	0.000000	17216
ABCG5	0.000000	14701	0.000000	17215
ABCG8	0.000000	14700	0.000000	17214
ABHD1	0.000000	14699	0.000000	17213
ABHD10	0.245758	4003	1.516435	3070
ABHD11	0.080514	6379	0.857195	7387
ABHD12	0.052185	7005	1.571071	2748
ABHD12B	0.045574	7291	0.045574	11872
ABHD13	0.592886	1438	1.620100	2457
ABHD14A	-0.078129	15781	1.025680	6324
ABHD14B	-0.114439	16068	1.643019	2337
ABHD15	0.993511	559	1.334075	4294
ABHD16A	0.079687	6404	1.370389	4046
ABHD16B	-	19005	-	19005
ABHD17A	0.111324	5840	0.891633	7200
ABHD17B	0.511805	1805	1.357515	4132
ABHD17C	-0.032868	15212	0.666195	8435
ABHD18	0.478388	1977	1.330257	4312
ABHD2	0.000000	14698	1.574100	2726
ABHD3	0.015575	8094	0.965937	6744
ABHD4	-0.050982	15466	0.431554	9498
ABHD5	0.000000	14697	1.060966	6073
ABHD6	0.450913	2154	0.698373	8272
ABHD8	-0.066279	15651	0.621792	8645
ABI1	0.428249	2297	1.708144	1980
ABI2	0.029234	7854	1.463195	3402
ABI3	0.031141	7830	0.284091	10126
ABI3BP	0.000000	14696	0.000000	17212
ABL1	0.643806	1257	0.894483	7184
ABL2	0.031141	7829	0.481184	9284
ABLIM1	0.127715	5572	0.434004	9487
ABLIM2	0.000000	14695	0.000000	17211
ABLIM3	0.000000	14694	0.000000	17210
ABO	0.000000	14693	0.031141	12227
ABR	0.000000	14692	0.407571	9593
ABRA	0.000000	14691	0.000000	17209
ABRACL	0.672322	1169	1.781353	1630
ABT1	0.415247	2380	1.612113	2518
ABTB1	0.128206	5565	1.316062	4402
ABTB2	-0.173954	16414	0.533693	9049
ACAA1	0.446189	2185	1.723315	1909
ACAA2	0.300113	3408	1.030408	6291
ACACA	-0.192554	16488	0.886709	7229
ACACB	0.000000	14690	0.110873	11066
ACAD10	-0.020381	14999	0.969197	6725
ACAD11	0.522786	1742	0.856232	7396
ACAD8	-0.128257	16181	1.080495	5952
ACAD9	0.000000	14689	1.249529	4840
