gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268673	3360	0.843204	8016
A1CF	0.000000	15114	0.000000	17239
A2M	0.000000	15113	0.000000	17238
A2ML1	0.000000	15112	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17168	0.000000	17236
A4GNT	0.000000	15111	0.000000	17235
AAAS	0.000000	15110	1.277182	4903
AACS	-0.041880	15708	0.572488	9302
AADAC	0.000000	15109	0.000000	17234
AADACL2	0.000000	15108	0.000000	17233
AADACL3	0.000000	15107	0.000000	17232
AADACL4	-	19007	-	19007
AADAT	0.000000	15106	0.000000	17231
AAED1	0.092784	6457	1.226169	5324
AAGAB	0.127696	5692	1.676397	1937
AAK1	0.515473	1484	1.167080	5819
AAMDC	0.073590	6930	0.421809	9880
AAMP	0.102395	6263	1.458188	3452
AANAT	0.000000	15105	0.000000	17230
AAR2	0.097233	6370	1.218468	5398
AARD	0.034002	8179	0.048455	12308
AARS	-0.441878	17091	1.013812	6905
AARS2	0.148435	5290	1.359253	4194
AARSD1	0.020588	8469	1.254568	5083
AASDH	0.073962	6920	1.154246	5905
AASDHPPT	0.083987	6709	1.573818	2580
AASS	-0.042963	15718	0.333404	10273
AATF	0.090228	6508	1.559088	2672
AATK	0.000000	15104	0.000000	17229
ABAT	0.102955	6251	0.832119	8088
ABCA1	0.000000	15103	0.421604	9895
ABCA10	0.000000	15102	0.000000	17228
ABCA12	0.000000	15101	0.000000	17227
ABCA13	0.181806	4657	0.181806	10978
ABCA2	0.769347	823	1.159190	5872
ABCA3	0.001686	8876	0.630353	9050
ABCA4	0.000000	15100	0.000000	17226
ABCA5	0.199022	4352	1.130794	6089
ABCA6	0.000000	15099	0.000000	17225
ABCA7	0.714178	918	1.549737	2736
ABCA8	0.000000	15098	0.000000	17224
ABCA9	0.000000	15097	0.000000	17223
ABCB1	1.199955	414	1.797628	1389
ABCB10	0.198338	4361	0.889569	7733
ABCB11	0.000000	15096	0.000000	17222
ABCB4	0.000000	15095	0.000000	17221
ABCB5	0.000000	15094	0.000000	17220
ABCB6	0.000713	8900	0.236378	10680
ABCB7	0.149971	5270	1.388615	3966
ABCB8	0.034488	8165	1.206455	5485
ABCB9	0.012167	8644	0.475353	9691
ABCC1	0.076740	6867	1.121098	6157
ABCC10	0.381571	2246	0.897811	7691
ABCC11	0.000000	15093	0.000000	17219
ABCC12	0.000000	15092	0.000000	17218
ABCC2	0.000000	15091	0.000000	17217
ABCC3	0.000000	15090	0.273271	10474
ABCC4	-0.016406	15307	0.784546	8329
ABCC5	0.051428	7512	0.949772	7344
ABCC6	-	19006	-	19006
ABCC8	0.000000	15089	0.000000	17216
ABCC9	0.000000	15088	0.000000	17215
ABCD1	0.048455	7902	0.966280	7242
ABCD2	0.836293	735	0.997675	7023
ABCD3	0.225758	3958	1.110702	6239
ABCD4	0.289335	3112	1.364189	4149
ABCE1	0.019675	8495	1.538740	2810
ABCF1	0.000331	8914	1.850265	1199
ABCF2	-0.039622	15691	1.315710	4580
ABCF3	-0.004133	15156	1.470644	3347
ABCG1	0.086161	6665	1.219082	5392
ABCG2	0.061926	7321	0.088046	11621
ABCG4	0.000000	15087	0.000000	17214
ABCG5	0.000000	15086	0.000000	17213
ABCG8	0.000000	15085	0.000000	17212
ABHD1	0.151630	5199	0.210802	10817
ABHD10	0.025650	8360	1.296327	4735
ABHD11	0.237481	3784	1.207441	5474
ABHD12	0.000000	15084	1.326500	4490
ABHD12B	0.000000	15083	0.000000	17211
ABHD13	0.367077	2354	1.394291	3924
ABHD14A	0.354313	2471	1.471481	3339
ABHD14B	0.016379	8560	1.773836	1462
ABHD15	0.496611	1546	0.837175	8058
