gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.634810	2674	1.625810	3692
A1CF	0.000000	16364	0.000000	17239
A2M	0.000000	16363	0.352966	11606
A2ML1	0.000000	16362	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.298568	17115	0.396881	11373
A4GNT	0.000000	16361	0.000000	17237
AAAS	0.217592	8223	1.611562	3802
AACS	0.140864	9715	0.762068	9840
AADAC	0.000000	16360	0.000000	17236
AADACL2	0.000000	16359	0.000000	17235
AADACL3	0.000000	16358	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.435604	4734	1.005217	8609
AAED1	0.541793	3547	1.760148	2573
AAGAB	0.002372	12141	1.551073	4334
AAK1	0.468688	4324	1.198002	7338
AAMDC	0.536305	3583	1.195346	7358
AAMP	0.215111	8261	2.019877	1242
AANAT	0.000000	16357	0.000000	17233
AAR2	0.204686	8473	1.146376	7651
AARD	0.000000	16356	0.000000	17232
AARS	0.177708	9047	1.565622	4193
AARS2	0.423929	4896	1.634746	3600
AARSD1	0.963878	1037	1.642618	3542
AASDH	0.123788	9957	1.204072	7213
AASDHPPT	0.326319	6347	1.615784	3766
AASS	0.390999	5362	1.217987	7130
AATF	0.428944	4828	1.897804	1745
AATK	0.000000	16355	0.000000	17231
ABAT	0.129439	9872	0.858603	9374
ABCA1	0.673835	2387	2.052281	1127
ABCA10	0.039591	11778	0.039591	13694
ABCA12	0.000000	16354	0.000000	17230
ABCA13	0.392697	5344	0.392697	11454
ABCA2	0.271413	7330	0.745260	9929
ABCA3	0.024230	11942	0.464198	11182
ABCA4	0.000000	16353	0.000000	17229
ABCA5	0.221670	8143	1.254105	6926
ABCA6	0.039591	11777	0.100699	13016
ABCA7	0.320940	6437	1.156499	7579
ABCA8	0.000000	16352	0.000000	17228
ABCA9	0.000000	16351	0.000000	17227
ABCB1	1.082096	721	1.679769	3199
ABCB10	0.594529	3038	1.454690	5167
ABCB11	0.000000	16350	0.000000	17226
ABCB4	0.163168	9374	0.214067	12310
ABCB5	0.000000	16349	0.000000	17225
ABCB6	0.161745	9393	0.355236	11600
ABCB7	0.302500	6703	1.551938	4330
ABCB8	0.069420	11154	1.162926	7533
ABCB9	0.282107	7000	0.392697	11453
ABCC1	0.523559	3725	1.780529	2422
ABCC10	0.175184	9105	0.633116	10475
ABCC11	0.000000	16348	0.000000	17224
ABCC12	0.000000	16347	0.000000	17223
ABCC2	0.000000	16346	0.000000	17222
ABCC3	0.000000	16345	0.000000	17221
ABCC4	0.410189	5070	1.301221	6459
ABCC5	0.296649	6786	1.223403	7098
ABCC6	-	19006	-	19006
ABCC8	0.039591	11776	0.039591	13693
ABCC9	0.000000	16344	0.050185	13533
ABCD1	0.089776	10829	1.018461	8436
ABCD2	0.182744	8972	0.182744	12570
ABCD3	0.190527	8753	1.195346	7357
ABCD4	0.777100	1746	1.565622	4192
ABCE1	0.301662	6714	1.820727	2169
ABCF1	0.103326	10411	1.953261	1505
ABCF2	-0.039622	16606	1.282849	6642
ABCF3	0.211688	8340	1.686465	3145
ABCG1	0.926057	1160	2.058978	1096
ABCG2	0.163437	9300	0.271413	12180
ABCG4	0.000000	16343	0.000000	17220
ABCG5	0.000000	16342	0.000000	17219
ABCG8	0.000000	16341	0.000000	17218
ABHD1	0.220135	8169	0.279306	11945
ABHD10	0.336838	6173	1.607515	3851
ABHD11	0.112919	10128	1.028978	8391
ABHD12	0.161882	9391	1.680768	3194
ABHD12B	0.274158	7213	0.274158	12022
ABHD13	0.471486	4295	1.513666	4658
ABHD14A	0.383102	5490	1.373096	5861
