gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	14762	0.923551	7600
A1CF	0.000000	14761	0.000000	17239
A2M	0.000000	14760	0.027595	12962
A2ML1	0.000000	14759	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17182	0.000000	17237
A4GNT	0.000000	14758	0.000000	17236
AAAS	0.000000	14757	1.157495	5985
AACS	0.002014	9448	0.625410	9298
AADAC	0.000000	14756	0.000000	17235
AADACL2	0.000000	14755	0.000000	17234
AADACL3	0.000000	14754	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	14753	0.000000	17232
AAED1	0.170004	5320	1.388359	4162
AAGAB	-0.100500	16040	1.448201	3725
AAK1	0.578014	1736	1.307328	4781
AAMDC	-0.066347	15750	0.495204	9917
AAMP	0.000000	14752	1.520109	3216
AANAT	0.000000	14751	0.000000	17231
AAR2	0.059759	7374	1.180994	5798
AARD	0.069524	7156	0.083977	12014
AARS	-0.719208	17193	0.668706	9085
AARS2	-0.005530	14842	1.205288	5611
AARSD1	0.008401	9300	1.249363	5292
AASDH	0.015108	9166	1.035398	6871
AASDHPPT	0.017501	8823	1.255567	5237
AASS	0.077636	6970	0.508217	9859
AATF	0.272434	3956	1.741294	1811
AATK	0.088429	6746	0.106121	11844
ABAT	0.062899	7318	0.770559	8537
ABCA1	0.701882	1310	1.667280	2230
ABCA10	0.028787	8411	0.028787	12763
ABCA12	0.000000	14750	0.000000	17230
ABCA13	0.135053	5902	0.135053	11623
ABCA2	0.319637	3443	0.846663	8079
ABCA3	0.000000	14749	0.330166	10648
ABCA4	0.000000	14748	0.000000	17229
ABCA5	0.313558	3507	1.345994	4512
ABCA6	0.028787	8410	0.028787	12762
ABCA7	0.659011	1452	1.494570	3396
ABCA8	0.000000	14747	0.000000	17228
ABCA9	0.000000	14746	0.000000	17227
ABCB1	0.758619	1158	1.356292	4425
ABCB10	0.015862	8857	0.876023	7900
ABCB11	0.000000	14745	0.000000	17226
ABCB4	0.217513	4631	0.294589	10804
ABCB5	0.000000	14744	0.000000	17225
ABCB6	0.000000	14743	0.089159	11970
ABCB7	0.165195	5413	1.414632	3973
ABCB8	0.041146	7931	0.947964	7450
ABCB9	0.035269	8059	0.498659	9902
ABCC1	0.261102	4087	1.518072	3235
ABCC10	0.057700	7405	0.647132	9190
ABCC11	0.000000	14742	0.000000	17224
ABCC12	0.000000	14741	0.000000	17223
ABCC2	0.000000	14740	0.000000	17222
ABCC3	0.092378	6678	0.904706	7718
ABCC4	0.022353	8725	0.913384	7669
ABCC5	0.042703	7903	0.841932	8120
ABCC6	-	19006	-	19006
ABCC8	0.000000	14739	0.000000	17221
ABCC9	0.000000	14738	0.000000	17220
ABCD1	0.166854	5389	1.120077	6254
ABCD2	0.814541	1031	0.975923	7276
ABCD3	0.181708	5138	0.927613	7574
ABCD4	0.180634	5153	1.264764	5158
ABCE1	-0.029323	15249	1.489742	3427
ABCF1	0.135871	5893	1.985806	919
ABCF2	-0.024514	15162	1.109433	6348
ABCF3	-0.032307	15300	1.442470	3770
ABCG1	0.554001	1839	1.686922	2110
ABCG2	0.000000	14737	0.027595	12961
ABCG4	0.000000	14736	0.000000	17219
ABCG5	0.000000	14735	0.000000	17218
ABCG8	0.000000	14734	0.000000	17217
ABHD1	0.082538	6860	0.141710	11580
ABHD10	-0.195458	16569	1.070259	6622
ABHD11	0.087137	6777	1.057097	6714
ABHD12	0.028787	8409	1.345283	4517
ABHD12B	0.015108	9165	0.015108	13247
ABHD13	0.383384	2890	1.410598	4003
ABHD14A	-0.077265	15845	1.019575	6976
ABHD14B	0.026909	8640	1.784366	1609
ABHD15	0.386284	2864	0.726848	8782
ABHD16A	0.119163	6181	1.375030	4277
ABHD16B	-	19005	-	19005
ABHD17A	0.660921	1444	0.762766	8574
ABHD17B	0.421607	2649	1.120749	6248
ABHD17C	-0.159807	16386	0.467223	10047
ABHD18	0.441485	2484	1.293354	4921
ABHD2	0.080590	6888	1.780103	1627
ABHD3	0.385419	2868	1.335782	4574
ABHD4	0.015904	8855	0.999702	7108
ABHD5	0.242667	4305	1.439546	3797
ABHD6	0.162982	5440	0.470850	10032
ABHD8	0.070976	7117	0.721256	8816
ABI1	0.428915	2590	1.720827	1924
ABI2	-0.002505	14808	1.130346	6174
ABI3	0.970233	762	1.475381	3524
ABI3BP	0.000000	14733	0.000000	17216
ABL1	0.627330	1549	0.724679	8792
ABL2	0.140128	5831	0.820047	8244
ABLIM1	1.104925	580	1.763889	1693
ABLIM2	0.037879	8010	0.305938	10760
ABLIM3	0.000000	14732	0.417999	10259
ABO	0.069232	7160	0.195078	11288
ABR	0.180716	5151	1.230382	5439
ABRA	0.000000	14731	0.000000	17215
ABRACL	0.547209	1866	1.656240	2300
ABT1	0.230752	4453	1.427618	3889
ABTB1	0.382296	2899	1.570152	2844
ABTB2	-0.138829	16265	0.621991	9311
ACAA1	0.162948	5442	1.548854	2992
ACAA2	0.645384	1487	1.097574	6425
ACACA	-0.076137	15838	1.067190	6647
ACACB	0.236265	4386	0.456465	10084
ACAD10	0.011513	9234	1.001091	7100
ACAD11	0.244512	4283	0.577959	9524
ACAD8	-0.045576	15492	1.163175	5942
ACAD9	0.097419	6560	1.248258	5300
