gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.378988	5269	1.369989	5806
A1CF	0.000000	15797	0.000000	17239
A2M	0.072495	10094	0.295662	11594
A2ML1	0.150083	8344	0.150083	12849
A3GALT2	-	19008	-	19008
A4GALT	-0.166333	16757	0.504313	10543
A4GNT	0.000000	15796	0.000000	17238
AAAS	0.174560	7869	1.292645	6337
AACS	0.028849	12298	0.757738	9426
AADAC	0.000000	15795	0.000000	17237
AADACL2	0.000000	15794	0.000000	17236
AADACL3	0.000000	15793	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15792	0.068942	14348
AAED1	0.837794	2480	2.056150	1914
AAGAB	0.006769	12970	1.555470	4627
AAK1	0.492291	4332	1.221605	6805
AAMDC	-0.018916	15969	0.643526	9959
AAMP	0.049740	11380	1.676035	3857
AANAT	0.040191	11806	0.040191	14758
AAR2	0.112050	9225	1.233285	6730
AARD	0.000000	15791	0.000000	17234
AARS	0.021590	12619	1.595345	4364
AARS2	-0.144057	16686	1.066761	7773
AARSD1	0.000000	15790	1.136529	7317
AASDH	0.110705	9258	1.146031	7272
AASDHPPT	0.119977	8902	1.522623	4836
AASS	-0.046113	16185	0.453845	10788
AATF	0.291118	6196	1.759979	3343
AATK	0.419899	4909	0.437592	10867
ABAT	0.262580	6516	0.991744	8239
ABCA1	1.660715	643	2.727002	465
ABCA10	0.150083	8343	0.150083	12848
ABCA12	0.000000	15789	0.000000	17233
ABCA13	0.134625	8624	0.134625	12935
ABCA2	0.199232	7462	0.744508	9491
ABCA3	0.031141	12247	0.346382	11324
ABCA4	0.041284	11680	0.041284	14688
ABCA5	0.208124	7313	1.039157	7934
ABCA6	0.685229	3166	0.685229	9756
ABCA7	0.452719	4643	1.288278	6365
ABCA8	0.114797	9170	0.305660	11555
ABCA9	0.062752	10996	0.178009	12521
ABCB1	0.421947	4893	1.019620	8066
ABCB10	0.083579	9791	0.849048	8967
ABCB11	0.000000	15788	0.000000	17232
ABCB4	0.632175	3454	0.781167	9311
ABCB5	0.201628	7428	0.201628	12276
ABCB6	0.019405	12735	0.398097	11070
ABCB7	0.186076	7663	1.435513	5394
ABCB8	0.068125	10767	0.853930	8945
ABCB9	0.058094	11132	0.521484	10473
ABCC1	0.238681	6857	1.411716	5557
ABCC10	0.076894	9941	0.739346	9519
ABCC11	0.000000	15787	0.000000	17231
ABCC12	0.000000	15786	0.000000	17230
ABCC2	0.068942	10754	0.068942	14347
ABCC3	0.956652	2069	1.228673	6759
ABCC4	0.060957	11038	0.740257	9514
ABCC5	0.072600	10034	0.861696	8903
ABCC6	-	19006	-	19006
ABCC8	0.028787	12402	0.028787	15045
ABCC9	0.068942	10753	0.114797	13371
ABCD1	0.960387	2060	1.913611	2530
ABCD2	0.285905	6259	0.447287	10813
ABCD3	0.138029	8566	1.091931	7622
ABCD4	0.143159	8446	1.151139	7246
ABCE1	0.083722	9787	1.602787	4320
ABCF1	0.414216	4952	2.264151	1263
ABCF2	0.361984	5448	1.184806	7061
ABCF3	-0.034405	16095	1.440373	5360
ABCG1	0.923022	2186	1.995739	2158
ABCG2	0.068942	10752	0.131519	12952
ABCG4	0.000000	15785	0.000000	17229
ABCG5	0.000000	15784	0.000000	17228
ABCG8	0.000000	15783	0.000000	17227
ABHD1	0.072347	10096	0.131519	12951
ABHD10	-0.081799	16418	1.188878	7028
ABHD11	0.170003	7952	1.139964	7303
ABHD12	1.271608	1263	1.826395	2972
ABHD12B	0.000000	15782	0.000000	17226
ABHD13	0.489014	4352	1.531194	4762
ABHD14A	-0.064408	16316	0.730118	9574
ABHD14B	-0.144124	16687	1.613333	4263
ABHD15	0.115658	8997	0.456222	10781
ABHD16A	0.565714	3836	1.593284	4384
ABHD16B	-	19005	-	19005
ABHD17A	0.452172	4649	0.713341	9646
ABHD17B	0.331177	5769	1.183758	7068
ABHD17C	0.225207	7047	1.266600	6497
ABHD18	0.559331	3880	1.411200	5559
ABHD2	0.501117	4266	2.183282	1486
ABHD3	0.429269	4831	1.379632	5752
ABHD4	0.160429	8099	1.444391	5331
ABHD5	1.032417	1816	2.229296	1353
ABHD6	0.926362	2178	1.173822	7116
ABHD8	0.324126	5853	0.823034	9104
ABI1	0.848298	2434	2.082420	1836
ABI2	0.022542	12608	0.916779	8626
ABI3	1.453318	933	1.958465	2313
ABI3BP	0.108094	9317	0.305660	11554
ABL1	0.481949	4418	0.579298	10214
ABL2	1.800263	488	2.468330	819
ABLIM1	0.526540	4102	1.185504	7057
ABLIM2	0.000000	15781	0.157585	12655
ABLIM3	0.000000	15780	0.263848	11772
ABO	0.269853	6437	0.269853	11741
ABR	0.557698	3885	1.471135	5146
ABRA	0.114797	9169	0.114797	13370
ABRACL	0.708503	3053	2.057330	1911
ABT1	0.284872	6273	1.481739	5075
ABTB1	0.553748	3924	1.741604	3467
ABTB2	1.048440	1771	1.809261	3061
ACAA1	0.324761	5847	1.806776	3074
ACAA2	0.398854	5082	1.607261	4298
ACACA	0.077498	9924	0.990938	8247
ACACB	0.157465	8161	0.401346	11053
ACAD10	0.052927	11242	1.042505	7917
ACAD11	0.090466	9638	0.382904	11150
ACAD8	0.007588	12961	1.216340	6844
ACAD9	0.921500	2190	1.348801	5957
ACADL	0.047931	11417	0.068942	14346
ACADM	-0.007305	15873	1.366791	5832
ACADS	0.015108	12852	0.835895	9041
ACADSB	0.040191	11805	0.877161	8826
ACADVL	0.368735	5372	1.964562	2280
ACAN	0.000000	15779	0.028787	15044
ACAP1	1.382961	1034	1.495063	4996
ACAP2	0.648389	3366	2.207922	1415
ACAP3	0.287583	6237	0.986042	8270
ACAT1	0.000000	15778	1.275523	6445
ACAT2	0.256212	6602	1.652372	4006
ACBD3	0.376155	5297	2.230097	1350
